ParlaMint-NL_2016-12-20-eerstekamer-14.u1	I give the floor to the Minister of Health, Welfare and Sport.
ParlaMint-NL_2016-12-20-eerstekamer-14.u2	Mr. Chairman. I would like to thank Members for their contributions in the first term. Mr Van Rooijen has been very much introduced in the creation and background of the income-dependent contribution. I already knew that, and we noticed that last year. We had the first exchange of views on this at that time. He also referred to that. I also had this exchange of views with the group in the House of Representatives this year. Mr Van Rooijen once again states that 50PLUS does not agree that the income-dependent contribution is a button that allows you to change purchasing power. I'm just gonna say it at home. In practice, however, it is, as is the healthcare allowance. If the costs are not that bad, the whole pallet is looked at to determine where we have to compensate people and where we should not do so. There are all kinds of possibilities for that. The Chamber also held the debate on income policy towards older people with Mr Wiebes. I don't think it's a good idea to do that again. Mr Van Rooijen is actually fighting the role of the contribution. There's not much I can do about that. She's the way she is now. If Mr Van Rooijen thinks that guarantees should be provided and that the income-related contribution should not be increased or reduced for purchasing power purposes, he should lay it down in an own-initiative proposal. We are not making that bill.
ParlaMint-NL_2016-12-20-eerstekamer-14.u3	There are actually two sides: a substantive and procedural one. I was referring in particular to the procedural side. In view of the democratic nature of a ministerial arrangement on possible 1% increase in the lowest rate, which has a budgetary effect of 600 million, I wondered whether you could say that, as with the care allowance, you should be able to switch buttons to balance it. The other aspect is the content, but I will come back to that in the second term. Because of the limited time I had given myself, I did not refer to the card game at the beginning of the cabinet formation. Apart from the Minister, a number of experts, who were not so great at the time, made a major contribution to the introduction of an income-dependent care premium, as if they were not there yet. The Minister of Health will now share my surprise about this, even though she had it at the time. That income-dependent care premium was already there. Fortunately, the others cut in four days. Mr Wiegel and I have both contributed to this. I will come back to that in the second term. The main responsibility is not to provide care contributions to pursue income policies. That's what tax policy is for. Maybe I'll come back to that on the other side of this house. Last week we saw that this is quite chaotic and very difficult.
ParlaMint-NL_2016-12-20-eerstekamer-14.u4	I fully agree with Mr Van Rooijen that the income-dependent premium has long been there. I was not very sad about the change in those plans either, because of course we have a care allowance. On the one hand, the nominal premium is actually dependent on income through the care allowance. On the other hand, we have an income-dependent contribution. This means that care is paid on an income-dependent basis. We agree on that. We have also said that we do not intend to reduce the low or high rate. I am simply saying that annual purchasing power and burden decision-making also looks at these types of variables. That's just a fact of life. It's the way it is now. If Mr Van Rooijen thinks that we should deal with this differently, he will have to deal with it differently. We also had this debate last year. That's why I'm trying to sum it up a little bit. As I said last year, I have no intention of putting forward a legislative proposal for this.
ParlaMint-NL_2016-12-20-eerstekamer-14.u5	I'm happy with the latter. I would like to join colleagues who have expressed their gratitude for the great commitment of both the Minister and the Secretary of State. Whatever you may think of the policy content, I have a great deal of appreciation for that. It's not easy to control these two portfolios for four years. I am concerned about whether the Minister can share my feelings that were raised last year. While there was 5 billion tax relief for workers and a one-off increase in the elderly discount, there was a structural burden increase of a few hundred euros. So there was a one-off increase in the elderly discount. In fact, this was clearly linked to the income index through the care premium. It's not for that. If anything is done about the income ratio, it is up to the Secretary of State for Finance and not to the Minister for Health, as I recall from a further past.
ParlaMint-NL_2016-12-20-eerstekamer-14.u6	That's right. That is why purchasing power debates are always held with the Minister of Social Affairs, or with the Secretary of State for Finance when he submits the tax plan. RIVM issued a report on the artificial grass at my request this morning. That was sent to the House of Representatives. I'll also send a copy to the First Chamber. I indicated this morning in my offer letter to the House of Representatives that we are responding this week. I'll make sure that the First Chamber gets my reaction and the report on the artgras research. I have to say that during this cabinet period a great deal of research has been carried out into the exploitation and effects of one's own risk. I mention the most important and then I am not at all complete. The most important thing is the research by Intomart in 2013 among insured persons into the reasons for avoiding care. Vektis investigated the actual use of care in the first and second lines in 2014 and 2015 following the increase in its own risk in 2013. At the end of 2015, NIVEL completed an intensive investigation into care avoidance due to its own risk, in collaboration with the Consumers' Association, the National Family Doctors Association and the health insurance companies. The added value of this research is that it combines survey results with insight into actual behavior, such as the number of GP visits and recovered medicines. They were never put next to each other before that. Two months ago, Vektis showed what the use of one's own risk is, and we gave insight into the various compensatory measures taken by municipalities. Mr Van Rooijen thought that was a fleeting quickscan. It was, but that's what we promised the Chamber. Otherwise, we couldn't do it. The background to that scan was that municipalities took compensatory measures in many different ways. We have given the Chamber an overview of this. I do not consider the various studies on the effects of the own contribution in the Wmo and the Long-Term Care Act. The same applies to research carried out by various international organisations. My predecessors have also had several investigations carried out. Think, for example, of the no-claim system. In short, we really know a lot. The general picture is that there is a lack of care and that this is happening for various reasons. In the broad NIVEL study, 15% indicated that in the previous year they did not have a doctor's visit. A fifth had done this because of possible follow-up costs or because they did not know that the general practitioner is outside their own risk. That's 3% of the insured. For example, the others indicated that they didn't like to take pills, that the disease would pass itself or that they didn't have time. The argument for why they didn't do it varies enormously. The percentage of 3 is comparable to that of 2009 and 2012. Also from the declaration dates there is no evidence for an increase in the avoidance of general practitioner care. On the basis of the declaration data, NIVEL also states that there is no evidence that patients from disadvantaged neighbourhoods have over time given up general care more often than other patients. There is no indication that the development of avoiding care differs between groups of different socio-economic status. So we know that care avoidance is fairly constant over time, despite the increase in one's own risk. That is also not surprising when you consider that the increase in your own risk has been accompanied by an increase in the health care allowance. The care allowance at the minimum level is now €1.066 for a single person. That amount has never been higher. A lot of people are homesick about the health insurance system, because they always found that very supportive, but someone with a minimum income is better off now. In 2005 he paid almost €550 in premium and no-claim, now he pays on average €460 in premium. That is €90 less, so the own risk minus the care allowance. For this, someone gets a lot more value for money. The package has been considerably expanded, with many new medicines and new treatments. Neighborhood care and mental health care have become part of the Health Insurance Act. The Health Insurance Act is therefore very supportive. I am not even talking about the fact that all the risks are shared, that we have almost no uninsured people anymore and that rich and poor receive the same treatment from the same doctor in the same hospital. Do we know everything now? No, it's not. Almost every research has limitations, including the NIVEL study. NIVEL argues that certain vulnerable groups are lacking in questionnaire research, which may underestimate care avoidance. It is not about a large group, but it is about a specific and difficult group to define, which cannot get a grip on one's own life. Moreover, we pay a great deal of attention to this group in our approach to confused people, because they too must be assured of care. NIVEL also points to a number of questions that could be looked at more closely, for example how people do not pick up their medicines or how they do not go to the specialist with the referral letter from the GP. We don't know much about that. We can learn from practice. We are talking to the National Family Doctors Association to see what general practitioners know and what they can do. That is what this is about: in practice, action must be taken on the basis of what we know, because research is not an end in itself. I also think that a lot of parties have expressed their minds about their own risks. I have read that in the various election programmes. I do not think that additional research will change the mind of parties who are for or against their own risk. The parties have long taken their positions. We've had a whole research pathway to care avoidance. I think it's much more useful to investigate other things, such as appropriate use of care. How can the doctor be much better a gatekeeper in this system, on health grounds? How can we further strengthen and improve risk resolution? I really do not think in the discussion that the costs covered by own risk still have to be paid if you abolish your own risk. If you eliminate your own risk of €385, we know that the premium goes up by €284, namely €22 for an income-dependent contribution and an increase in the nominal premium with the rest, i.e. €262. That care has to be paid for. That's the honest story, because there are few simple choices. Eventually, that care has to be paid for. The brake effect is therefore gone.
ParlaMint-NL_2016-12-20-eerstekamer-14.u7	It is true that positions have been adopted, perhaps for the time being, also with a view to the coming years. But thinking never hurts, not even right now. The Minister says that no risk of his own has major consequences, but is it also conceivable that his own risk will be applied differently? For example, for a first treatment you could not get the whole risk right on your plate but a portion. So someone might take the first step in the first quarter if they need care. I believe that such a system already exists in Belgium. Can the Minister come back to that in the second term?
ParlaMint-NL_2016-12-20-eerstekamer-14.u8	I can do that already, because there has been a lot of research on this too. I happen to know from my past that there are sometimes ideas within political parties to fill in one's own risk differently. This is such an idea. Your own risk is something very Dutch. Many other countries often pay part of the hospital bill themselves. Then you're not through your own risk at once, but you pay a particle of your own risk every time you go to the doctor. The disadvantage of this is that the ceiling, with the same cost recovery, has to be very high to raise the same amount. Then chronically ill generally start paying more. What if a younger man breaks his leg? With an equal ceiling, for example at €385, he lost his own risk at once. As soon as he gets there, I'm just gonna say what's lost is $50. As a healthy person, he's not gonna fill his own risk. This must then be achieved by the people who make great use of care. All of these variants are "just take a look at Care Choices" in Map "Map" for all kinds of election programs often already calculated. For my party, for example, a previous time a risk has been combined with own payments.
ParlaMint-NL_2016-12-20-eerstekamer-14.u9	The Minister also talked about special groups. She mentioned, for example, confused persons. I know the ggz well, because I was chairman of GGZ West North Brabant for a year and a half. I remember that the first step in particular is often difficult. Patients in the ggz, who already have psychological problems, find it very difficult, for example, to understand that they have to pay heavy, expensive medicines all by themselves the first time. Then they don't want those drugs.
ParlaMint-NL_2016-12-20-eerstekamer-14.u10	Different solutions have been devised for this. Firstly, all insurers are allowed to pay their own risk on a spread basis. So someone doesn't pay that €385 in one go but does it monthly. Secondly, the own risk is very often included in the collections with which the minimums are ensured by municipalities. That is no exception: a lot of municipalities are insuring their own risk. Then there is no threshold for the lowest incomes. By the way, we see that the dentist is also very often insured, but I will come back to that in a moment. So I really think we have done a lot of research. You can differ on whether your own risk is useful, whether we need to increase the premium by €284, whether we need to keep our own risk at €385 or whether we need to do it differently through taxes. You can come up with all kinds of things, but I don't think any new research is gonna help. 22% of people avoid the dentist. Is that an individual or a social problem? The dentist was removed from the sickness fund package in 1995 on the basis of advice from the Ziekkenfondsraad, the National Council for Public Health and a proposal from the Royal Netherlands Society for the Promotion of Dentistry. If you wanted dental care back in the basic package now, it would cost EUR 2 billion, according to the CPB. In practice, 80% of Dutch people have supplementary insurance. For the lowest incomes, municipalities in their collective insurance cover dental costs. It may seem like everyone has to pay the dentist themselves, but for the lowest incomes that care is often covered. Most of the people have dental insurance. I also do not see any cover to fund that 2 billion collectively again. That would mean that we're going to pay that amount again with each other and get the bill up.
ParlaMint-NL_2016-12-20-eerstekamer-14.u11	So it's an individual problem.
