ParlaMint-NL_2016-03-09-tweedekamer-8.u1	The next item is the reply by the initiator. I am happy to give the floor to Mrs Lodders.
ParlaMint-NL_2016-03-09-tweedekamer-8.u2	Mr. Chairman. With your permission, I shall begin immediately with an assessment of the amendments tabled. The first is the amendment to item No. 13 by Mr Ulenbelt. This amendment regulates an obligation for pension funds to accept transferred claims. I cannot see what the scope of this amendment is beyond the initiative legislative proposal. It also puts pension funds at a disadvantage if they were the only ones to take over this obligation. That is why I do not recommend this amendment.
ParlaMint-NL_2016-03-09-tweedekamer-8.u3	I will allow Mr Van Weyenberg an interruption, but I shall first look at the author of the amendment. Mr Ulenbelt has no questions, I note. I give the floor to Mr Van Weyenberg to answer questions in the context of the assessment of his voting behaviour in relation to this amendment, but I would ask him not to take long reflections and to watch over the repetition of his actions.
ParlaMint-NL_2016-03-09-tweedekamer-8.u4	My question is whether the Secretary of State will also comment on this amendment. I understand that Mrs Lodders cannot see it, but I am still looking and I hope that the Secretary of State will also say something about it.
ParlaMint-NL_2016-03-09-tweedekamer-8.u5	We all do that in one round. The Secretary of State advises. In the public gallery, I say that the Secretary of State is present on behalf of the cabinet in this debate, but that the initiator of the Chamber is concerned with the opinions on the amendments.
ParlaMint-NL_2016-03-09-tweedekamer-8.u6	Absolutely, you say it quite correctly, but in this case I attach particular importance to the reaction of the Secretary of State because I cannot oversee this and neither do the initiator. Mrs Lodders will now comment on the amendment I have tabled. For the sake of order, I would like to point out that an amended amendment has now been tabled which has been co-signed by Mrs Vermeij and Mr Omtzigt. The change from the original amendment, which Mrs Lodders now has in front of her, is that the original amendment states that the high-low structures should be introduced, whereas this has changed in the amended amendment so that it can be done. So a will-determination becomes a possibility. The amended amendment has just been tabled, but I thought it appropriate to mention this.
ParlaMint-NL_2016-03-09-tweedekamer-8.u7	This relates to the amendment on item No. 15 which is replaced by an amended amendment. We will hear from the initiator whether she thinks this explanatory statement is clear enough to give an opinion on the amendment. After these obstacles, I give the floor again to the initiator.
ParlaMint-NL_2016-03-09-tweedekamer-8.u8	First of all, I come to the amendment to item No. 14 by Mrs De Vries in which an opt-out variant of a collective variable pension is proposed. In the case of a variable pension offered collectively, the employer plays an important role. I understand Mrs De Vries' idea that a certain mass is needed to make a collective variant work. This was not part of the initiative proposal, of course because it does not contain a collective element. I would like to leave this amendment to the House. However, I would like to point out with care that if the individual variant is chosen for a variable pension, the default is still a fixed pension and, as far as I am concerned, if the amendment were to be adopted.
ParlaMint-NL_2016-03-09-tweedekamer-8.u9	This relates to the amendment on item No. 14?
ParlaMint-NL_2016-03-09-tweedekamer-8.u10	That's right. I shall continue with the amendment on item No. 15. In the meantime, therefore, an amended amendment has been tabled which has been co-signed by Mrs Vermeij and Mr Omtzigt. This amendment concerns projection interest rates. Many questions have been asked on this subject and a number of interrupting debates have been held. The amendment proposes that the projection rate for both variants, both the individual variant and the collective variant, be brought to risk-free interest rates. I can say a great deal about this, but I have heard the debate in the first term and the contribution of the Chamber in the second period. I would actually like to propose, unless the authors would very much like to put the amendment to the vote, to accept the amendment. It's consistent with the original bill. We have made a choice to merge the legislative proposal as it stands, but given the broad wish of this Chamber, I would like to accept the amendment. In doing so, I hope to have answered a large number of questions indirectly.
ParlaMint-NL_2016-03-09-tweedekamer-8.u11	This is possible under Rule 100 if none of the Members present in the Chamber opposes accepting the amendment. That is the case, unless Mr Omtzigt throws soot in the food.
ParlaMint-NL_2016-03-09-tweedekamer-8.u12	No, I don't want to throw any soot at all, but there are three options to take over on the table. That is Mr Van Weyenberg's original amendment, the amended amendment that is still being tabled and my amendment. There are very subtle differences between them. I ask for the legal history of which of the three is taken over. If that is Mr Van Weyenberg's amendment, I will withdraw my amendment immediately; so that is not the point, but I would like to know exactly.
ParlaMint-NL_2016-03-09-tweedekamer-8.u13	This is a legitimate and careful question from Mr Omtzigt. As far as I am concerned, that is the new amendment that is still being tabled, with the three signatories, with the addition of Mr Van Weyenberg.
ParlaMint-NL_2016-03-09-tweedekamer-8.u14	The can-determine.
ParlaMint-NL_2016-03-09-tweedekamer-8.u15	Yes. I don't have the new number yet. So I can't report that. Perhaps it would be a good idea to formalise this at the end of the speech.
ParlaMint-NL_2016-03-09-tweedekamer-8.u16	We will monitor that from here too. The amendment with the possibility clause has been accepted. I understand that this has withdrawn Mr Omtzigt's amendment.
ParlaMint-NL_2016-03-09-tweedekamer-8.u17	Then I come to the Van Weyenberg amendment to item No. 16. The aim of this amendment is to extend shopping law so that shopping can always take place. I understand Mr Van Weyenberg's wish, but the legislative proposal focuses on the possibility that everyone can make a choice between a fixed or variable pension. A broader shopping right belongs in my view to the broad pension discussion. I would advise against accepting this amendment. The law of shopping as it is now incorporated into the law helps people to choose both a variable and a fixed variant. I say to Mr Omtzigt that I do not want to impose an obligation on performers to offer both variants. It is not my preference to require an executive by law to offer a particular product at the time when an performer wants to offer only one variant. Then I think it's more important that people can shop.
ParlaMint-NL_2016-03-09-tweedekamer-8.u18	Very thoughtful but determined, Mr Omtzigt walks towards the microphone.
ParlaMint-NL_2016-03-09-tweedekamer-8.u19	The question Mrs Lodders raised was actually Mrs Vermeij's question. The question I asked was a slightly different one. If you only offer the fixed benefit as a pension fund, as a participant in that pension fund you are entitled to purchase a variable benefit somewhere else, but if you choose as a pension fund to offer only the variable benefit, you do not have a default option because your own pension fund does not offer it. What happens then?
ParlaMint-NL_2016-03-09-tweedekamer-8.u20	That question will be dealt with at the time of the answer, but I can report it immediately. In this case, the pension administrator will continue to invest the capital risk-free. When no choice is made, when it is relevant to the investments, the capital becomes risk-free; at least, the phasing-out will take place. At the time when there is no choice at the pension entry date or when the fixed pension would expire due to default, the pension administrator is obliged to invest the capital risk-free. And with that, it's actually a fixed pension.
ParlaMint-NL_2016-03-09-tweedekamer-8.u21	I would like to take a look at the letter we received in the letter of amendment (34255, No. 11) which contains almost a whole new law, so let me just say for a moment. There's page 3 under "default is fixed pension" the following. "Participants with a contribution scheme must therefore consciously and explicitly opt for a risk variable pension. If not, the pension holder must pay a permanent pension for the person concerned, or if the performer does not offer a permanent pension................................................................................................................................................................................................................................................. If there isn't, then this is kind of a mandatory time to hand it over.
ParlaMint-NL_2016-03-09-tweedekamer-8.u22	This is a mandatory time if the participant makes the choice. However, it is also possible that the pension administrator cannot find contact with the participant. At that time, the pension administrator is obliged to invest the capital risk-free.
ParlaMint-NL_2016-03-09-tweedekamer-8.u23	In both cases that has been clarified for me.
ParlaMint-NL_2016-03-09-tweedekamer-8.u24	The amendment in part No. 17 has been revoked. I shall now turn to the various questions. A lot of questions have been asked. With your permission, Mr. Chairman, I'll go through them. They may not all be grouped equally well. Mr Ulenbelt asked if I would not withdraw the letter of amendment and go back to the old proposal. The pension is already dependent on the return. That was the point Mr Ulenbelt made in his speech. There was an explicit request, including from Mr Ulenbelt, for both legislative proposals to be brought together. I therefore believe that Mr Ulenbelt fully understands that I will not withdraw the letter of amendment. Mr Omtzigt pointed out that a large number of changes had been made to the own-initiative proposal and asked why the title had been kept intact. The title has been changed, namely in the Improved Premium Scheme Act. The two legislative proposals complement each other. Of course, the original initiative proposal did not contain the collective variant, which is highly desirable. Mrs De Vries spoke about bank savings, possibly supplemented by the longevity risk at the benefit stage. That is one of the possibilities that could be discussed. In one of the investigations carried out by the Secretary of State, attention has been paid to these possibilities. However, the impact that was now before us offered more perspective. Of course, Mrs De Vries is always free to make a motion on this or to come back to it at a later date. Then I'll go into spreading windfalls and setbacks. Mrs De Vries asked whether windfalls and setbacks would be made unconditional. That's the case. The five-year deadline will be explicitly discussed at the time of distribution. Mrs De Vries also said that the letter of amendment refers to the explanatory memorandum to the government's legislative proposal, while that bill is not dealt with. She asked whether these references were going well. The law has been filed and the documents remain. That can also be referred to. Mr Ulenbelt expressed his concern about the moment of choice. He said a decision must be made at the age of 45. He asked if all that's gonna work out. In fact, this has already been said enough in an interrupting debate. Participants shall be properly informed. The operator must be informed in a balanced manner. This means that he has to share both the advantages and the disadvantages with a participant. Several scenarios are presented. If the participant does not dare, or if a participant cannot oversee it, he can always choose the fixed variant. That's why I think the default for the individual variant is so important; then a participant can never be surprised. There's gonna be an evaluation. An evaluation clause has been included in the law. I think this is one of the important elements, precisely in order to see if the default works in a good way. First of all, let us take a cautious step.
ParlaMint-NL_2016-03-09-tweedekamer-8.u25	I'm gonna interrupt you for a second. We have a public gallery, which is constantly being updated. Not all people know what a default is. Perhaps you could explain that word. Now that I have the floor, I would like to take this opportunity to point out that the amendment with the designation and the generous signature, which has just been mentioned, has received number 18.
ParlaMint-NL_2016-03-09-tweedekamer-8.u26	In addition to that, I would like to say once again that, as the initiator, I am in favour of the amendment on item No. 18 take over. It is therefore part of the bill. I hope I say it that well, Mr. Chairman. "Default" means that when participants do not make a choice, as it were, a choice is made for them. That is called "default" in very nice Dutch version, to which I am quite rightly addressed by the President. Mr Krol asked whether a participant could always choose between an individual or a collective contract. Yes, as a participant, you decide whether to join a collective. Once you're in a collective, of course you can't get out. That's what you choose. That's the consequence. Questions have been asked about the General Measure of Governance. The Secretary of State will deal with this later. The question is, in particular, whether it is being put forward. Mr Omtzigt asked whether a unit allowance should not be maintained. A benefit in units can still be paid, even in the manner described by Mr Omtzigt. However, there are several ways. That is precisely what is so great about this bill: practitioners have more room to offer a variable pension within the legal framework. A payment in units can be made quickly, because it is an existing product. Mrs Vermeij has asked about communication, because it would be more important than ever. She called the concepts "fair" and "clear." I very much agree with Mrs Vermeij. I think we are also talking about pension communication in this house at regular intervals. I also think that a number of steps have been taken in the Pension Communication Act. A balanced communication is very important. A number of new provisions have also been added to the present legislative proposal. They shall ensure that the participant is informed in a balanced manner. They also guarantee the duty of care for the performer. The duty of care ensures that the performer aligns his work with the individual. So it's not: big steps, quick home. The individual is indeed being looked at, and that is, I think, very important.
ParlaMint-NL_2016-03-09-tweedekamer-8.u27	The Van Weyenberg amendment c.s. (Part No 18) has been taken over.
ParlaMint-NL_2016-03-09-tweedekamer-8.u28	Mr Omtzigt of the CDA had a number of questions about shopping law. For example, he wanted to know why pension funds are not obliged to offer both fixed and variable. I just said something about that. I think it is important that everyone can make a choice between a fixed pension and a variable pension. If we want to ban products, we have to introduce obligations into the law. I am not in favour of that. Shopping law, as it is now included in the bill, at least offers people that choice. I think a broader shopping right really belongs in another discussion. Can the performer only offer a variable pension scheme in the current proposal? Yes, that's the case; hence the limited shopping right. I think I have already given sufficient consideration to what happens if people do not make a choice. What is being done for those who have bought their pension with the current low interest rate? I know that the Secretary of State will respond to that in a moment. I am confident, as I have just said in the interrupting debate, that the sector, listening to this debate and certainly to the participants in it, will take steps to do so, although, of course, a motion for a resolution can always help. In my view, I have also given sufficient consideration to the question of Mr Van Weyenberg's right to shop. Mr Krol asked whether the default chairman, sorry that I use this word again, was always best for everyone and referred to the letter from the Foundation of Labour. Probably this isn't always the best thing; the law doesn't have "improved premium scheme" in the title for nothing. The law aims at a better pension. But because this is a new product and because the level of a variable pension may vary, I think it is very important to opt for the fixed pension if people do not make a choice. An evaluation clause has also been included for a reason. I have already addressed the question of variable alone. Mr Omtzigt of the CDA has asked a number of questions about projection interest rates, but I assume that by accepting the amendment we will have sufficient clarity and clarity for the participants on this point. Mrs De Vries announced a possible motion for an inquiry. This motion has not yet been tabled. I'll wait for it with interest. The CDA asked a question about the coverage of the obligations. The question was whether it could be clarified how the liabilities are always covered if the defaulters are not immediately passed on into the pension. The liabilities are always covered by the immediate and unconditional inclusion of defaulters in future pension benefits. The distribution ensures that a fifth of this is reflected directly in the pension. The remainder of the setback is incorporated unconditionally into pensions and subsequent years. Mrs Vermeij asked what you can choose. There are a number of choices to be made individually, I say in response to that. You can opt for a fixed or variable benefit, for individual or collective, for all or part variable. These are the choices that a participant can make on the basis of the information obligations that exist. The risks, the composition of an allocation circle and the periodic fixed reduction in the benefit, especially now that the amendment is part of the law, are, of course, a number of steps that, so to speak, take place under the bonnet. It's the contracting parties who agree. So it will not be the case that each individual is presented with the calculations under the hood. I do think that it is perhaps a bit strange to say that here as initiator, where in future I may go again as spokesman on pensions. In view of the layeredness of communication, we should also keep our finger on the pulse and look closely at how that is going. I also consider the evaluation clause to be very important in this respect. After all, it's a new product. On the question of what is now on the board of the pension administrator and on the board of the participant, I think I have covered this in sufficient detail. Mr President, I believe that I have now tried to answer the questions, partly at your request, on a speed train.
ParlaMint-NL_2016-03-09-tweedekamer-8.u29	This was partly at the request of a number of Members, because there was a general discussion again at 3 p.m. This brings us to the end of the second term on the part of the initiator. I am happy to give the floor to the Secretary of State for Social Affairs and Employment.
ParlaMint-NL_2016-03-09-tweedekamer-8.u30	Mr. Chairman. Again in my role as advisor, I'd like to answer the questions that remain. Mr Van Weyenberg just asked, in the event of interruption, whether the government would also like to give an appreciation of the SP amendment. He will not be surprised that this appreciation is the same as that of the initiator. I also advise against this amendment, because the pension funds, like all the other executives, now decide whether they want to take over the implementation. The proposal to require funds, as the only type of exporter, to take over the implementation, puts them in a more unfavourable position.
ParlaMint-NL_2016-03-09-tweedekamer-8.u31	We are now talking about Amendment No 2. 13, I presume?
