ParlaMint-NL_2016-04-28-tweedekamer-13.u1	I welcome the Minister of Security and Justice.
ParlaMint-NL_2016-04-28-tweedekamer-13.u2	Mr. Chairman. We are already 20 months on after the Action Programme Integrated Approach to Jihadism presented by the government in August 2014. This is a very long period in which no use could be made of the measures that are now being proposed. This is painful in itself, but what makes it particularly painful is that the really necessary measures are still not being taken. I am talking about criminalising residence on terrorist-controlled territory and the return of jihad-goers to detention. No, people who are willing to blow themselves up and drag countless citizens into it will soon be banned and banned from contact. Wow. And maybe they even get a notification obligation and an anklet. Thus banning the person concerned from a particular area or place will seriously impede him in preparing or committing, for example, an attack, according to the explanatory statement. If it wasn't all so horrible, I'd laugh about it. Not only the CDA group is critical, but also the mayor of Amsterdam and those of The Hague, the Public Prosecutor's Office and the national police have indicated that the bill does not go far enough to intervene in areas where radicalisation and a radical thought are present. According to the written advice accompanying the bill, there is clearly a gap between what mayors, agents and prosecutors think they need in practice and what the cabinet is prepared to give them. The sunny thought that we will have world peace in five years' time also shows little sense of reality. Of course, we changed that crazy right out of it. Of course, this law, which allows for far-reaching measures, must be evaluated, but that simply applies to every law. I come to the discussion of the content of the law itself. First of all, I will deal with the restrictive conditions in the context of national security. The CDA Group wants the government to focus on preventing people from becoming dangerous and not to intervene only when there is a danger. At an early stage, the breeding ground of radicalisation must be recognized and immediately smothered in the bud. This requires and advises that the link with national security is not made too firm. However, this cannot be changed. I didn't. That requires a very different view. This concerns me with the Minister. In the consultation round, the College of Attorneys General writes, so the Public Prosecutor's Office: in what way is a single person who suddenly leaves his beard, who wears a djellaba and visits a not well-known mosque and who is even known to listen to a hate-preaching imam, a danger to national security? The government's response to this is that the use of freedom-limiting measures in this example is not simply justified. We had to chew on that, because that is of course true. The immediate handcuffing of someone in broad daylight by an arrest team is not at all what we have in mind. But let's go through with that. If police, justice and mayors have a well-founded feeling of unrest among people they monitor and investigate and conclude that a ban on contact with certain imams, a ban on territory at a controversial mosque or perhaps a duty of notification would be desirable, shouldn't they be given space? We have to realize that what we see is often just the tip of the iceberg. A lot takes place in the hidden, as we have learned by now. Will the Minister acknowledge that there may also be a need for action in such areas? If so, the proposal before us is inadequate. There must be a whole pattern of behaviour before, for example, a notification obligation, a ban on territory or a ban on contact can be imposed. That can be worrying, because incidents and one-off calls and actions can pose a threat. Think of waving IS flags and demonstrating in the summer of 2014. But the one-off calls for terrorist violence can also be very risky. Shouldn't you want to intervene? Are these not the cases where you say that the government should perhaps be able to take action? The special thing is that the withdrawal of a grant or a licence is possible if an extremist speaker is invited once. So the first question is: is it absolutely necessary that this blanket of national security should always be over? Or under certain circumstances, should you be able to see if there's anything you can do earlier? We really had to push and pull this cabinet in order to do something more than just a ban or a reporting obligation. Eventually, the minister switched sides and came with the anklet. It's something, but it's still a naive ideal picture. Electronic surveillance is fully relied on to monitor radicalised individuals. However, we know that a judge who previously imposed this was ultimately empty-handed, because the person who had been given an anklet had left and eventually died in Syria. So it doesn't work! Is this not just for returned Syrians too thin? We got a letter about the latest investigation. In it you can read what happens when people are received in Syria: the men are separated from the women and they are immediately deployed in a training for terrorism. Surely it can't be that we think we can control the people who return with an anklet? Then the proposal we have made together with the VVD for criminalising residence in such an area is absolutely necessary, isn't it? Unless we ensure that people who come here are monitored more closely in one way or another, with also a restriction of freedom, where the judge also plays an important role. The naivety of that anklet doesn't really pass here. Then there are a few measures that we are absolutely enthusiastic about. Administrative bodies will soon be given the opportunity to reject applications for grants, licences, exemptions and recognitions or to withdraw decisions. This will prevent the unintended contribution of the public authorities to terrorist activities through grants, permits, exemptions and recognitions. This point came up in the mosque in Utrecht the other day, and there was also a desire to intervene. All kinds of organisations, welfare organisations, a children's website, language and Islam lessons played this role. We want to know whether municipalities are actively encouraged to use them and how municipalities are advised on how best to do so. What's the contact with the Ministry about that? Then I have another amendment that I will discuss right away. That amendment concerns the power of decision. All decisions relating to the ban and the like have been taken by the Minister on his own behalf. He has the power to impose measures. We have proposed that these powers should, if necessary, be temporarily and swiftly deposited with the mayor. After all, the mayor is the key figure in terms of security in the region and the one who already has an important role to play in imposing bans on contact and territory. After all, it is a strange idea that the Minister of Security and Justice, after consultation, is the one who decides that someone should report to the police station, if we know that such decisions are always fed from the local triangle? In his reply, the Minister also stressed the importance of cooperation between the authorities at local level and the security services. Shouldn't it be the case that in the event of acute danger, a mayor himself can do something? In particular, in an acute situation, the Minister laid down that competence solely on his own behalf, and therefore with little contact. The CDA group wonders whether it is not very important to place the mayor more firmly in that. I had also promised to ask a question on behalf of Mr Segers, because the Christian Union cannot be here, but has an important point. What can the mayor in The Hague do acutely when people are showing radical thoughts by waving flags, calling for everything and putting all the radical ideas down? What can the mayor of The Hague soon do what he couldn't do the last time he saw what happened in his city, The Hague? That was my commitment to the Christian Union. Then there is capacity and financial resources. The financial constraints in the security and intelligence services continue to give rise to concerns. The Chamber awaits the Spring Note and the new budget with Princess Day to see what additional funds the Ministry will soon be willing to deploy throughout the safety chain. So far all the solutions that have been put forward have been a bit of a string. The Secretary of State has already announced that 50 additional people will join the Royal Marechaussee, to assist in the summer at Schiphol Airport. We understand that these are being removed elsewhere in the country. That's never supposed to happen, is it? Then what is true of strengthening the safety chain? We have seen it before when strengthening police capacity in the South of the Netherlands, for tackling serious crime. This one was pulled away elsewhere, too. So, what's the specifics about this report on the marshalssee? The Minister says that 50 fte are removed from customs, the Judicial Institutions Service and by an internal redeployment at the KMar. What is the real cost of this? How does the Minister see this? How is he actually going to ensure that services are strengthened? At the beginning, I said something about the temporality of the law. We cannot really understand why the government has chosen to automatically abolish the law after five years, especially since it itself states that it has no reason to believe that this terrorist threat will disappear in a few years' time. Isn't it true that everything you devote to expertise and experience is then destroyed when you say that by definition this law is only valid for five years? Shouldn't you just put that down firmly to make sure it's all hands on deck, with a proper evaluation, to see if it's important? If then nothing seems to be possible or to happen at all, then you can see what you want with it. If you say it's five years now, everyone thinks after four years: well, it's another year, what am I supposed to invest in? That's such a wrong signal. This means that we have tabled an amendment to ensure that this crazy goes out. Finally, I would like to say something about cooperation. We often know very little about people. We are also not very useful in sharing the bit we know. On this point, I note that our border regions have additional concerns. They see municipalities that are partly on this side and partly in Belgium or in Limburg, and then just across the border with Germany and Belgium. How's the cooperation there? A very concrete plan has emerged in Limburg to look at a kind of euro-regional centre, where you can exchange information about radicalisation in those border municipalities. Can the Minister answer that? Or can the RIEC advocate a cross-border approach to have good contact with these border municipalities? That is a concern in our border municipalities. I think it is important to present that today. In short, the bill now before us is actually too little, too late. It's gonna be all we got, so for God's sakes, let's do this. For God's sake, it's actually a bad term. Let's do this. I would like to know whether the Minister still intends to leave it at that as far as the measures are concerned. Isn't he thinking about a firmer deprivation of liberty for people who really pose a danger? He merely makes a commitment to meet the Court's demand by setting up an ankle bracelet. I told you, if it wasn't so serious, it was laughable.
ParlaMint-NL_2016-04-28-tweedekamer-13.u3	Mr. Chairman. A periodic reporting obligation, a ban on territory and a ban on contact: in the Schilderswijk, on Kanaleneiland and in other Islamic settlements in the Netherlands one shudders. The Minister's acting. And how. Indeed: a periodic reporting obligation, a land ban and a restraining order. Such measures may be imposed for the protection of national security on a person who may be associated with or support terrorist activities on the basis of his or her conduct. I think it is important to note that this evening's debate is, of course, mainly about Islamic terror, about jihadism. That terror serves only one purpose, and that is to prepare the people of the dr al-harb, the part of the world that is not yet Islamic, for the eventual introduction of Sharia. I would like to establish that, because, apart from the PVV, no party really recognizes or appoints it. It's not about accidental terror. It is an effective and planned submission. Does the Minister share this view? The Minister is working hard. Fine. But with effort it is important that you do the right thing and that you not only do the less important things well. The PVV considers the proposed measures to be totally inadequate. I think this is in line with the opinion of the CDA of the moment. The Minister assumes that jihadis respect these measures properly, but what if that is not the case? Even the anklet does not provide a solution for a jihadi who does not comply with an area ban and reporting obligation. An anklet can be cut off. The GPS signal may be gone if the batteries are not charged by the jihadi in training or not who wears the anklet. If someone breaks the measure, the Minister can say that this is a signal that action may have to be taken and that the violation of the measure is punishable, but the bird has of course been flying for a long time. And there you are with your protection of national security. The Minister gives an example of the ban. We believe that this ban applies, of course, to the whole of the Netherlands. Let's get that straight. This also concerns the overseas territories. Get out. The Minister's example imposes a ban on the territory for the duration of a particular event. That shows little realism. What does a jihadi do to make his attack in another area out of frustration, where he is allowed to come? The Minister says that the government does not accept this, but it has to, because the attacks in Brussels were also intended for Paris. Why isn't it at least decided on an area bid that the D.A. and the police are asking for? I'd like to hear a response. The PVV believes that no risk should be taken with these dangerous figures. No risk at all. The Minister must protect society as much as possible. In the explanatory memorandum, on page 3, the Minister uses great words. Let me give you a few examples. He talks about "Dutch sympathizers of jihadist groups," who "become (solitaire) attackers." He also referred to "measures needed to protect national security against, in particular, attacks on Dutch territory" and to the protection of "the fundamental rights and freedom of citizens"... "as in the extreme case the right to life." Such big words must be accompanied by firm measures. After all, the security of citizens and fundamental rights must not be allowed to continue. I'm just saying. These are real measures, measures that make the Netherlands really safer. Therefore, the PVV wants to make administrative detention legally possible. Not only the so-called returners, but also stopped out-of-travelers pose a threat to our national security. This is already apparent from the Threat Picture of Terrorism Netherlands (DTN). Following the example of Israel, where this is done very well, the Netherlands must be able to prevent people who can be associated with terrorist activities because of their behaviour. This concerns everyone who can pose a risk to national security in this respect. In the opinion of the PVV, it is the services that a potential terrorist should present to the Minister of the Interior for administrative detention. Sometimes that will happen in consultation with the D.A.'s office, but it doesn't necessarily have to be. The Minister then decides whether or not the person concerned is being detained preventively. The detention may then be extended by six months each. The judicial review is guaranteed by the fact that the person concerned can appeal directly to the court against the Minister's extension decision. In order not to waste precious time, and in the context of security, we have also taken into account in the proposal that the possible use of the appeal does not entail suspensive effect. By the way, this is entirely in line with the current Article 6.16 of the General Administrative Law Act, so there is nothing new under the sun at that point. The criminal investigation can, of course, continue. Furthermore, the aim is, of course, to denaturalise and eviction. I come to the criminal investigation and the difficult burden of proof. The PVV does not want any jihadi on Dutch soil; let that be clear. But for cases where someone has already returned to the Netherlands, the PVV wants to reverse the burden of proof. Let those who are already present here, thanks to the government, prove that they have only helped to cross older women, water plants or remedial teaching at one of the beautiful schools in the Islamic State or in other places where Islam is in charge or threatens to get it and fight for it. The recent report Destiny Syria of the Rotterdam Court has established that the defence that was not taken part in the armed struggle is no longer sustainable. The Rotterdam Court has also confirmed this in two judgments on 18 February this year, which conclude that whoever travels to ISIS area knowingly makes the choice to join a group that engages in terrorist activities and commits or intends to commit attacks in Europe. In practice this means that both male and female extravagants, armed or otherwise, participate in the struggle of, in this case, the Islamic State. I would like a response from the Minister, because we are considering tabling a motion on this point. As I have just said, one of the DTN reports shows that stopped out-of-travelers are also a threat to the Netherlands. That is one of the reasons why my group opposes the proposed exit ban, i.e. a ban on leaving the Schengen area. This is also reflected in our proposed amendment. If there is a well-founded suspicion that people will join a terrorist struggle group abroad, and usually that is an Islamic one, we prefer to see them leave, but in combination with the fact that they will never be able to put their feet on Dutch soil again. We must withdraw their Dutch identity, declare them undesirable, and above all we must re-establish the old-fashioned border controls. It's bizarre that we're gonna release bombs on them while they're getting trespassing here. Apart from this position of principle, the exit ban is not a very big deal either. The exit ban applies to the Schengen area, but why does it not apply to our own territory? The Minister indicated that this was not enforceable because of the lack of internal borders, but France and Germany did regulate this for their own territory. Do they have controls at internal borders? The Minister further indicated that enforcement of double-nationals is very difficult. In answering our questions, it became clear once again that most of the now well-known travellers have access to this; not to mention the SIS2 alert for viewers at home: the Schengen Information System 2.0. If a person's alert is already detected, the border guard is not even authorized to apprehend anyone. It's nice that this is being worked on at EU level, but it doesn't matter to anyone, because it's not about running a playground association. All this happens, while the Minister insists that the introduction of the legislative proposals, including the present one, is in a hurry. Finally. My group agrees, and only logically so, that an administrative body should be able to reject or withdraw an application for a grant, authorisation, exemption or recognition if the applicant can be associated with terrorist activities on the basis of his behaviour and there is a serious risk that the grant, authorisation and so on will be used for terrorist activities or for the preparation or support of such activities.
ParlaMint-NL_2016-04-28-tweedekamer-13.u4	Mr. Chairman. The Netherlands is at war with IS and it has to do with a huge threat of terror. It is therefore a good thing that we can finally discuss this bill in plenary. It's not common, but I'd like to start with a compliment. In a number of areas, the cabinet ignores the opinion of the Council of State. Legislation is not watered down and measures such as the ban and the obligation to notify remain in the proposal. My group supports the general thrust of this law, but we believe that the proposal does not go far enough in many areas. First of all, we are questioning temporaryity. It is very naive to assume that the terrorist threat will be over in five years' time. The proposal must enter into force indefinitely. In order to remove the temporary nature, we will support the amendment tabled by the CDA. I will continue with my question on the withdrawal of Dutch citizenship. Of course, joining a terrorist organisation can also take place in the Netherlands. Why does a person in such a situation lose his Dutch identity only if he or she is outside the Kingdom? I'd like a response from the Minister. This bill also seems to do little to organisations that offer scope for radicalisation. Last weekend we saw again a terror preacher who unhindered in a mosque in Boskoop proclaimed his poisonous message. How does this legislation contribute both to preventing violence preachers and to addressing organisations that facilitate these preachers of violence? Will the Minister be able to dissolve these organizations in the near future? I'd like a response. The Minister states each time that the immediate retention of recurring jihadists is the starting point. Can he tell us how often this actually happens and in what circumstances it does not happen? I'd like a response. Returning jihadists and potential terrorists must of course be detained immediately, but the minister still does not want to do so. In his view, administrative detention does not fit into the rule of law. Of course, that's total bullshit. Friends of democratic states such as the United States, Australia and the United Kingdom already have the possibility of pre-emptive detention of suspected terrorists. Within a six-month period, an administrative judge shall assess whether there is a need for renewal. Let us be honest: administrative detention is also the means needed here. Last week the AIVD warned that jihadists in the Netherlands are actively looking for weapons. We don't have time to waste. With only a ban on territory, a notification obligation and possibly an anklet, we do not face any concrete threat. We need to secure these people. Therefore, make administrative detention possible in the Netherlands. Why doesn't the cabinet choose to criminalise the stay in terrorist territory? That was the proposal of coalition party VVD, wasn't it? It's too complicated for the Minister of his own mind. Absurd to see! What is also incomprehensible is that the cabinet does not want to impose an exit ban from the Netherlands, but from the whole Schengen area. So how do we keep an eye on these dangerous people and prevent attacks from being prepared in other Schengen countries? I would like to hear a response from the Minister. Finally, the maximum sentence of up to one year in prison or a fine of the third category in this legislative proposal is totally inadequate. Why not opt for a much higher penalty limit, as in Germany? I'd like a response. We have seen in Brussels and Paris the enemy we are dealing with. A merciless enemy. Further tightening up of our legislation to combat these terrorists is urgently needed. We can't afford to be naive about this. This is about the safety of the Dutch people.
ParlaMint-NL_2016-04-28-tweedekamer-13.u5	Mr. Chairman. After the horrendous attacks in European capitals involving sometimes returned Syrians, there is, of course, a need to take preventive action before the evil happens. This is an essential task for the State: to guarantee the safety of people. But that must be done effectively. Last week we had a working breakfast with French parliamentarians. This was about terrorism. In addition to an arsenal of criminal measures, France also has all the administrative measures under discussion here today. The unilateral repression in France means that they want to learn from the Dutch preventive approach. We have that district agent in the heart of society, and a probation which has had years of experience in deradicalisation. But is the focus of Dutch policy with the introduction of these new administrative measures going in the French direction, which the French themselves say is not working? I'm here to talk about the bill. This serves two purposes: to protect national security by preventing terrorist crimes and to prevent participation in or support jihadism. D66 wholeheartedly supports these objectives, but we do have reservations about this law because of the far-reaching consequences of the freedom-limiting measures that the Minister can take. They are often referred to here as a notification obligation, a ban on contact, a ban on territory or a combination thereof, for example a ban on territory reinforced by a duty of reporting to the police to ensure that the person is not in the prohibited area. These far-reaching consequences give D66 cause for critical comments on four points: the urgent need for the law, proportionality, legal protection and effectiveness of the proposed measures. To begin with, is there an urgent need for this law? Can we not now take preventive action to prevent an attack? On the contrary. In recent years, the Code of Criminal Law has been amended and extended to a large number of areas. The list of terrorist offences in Article 83 of the Criminal Code has become much longer. A grasp of this brings you to the following things: to commit or threaten a bombing, to hostage, to participate in an organization with a terrorist purpose and prohibited possession of weapons. Not only do criminal offences of this type for the purpose of terrorism be subject to more severe penalties, but also to their preparation or facilitation are severely punished. This means that someone is already punishable, for example, if he rents a car for a planned attack or buys a phone to communicate with accomplices. The stroman who hires a warehouse to store weapons is also a criminal offence, because it facilitates the attack. It didn't stop there. Special measures have also been taken to increase the possibilities for the police and the judiciary to detect terrorist offences very early and then to intervene. For example, a suspect of a terrorist offence can be detained for up to two years before it has been convicted and without any serious objections to it. The police can also, without suspicion, carry out all kinds of far-reaching investigative acts on the basis of indications of terrorism. They can intervene deeply in the defendant's privacy. For example, the police may systematically observe and track the suspect person, or seek information about the person concerned from his bank or internet provider. The police can tap the phone and search the car, search the person, or even infiltrate a group of people a person belongs to, all as long as there is evidence that that group or person could commit a terrorist offence. Then you wonder, is there still a hole? In what cases does justice stand empty-handed? When can the police do nothing and when is there a reason to think that someone is planning an attack? The College of Attorney General has already asked the same question. According to the College, if criminal law cannot be applied, the requirement that the measure is necessary for the protection of national security may rarely or never be met. In other words, if that requirement is met, there will almost always be a terrorist offence. The Minister still does not mention a specific situation in the explanatory statement which was modified in response to that criticism. However, the Minister says that the measures may be imposed in particular on returners, on persons supporting terrorist activities, which may also be financial or on persons who are not or are no longer suspects. It's always about people who aren't under criminal investigation. It seems that the Minister's proposed administrative measures are intended to circumvent criminal law and the legal guarantees laid down therein. I would like to receive a response from the Minister. There's no other way. On the contrary, Germany has opted for criminal law. There, for example, the financing of terrorist activities has been punishable. Exodus is also qualified as a criminal preparatory act. Why didn't our minister choose to extend the criminal justice instruments, if that would be inadequate now?
ParlaMint-NL_2016-04-28-tweedekamer-13.u6	I'm a little surprised. A few weeks ago we had two debates here on the attacks in Brussels. I remember very well, in fact, I think it was with this interrupting microphone that the chairman of the D66 group made a heart-warming plea for the possibility of following one of the perpetrators of the attacks in Brussels, who had been deported to the Netherlands, reading his mobile and keeping an eye on him. He made a very warm plea for all such administrative measures, in order to avoid, above all, that these types of figures could be a danger to Dutch security. When I listen to my colleague Mr Swinkels at the moment, I hear that she has a completely different route in mind, and that said no good or good in this law at all. I would therefore like to ask: are you in favour of this law or not?
ParlaMint-NL_2016-04-28-tweedekamer-13.u7	Mr. Swinkels is only halfway there. The plea of my group chairman, myself and of D66 as a whole has always been: to combat terrorists as much as possible and to prevent terrorist crimes. It was therefore D66 who argued in favour of keeping the security services strong, because they must be able to do all the things that the group chairman mentioned and you have just quoted.
ParlaMint-NL_2016-04-28-tweedekamer-13.u8	My question was: Are you for or against this law?
ParlaMint-NL_2016-04-28-tweedekamer-13.u9	I have a number of critical questions for the Minister and there are also amendments. I'd like to wait for the debate before I reach my verdict.
ParlaMint-NL_2016-04-28-tweedekamer-13.u10	Does Mrs Swinkels not agree with the VVD and most of the parties in this house that this could be a useful addition to the criminal instruments she is talking about?
ParlaMint-NL_2016-04-28-tweedekamer-13.u11	For D66, it is important that measures are effective. I will now go on to say whether we believe these administrative measures are effective. I'll get to that in a minute. First of all, I would like to say something about the proportionality of the proposed measures. The restrictions on freedom may be imposed if necessary for the protection of national security and if the person concerned can be associated with or support terrorist activities. It can be associated with terrorist activities: that sounds very broad to me. It's a vague criterion. What kind of behavior are we talking about? A definition is missing, apparently to give the Minister some room for manoeuvre. But there are serious objections to this ambiguity. The Court of Justice, the NJCM and the College of Human Rights have already pointed out. Indeed, these restrictions of fundamental freedoms can only be permitted in a rule of law if there is a legal basis for them and if it is sufficiently foreseeable for citizens to know what behaviour is punishable. I therefore propose to clarify this by joining Article 83 of the Code of Criminal Law, which lists a whole list of terrorist offences, so that citizens as well as the courts have a little more guidance. I have tabled an amendment for a clearer definition.
