ParlaMint-NL_2016-03-08-eerstekamer-8.u1	We will continue with the first term from the side of the Chamber.
ParlaMint-NL_2016-03-08-eerstekamer-8.u2	Mr. Chairman. The Vice Presidents' Report was written by Juncker, in close collaboration with Tusk, Dijsselbloem, Draghi and Schulz. In this scripture of this gang of five, five self-appointed presidents, you can read how the Dutch people should be silenced and enslaved. We may vote for the European Parliament once every five years, but what will we vote for? Parliament can only say yes or no about pre-cooked legislative proposals from an unelected European Commission. The voter barely gets out of his seat to go to the ballot box to keep this political elite in the European saddle. The biggest nightmare of this elite is the growing support of the anti-EU parties, i.e. the populists, who do listen to the voters. These populists must be stopped at all costs. Something has been found on it; if you can't win the game, you change the rules of the game. In fact, the European Parliament, which is lame, has been given an instrument: the adaptation of the European electoral procedure. For lack of self-reflection, that is a gift from heaven. After all, the European Parliament has powers to reform its own elections. These powers have probably been given to them to keep up the appearance of democracy. Through these reforms, the European Parliament wants to influence the composition of candidates on the electoral lists and to send the final result by means of common constituencies and electoral thresholds. I can see the mood. In devious ways, EU-critical parties can be sidelined. Last year we saw how Front National and UKIP were sidelined by district systems. Apparently, this brings ideas to the European elite. They're panicking. They also have the courage to say that these reforms strengthen the democratic dimension of the European elections and increase the involvement of voters. However, the citizen is simply being cheated. Citizens may vote, but only as long as it fits into the EU project. I'll get back to the gang of five's report. After economic union and monetary union with which our guilder was taken away, political union awaits us. This political union must support monetary union, which is close to collapse. Very cleverly, the report does not describe the "transfer" of sovereignty, but rather the "sharing" of sovereignty with common institutions. How can a country share sovereignty? Sovereignty implies full control. Sharing sovereignty is total talk. The common public institutions would already be largely ready to take over these sovereign tasks. This means that a political coup is under way, so that unelected EU leaders will decide even more about our national budgets and our economic policies. Economic structures and social security systems would then be supposedly modernised. However, this has nothing to do with modernisation. We are simply going back to the totalitarian system of the GDR, where people believed in a centrally-managed, makeable society, where democracy was only difficult and the citizens became equally poor. Wages will be equalized and will therefore be reduced. Social security will be stripped, just like the citizen himself. And as if all of this were not enough, the EU, with Rutte II's cabinet in the wake, is opening its borders wide open, so that hopeless economic migrants march into Europe, encouraged by Chancellor Merkel, who grew up in the GDR. According to the President of the ECB, Mario Draghi, migration flows generate additional economic growth, as governments have to spend more. But what do they spend? They're spending taxpayers' money! It's true that all these migrants consume. They all have to eat, live and see a doctor. But who's gonna pay for all that? The present and past show that a large proportion of these migrants depend on benefits. And it keeps going on and on. With hundreds of thousands of people they enter, looking for the meat jars of North-West Europe, which are filled by working citizens. The retirement age of those working citizens is linked to life expectancy. Henk and Ingrid will have to buffle until they fall down. Every sane person understands that open borders and social security do not go hand in hand. Doesn't the government understand this or doesn't she want to get it? I would like to receive a response from the Minister. In the 2016 Budget, an estimate was made of 26,000 asylum seekers for this year. This estimate was misleading. Already on 16 September 2015, so even for the General Political Reviews in the Lower House, the Prime Minister was aware of a completely different forecast: 93.000 asylum seekers per year, for five years. In total, these are 465,000 economic refugees, all of whom are going to use our social and social facilities. My fellow senator Van Strien also raised this too low assessment at the General Reviews in November 2015. He was then hoarded away, knowing he was right. The Minister of Finance did not hesitate to keep the real figures under review, as did the Prime Minister. Would it be government policy? Is this the only thing that binds the coalition partners? I would like to know from the Minister what he calls it when things are kept under the hat in this way. Is this just "lie," is it "correctly informing the Chamber" or is there an orwellian euphemism for this too? The Prime Minister kept the figures under wraps because he sat with his fingers between the Turkish revolving door. The European Union has put its fate in the hands of the Turkish dictator Erdogan by making a dramatic bad agreement. The EU is going to pay EUR 3 billion to improve the living conditions of Syrian refugees in Turkey. If we run out of money, Europe will just pay up. So that's a carte blanche. How the Prime Minister can call this "good deal" is a complete mystery. If someone makes such a deal in business, they will be fired immediately. As if all this were not enough, the Prime Minister does not rule out such deals with Jordan and Lebanon. But, yes, perhaps there is a nice European job for him on the horizon. That could explain a few things. Can the Minister say whether a ceiling has been agreed for the EU contribution to Turkey on the agreement? I am talking about the agreement that was concluded in November 2015. I'd like to receive a response. This agreement will allow Turks to travel visa-free to EU Member States at least from October 2016. They can then get used to when Turkey becomes a member of the European family. The negotiations on Turkey's EU accession will also be restarted. Or did they never stop? With his cap in his hand, the Prime Minister can have lunch with the Turkish Prime Minister at the Catshuis. Then he was made a fool of by Erdogan on Turkish television, who said that the time could come for Turkey to open the gates to Europe for migrants. That will be something if Islamic Turkey actually joins the EU. Turkey has a rapidly growing population, which already knows almost 80 million people. Turkey can then just become the largest country in the European Union. I can tell you on a note that Erdogan really doesn't get any more modest. Either Erdogan opens the borders to Europe to millions of economic refugees from Islamic countries, or Europe has to allow 80 million Turks to travel visa-free Europe. The choice is: even more Islam or even more Islam. And, Mr. President, don't tell yourself there's such a thing as moderate Islam. To quote Erdogan once again: there is no moderate or non-moderate Islam, Islam is Islam and that is it. They are the words of an excellent expert in this matter. Or is Erdogan lying? I'd like a response from the Minister. Meanwhile, Turkey is ripping open the back door by diligently building a network of mosques. Mosques that Erdogan calls "our barracks" and believers "our soldiers." In the Netherlands, these mosques receive financial resources from the Turkish government via Diyanet. Diyanet pays and sends imams to mosques within the EU as of October 2016 visa-free or perhaps as of June this year. It is not difficult to imagine what message these imams are sent with, thinking of the saying "whose bread one eats, his word one speaks." These forward sent imams prepare the Islamic cause and will spread the bed for millions of Muslims on their way. Erdogan's plan is not to expand the EU with Turkey but to expand Turkey with the EU. Due to the lack of backbone and leadership of the European elite, the restoration of the great Ottoman Empire is simply thrown into the Turkish lap. It is therefore not surprising that the unruly EU cracks in its joints. The German government expects 3.6 million migrants by 2020. That's over half a million fortune seekers a year. This year alone, 110,000 migrants have arrived in Europe in two months. Because of the lack of European direction, there are some national parliaments that are taking control of themselves. They see the disruptive effects of these migrants' tsunami. fences are being built, certain population groups are being banned and daily quotas are being set for asylum applications. Hungarian Prime Minister Viktor Orbán even wants to hear the voice of the Hungarian people through a referendum on the European plan for the distribution of refugees between Member States.
ParlaMint-NL_2016-03-08-eerstekamer-8.u3	I thought I was gonna take it in a nutshell: because of a lack of European direction. What does Mrs Faber mean by that and what should that direction have been like in her opinion?
ParlaMint-NL_2016-03-08-eerstekamer-8.u4	By lack of direction, I mean lack of leadership. 'Cause they're not doing anything. They're scared. They're afraid to take any steps. They're on Erdogan's leash. They put our fate in his hands. He's smiling like hell. First, the Turks come with a request for 3 billion. Now they're talking about 6 billion. First it was about visa-free travel from October and now it's about June. So it's just being stretched very slowly and we're not afraid to say no.
ParlaMint-NL_2016-03-08-eerstekamer-8.u5	You say that there is bad negotiation, but those negotiations do precede something, namely that you take a common position. Do I hear you say that the latter should happen?
ParlaMint-NL_2016-03-08-eerstekamer-8.u6	No, you do not hear me say that, because the PVV has nothing with the European Union in its present form. You can already see that Europe is cracking. The countries that still have leaders simply see that things are not going well and that they need to do something. Mr. Chairman. I'm rounding up. The PVV says enough is enough. The EU is a failure. Even the original objective, namely economic cooperation, is undermined by the unmanageable flow of migrants that is disrupting the whole of the EU. The European elite is not in a position to put things right. The Rutte cabinet talks, talks and talks and goes blind after the EU and shudders for Erdogan. We've got to move the helm around. It is time we put the importance of the Netherlands back on top. It is time for us to think from our own strength and take matters into our own hands. We should not be afraid of threats that if we leave the EU, the lights will go out. Thanks to the geographical location of the Netherlands, our innovation and our desire to work, we are the gateway of the world to Europe and we will continue to be so. The light really goes out when we walk along the leash of the gang of five and then let ourselves be delivered to the scourge of Islam. Only then will we really get lost in the dark.
ParlaMint-NL_2016-03-08-eerstekamer-8.u7	Mr. Chairman. "This is the first time in my conscious experience of European cooperation that I think: it could really end." That's what our Dutch top European Frans Timmermans said last November. And it was the first time in my conscious experience that I heard him speak of Europe so distressedly. After all, we know him as a cheerful French, as friendly and as optimistic, especially when it comes to Europe. But French clearly has the blues. Europe hasn't had much luck lately either. Do you remember, Mr President, that we were in Brussels a few weeks ago for the Stability Economic Coordination and Governance Conference, formerly known as the Article 13 conference, where you were a hostess but where fellow host Martin Schulz showed such a heavy spirit on behalf of the European Parliament? The direct cause for his gloomy speech that evening was the conversation he had earlier that day with Cameron about an approaching Brexit or at least the negotiations to prevent that. It gave a slightly uncomfortable feeling at the start of an otherwise successful conference under the Dutch Presidency, partly led by colleague and D66 spokesperson Backer. But Schulz wasn't just in his pessimistic view. If the first Vice-President of the European Commission fears that European cooperation can really end, then that will be well founded. After all, he must be able to know it and is also appointed to prevent it. But what exactly is the great fear? Is the EU still on the euro? Yesterday's newspaper picked up the grexit scenario again. Or does it touch on macroeconomic imbalances? Is it the EU's beaches that are at risk if we do not take the Five Presidents' Report sufficiently seriously and we do not accept its recommendations? Or is it perhaps due to the external security risks at our European external borders? Is it due to the extra flow of refugees from Syria partly due to our bombs, on top of the flow of simply desperate refugees for economic misery in the world? Or is it rather the internal security risks arising from terrorism? Is it perhaps due to the policy response to all these security risks, the piece by piece closure of our internal borders and the mortification of Schengen or the aborting of return or of security measures with fundamental values in Europe such as democracy, the rule of law and human rights? Is the growth of nationalism, xenophobia and extremism in various forms threatening Europe at its core? Or is a possible Brexit endangering European peace? Or does the Dutch Ukraine referendum plunge us into a continental crisis that will destabilise Europe, as the President of the European Commission Juncker tells us? Following Commissioner Timmermans, Europe is in a "perfect storm." In the news analyses of this perfect storm you will usually find the Brexit, the refugee crisis, the ever dormant euro crisis and the threatening grexit and security risks as the four riders of the approaching Apocalypse. These are also themes where extra summits are organized around which our ministers and sometimes heads of government have broken their heads until deep into the evening or night. Is it not cynical that thousands of refugees had already drowned before we started talking about a top-level refugee crisis, that it was only Chefsache when refugees had found a route through Greece on a large scale to Western Europe and not when large numbers of refugees in southern Italy had been washed up before, that the first thing to do was to close internal borders and the next threat of higher economic costs before perhaps let us hope for a common solution? I would like to hear the Minister's views on this. In terms of internal security, there is even moderate cooperation. I read in the newspapers mainly about how different Member States, and even their own High Representative of the Union for Foreign Affairs and Security Policy, were listening to each other, and perhaps still do. With such distrust, a genuine common foreign and security policy is still a long way away. The Member States mainly go their own way and one goes beyond the other. What is the Minister's assessment of the development of security risks within the European Union? Have the security risks been in or out of Paris? Will spot checks on internal borders help internal security? What does the Minister think of the extension of the emergency situation in France? How does he view Amnesty International's criticism of the frequent violation of human rights in France in this regard? Would he want to sacrifice human rights in the Netherlands in the interests of greater collective security? Or do the terrorists who have it on our Western values not actually win a little bit? How much state of law, democracy and human rights can be sacrificed in the interests of security within Europe? If internal security is primarily the territory of Member States themselves, to what extent are the protection of the rule of law, democracy and human rights vis-à-vis internal security a European domain? What exactly is our real European constitution, our Bill of Rights, the European Treaty on Human Rights, the ECHR? How does the Minister assess the pursuit of an authoritarian state by Viktor Orbán in Hungary, and any copying of it in Poland? And how does he assess, more generally, the state of the rule of law, democracy, freedom of association and, above all, the freedom of the press in the European Member States that joined in 2004? What does he think of the grip of oligarchs on many of these countries? On the external security of Europe and on European foreign and security policy, this Chamber has a detailed discussion in its planning. In relation to the extremely topical refugee crisis, I still have some urgent questions. Can we look away from Turkish violence against the Kurds, against the rule of law and against freedom of the press, if we also urgently need Turkey to keep refugees outside Europe? The day after the decision of the PvdA to join the international coalition that is also allowed to bomb Syria, there was a cartoon in the newspaper with a sky full of bombs towards Syria and a sea full of boats with refugees in the other direction. The next day there was a big headline in the newspaper: The Netherlands wants to send refugees back to Turkey by returning ferry. The Samsom plan was born. Apparently not the bombs are the problem, but the refugees. It's not about whether or not they find a safe one; it's about whether or not they want to stay there. If Turkey can arrange that, we will look the other way if Turkey is not targeting IS, but especially the Kurds in Syria, and in the meantime taking out some other internal opposition. What's the next change? Further steps in the negotiations on Turkish accession to the EU? Does the Minister know what was promised to Turkey last night? Senator Knapen mentioned the tension between enlargement and integration of the European Union. With so many problems within the current borders of the EU, including the rule of law, corruption, democracy and human rights, would it be wise to consider enlargement of the EU, whether in the short term or in the longer term, especially in those countries where it is much worse in these areas than in Europe?
ParlaMint-NL_2016-03-08-eerstekamer-8.u8	Is Mr Elzinga going to speak about Frontex and the strengthening of the external borders, or is this the end of the matter?
ParlaMint-NL_2016-03-08-eerstekamer-8.u9	I'm not talking specifically about Frontex.
ParlaMint-NL_2016-03-08-eerstekamer-8.u10	In this context, I would like to ask him a question, because in fact he is setting out a moral dilemma: should you make agreements with a Turkish regime while human rights are being violated? You're doing this because there's a humanitarian disaster going on in Europe. Mr Elzinga does not answer the question, but he asks the question. It is also a difficult moral dilemma, but I also have a moral dilemma. A motion has been tabled across the street to strengthen Frontex. One of Mr Elzinga's fellow party members indicated that the operative part was extremely sympathetic, but the motion could not be supported because there was a transfer of sovereignty to the Frontex committee. Since then, a few weeks ago, there has been a letter from the Minister explaining questions from GroenLinks about what the meaning and interpretation of this is. There is also an opinion from the International Affairs Advisory Council. With a clear council decision, this could indeed be legitimised. Does Mr Elzinga still think that, in this ethical dilemma, it should not be chosen to make money available for this purpose?
ParlaMint-NL_2016-03-08-eerstekamer-8.u11	Mr Backer asks if I would still like that. I did not deal with that motion in that debate. We come to an independent assessment. We do not have so many policy debates with the government on this either. It depends on the motivation and the way in which it is presented, but then it may be justified. Mr Backer spoke about all the moral dilemmas in the debate on refugees. However, I wonder at first what we are doing to tackle the refugee problem at source. Many of our interventions in the region where it is now restless have a counterproductive effect rather than the intended effect. That was certainly the case in the past, but that is also the case now. After all, the throwing of bombs on Syria, however good it may be intended to do so, is mainly the result of many new refugees. The international community has an obligation to treat refugees who come to Europe on the basis of the asylum treaty in a decent manner. We shouldn't be cramped trying to keep everyone out. That doesn't change the fact that if you lift internal borders, you have to guard the external borders.
