ParlaMint-NL_2016-04-20-tweedekamer-4.u1	I welcome the Minister of Security and Justice.
ParlaMint-NL_2016-04-20-tweedekamer-4.u2	Mr. Chairman. During the general consultation on police yesterday, the Minister confessed that it was actually his boy dream to become a firefighter. I have three motions, and they go, to please him, all about the fire department. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there are concerns among firefighters about "sustainable" ejection, with no more standard TS6 ejectation in the event of appropriate incidents;]] [[noting that variable vehicle occupancy experiments are carried out without any clear evidence of an equivalent level of fire service and without prejudice to the safety of residents and firefighters;]] [[calls on the Government to prohibit the continuation of these variable vehicle occupation experiments before considering the impact on the safety of firefighters and residents,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that many responsibilities for fire services have been invested in the security regions;]] [[whereas 72% of council members do not know that the direction of security policy lies with municipalities;]] [[noting that the control of the security regions is in the hands of several municipalities;]] [[noting that there are serious concerns about the performance of some security regions, such as Gooi and Vechtstreek and Zeeland;]] [[calls on the Government to come forward with proposals on how the Minister can intervene when security regions are not functioning properly,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that a survey carried out by EenVandaag shows great dissatisfaction among firefighters and that the number of volunteers is decreasing;]] [[noting that it was previously promised that a large-scale independent investigation would be carried out among firefighters but that this had not been carried out;]] [[noting that it is not clear whether the standards for basic fire protection are being met;]] [[calls on the Government to ensure that an independent investigation is carried out this time and to produce results by this autumn at the latest,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member Kooiman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30821-28]] [[This motion has been proposed by the Member Kooiman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30821-29]] [[This motion has been put forward by Mr Kooiman and Mr Swinkels. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30821-30]]
ParlaMint-NL_2016-04-20-tweedekamer-4.u3	There will be another motion from the VVD group on the rescue brigades. I support that motion, but I will leave it to Mrs Tellegen to explain it herself.
ParlaMint-NL_2016-04-20-tweedekamer-4.u4	Fine. Then I can immediately invite Mrs Tellegen to act as the second speaker.
ParlaMint-NL_2016-04-20-tweedekamer-4.u5	Mr. Chairman. Honestly, I didn't say anything about this during the AA. However, last week there were reports that I think fit perfectly in a general discussion on national security. That report was about the Dutch rescue brigade, which has been providing assistance on Dutch waters in emergencies for many years in our country. Last week it became clear that the funding of this Dutch rescue brigade is not complete from 2017. I know that the Minister is not strictly speaking about this and that this is a matter for the security regions, but as a Member of Parliament I find it difficult to hold the security regions to account from here. I would therefore like to call on the Minister to ensure that this funding is made available, as there is no other organisation in the Netherlands that can provide this care in this way, with 5,000 volunteers in our country. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the emergency fleet of the Dutch Rescue Brigade plays a crucial role in water disasters and crisis management;]] [[Whereas the financing of the emergency fleet of the Rescue Brigade Netherlands for 2017 and thereafter is not regulated;]] [[Whereas there is no other organisation capable of shaping disaster and crisis aid in Dutch waters in this way;]] [[calls on the Government, before the end of May 2016, to urge the Security Council and the Security Regions to put an end to the administrative deadlock and to find a solution to the future financing of the Dutch Rescue Brigade calamity fleet in such a way that it can continue to play its role in the provision of water relief in the event of disasters and crisis,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Tellegen and Mr Kooiman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30821-31]]
ParlaMint-NL_2016-04-20-tweedekamer-4.u6	Mr. Chairman. During the AO there was another whining point on which I would come back. I'd like to do it this way. Ensuring the security of our citizens is one of the most important tasks of the government. The security regions are working hard on this. During the last AO we asked for attention to be given to the proper organisation of the Dutch National Intelligence Organisation (LMO) including the development of the national ICT system. When establishing the LMO, all safety disciplines, red, white and blue, must be equally represented. There must be multi-governance. The Minister has indicated that it is already well arranged. However, we are still getting signals from the regions showing that not everyone has that perception. This is not likely to happen to us either, just because of the enormous complexity in consultation forms. It also stands out that blue dominates rather. We are very alert to this problem because we really want to make a success of the integrated security approach, as intended after the calamities in Enschede and Volendam. I therefore ask the Minister to inform the Chamber immediately after his next consultation with the Security Council of how they can jointly shape the multi-governance.
ParlaMint-NL_2016-04-20-tweedekamer-4.u7	This will put an end to the Chamber's input. I see the Minister can answer immediately.
ParlaMint-NL_2016-04-20-tweedekamer-4.u8	Mr. Chairman. I would like to thank Members for the questions and the motions that have been tabled. I would also like to thank them for a very constructive general discussion on an important subject which is indeed complicated but in the right way. The system is the responsibility of the Minister for Security and Justice. A large part of the security tasks are carried out by the security regions, because they can organise and thus guarantee the safety of our inhabitants close to the people. In reply to Mr Brouwer's question, I would like to say that I am willing to report on the state of play in the forthcoming progress report. There is a lot of discussion at the moment about the organisation of the National Command Room. So I can live up to the commitment to meet Mr Brouwer on this point. I'm here to talk about the motions. In the Kooiman motion in part No. 28 the government is asked to prohibit experiments. I happen to have had quite extensive consultations on this with all the unions this week. It was a very constructive consultation in which it was very clear. Experience is being gained with Customised Excerpt, special equipment on the basis of a four-person occupation, and with the rapid intervention vehicles (SIV) operating with two persons. The unions and firefighters in themselves have no objection to this, but it must be done in a careful way. The inspection shall ensure that this is done. So that does not need to be investigated. Those experiments are running. They shall be carefully carried out. There is therefore no need for this motion. That's why I'm dissuading her. But know that this point has my particular attention. During the general consultation I promised that I would consult with the unions. The same discussion took place. It has been agreed that this will be repeated once a year. In the Kooiman motion in part No. 29 the government is asked if it would like to review the agreed system. There's no reason to do that. The security regions operate perfectly in the current system. There is good consultation with the so-called Security Council. As part of my system of responsibility, I am talking to them about this. I therefore advise against this motion.
ParlaMint-NL_2016-04-20-tweedekamer-4.u9	Proceed with the next motion.
ParlaMint-NL_2016-04-20-tweedekamer-4.u10	I come to the Kooiman/Swinkels motion in part No. 30. I see to it that research is carried out by the security regions. I have talked extensively about this with them and the unions. One of the thoughts that I put on the table is that the representatives of the unions and, for example, of the trade association Fire Weather Volunteers are involved in a steering or sounding board group. In this way they monitor the questions and the way in which the research is carried out. I have also indicated that the WODC is willing to carry out a validation of the research system in my assignment. Then, of course, the investigation is carried out by the Security Council. That is what I am doing on the first part of the motion, but it is important that we have a carefully independent investigation. The second part of the motion may well be getting in the way of that, because I do not rule out the fact that this research will be carried out a little longer than until autumn. If Mrs Kooiman is prepared to change the words 'take care' to 'contribute to it', that commitment is already there and if she amends the last part of that sentence, I can leave the judgment to the Chamber. That is different when Mrs Kooiman says that the investigation must and will come in the autumn. "Viewing Erop" implies that I can add a follow-up to that. Of course, I cannot do that, because it is really an investigation that the security regions themselves are doing. If Mrs Kooiman were to turn it into "calls on the government to promote an independent investigation and inform the Chamber about the results," I could live entirely with the motion and leave the judgment to the Chamber.
ParlaMint-NL_2016-04-20-tweedekamer-4.u11	I'd like to change the operative part that way. The reason why I tabled the motion is that this was actually promised last time and that it was not carried out at the time. I can see the willingness of this minister. He can also, of course, consider taking over the motion.
