ParlaMint-NL_2016-06-23-tweedekamer-8.u1	I see that Mrs Siderius is not yet here, but I see that Mr Jasper van Dijk is replacing her.
ParlaMint-NL_2016-06-23-tweedekamer-8.u2	This is a misunderstanding. The SP will waive its speaking time.
ParlaMint-NL_2016-06-23-tweedekamer-8.u3	The SP was the applicant for the VSO.
ParlaMint-NL_2016-06-23-tweedekamer-8.u4	The SP was indeed the applicant, but the VVD also wanted this VSO.
ParlaMint-NL_2016-06-23-tweedekamer-8.u5	I'll give you the floor.
ParlaMint-NL_2016-06-23-tweedekamer-8.u6	Mr. Chairman. It is precisely now that the robotisation and the fourth technological revolution need to focus more on continuing education and training that is important to the widest possible range of courses and courses. Private providers should not be hindered by false competition from publicly funded educational institutions. The note "Lightness in the funding of higher education" does not provide sufficient clarity for this. That's why I'm filing the next two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas funded educational institutions are excluded from the functioning of the Market and Government Act;]] [[Whereas the evaluation of the Market and Government Act shows that additional efforts should be made to prevent market disruption by funded educational institutions;]] [[noting that by removing the exception for the private activities of funded educational institutions, they will be subject to the functioning of the Market and Government Act and can be prevented from distorting the market;]] [[calls on the Government to examine whether in the Market and Government Act the concept of "costed educational institutions" can be replaced by "costed educational activities" and to inform the Court of Justice of this before Princess Day,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the review of the Market and Government Act shows that more attention is needed to prevent unfair competition by funded educational institutions and advises the evaluation committee to do so through sector-specific regulation;]] [[whereas the Authority for Consumer and Market (ACM) specialises in ensuring a level playing field and preventing unfair competition;]] [[Whereas the Education Inspectorate has full control over the quality of education, quality assurance and financial robustness of educational institutions;]] [[calls on the government, in the enhanced note Brightness, to explicitly invest in the ACM in the supervision of market effects of activities by funded educational institutions,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member Lucas. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28753-40]] [[This motion has been proposed by the Member Lucas. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28753-41]]
ParlaMint-NL_2016-06-23-tweedekamer-8.u7	We'll wait for the motions to be distributed.
ParlaMint-NL_2016-06-23-tweedekamer-8.u8	The Minister has the floor.
ParlaMint-NL_2016-06-23-tweedekamer-8.u9	Mr. Chairman. In the motion in part No. 40 member Lucas is asked to examine whether the term "costed educational institutions" could be replaced by "costed educational activities." I advise against this motion. Mr Kamp recently reviewed the Market and Government Act. The reaction was sent to the Chamber on 3 June. The policy response of the Minister for Economic Affairs shows that there is sufficient sector-specific regulation applicable to all educational institutions. I therefore believe that the motion is neither necessary nor undesirable. Following the inspection report "Private activities of funded educational institutions" and my policy response of 13 August 2015, I am investigating a clarification and/or tightening of the sector-specific rules. I will discuss the findings in consultation with all relevant educational sectors, including non-cost education. However, we do not need to change this with an investigation in relation to the Market and Government Act. If there were no such exception, only a very limited part of the educational institutions would be covered by the Market and Government Act. After Mr Kamp's good evaluation, I think it is wise to follow his line. This line applies not only to education but also to all government authorities, i.e. all public institutions, including education.
ParlaMint-NL_2016-06-23-tweedekamer-8.u10	The same assessment also shows that additional efforts should be made to prevent market disruption. This is explicitly mentioned in the evaluation. This would be a very simple but very nice opportunity to do so. We can then say that the activities financed are still excluded, but the private activities of the same institutions are no longer excluded. In this way, I believe you will ensure that attention is still paid to the task, but that the whole institution is no longer excluded if the same institution also carries out private activities.
ParlaMint-NL_2016-06-23-tweedekamer-8.u11	That is why I am investigating clarification and tightening up of sector-specific rules. It is then very doubtful whether this is the most desirable way, because it does throw away the starting point of the Market and Government Act. The same applies to municipalities and provinces. They're basically excluded. I attach great importance to that clarity. So I don't want to interfere with that either. That's why I keep dissuading the motion.
ParlaMint-NL_2016-06-23-tweedekamer-8.u12	I think it would be a good thing if the Minister were to look at the possibilities, she would take this opportunity because it is a very elegant solution. So I'm maintaining my motion.
ParlaMint-NL_2016-06-23-tweedekamer-8.u13	Mrs Lucas' second motion asks the government to explicitly invest in the ACM in the enhanced note Brightness on the supervision of market effects of activities by funded educational institutions. I advise against this motion because there is already independent supervision by the ACM and the Education Inspectorate. If an educational institution with non-cost activities distorts the market and thus infringes the Competition Act, then the ACM can intervene. Action can then be taken either on its own initiative or in response to complaints. I know that's what the ACM does in education. The Education Inspectorate oversees the public tasks for which institutions receive funding and these tasks are not covered by the Competition Act but by the sectoral rules. Here too, the evaluation of the Market and Government Act confirms this position of education. I do not wish to interfere with the clarity of where the market has to work and where the inspection has to do its work, because I fear that otherwise it will lead to shadowiness and grey areas, which I would like to avoid at all times.
