ParlaMint-NL_2016-09-29-tweedekamer-8.u1	We shall continue with the second term of this debate.
ParlaMint-NL_2016-09-29-tweedekamer-8.u2	Mr. Chairman. I have two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the personal budget (pgb) is a full alternative to in-kind care;]] [[Whereas limited research has shown that municipalities have not identified grounds for refusal, but are also unable to use grounds for refusal in a sense of non-flavour;]] [[calls on the Government to ensure that no restrictions on pgb are imposed by municipalities;]] [[also invites the Government, on the basis of additional research, including the client perspective, to consider the use of grounds for refusal in the support programme,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that under the old system of payment of the pgb, less than 1% of the files were checked for fraud;]] [[noting that this was one of the reasons for the introduction of the drawing right;]] [[calls on the government to go back to the old way of working until there is a proven automated drawing right system and to use the funds now spent on keeping an operating system in the air for fraud teams on the old system,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Agema, Mr Dik-Faber, Mr Keijzer, Mr Voortman, Mr Bergkamp, Mr Leijten and Mr Van der Staaij.]] [[She's getting No. kst-25657-263]] [[This motion has been tabled by Mr Agema. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-25657-264]]
ParlaMint-NL_2016-09-29-tweedekamer-8.u3	The debate we have had this morning is also coming to an end. The letter received from the Secretary of State on 23 September speaks volumes. I fear that from 1 November the system will be completely wiped out. Then we'll talk again.
ParlaMint-NL_2016-09-29-tweedekamer-8.u4	Mr. Chairman. The Secretary of State gave a lot of answers in the first term. They weren't all that sharp. In order to avoid a misunderstanding here about the plans the Secretary of State wants to come up with next month, I would like to make the following very clear. Is there going to be a proposal next month that includes all aspects, including management? Or is there just a proposal to build a portal? If that were the case, it would be contrary to the Potters/Van Dijk motion and would also be contrary to the commitment given to me by the Secretary of State in the first term. I would like to hear a clear answer from the Secretary of State on this point.
ParlaMint-NL_2016-09-29-tweedekamer-8.u5	I believe that the Secretary of State has said four times that this would be included in the proposal he is presenting to us. Mr Potters is now asking the Secretary of State to say that for the fifth time. Mr Potters felt that this debate should be held this week. Is he satisfied with the results of the debate we have now had?
ParlaMint-NL_2016-09-29-tweedekamer-8.u6	I am satisfied with a number of points. We know that there is now a clear plan before 1 November, in addition to the answer I still get from the Secretary of State, which contains a number of very important ingredients. We have clarity that probably on 1 January 2018 that new system can work. The Secretary of State has also made a clear commitment that there will be no such chaos as on 1 January 2015. He says: yes, I have it under control and I take management measures if necessary. These are the answers that I believe everyone and all the pgb-holders are waiting for. They've been waiting a long time for that. It is not a day too late for us to have had a debate on this. I am very pleased that we have now received these answers in this debate.
ParlaMint-NL_2016-09-29-tweedekamer-8.u7	These answers have already been given by the Secretary of State in the previous debate on the pgb. Or does Mr Potters consider that the Secretary of State did not do that right at the time? It's two-and-a-half. Either the Secretary of State did not give a good answer in previous debates and he did not respond well to Mr Potters in those debates. If that is the case, then Mr Potters should have said so. Or the things he's asking for now have been promised before. If that is the case, should Mr Potters simply admit that this debate might have been better in three weeks' time when the proposal is presented?
ParlaMint-NL_2016-09-29-tweedekamer-8.u8	I do not think we need to be under any illusions: we will just have another debate about this in a month's time. I think that's very good, too. We'll all keep our finger on the wrist. What's the status of the pgb draw? The commitments made following that motion of 1 October have not yet been implemented by the State Secretary. I clearly said in the first term that I am disappointed. There is now a very hard deadline on November 1st. The Secretary of State has made it abundantly clear that he is going to comply with it. After 1 November, we are going to have a debate again.
ParlaMint-NL_2016-09-29-tweedekamer-8.u9	I agree with what Mrs Voortman van GroenLinks said. I'd like to advise the VVD. Such a debate request again creates a great deal of unrest and uncertainty among budget holders. This debate might as well have taken place in a month's time, looking at the proceeds and the course of events. I would therefore like to give the VVD: be critical, also with the expressions. This again causes questions for the budget holders about decisions. We have not been able to make those decisions today. We'll take it in a month. So perhaps it is not so much a question but rather a comment towards the VVD to really look at that critically.
ParlaMint-NL_2016-09-29-tweedekamer-8.u10	Mrs Bergkamp and I differ on that point. We have received some very clear answers. That's something the pgb holders have been waiting for for a long time. Those answers are there. We don't have an implementation plan yet. I know. But there will be. I am glad that we have had the debate. All of us want to give that clarity as soon as possible. There have been some very clear answers. I would like to thank the Secretary of State for that.
ParlaMint-NL_2016-09-29-tweedekamer-8.u11	The VVD wanted a plan and clarity before the summer. They didn't come. Then she wanted a plan and clarity before October 1st. That wasn't possible. What will the VVD do if we don't have a plan in November?
