ParlaMint-NL_2016-01-14-tweedekamer-4.u1	I would like to welcome the Minister for Security and Justice.
ParlaMint-NL_2016-01-14-tweedekamer-4.u2	Mr. Chairman. This is the first debate we can hold as a new President under your leadership. I would like to congratulate you from this place on your appointment. It was a fine battle with Mrs Van Toorenburg; I really enjoyed the debate yesterday. That's what I wanted to say. Today we're going to deal with something else. This law provides that in the event of a violent crime, a drug test can be carried out to check whether the violent attacker has used alcohol or drugs at the time of the violent crime. A suspect will soon have to cooperate in this investigation, which will show whether or not the accused committed the violent crime under the influence of alcohol or drugs. If that is the case, then this could be a penalty aggravating circumstance. I can tell you that the SP is very critical of this bill. This law is also an effect of the Marcouch motion. We always follow Mr Marcouch very critically, he knows that too, and we do so in particular with this motion. Although this motion has never been formally adopted by the Chamber, it is elaborated in this bill. I would therefore like to propose to the Minister that a motion which has not been adopted be drawn up more often, preferably a motion from our group. I thought it was a very special effect, but what does this motion actually say?
ParlaMint-NL_2016-01-14-tweedekamer-4.u3	However, I would like to record that it is not a question of a motion not adopted, but of a motion being held. We always do that here when the Minister makes promises that do justice to the content of a motion. It's a motion held and not a motion not adopted.
ParlaMint-NL_2016-01-14-tweedekamer-4.u4	I think it is quite right for Mr Marcouch to point this out. There was indeed a commitment, but I wanted to call on the Minister to work out more often SP motions in a law. This motion calls on the government to include the use of alcohol and drugs in acts of violence as an independent element in increasing sanctions. I do remember that we had to think carefully about our assessment of this motion. If this motion had been put to the vote, we would probably have voted against this motion. The SP has many doubts about the usefulness, feasibility and feasibility of this motion, including this law. I will address these questions in my contribution and it is possible that the Minister will take these questions away. When you commit a violent crime under the influence of alcohol or drugs, this government says, that's so bad that you can get a higher sentence. I often walk with the police and understand where this thought comes from. Many violent crimes are indeed committed under the influence of means, but the question is whether a higher sentence is necessary or desirable because you are on drugs or alcohol. We have had to think very carefully about this. According to the cabinet, it's worse if you commit a crime with alcohol or drugs on than if you commit a crime if you're sane and sober. Is a crime that you commit in your right mind and sober than less serious? In addition, addiction often plays a greater role. Being addicted to alcohol and drugs is a psychiatric disorder. These people are often ill and need treatment and guidance as well as punishment for a crime. I've gone over the bill thoroughly, but I'm missing that element. We think that you should also look at the underlying thought and treatment of these sick people. I would like to receive a response from the Minister. The investigation of the substance can only be initiated if the investigating officer suspects that the accused committed the offence under the influence of alcohol or drugs. That's pretty suggestive, I think. How exactly does the Minister intend to do this? Whether someone has used alcohol or drugs is not always easy to recognise. Let me give you a few examples. A diabetic with a hypo can look like someone who's drunk. Someone who's always very hyperactive doesn't necessarily wear speed or cocaine. When you ask people if they know someone with a cocaine addiction, they often don't know it, because cocaine addiction isn't always easy to recognize. The point I want to make is that resource use has a different influence and effect on everyone. Are search officers sufficiently trained in identifying the use of resources? The Impact Analysis Alcohol Registration for Violent Crimes, which was attached to this law, rightly points to the fact that not every agent is currently certified to take a breath analysis. So we need to train cops to recognize it, but in addition, taking a breath analysis is a matter of concern. What's the Minister gonna do about it? The expert group has also examined a number of interesting issues, for example that chronic users of drugs become aggressive if they do not use it. Well, that's contrary to this bill. Medicines can also affect behaviour; about which later more. It is a pity that the expert group has not looked into this further. The expert group rightly points out that amphetamine and methamphetamine may also have been prescribed by a doctor, for example in the treatment of narcolepsy, obesity or ADHD. If a suspect swallows this medication on prescription from a doctor, doesn't it count as a penalty-aggravating circumstance? The Dutch Association for Justice and the Council for Justice point to a very important point. The courts can already take account of the possible use of resources in criminal investigations. So why don't we leave it to the judge to assess when there's a penalty aggravating circumstance? If you now lay this down by law, it does not necessarily take into account the fact that one reacts more violently to drink or drugs than the other. The Public Prosecutor's Office therefore advises that, contrary to what this law provides, the penalty should not be increased in the directive, so that the Public Prosecutor's Office retains the freedom to consider on a case-by-case basis whether the penalty is proportionate or not. Why doesn't the Minister take over the judgment of the Public Prosecutor? I found the government's observation that this has a preventive effect rather special. I had to chew on that. What if a boy goes to a dance festival? He wants to take an xtc pill, but he doesn't do it because he thinks: I'm about to commit a violent crime with an xtc pill and I'm dealing with a penalty-aggravating circumstance. I don't think that's how it works. Apparently, the Minister thinks so. I'd like to hear from him how he got this prophecy. The SP isn't just negative. I said I'm having trouble with this law, but I also see possibilities for this law. It would also be crazy if we were only negative, because the SP also advocated a blood test in 2011 in the event of a serious crime. At that time, however, it was not just about research into alcohol or drugs, but about research into drug use. The Dutch Committee on Human Rights already indicated in 2003 that in many cases of aggression a drug test should be carried out by default. This has to do with the side effects of medicines in particular. For more than twenty years, scientific literature has been focusing on the possible relationship between the use of antidepressants and aggression in particular. The Adverse Reaction Centre Lareb also concluded this in 2014 based on received reports and indicated in an alert that aggression is an adverse reaction that may occur with the use of antidepressants. In the meantime, this is also included in most of the package leaflets. When I went to look up more about this theme, I also stumbled upon a very interesting article in the Dutch Lawyers' Magazine. I happen to know that the Minister reads this magazine regularly, because he has often put this forward as a Member of Parliament. So maybe he knows this article. It describes that, in a number of court cases, judges encountered the question of whether there has been drug use, for example, antidepressants, and whether their side effects have indeed led to aggressive behaviour or more aggressiveness. If there were any use of medication, the lawyer advised in the piece to make it possible to take blood samples shortly after the crime, so that there would be more clarity about the use of medicine. In view of these considerations, I think it is desirable not only to look at alcohol and drugs, but also at medication. I'd like to get a reaction to this. Now I will deal with the workload and the costs that this entails with the NFI and the police. First of all, I'm going into the NFI. In the explanatory memorandum, the government states literally that the workload of the NFI is not increasing, as the service level agreement is not being adjusted. In our written input, we asked about the concealing language of the Minister. What does the Minister mean by that? The Minister states that he agrees with the SP that the investigator can only suspect that there is alcohol and drug use if a bladder test or blood test reveals this. NFI's running the blood work. The Minister writes in the answers that the NFI must indeed do so, but that the workload is not that bad. I quote the Minister again: 'It does have the consequence that if the maximum annual number of blood tests for the determination of alcohol consumption agreed with the NFI in the framework letter of the NFI has been reached, the police, if they suspect a combined use, will have to return to the further examination for the determination of alcohol consumption'. If I sum this up, this means they're out of luck once the quota is reached by the police. Then the blood analysis will no longer take place and all they can do is retrace breath analysis. This law is then worthless and can be fought in the trash can. Where does the Minister get the cover for this law anyway? The minister always says to the SP: this is another uncovered check. But there's not even a check here. The NFI doesn't get any money at all. I'm not really finished, because the police have a problem in this respect. Impact analysis Alcohol registration in cases of violence states that only the breath test taken by the police can cost almost 2.1 million. This is only about alcohol consumption. In addition, the Basic Provision Enforcement (BVH) is a very complex computer system. Ask police officers about the BVH and they're "not amused," so to speak. After yesterday's debate, of course, I cannot say 'not amused', but the police officers are not satisfied with this registration system. It's really disastrous. There are also problems with ICT in the police, and there should also be additional money. If the BVH, the registration system, also needs to be adapted and it is already a gang, where does the minister get the money and how? When I read the explanatory statement again, I saw that it also states that the introduction of the resource test will be accompanied by a comprehensive information campaign. Then I got very curious, because what exactly does that mean? Can the Minister answer questions like: how, when and how much it will cost? Finally, and finally, the SP is critical and has many doubts about the law and its social usefulness. I cannot, by definition, answer positively the question of whether the Netherlands is going to be safer. I certainly see opportunities for doing something good, for example the reduction of drug use when it comes to medicine and its effects. But I am certainly not convinced that we should vote in favour of this law. I will therefore listen carefully to the input of my colleagues and certainly also to the Minister's answers.
ParlaMint-NL_2016-01-14-tweedekamer-4.u5	We are talking about a bill aimed at defending victims of serious violence offences. We want to see the punishment felt by the perpetrators. What value does Mrs Kooiman attach to the opinion of the expert group led by the NFI that excessive use of alcohol or drugs over a promille in the case of alcohol is promoting aggression?
ParlaMint-NL_2016-01-14-tweedekamer-4.u6	I read the impact analysis carefully. The expert group also indicates that some people who are so addicted also suffer aggression if they do not use alcohol or drugs. This also applies, for example, to the use of medicines. Looking at the victims, it is important to prevent people from slipping up again and more victims in the Netherlands. That's what we need to look at. I am not convinced that an increase in punishment automatically leads to a safer society. On the contrary, we need to look carefully at how to ensure that people do not go wrong again. To this end, for example, we need to look at compulsory treatment. In my opinion, this law does not always do justice to the victims and make the Netherlands safer. Once again, I will listen carefully to Mr Van Oosten's input, but I am not yet fully convinced.
ParlaMint-NL_2016-01-14-tweedekamer-4.u7	We may not find each other in increased penalties, but if Mrs Kooiman has the ambition with me to do something to prevent new victims, I think that is another added value in this law. I am curious to know what she thinks about the fact that, through research into whether there has been alcohol or drug use in the game, you can then offer tailor-made solutions. For example, the judge can impose as a special condition that someone has to rehab. I think that's valuable, because that's how you avoid recidivism and victims.
ParlaMint-NL_2016-01-14-tweedekamer-4.u8	Mr Van Oosten is well aware of my doubts, because I have two thoughts. I do not think it should necessarily always lead to a penalty increase. What the state's attorney's office says about that, I think it's really useful: you need to see what's proportional. To impose a special condition, for example the mandatory rehab, has added value, because this will prevent people from going back wrong. So that's what I'm struggling with. I see that Mr Van Oosten may have something in store, or at least that is what he is suggesting. I can't wait to see what he's gonna come up with.
ParlaMint-NL_2016-01-14-tweedekamer-4.u9	I am trying to follow Mr Kooiman's criticism. She also notes that every weekend the police gets violence in the nightlife for them from people who are under the influence of alcohol and drugs. The law provides for people to be called upon to assume their responsibilities with regard to the use of such means. The law then gives the police the power to objectively establish with a test that there is drug and alcohol use which makes the explosion of violence the way it is. Mr Kooiman can't be against us dealing with that, can he?
ParlaMint-NL_2016-01-14-tweedekamer-4.u10	Mr Marcouch spoke on three issues. I agree that the police are running into that and that it's a nuisance. But a younger person doesn't think: I don't drink beer, because if I become aggressive, you don't know about alcohol, then that means a penalty increase in effect. I don't think that's gonna happen. In fact, I've struggled very hard with the following. Let's say you're doing the same crime soberly, with your sanity. Is that not so bad? You can almost say the opposite: it is worse if you do this in your right mind. That's what I'm struggling with. Nor do I expect that a penalty increase will always lead to a reduction in the number of repeats, and that is the objective that we all want to achieve.
ParlaMint-NL_2016-01-14-tweedekamer-4.u11	If we were to follow Mrs Kooiman's reasoning, we might have to abolish the Code of Criminal Law, because there are indeed people who have fallen into the same mistake over and over again. This does not relieve us of the obligation to set a standard and thus to indicate what we consider acceptable and what we do not. How does Mrs Kooiman feel about the fact that, for example, alcohol controls are being carried out in traffic, even proactively? Then people are also found who, despite the campaigns and the heavy penalties, are behind the wheel with booze. That doesn't mean we won't do that, does it?
