ParlaMint-NL_2016-07-07-tweedekamer-57.u1	I give the floor to the first speaker, Mrs Koşer Kaya.
ParlaMint-NL_2016-07-07-tweedekamer-57.u2	Mr. Chairman. I have two motions. The contents speak for themselves, so I will immediately recite them. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that legislation sometimes clashes in different areas and hampers the effectiveness of debt relief;]] [[considers that the effectiveness and sustainability of debt relief should be guiding;]] [[calls on the Government, together with municipalities, to identify policies and legislation that conflict with debt relief and to inform the Court as soon as possible of how these bottlenecks can be overcome;]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there is no indication of the exact extent of the inflow, flow and outflow of the debt relief system;]] [[Whereas there is no visibility of the results of and expenditure on debt relief;]] [[noting that this does not allow accountability for the efficiency and effectiveness of debt relief;]] [[calls on the Government, before the end of 2016, to identify the exact amount of inflow, flow and outflow of the debt relief system, and to inform the Court of Justice of the results and expenditure,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Koşer Kaya, Mr Voortman and Mr Schouten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-361]] [[This motion was tabled by Mr Koşer Kaya and Mr Karabulut. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-362]]
ParlaMint-NL_2016-07-07-tweedekamer-57.u3	I will not table a motion on thresholds for municipalities in allocating debt relief. In fact, the Secretary of State has expressly stated that it will take this forward and resolve the problem. If that's possible as soon as possible, I thank her.
ParlaMint-NL_2016-07-07-tweedekamer-57.u4	Mr. Chairman. I have three motions. I'll read them to you soon. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the WRR has scientifically established that many of the current interventions, practices and information campaigns in debt relief and financial education are not at all effective;]] [[noting that the WRR recommends further research into the effectiveness of financial education, if it also addresses non-cognitive factors such as motivation and belief in its own abilities;]] [[noting that the Ministry of SZW is providing grants for the development of new interventions, practices and information campaigns, with no evaluation of their effectiveness;]] [[considers that the use of ineffective interventions, practices and information campaigns is a waste of Community money;]] [[believes that taxpayers' money should be spent efficiently and effectively;]] [[calls on the Government to undertake further research into what is necessary to make financial education more effective;]] [[calls on the Government to make it conditional, when granting grants to projects to develop new interventions, practices and information campaigns, on their being evaluated for effectiveness within the project,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Moors. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-363]]
ParlaMint-NL_2016-07-07-tweedekamer-57.u5	I'm gonna read them to you real quick. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the WRR has scientifically established that many of the current interventions, practices and information campaigns in debt relief and financial education are not effective;]] [[considers that the use of ineffective interventions, practices and information campaigns is a waste of Community money;]] [[believes that taxpayers' money should be spent efficiently and effectively;]] [[calls on the government, municipalities and municipalities to stop interventions, practices and information campaigns that have been shown to be ineffective;]] [[calls on the Government to stop offering methods for financial education offered from the Empire and which have been demonstrated to be ineffective,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that more and more municipalities are taking initiatives to take over and remit debts from debtors;]] [[whereas this sends out the signal that debt-making does not have any consequences because it does take over;]] [[Whereas, therefore, these initiatives do not have a lasting effect on debt but are merely a symptom response;]] [[considers that the budgets for debt relief should be used effectively;]] [[calls on the government to stop municipalities from using Community money effectively by taking over and disposing of debts,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Moors. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-364]] [[This motion has been tabled by Mr Moors. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-365]]
ParlaMint-NL_2016-07-07-tweedekamer-57.u6	Mr. Chairman. Four motions in two minutes, that should work. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the government to allow effective debt relief pilots to enable municipalities such as Amsterdam, The Hague and Leiden to take over debts from their residents at the CJIB in order to handle them themselves;]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there are considerable differences between municipalities in terms of aid and support for children in poverty;]] [[calls on the Government to ensure that each municipality offers a minimum provision in the form of a child package:]] [[basic necessities such as roof, gas, light and water, and sufficient food;]] [[adequate clothing;]] [[possibility of exercising;]] [[access to culture,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to ensure access to debt relief for all and to promote the use of debt relief and poverty schemes for working poor people,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas, at the request of the Government, the Economic and Social Council and the Social and Cultural Planning Bureau should provide advice on reducing the number of children in poverty by the end of 2016;]] [[calls on the Government, in view of the urgency of the problem, to base the investigation on the most recent available data,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Karabulut, Mr Yücel, Mr Voortman, Mr Schouten and Mr Koşer Kaya.]] [[She's getting No. kst-24515-366]] [[This motion has been proposed by Mr Karabulut. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-367]] [[This motion was tabled by Mr Karabulut, Mr Voortman and Mr Schouten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-368]] [[This motion was tabled by Mr Karabulut and Mr Koşer Kaya. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-369]]
ParlaMint-NL_2016-07-07-tweedekamer-57.u7	Mr. Chairman. I'll file the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that more and more municipalities have taken up the development of child packages in a good way;]] [[Whereas the transfer of poverty from generation to generation should be avoided;]] [[Whereas each child should be able to participate in activities at school, sports and games in order to stimulate the development of children and promote equal opportunities;]] [[Calls on the Government to join forces with nationwide organisations such as the Youth Sports Fund, the Youth Culture Fund, the Teaching Money Foundation, the Jarige Job Foundation and VNG to support children in families with poverty with integrated and wider child packages in accordance with the advice of the Children's Ombudsman;]] [[calls on the Government also to encourage municipalities to adopt this integrated approach so that more children in poverty are better achieved, and to inform the Chamber on the implementation of the plan in time for the SZW budget in autumn 2016,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Yücel. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-370]]
ParlaMint-NL_2016-07-07-tweedekamer-57.u8	Mr. Chairman. I'm filing one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Predominantly warns, among others, Nibud of poverty among earners;]] [[Whereas, in the past, work has been a way out of poverty;]] [[Calls on the Government to carry out (s) research into increasing working poverty, in particular among earners, and their causes, and to send this study to the Court for the 2017 budget treatment Social Affairs and Employment,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Schouten and Mr Karabulut. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-371]]
ParlaMint-NL_2016-07-07-tweedekamer-57.u9	I know the Secretary of State has said she will ask the ESC. I've looked at what kind of research that is, and I think it's about child poverty. Okay, another investigation. Suppose the ESC says it can't do it, then we still insist that research is carried out on this. Hence this motion. Should the Secretary of State be able to place it with the ESC, it can also be done via this route. At least I want to be sure it's gonna happen. If we are not going to talk about this until the autumn, we will no longer be able to include these results in the SZW budget.
ParlaMint-NL_2016-07-07-tweedekamer-57.u10	Madam President. I'll file the following motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas consumers are lured by credits and periodic payment arrangements, the interest rate of which is extremely high, up to 15%;]] [[Whereas in the Decision credit reimbursement, last amended on 1 July 2006, the highest permitted effective annual credit reimbursement rate is 12 percentage points above the current legal interest rate;]] [[Calls on the Secretary of State for SZW to consult with its Finance colleagues with a view to considering whether it is possible to review the Decision on short-term credit compensation by significantly reducing the authorised storage on current legal interest rates,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, in accordance with the opinion of the National Ombudsman, the citizen's perspective should be made more central to poverty and debt policy;]] [[Whereas municipal debt relief should be accessible to people with a need for assistance at a low threshold;]] [[Whereas, in practice, municipalities deal differently with the payment of aid questions and the admission policy to municipal debt relief;]] [[calls on the Government to ensure that minimum access requirements for municipal debt relief are identical in all municipalities,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-372]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24515-373]]
ParlaMint-NL_2016-07-07-tweedekamer-57.u11	Mr. Chairman. Once again, I would like to thank the Members for the motions that have been tabled, which I shall soon pass by. I shall begin with the Koşer Kaya c.s motion. in piece No. 361, which states that laws and regulations sometimes clash and are not consistent. It is being asked whether the government can limit itself to that. Of course, I've taken a lot of colliding laws in my head. Experienced bottlenecks in legislation can often be solved within the scope it offers for customisation. I therefore advise against this motion. I think this is superfluous because we are constantly looking at this type of thing and do not need a complete overview of it. The Koşer Kaya/Karabulut motion in part No. 362 deals with the effectiveness of debt relief. I also advise against this motion. I told the Chamber that we are working with the various local authorities to make agreements on how things can be improved, including within municipalities. That really is the policy freedom of municipalities themselves. We support municipalities and have made additional funds available, namely 7.5 million. That's a pleasant hand to congregations, I think.
