ParlaMint-NL_2016-01-14-tweedekamer-8.u1	Speaking time shall be two minutes per political group, including motions for resolutions.
ParlaMint-NL_2016-01-14-tweedekamer-8.u2	Mr. Chairman. We are discussing the Indian issue again today. The past few months have been very exciting in this area. That, of course, had to do with the decision of the Cabinet, supported by the Chamber, to settle the back-pay issue. This is a real milestone, but we have seen that the Indian question is not entirely resolved. A further step is necessary. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the backpay scheme only partially resolves the Indian issue;]] [[noting that tens of thousands of people who have experienced the war in India are excluded from the payback scheme;]] [[Considering that the financial compensation to gypsies and Jews was substantially higher in the case of "the Gebaar" than in the case of Indian war victims;]] [[points out that in order to settle the debt of honour towards the Indian community, it is desirable to make a final financial gesture to the group outside the backpay scheme and have suffered material damage as a result of the complete loss of assets,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Gerven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-20454-119]]
ParlaMint-NL_2016-01-14-tweedekamer-8.u3	Mr Öztürk, you have one minute's speaking time, including the tabling of motions.
ParlaMint-NL_2016-01-14-tweedekamer-8.u4	Small parties do indeed only have one minute's speaking time. That is why without an introduction I must read the motions very quickly. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that no financial compensation has been provided in the so-called Indian case for backpay and material war damage for 70 years;]] [[noting that the Secretary of State now grants a small sub-group of 1,100 persons €25,000 per person to compensate for late salaries;]] [[Whereas these are ancient people;]] [[calls on the Government to continue to look at ways of providing compensation to the remaining group of about 50,000 people in order to resolve the Indian issue overall,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that no financial compensation has been provided in the so-called Indian case for backpay and material war damage for 70 years;]] [[Considering that the Secretary of State now grants a small sub-group of 1,100 persons €25,000 per person to compensate for late salaries;]] [[calls on the government to consider the compensation of the 1,100 people only as closure of the issue of "deteriorated salaries" and not as closure of the overall Indian issue,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Öztürk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-20454-120]] [[This motion was tabled by Mr Öztürk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-20454-121]]
ParlaMint-NL_2016-01-14-tweedekamer-8.u5	Mr. Chairman. At the end of 2015, as far as my group is concerned, a very good step was taken on the Indian issue. In consultation with the Indian Platform, the Secretary of State managed to achieve a nice financial compensation. This long-awaited and hoped financial compensation is a major step in recognising the suffering suffered. We congratulated the Secretary of State for this and these compliments also apply to the Indian Platform, which has made an important contribution to this. As far as my group is concerned, it is a bit of a pity that we are now standing here. The Secretary of State has presented a wonderful plan and he has also made many promises, including in relation to my question to pay more attention to Indian history in education. The Secretary of State has promised to discuss this with his colleague from OCW. Anyway, we are standing here now and I still have a question about the arrangement. Just before this VAO I received an e-mail stating that several right holders have now been reached with the backpay payment, but that the embassies in the United States, Indonesia and Brazil are not aware of this. I'd like to hear from the Secretary of State how that can be done and how he's going to fix it.
ParlaMint-NL_2016-01-14-tweedekamer-8.u6	Mrs Dijkstra was the last speaker. I shall suspend briefly because the Secretary of State does not yet have the second motion.
ParlaMint-NL_2016-01-14-tweedekamer-8.u7	Mr. Chairman. I will give a brief explanation of the motions tabled after the debate in which we discussed the history of the Indian issue and the discussions that have taken place on this issue. We noted in the debate that a comprehensive solution, in which we look at the overall problem, would not lead to a satisfactory solution for both sides. At the request of the Chamber, I considered whether, in consultation with the Indian Platform, we could come up with a solution to what was called the backpay issue. I'm glad I reached that agreement with the Indian Platform. I believe that we have also noted in the debate that it is good to turn the page now, with respect for and recognition of the feelings that will undoubtedly not end with this arrangement. Just with respect for the feelings of the future, I think it would be a good idea to turn a page in history now. For that reason, I would like to discourage the motions. We've come where we are now. We have found that it is wise to look forward now. We must indeed try to further anchor our history with the Dutch East Indies in education, and to anchor the specific Indian commemorations, reunions and patches for the Indian community in society as well as possible. However, we should not start talking again and be expecting us to get beyond the point we have now reached. For that reason, I would like to make the motions, both those in part No. Mr Van Gerven (Commission); Mr Van Gerven; Mr Van Gerven; Mr Van Gerven; Mr Van Gerven; Mr Van Gerven; Mr Van Gerven; Mr Van Gerven; Mr Van Gerven; Mr Van Gerven; Mr Van Gerven; Mr Van Gerven; Mr Van Gerven; Mr Van Gerven; Mr Van Gerven; Mr Van Gerven; Mr Van Gerven; Mr Van Gerven; Mr Van Gerven; Mr Van Gerven; Mr Van Gerven; Mr Van Gerven; Mr Van Gerven; Mr Van Gerven; Mr Van
ParlaMint-NL_2016-01-14-tweedekamer-8.u8	In his letter to the Indische Platform, the Secretary of State wrote that "this is my words" is another step, but that the book is not completely closed. A very important chapter has been closed and an important page has been changed, but the book cannot be definitively closed. The issue of backpay has been resolved, but not the discussion of material damage. I'm sure there's still...
ParlaMint-NL_2016-01-14-tweedekamer-8.u9	What's your question?
ParlaMint-NL_2016-01-14-tweedekamer-8.u10	The question is whether the Secretary of State sees the possibility of reopening the discussion with the Indian Platform in this area.
ParlaMint-NL_2016-01-14-tweedekamer-8.u11	After turning the page and looking forward, I would like, together with the Dutch-Indian community, to focus on the question of how we are going to shape the anchoring in education. How do we ensure that as people are older and no longer able to tell new generations about history, there is a permanent place for those who want to commemorate the past? There are still many possibilities to give a place to the recognition of what happened in the war, as far as I am concerned, a much firmer place. However, let us close this chapter, also taking into account the feelings that have been living in the Dutch-Indian community for a long time and which we should not burden unnecessarily. With respect and recognition for what has happened to them, I think it is good to take this step now, and in the meantime to work with them to anchor history in Dutch society. That's the next page. Let's make sure we work very hard on that.
ParlaMint-NL_2016-01-14-tweedekamer-8.u12	I spoke of the "final financial gesture" towards the tens of thousands of people who have not been compensated for in the Secretary of State's proposal. Is it not unjust that the 2001 gesture towards Jewish victims and gypsies was more generous? Isn't that one of the reasons why the Indian community is still frustrated? Isn't that a good point?
ParlaMint-NL_2016-01-14-tweedekamer-8.u13	You can never make up for the past. The feelings that live in the Dutch-Indian community of course also have to do with the recognition of the many sufferings they have suffered. I would like to focus on the fact that there is now a settlement on the back-pay issue. It is precisely the recognition of what has happened and its anchoring in history that is the most important thing. There have been discussions in the past about financial compensation. I also understand that it is not enough for some people and that feelings continue to live. That is why it is so important to turn that page after this discussion and to work together on that anchoring in Dutch society in the future. I think it's really wise to do that. I would therefore like to stick to my explanation of the motion.
ParlaMint-NL_2016-01-14-tweedekamer-8.u14	If the Secretary of State says he has a solution for 1,100 people and if he turns the page with it, I can say: okay, he did his best. With this, however, he leaves about 48,900 people in the cold. There has been injustice and you think that with that 27 million euro...
ParlaMint-NL_2016-01-14-tweedekamer-8.u15	Through the chairman.
ParlaMint-NL_2016-01-14-tweedekamer-8.u16	Yes, through the chairman, the new chairman, the new president.
ParlaMint-NL_2016-01-14-tweedekamer-8.u17	And now the question.
ParlaMint-NL_2016-01-14-tweedekamer-8.u18	And now the question. How could the Secretary of State think he could turn a page on the whole Indian grief by solving the problems for 1,100 people?
ParlaMint-NL_2016-01-14-tweedekamer-8.u19	Literally and figuratively, no solution we come up with can compensate for the suffering and memories of these people. That is why it is so important that we have looked together at what we can and what we cannot solve financially. And then let us look at the other ways in which we can shape the recognition, remembrance and remembrance of the suffering of these people. I am very aware of the fact that everything we invent can never compensate for what these people have been through. We can do something about the backpay. Together with the community, I want to see how we can make that recognition and anchoring happen. That seems to me to be a much better way than to look back and realize that we are never going to get any further and that we will never be able to meet the legitimate feelings of suffering and recognition that will remain there. We will have to try to work as well as possible towards the future and to process this as a society.
ParlaMint-NL_2016-01-14-tweedekamer-8.u20	Finally.
ParlaMint-NL_2016-01-14-tweedekamer-8.u21	The problem is that the Secretary of State is already closing the door for future Cabinets and future colleagues of his. The PvdA, which does not speak today and does not table a motion, will allow a lot of people to go into pain in the coming years. It can't be, can it? The Secretary of State may say that he has done his best, but in the future another cabinet or another executive may find that financial resources. Why does the Secretary of State rule out that way for those people? That's the painful part.
