ParlaMint-NL_2016-02-18-tweedekamer-23.u1	I see Mr Omtzigt standing at the interrupting microphone.
ParlaMint-NL_2016-02-18-tweedekamer-23.u2	Mr. Chairman. I have a point of order. In the course of the work, the SP asked the government to send the documents made public under the WED to the Chamber. I have added that I would also like to have the correspondence between the Dutch Government and the European Commission. The government says we don't. We simply asked the government to take a decision on the basis of Article 68 of the Constitution. That is the legal right of the Chamber. The Minister may then also give access to a part of it confidentially. If it's in the interests of the State, he can choose not to. However, the government has not opted for Article 68 of the Constitution, but for the WOB. We're not journalists. We're MPs. My question to the government is whether it intends to make these documents available to the Chamber immediately. We can then start this debate in 15 minutes. We then arrange the disclosure on the basis of the rules we have here between parliament and government.
ParlaMint-NL_2016-02-18-tweedekamer-23.u3	What are you proposing, in concrete terms, apart from the point of view of confidentiality?
ParlaMint-NL_2016-02-18-tweedekamer-23.u4	I want the government to decide on the documents requested on the basis of the rules that exist between government and parliament. Those rules should be maintained as President and are set out in Article 68 of the Constitution. Now the WOB has been tested and the government has said, for example, that we do not release personal policy ideas. That is not a ground for refusal in Article 68. However, it may be a basis for making the documents confidential for inspection; that is up to the government. I call on the Government, on the basis of the Constitution, to take a decision to send these documents here or not.
ParlaMint-NL_2016-02-18-tweedekamer-23.u5	I understand, but we also have a debate now. In fact, you want those documents before the debate.
ParlaMint-NL_2016-02-18-tweedekamer-23.u6	Yeah, that's why I requested an extra settlement. You asked me to make the request here. I would have done it an hour earlier. I'll just say this to my colleagues. However, I also understand why an additional regulation was not possible.
ParlaMint-NL_2016-02-18-tweedekamer-23.u7	The government must respond to requests from MPs. That seems to me to be the affair. I do not support the request to start the debate later.
ParlaMint-NL_2016-02-18-tweedekamer-23.u8	As far as I am concerned, we can also start the debate now.
ParlaMint-NL_2016-02-18-tweedekamer-23.u9	I'll support the request. In almost all the wobbled pieces, parts have been wiped away. I just can't imagine that all those scraped out pieces are personal policy ideas. Even if they were, they would also be part of the discussion. We must base our opinion on this in order to have a proper debate here.
ParlaMint-NL_2016-02-18-tweedekamer-23.u10	I'm also looking at the other spokesmen.
ParlaMint-NL_2016-02-18-tweedekamer-23.u11	I said this afternoon in the order of business that I do not want any confidential information at all. I think we can put the questions to the Minister in a moment and we can start the debate.
ParlaMint-NL_2016-02-18-tweedekamer-23.u12	Can the Minister respond briefly?
ParlaMint-NL_2016-02-18-tweedekamer-23.u13	I thought you were in a procedural debate where...
ParlaMint-NL_2016-02-18-tweedekamer-23.u14	Well, a majority agrees that written information should be provided. I understood that the proposal to start the debate is not a majority.
ParlaMint-NL_2016-02-18-tweedekamer-23.u15	If you count the seats, there is a majority who would like to start the debate. I would ask you, as President of the Chamber, to find a way of enabling the government to bring these documents here as soon as possible so that they can be involved in the debate. In this way, after this debate, we do not need to start another procedure on how to deal with it. The information has also been requested for this purpose. Again, Article 68 of the Constitution does not have the exception for personal policy views, but it does have the possibility of a partial confidential interpretation. In the speech it will soon become clear why this is important in order to understand what has happened on two points. First of all... Was there State aid? Has that been discussed? Second. Why has no advice been requested from the Council of State? That is in those documents, or at least I can see the body language of the Minister who can be in it. Of course, we don't know that. I wish I knew, because then I would not have to say it so firmly; the Minister is right again. But for this reason, we would have liked to have seen these documents.
ParlaMint-NL_2016-02-18-tweedekamer-23.u16	You're asking me for a response, too. The discussion on Rule 68 comes back every time, not only here but also in other debates. That's what I'm talking about, including those involved in government. But I'm also looking at a practical solution for tonight. The debate is scheduled. I'm gonna ask the Minister if he can respond briefly.
ParlaMint-NL_2016-02-18-tweedekamer-23.u17	Mr. Chairman. Mr Omtzigt mentioned two types of documents. He mentioned the change between the Dutch Government and the Commission on this subject. In addition, the fixed policy line, which I cannot and do not want to deviate from, is that it would really harm the interests of the Dutch State if we had to release it in future. Then the European Commission would no longer want to have informal and early contact with the Dutch Government and representatives of the departments. That would really hurt us in our contacts. That's a firm line of action. The second point concerns a WOB request about all internal mails between Tax Department employees and employees of other departments of the Ministry with the Tax Administration on the tax treatment of coco's. I have big problems with that, because I think I should protect the officials. I am open to the political decisions that have been made. Has there been any talk of State aid risks? Sure. Has there been talk of a balance between debt and equity? Sure. Has it been discussed whether this should only apply to banks and insurers or to all companies in the Netherlands? Sure. But other than that, I'm really gonna stand in front of my officials. I'm approachable. If people think that mistakes have been made, they must have me. Let us not try to make internal, official e-mail changes part of that.
ParlaMint-NL_2016-02-18-tweedekamer-23.u18	Then I suggest that we proceed with the debate. Speaking time is four minutes. The number of interruptions is up to three, and then in two. Then that's what we agreed.
ParlaMint-NL_2016-02-18-tweedekamer-23.u19	Mr. Chairman. It is good to discuss the exchange of information, the wobbling and Article 68, but I think it is also important to have the debate now. I'll start with that. The debate is named after the message that banks contributed to the law on coco's. GroenLinks' group does not find it strange that the Dutch Association of Banks is consulted in a legislative process that concerns the banks. That is what we do with the environmental movement when it comes to environmental legislation. This, of course, also generally yields 350 million for the environment as quickly as 350 million for the banks, so nothing is really going on. What we are wondering is whether the Minister has also contributed or left it entirely to the banks. That's a question. The term "coco" means contingent convertible bond. That sounds exotic, and it is. It has converted the name of a bond, a debt loan that can be converted in case of problems, and then suddenly it has become equity. It's changing shape. Very creative. It's so exotic that the AFM advises people not to invest in it unless they really know. The deductibility of those coco's is because the banks wanted it. Not the cabinet had asked for this, not society, not small and medium-sized enterprises because of lending, not the citizens, but our large banks. In that the NRC was a bit right: the bank asks and the minister turns. The coco is intended to strengthen the capital position of banks. In this way it can be done in a relatively advantageous way, which doesn't hurt banks too much. After all, it is a risky investment, on which a high coupon rate is paid, but you can subtract it again, so that saves a lot. The minister writes that if the coco had not been there, the banks would have withheld more profits or issued more shares. My question to the Minister is whether it was necessary to hand out this gift to the banks. The most important question that arises here concerns the way in which this whole process is carried out. In this respect, I must say that there is no reference to substantive considerations in the information provided by the government. The most important letter, dated 16 December 2013 from Secretary of State Weekers, one and a half sides, I read in several ways, but it doesn't say anything, except that it's actually a technical change, let's take care of it; we'll do that as soon as possible and then we'll be done with it. A substantive policy weighting has indeed been made. In the opinion of the Group of the Greens/European Free Alliance, this is something that should also be transparent for the Chamber. If there is a clear discussion within the department and with the European Commission and the banking sector about a State aid risk, I think it is only logical and a good use that the Minister also reports to the Chamber. He may make his calculations, but he must report it. The fact that it is then hidden in a financial collectible law and that it has been decided and passed that it should not go beyond the Council of State is, in that light, even more agitated. Had it passed by the Council of State, we would at least have been informed about this risk. The Council of State would have put its finger on it. Nor have we been informed of the budgetary consequences. No matter how you turn it, there's gonna be $350 million in it. I would like to know from the Minister whether the coco's were equally popular before that time and whether the 350 million was spent at that time. I have the distinct impression that it isn't. I fear that in this way the work of a Member of Parliament, certainly one of the opposition, will become something that holds the balance between that of a scribe and a detective. That's not what the Chamber's for. The Minister may make his assessment, but he reports it to the Chamber so that we can have an insight into it and decide whether we want to discuss it seriously with the Minister. I'm disappointed in this. That is the central criticism of the Group of the Greens/European Free Alliance. This is not the way the Minister should deal with this Chamber. I would very much like the Minister to take that up. I would also very much like the Minister to promise some improvement in his attitude on that point.
ParlaMint-NL_2016-02-18-tweedekamer-23.u20	That's a flaming argument from GroenLinks. This proposal was treated by the Chamber as a hammer piece at the time. I wonder whether Mr Grashoff, or one of his fellow party members, also read the answers to the questions raised on this proposal at the time.
ParlaMint-NL_2016-02-18-tweedekamer-23.u21	I think that's a very good question. It's okay to ask if we've been sleeping. If Mrs De Vries asked me this outside this Chamber, I would honestly tell her that I think we should be more alert in future. Of course, it's a little weird. It's kind of weird that we need to be trackers in the central information system. In the initial letter dated 16 December 2013, the Secretary of State for Finance, Weekers, put all signals on the green. It would be nothing more than a technical change. It was also treated this way throughout the whole further approach. That is at the heart of my criticism.
ParlaMint-NL_2016-02-18-tweedekamer-23.u22	Mr Grashoff remains with his flaming speech, but he has indeed been taking a nap. If he had read the note following the report, he could have seen that there were budgetary consequences, that they were compensated again because it was unusual and that it was EUR 350 million. Now he says, "It was a tracker game." But it was just in the papers under the Tax Collection Act. I think he's blowing very high off the tower towards the minister. I wonder if he shouldn't have been more careful in the work he should have done himself.
ParlaMint-NL_2016-02-18-tweedekamer-23.u23	I would like to stick to the point that I have already made: Members of Parliament should not become trackers. The information to the Chamber must be complete from the outset. And the method, the use of a tax collecting law which by its nature is purely technical in nature for something that clearly requires a policy-based consideration, was not common. It is not customary not to send such a thing to the Council of State. The Minister deliberately made that choice. I can't say otherwise.
ParlaMint-NL_2016-02-18-tweedekamer-23.u24	I understand that this should have passed the Council of State, but the Minister agrees with you. The PvdA Group also believes that all this could have been done a bit bigger, so I admit that. But the fact that we were put in front of the facts and that it was hidden, I find wrong qualifications. We've just had legal treatment in the Chamber. The Group of the Greens/European Free Alliance did not make any contribution to this at the time. Because that is a fraction of only four people, I can understand that, although it was quite interesting because it was also about CO emissions from passenger cars. Moreover, it was a response to a motion by Mr Van Ojik, so it was probably relevant to see what the government would do with it. So I understand it all, but if your group didn't even hammer this issue, didn't make a contribution at the time and didn't even sign up for the debate, would it not be entirely reasonable to judge it so harshly?
ParlaMint-NL_2016-02-18-tweedekamer-23.u25	In this contribution, I have deliberately tried to separate these aspects very well. In response to the interruption of the VVD, I have already said that we can also look at ourselves and, of course, be more careful. I'd like to say that. However, it is not appropriate to choose this procedure for such a legislative proposal. That is and will continue to be our criticism, and that criticism is serious. A ruler isn't supposed to do it like that.
ParlaMint-NL_2016-02-18-tweedekamer-23.u26	You keep blowing pretty high off the tower. I myself made the most extensive contribution at the time, because I knew it was big money and an important law. I then weighed the answers and then decided to agree. If you had read the answers to my questions, would you have decided otherwise? Or would your group have voted differently? He has agreed to the law.
ParlaMint-NL_2016-02-18-tweedekamer-23.u27	I think so.
ParlaMint-NL_2016-02-18-tweedekamer-23.u28	Then you've really been sleeping, haven't you? You voted for a law that you're against.
ParlaMint-NL_2016-02-18-tweedekamer-23.u29	At the heart of my speech is that we should not be scribes and trackers and that we should have all the considerations on the issues on the table transparently. Then a fraction of four people here can also do an excellent job.
