Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-02-09-tweedekamer-25	ParlaMint-NL_2016-02-09-tweedekamer-25.u1	Report of the meeting of the Dutch Lower House, Meeting 52, Session 25 (2016-02-09)	2016-02-09	Lower house	Meeting of the 28th Tweede Kamer	Session 25	Meeting 52	Sitting 2016-02-09	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-02-09-tweedekamer-25	ParlaMint-NL_2016-02-09-tweedekamer-25.u2	Report of the meeting of the Dutch Lower House, Meeting 52, Session 25 (2016-02-09)	2016-02-09	Lower house	Meeting of the 28th Tweede Kamer	Session 25	Meeting 52	Sitting 2016-02-09	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
ParlaMint-NL-en_2016-02-09-tweedekamer-25	ParlaMint-NL_2016-02-09-tweedekamer-25.u3	Report of the meeting of the Dutch Lower House, Meeting 52, Session 25 (2016-02-09)	2016-02-09	Lower house	Meeting of the 28th Tweede Kamer	Session 25	Meeting 52	Sitting 2016-02-09	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2016-02-09-tweedekamer-25	ParlaMint-NL_2016-02-09-tweedekamer-25.u4	Report of the meeting of the Dutch Lower House, Meeting 52, Session 25 (2016-02-09)	2016-02-09	Lower house	Meeting of the 28th Tweede Kamer	Session 25	Meeting 52	Sitting 2016-02-09	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	OckjeTellegen	Tellegen, Ockje	F	1974	
ParlaMint-NL-en_2016-02-09-tweedekamer-25	ParlaMint-NL_2016-02-09-tweedekamer-25.u5	Report of the meeting of the Dutch Lower House, Meeting 52, Session 25 (2016-02-09)	2016-02-09	Lower house	Meeting of the 28th Tweede Kamer	Session 25	Meeting 52	Sitting 2016-02-09	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2016-02-09-tweedekamer-25	ParlaMint-NL_2016-02-09-tweedekamer-25.u6	Report of the meeting of the Dutch Lower House, Meeting 52, Session 25 (2016-02-09)	2016-02-09	Lower house	Meeting of the 28th Tweede Kamer	Session 25	Meeting 52	Sitting 2016-02-09	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2016-02-09-tweedekamer-25	ParlaMint-NL_2016-02-09-tweedekamer-25.u7	Report of the meeting of the Dutch Lower House, Meeting 52, Session 25 (2016-02-09)	2016-02-09	Lower house	Meeting of the 28th Tweede Kamer	Session 25	Meeting 52	Sitting 2016-02-09	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2016-02-09-tweedekamer-25	ParlaMint-NL_2016-02-09-tweedekamer-25.u8	Report of the meeting of the Dutch Lower House, Meeting 52, Session 25 (2016-02-09)	2016-02-09	Lower house	Meeting of the 28th Tweede Kamer	Session 25	Meeting 52	Sitting 2016-02-09	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2016-02-09-tweedekamer-25	ParlaMint-NL_2016-02-09-tweedekamer-25.u9	Report of the meeting of the Dutch Lower House, Meeting 52, Session 25 (2016-02-09)	2016-02-09	Lower house	Meeting of the 28th Tweede Kamer	Session 25	Meeting 52	Sitting 2016-02-09	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2016-02-09-tweedekamer-25	ParlaMint-NL_2016-02-09-tweedekamer-25.u10	Report of the meeting of the Dutch Lower House, Meeting 52, Session 25 (2016-02-09)	2016-02-09	Lower house	Meeting of the 28th Tweede Kamer	Session 25	Meeting 52	Sitting 2016-02-09	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-02-09-tweedekamer-25	ParlaMint-NL_2016-02-09-tweedekamer-25.u11	Report of the meeting of the Dutch Lower House, Meeting 52, Session 25 (2016-02-09)	2016-02-09	Lower house	Meeting of the 28th Tweede Kamer	Session 25	Meeting 52	Sitting 2016-02-09	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
