ParlaMint-NL_2016-03-08-eerstekamer-3.u1	I would like to welcome the Foreign Minister to the First Chamber.
ParlaMint-NL_2016-03-08-eerstekamer-3.u2	Mr. Chairman. The European Union is in a worrying state. I say this with pain in the heart, because we Dutch too have nothing better than this Union if we want to safeguard our values and our interests. A strong Europe is now needed to play a role in the world alongside America and China and to maintain a balanced relationship with Russia; integrated foreign and defence policy, integrated euro policy, integrated surveillance of external borders. That is our ambition. We stand for a strong Europe that offers hope rather than grumpy. How did we get into the current worrying situation? The memoirs of one of the founding fathers of European integration, Jean Monnet, ended with a simple call: il faut continuer, more continuous, more continuous! Successive Europeans have taken this to heart. The talent of politicians and officials, the talent of what we sometimes call a collective name 'Brussels', has always been to deal with conflicts between Member States, to bend them in a technocratic process and thereby render them harmless. That was the process of what is called 'constructive ambiguity', constructive ambiguity, with which we always overcome conflicts and progressed. That hasn't worked for a long time. The project suffers from serious lack of confidence because too many people are unable or unwilling to identify with it, because it does not produce sufficiently visible results for them, because it does not inspire enough, because it does not invite enough solidarity and a sense of destiny. In order to avoid misunderstandings: good work is being done in Europe and every day someone urges us to tell this too. However often you notice that Europe does bring us something good, that we owe Europe well-being and prosperity, peace and security, these are all facts which, unfortunately, are now blowing away like echoes in a storm of discontent, of impotence and sometimes even of outright anger. At this point I could ask the government what it intends to do about this, but I realize that that is relatively cowardly. Let us be honest: most people in this house are struggling with this one way or another, and it is a poor consolation that it is no different in many other Member States. What I would like to hear from the government is why it says so little about this, let alone offers some insight into the search directions. The State of the Union says that "it is precisely in these times that it is important to keep a cool head, to recognise legitimate concerns and to work together with all 28 list states in order to tackle problems effectively and make Europe work better." Well, keep a cool head and pull together, our group can always agree with that. But what else? The refugee crisis has revealed more dramatic than all other issues that the good old engine room is no longer working. In the past, you would have said that Europe needed that kind of crisis to emerge stronger by the Monnet method. Throw away the contradictions between Member States and political forces in the Brussels engine room and there will come out something that is binding and connecting everyone, and with which we can move forward. No one's gonna believe this anymore. I do not want to repeat all the debates of the House of Representatives on the refugee crisis. If I understand correctly, we are putting all the cards on an agreement with Turkey, which must keep the borders closed for us. With admirable perseverance, Chancellor Merkel took another step in that yesterday, just like our Prime Minister; at least, let us hope so. However, the question remains whether gambling in Turkey is not an extremely fragile and fragile basis for a solution. After all, we are becoming dependent on the lazyness of an authoritarian, populist regime that European Member States can easily play against each other, which knows that despite all the fine words, it will not be a member of the European Union in the foreseeable future and that Syria will have all kinds of apples that are not ours. A much more solid basis would provide a strong common external border, with a European border guard and decisive powers, not only towards potential immigrants, but also towards Member States that have to surrender sovereignty. We will then be able to direct more ourselves in Europe and we will be less a toy of others. Last autumn, the Commission put forward a detailed plan for this. If I have understood correctly the last informal Council of the Minister for the Interior, we are still no further than probes into how far-reaching measures of this kind fall on Member States. That is a long way from decision-making between the Council, the Commission and Parliament, let alone the introduction of directives. Meanwhile, we are doing it with a European 'border surveillance', called Frontex, of several hundred people. What kind of timetable does the government work here? I do not want to talk again about the distribution of refugees between the European Member States. According to many, that plan is actually dead.
ParlaMint-NL_2016-03-08-eerstekamer-3.u3	Mr Knapen wonders why we should cooperate with Turkey. He said we should do it ourselves by means of a European border guard. The EU is now committed to immediately sending the people arriving back to Turkey, perhaps after a brief examination in an asylum procedure. Isn't that why you need Turkey? Is it not a good idea for Mr Knapen to work together to send rejected asylum seekers back to Turkey?
ParlaMint-NL_2016-03-08-eerstekamer-3.u4	What you need to tackle this problem is easier said than done, let me say in advance. That is indeed an agreement with Turkey. That is also a powerfully authoritative border surveillance, because without powerful authoritative border surveillance you are at the mercy of Turkey, without being able to establish your own strong position. Furthermore, you need an adequate registration, allowing you to filter faster or not which people are entitled to stay and not. Finally, you need joint hard agreements on the return of non-honored immigrants to the countries of origin. That too can only be done in conjunction. When only a country strives to do so, you generally do not have the power to do so with a country where a refugee must be returned. I think it's a combination of those things.
ParlaMint-NL_2016-03-08-eerstekamer-3.u5	I understand that Mr Knapen considers cooperation with Turkey to be important, also because not everyone is an economic migrant and Europe wants to send refugees back to Turkey. That cooperation is therefore necessary. Is he in favour of a generous and substantial resettlement scheme from Turkey to Europe?
ParlaMint-NL_2016-03-08-eerstekamer-3.u6	Yes, but these are relatively general concepts. If you ask me if I am in favour of mercy, it is rather difficult to say that I do not feel that much. We are in favour of mercy, but in the end all these matters are a matter of consideration. Right now, we're in the middle of that process. I find it difficult to anticipate agreements with Turkey, because there were only a few general statements made late last night and this morning. I think it is important to note that an agreement with Turkey, or an agreement with any other country, can only be made authoritative and effective from a position when you have those other things in order. If Mrs Strik asks me if I am in favour of this agreement with Turkey, I would be careful to ensure that, of the four pillars I mentioned, this 25%, this agreement with Turkey, is absolutely 100% of what needs to be done. It's just part of what needs to be done, and it's gaining in strength by organizing those other things as well.
ParlaMint-NL_2016-03-08-eerstekamer-3.u7	I will not talk very quickly about mercy in these matters, but I will talk about a generous resettlement policy from Turkey. I hope that, in the end, the CDA will agree with that.
ParlaMint-NL_2016-03-08-eerstekamer-3.u8	We have a great weakness for the word'merci'. Let's just leave it at that. As I said, I do not want to talk about the distribution of refugees between European Member States, because that plan is actually dead. Central European Member States are not or barely participating. Moreover, neither refugees nor the United Kingdom, unless you would call the offer to take up 20,000 Syrian refugees over a five-year period, i.e. 4,000 per year, a gesture of solidarity. What I would like to mention here is how much the refugee crisis exposes the State of the Union in no way. The differences between the 28 Member States are large, political, cultural and mental. Central European countries have not become members to continue to integrate into one Europe, but are members to ensure their own national identity after having first emerged from the Habsburg multi-population structure and later from the Soviet occupation. We simply cannot imagine the inward orientation. If 20 years ago we had thought seriously that you could expand and deepen the European Union and at the same time deepen it, then the tragedy of the refugees illustrates how much that has failed. Conversely, we have moral sympathy for Chancellor Merkel when she welcomed all the refugees last summer, but that was irresponsible from a central European perspective. Also that brand reflex was essentially deep national in nature, driven by its own German psychology collective. Not by chance, for example, in French diplomatic circles, it remained deafeningly silent. In fact, the French translation of "wir verkoop tie" is still awaited. Anyone talking about the State of the Union must pay attention to the euro. That's where you can compliment the government. Those who had predicted ten years ago that we would now have a strengthened Stability Pact, a joint rescue fund for euro countries, the ESM, joint banking supervision, joint rules for bank capital buffers, a bank rescue fund, a six-pack or a two-pack would have been said to be crazy. Still, there's all of that ten years later. Our Finance Minister is now a valued foreman of the euro. I myself have been through these ECOFIN meetings on behalf of the European Investment Bank over the last few years and can report from my own observation that he has developed authority there. Nevertheless, the euro is also the subject of false appearances. You have not read so much about it in recent months, but the euro is still not sufficiently anchored to survive a next crisis. Growth in the euro area has been lagging behind the non-euro countries in the West since the financial crisis. At the same time, we note that there is a general need for reform, which is precisely what is needed to boost competitiveness. For example, France still has unit labour costs close to 10% above those of Germany. In Italy this is more than 10% and it is therefore not surprising that unemployment there remains persistently above 10%. The European Central Bank is trying to eliminate the euro economy by means of a buy-back programme of bonds. That's a perilous adventure. Pension funds and insurances see their income dry up. It's raining bad news for our pensions this month. With free money, investment decisions are made on the basis of irrational pricing of capital. Moreover, it removes the pressure on governments to reform. In some cultures people who no longer get interest on their savings by going to save even more, because otherwise they are short and they do not trust it. In other cultures, the response to free money is to make one of even more debts and why not? In a way, the ECB conducts the right policy for a country that does not exist. I realise that our government cannot comment on this because the ECB is independent. However, I would like to express our concern about the wisdom of ECB policy here. For many Dutch people, this free money is gradually becoming an expensive joke. The Five Presidents' Report, a personal report by Jean-Claude Juncker, tries to provide relief for the failing economic governance of the euro countries. Our government has made a useful contribution to this. The recommendations in that report for the short term are relatively minimal, but they have already led to concrete proposals from the committee. This includes the design of the European Semester with more attention to the coherence in the euro area and on model arrangements for budgetary consultations between the Commission and national parliaments. The cabinet is right to question the proposed creation in the Five Presidents' Report of a European Budget Council, a European Fiscal Board, in particular its independence and its precise role. A good idea seems to be the plea in this report for one external representation of the euro in the IMF, although I still have a few questions. How does that work for the europ group's voting rights, knowing that the United States still has veto voting rights after the reform of the IMF? Should euroland be able to do so in the near future, given its size? What does this mean for those countries which are still in the hands of the electoral groups? Our country, as we know, has a multitude of countries which have been represented by the Netherlands to our satisfaction for many years and with which we have established special ties. How's that gonna go? Having said that, much more important are of course the somewhat vaguer yet directional proposals from the Five Presidents' Report after 2017. They are heading towards a kind of euro-minster of finance for the euro area with its own budget. According to various economists, this is wise, because then you will have more tools in your hands to deal with shocks and imbalances. By analogy with America: if there is a lot of unemployment in Texas and little in Michigan then the federal unemployment box helps to balance Michigan and Texas and give federal spending a dorky Texas a push in the back. Cycle stabilization is what economists call it. The French Minister for Economic Affairs, Emmanuel Macron, goes a little further and calls for a more long-term transfer of European funds. He says, "Without transfers, the periphery cannot be integrated and you get political divergence to the extremes." Without the next major step, he says, we are already in the process of dismantling the euro. The Dutch cabinet does not feel anything for such a euro minister of finance, nor for a common budget, because none of this is necessary, our government says. After all, if everyone abides by the Stability Pact and carries out reforms, if you have a banking union, if you have a capital market union and if you have a fund in the back to save countries in need and to help banks in need, then you have enough shock breakers to cope with a new crisis. So it's not cyclical stabilisation, it's shock absorbers. We can agree with this, but this is based on the assumption that everyone abides by the agreements. The question is: how do you arrange for everyone to keep their end of the bargain? Let us be honest: for next year I see France, Italy and Spain breaking the Pact again. That is 50% of the euro economy. Of course, at the end there will be all kinds of complex reasonings to explain that it is logical and that one deficit is not the other. The Italian Prime Minister has already stated that he would rather exceed the Stability Pact than let all kinds of populist movements flourish. Instead of reforming the judiciary and public administration, Italy reduces the tax on property ownership. A tried and tested recipe from Berlusconi, by the way, but not something you expect from a country with a government debt of almost 135%. Now several economists are not tired of explaining to us that it is good for the economy that countries spend more money. However, they lack the essence of the matter, namely that the stability of a currency is not based on economic reasoning but on confidence, on institutional confidence to do what you agree. How satisfied is our government actually with the current Stability Pact? Is it conceivable that the answer to this question from the mouth of a Dutch Finance Minister could be different from the answer from the mouth of the President of the Europgroup? The strength and charm of the European Union were always that it was a peace project. When it came to foreign policy, it was about soft power. Our rules of play, our rule of law and our social market economy all attracted the outside world and gave us influence. The Union is good at that, too. But we now live in a much rawer world with geopolitical tensions, with proxy wars, with ticking time bombs in African cities and with religiously inspired terrorism. To protect and promote our interests and values in such an environment, we need a strong Europe. Soft power alone isn't enough. The idea that the United States will continue to take the military chestnuts out of the fire for us has indeed gradually become an illusion. In Europe, since 2007, we have known the so-called EU Battlegroups for a short period of ten years, intended for rapid commitment to managing crises. Now you might think: EU Battlegroups, I hear so little about that? That's right, because although there's no shortage of crises, they've never been deployed, never. Slow decision-making, lack of clarity about cost sharing, lack of opportunities for follow-up, all of this makes EU Battlegroups a fiction so far. There is also little foreign policy. Ukraine has for some time had an EU security advisory team with a budget of EUR 3 million and EUR 3 million. In Niger, an epicenter of instability on the southern border of the Sahara, there is an advisory team of no more than sixty people. Nearby, in Cameroon, the Americans still help with 300 men to fight Boko Haram. The Europeans have no one at all. I can go on like this for a long time. How does our government view the state of the Union in this area? Does she see possibilities to give a push in the desired direction here?
ParlaMint-NL_2016-03-08-eerstekamer-3.u9	I am listening with great interest to Mr Knapen's speech, especially on this point. The Netherlands also has a certain history on this file of non-predominantness. All these decisions are preceded by political will. I will argue this myself later. Do I hear Mr Knapen say that he really advocates a political will to shape that defence cooperation? He's ridiculing a little something that doesn't happen. Well, that's what's up against what's supposed to happen. Did I hear him say that?
ParlaMint-NL_2016-03-08-eerstekamer-3.u10	The answer is twofold. The first part is simple: yes. The second is that I will come back to that later. How does the government view the state of the Union in this area? Does she see possibilities to give a push in the desired direction here? Gradually, citizens realize that they are living in a more dangerous time and that defence expenditure needs to be adjusted accordingly. Only the question remains where you spend it, who you do it with and how you can make a fist. In this respect, the French appeal was surprising immediately after the attacks on the EU in Paris on 13 November. The French President did not appeal to NATO through Article 5, but to the European Union through Article 42 (7) of the Lisbon Treaty. It states that EU Member States will provide assistance and assistance by all means in their capacity if a Member State is a victim of armed aggression on its territory. How does the Dutch government view this? What does she do with the French request? Is such an appeal to Article 42, in her view, the beginning of a new approach or is it only typical French? Finally, a word about Ukraine. We will have a referendum on this in a month's time. On behalf of our group, I was able to defend the association agreement earlier, simply because it offers an opportunity to promote some prosperity and stability in Ukraine. With Syria as a frightening example, it is so ready for us that we have every interest in a little more stability and prosperity in Ukraine. I hope enough countrymen see it that way. In any case, this applies to the majority of Europeans. If we look at the challenges facing the European Union, refugees, geopolitical conflicts, financial stability, we see a Union that is divided, lacks decisiveness and sometimes appears to fail.
ParlaMint-NL_2016-03-08-eerstekamer-3.u11	I too have listened with great interest to Mr Knapen's speech. At the end he said something about Ukraine and the Ukraine referendum. He made a comparison with Syria and mentioned Syria as a terrifying example. Do I hear some kind of regret that we didn't have a similar association agreement with Syria? In that case, would Syria have changed?
