ParlaMint-NL_2016-06-15-tweedekamer-4.u1	Speaking time shall be three minutes. I call Mrs Keijzer.
ParlaMint-NL_2016-06-15-tweedekamer-4.u2	Mr. Chairman. Access to medical care should be equally guaranteed for children. Everyone you say this to says, "Yes, of course." And yet there's something wrong with medical psychiatric care now. My first question to the Secretary of State is: does he agree that youth psychiatry is medical care and that access to that care should therefore also be guaranteed equally? Does he see the problems in this area? In any case, I, as a Member of Parliament, hear very disturbing noises. Waiting times are rising. I'm getting e-mail waiting times that are way above four weeks. That waiting period of four weeks was acceptable before 1 January 2015. Before 1 January 2015, the launch of the major healthcare changes introduced by this cabinet, we knew the so-called Treek standards in psychiatry. These were the permissible waiting times for a patient, which were agreed between healthcare providers, health insurers and patient organisations. Now those standards are being exceeded. I'm getting waiting times from different places in the country from six, eight or ten weeks. Why is that so bad now? It really is a misconception that everyone runs straight to the youth psychiatry. Often parents have been having problems for some time and it is unclear what is going on with their child. Then there's a social skills course, then there's another conversation at primary school. So when parents join the youth ggz, they often have a long time behind them. And if you have to wait another six, eight or fifteen weeks with your child, you can't actually have that. For the CDA, support for families and families is paramount, especially where there are major problems due to psychiatric complaints among the children. Behind all the technology that also comes along in this speech, this is the first step. Also for 2017, several municipalities announced cuts in youth care, while the total cut in 2015 to 2017 is only 15% on the macro budget. How is that possible? Does the Secretary of State want to investigate why municipalities cut much more than 15% on youth care so that they can understand what is actually going on? I hear from municipalities that the new distribution system leads to all kinds of discounts. I have another point. As in the case of domestic aid and day-to-day spending, we are also informed that the contracts that are being concluded are subject to tariffs which do not correspond to the quality that must be delivered. A fair economy also means paying a fair price for the work being done. In practice, this leads to the calving of specialist psychiatric care. Does the Secretary of State recognize this? Does he want to see what's going on here, too? Since Mrs Bergkamp of the D66 Group is present at a general discussion this morning, she asked me to ask these questions on her behalf.
ParlaMint-NL_2016-06-15-tweedekamer-4.u3	Mr. Chairman. Last weekend it was confirmed once again how much this debate is needed. Jonas, a 12-year-old boy, needs complex psychological help, but he's not getting into anything. His mother is driven to despair, as she has been sent from the cabinet to the wall for seven months, while her son is getting worse. In the Netherlands there are many children who need help just like Jonas, but who simply do not get help. What is the Secretary of State doing in the meantime? He keeps ten fingers on the wrist, he organizes consultation tables and holds municipalities to their youth aid duty, but that doesn't help Jonas to care. What can the Secretary of State say about all those fingers on the wrist to this mother, who has been sent from the locker to the wall for seven months? In his letter of November 2015, the State Secretary states that in exceptional cases waiting lists exist. I hope the Secretary of State will send Jonas' mother another answer. I checked the waiting lists again. At GGz Breburg it takes ten weeks for treatment to start. At De Bascule it takes 16 weeks. If your child is registered with Milldrift, it takes 22 weeks for his treatment to start. Let's settle that for a second. 22 weeks is five and a half months. Then we've already waved Sinterklaas off. How dare the Secretary of State say that there are only waiting lists in exceptional cases? We can easily replace Jonas with Louise who needs help because she has depression, or Ben who has aggression problems, or Ali who has anxiety disorder. All these kids are waiting for help, but they get out of sight because they're on waiting lists. We have always been blamed for being flat scared, but in the meantime more than 230 aldermen are also calling the alarm clock. The Secretary of State puts his head in the sand and doesn't want to know what's going on. He doesn't even want to map the waiting lists, while the promise under the Youth Act was so beautiful. Help would be offered to children, without bureaucracy, close by: one family, one plan, one director. That is why I would like to try to get a little closer in this debate. Both the SP and the Secretary of State want children to have care if they need it. Is that why we should just meet today? Let's agree that a child never has to wait more than six weeks for care. There is an intake and then the care is started. This six-week period has already been fixed with each other in the past, but it does not seem to apply anymore. Let's agree today that if you need care, you've had an intake within six weeks and the care has then started. If that doesn't work, we'll map out what the problem is. Is the municipality a problem? Does the care facility not provide enough care? Then we solve the problem, but there is one rule: the maximum period is six weeks. Is the Secretary of State prepared to meet with us today?
ParlaMint-NL_2016-06-15-tweedekamer-4.u4	Mr. Chairman. A year ago Mrs Keijzer asked for this debate. Children who need specialist care are on a waiting list for months or sometimes a year. It is about people, children in this case, who have fallen between the spokes of government policy. The Kinder Ombudsman, an initiative of our President-in-Office, who left this debate behind for a year, has recently resounded. He concluded that one in three children had to wait more than two months and that 20% of them had increased their problems. Their business deserves to be discussed in this house instead of being put off for coalition interests. Nor is it the case that our Secretary of State picks up the cases and solves them, so that our debates become superfluous. Not only in 2015 it rained alarming reports, this year too, that's roughness and impact. I mentioned the Children's Ombudsman's report, but also in the Year's Report Monitor Transition Youth the alarm bell sounds. I&D Research concludes that there has been too little specialist knowledge since the introduction of the Youth Act, that there is no cooperation and that everything takes too long. The VNG recognises that 40% of the institutions are in financial difficulties due to dispaying municipalities, and in Medical Contact we read about the limitations of freedom of choice due to restricted contracting. There are great differences between regions and people's privacy is being violated, as local authorities haphazardly ask doctors for information that they are not entitled to at all. About the gigabureaucracy by 390 municipalities, which do everything differently, everyone sounds the alarm. But this place stays here for a year, and that's the saddest thing of all, I think. The parents of the children we are talking about today no longer know what to do with their children, that they need specialist help, that they have to wait a year for. Girls who have fallen victim to a lover boy without help. Children with anorexia who weaken every day, without help. Depressive young people with suicidal thoughts, without help. It'll just be your kid. This is yet another example of the failure of this Secretary of State's policy. Kids with problems don't get better help. There are long waiting lists for vulnerable children. Recording stops at the crisis shelter are threatening to fall and more and more institutions are threatening to fall. Also abused children end up on the waiting list. That's insane. They are vulnerable children, but they have not improved at all. There is no proper care. There is no customization and there is no concern whatsoever close to the citizen. Let the Secretary of State get rid of his chair and at least introduce Mrs Leijten's proposal, which I wholeheartedly endorse, that no longer than six weeks should be allowed to wait. We used to have these standards. That is what we had major debates on here. At least we could talk to the Secretary of State about something.
ParlaMint-NL_2016-06-15-tweedekamer-4.u5	Mr. Chairman. As a member of the House of Representatives, you have people in your room every now and then. That's how I last had Maartje's parents in my room. They were desperate because they couldn't find a place for their daughter. It was not about the youth ggz that this debate was requested about, but about youth care. I'd like us to look at everything together. All youth assistance for all children must be accessible and accessible as soon as possible. It makes some parents distraught when things don't go well with what they love most: their child. That is terrible and sometimes the step to care is quite difficult, but very much needed. That is why we should not make this step any more difficult. We have previously abolished the parental contribution. That was one of the thresholds for parents to choose care. The waiting times are still not good enough. We have talked about this on several occasions. The Labour Party also believes that vulnerable children should receive appropriate assistance in good time. We must prevent children from sitting in the waiting room unnecessarily. Long waiting lists, allowing children to fall between shore and ship, are unacceptable. Parents and their children want to be heard and supported. The best interests of the child go beyond other interests. During the previous general consultation, we therefore advocated a perseverance force, organised by the responsible municipalities, client organisations and parents, which can move forward if those concerned fail to organise the appropriate assistance for children in good time. The right solution must be sought from the best interests of the child. Secondly, I have called for all waiting lists to be made public. Then parents will know where they are knocking and what the waiting list is at the institution in question. Then the municipality can also change its purchasing policy accordingly. Thirdly, I have spoken about Treek standards. Mr Keijzer also mentioned this. The Treek standards should be applied. Or is the General Law governing administrative law? I would like to receive a response from the Secretary of State. In any case, we must ensure that children and parents who are stuck in access to youth aid are helped as quickly as possible. The first line can help with that as well. That is why I ask the Secretary of State: to what extent does he see it as a solution if knowledge and expertise from the second line goes more towards the first line, so that you don't even need the second line if necessary, but children will be helped as soon as possible? Mr. Chairman. I hope that we will take a step further here today. I'd like to leave it at that.
ParlaMint-NL_2016-06-15-tweedekamer-4.u6	I think that's a bit of a shame. We can publish the waiting lists. They all do. I could list a list of settings that don't. Well, there's a lot that do. That is why I was able to list a list and that is why we can also wipe the floor with the Secretary of State, who says that it only applies in exceptional cases. For example, they have a waiting list at Curium in Leiden. On the website there are several waiting times, some really from a few months. It also says: we cannot say exactly what that means for your child, because it varies from region to region. People from the Hague region are helped faster than people from the Central Netherlands region. It depends on the municipality's purchasing policy. There you are with your kid with borderline. There you are with your child with suicidal thoughts. Do you have to move? Is that the idea?
ParlaMint-NL_2016-06-15-tweedekamer-4.u7	What an idiotic question I'm being asked here. Do you have to move? Of course not! We must ensure that children throughout the Netherlands receive the right help on time. I have called for this in various debates, and I have done so together with Mrs Leijten. I see that there is an incentive for institutions to keep waiting lists up, and I would like that incentive to disappear. That's why I want the waiting lists made public. They are not public everywhere, and they are not topical everywhere. I believe that this should be done, because that is the only way to ensure that both parents and municipalities have the right information.
ParlaMint-NL_2016-06-15-tweedekamer-4.u8	I think it really sucks that the passion of the Labour Party can be seen when it comes to waiting lists that are or are not published by healthcare institutions, which is not there when it comes to tackling municipalities that do not buy enough. Or a secretary of state who sits around when all Treek standards are exceeded everywhere. And by the way, the Labour Party does not even want a national registration of the waiting lists! Hear, see and see, that's the Secretary of State's policy, and you stand by and look at it.
ParlaMint-NL_2016-06-15-tweedekamer-4.u9	I don't. Would you like to speak through the chairman, Mrs. Leijten?
ParlaMint-NL_2016-06-15-tweedekamer-4.u10	The Labour Party then blames the healthcare providers, who are doing their best, and all those psychiatrists who are embarrassed to say to parents: we can't help you, and we can't help your child.
ParlaMint-NL_2016-06-15-tweedekamer-4.u11	I'm not here to see Mrs. Leijten. Nor do I stand before the municipalities or any other institution or organisation. I'm standing here for the kids. I think those kids should get the right care in time. I have devoted all the debates so far to that, as Mrs Leijten knows very well, and I will continue to do so, despite all the allegations that I am getting thrown at my head.
