ParlaMint-NL_2016-11-22-tweedekamer-3.u1	I welcome the Secretary of State for Security and Justice.
ParlaMint-NL_2016-11-22-tweedekamer-3.u2	Mr. Chairman. Yesterday we were told that in the eyes of the finish line after a year and a half of negotiations, the discussion last Monday was collapsed and broken, on one sentence. A sentence which apparently was agreed on, but which should not be written down. It is a sentence that should allow the municipalities, in distressing situations, to take care of those individuals in their municipalities who do not have to go to sleep under the bridge. It's like something happened this Saturday. One of my questions to this Secretary of State would be: after which consultation with whom has a 180 degree turn been made? It is here that the cabinet's drawing board is vengeful of the harsh reality that mayors and aldermen face every day. The people for whom they have a duty of care in their congregation, they want to do justice. It's like we're a year and a half back. In fact, it seems as if we are worse off, because for a year and a half we have had funding for bed-bath bread schemes. That is why I come to the following questions. Why did the Secretary of State still want to delete the one sentence on which there seemed to be agreement? Why is he now punishing the municipalities by stopping the temporary funding while there is still no deal? This was also included in the budget for security and justice. Is he prepared to continue the municipal bed-bath bread scheme until the final deal is there? There's got to be a deal someday, right? He can't make an all-inch with legislation, can he? Is the Secretary of State still willing to talk to the VNG again to solve that little point, that little sentence, of disagreement? This is where the parties have to get out of it, isn't it?
ParlaMint-NL_2016-11-22-tweedekamer-3.u3	Mr. Chairman. Mr Voordewind's questions are based on a number of misconceptions. I don't blame him for seeing it pop up in the press. It's not like there was an agreement, that we thought "Monday we only have to eat pastries and party" and that I suddenly changed my mind on Saturday. You are in a path where you are quite far apart and you begin to work on the points on which you want to reach agreement. You grow towards each other, but in the end the question is: do you get the circle around, can we totally agree? Over the last few weeks I felt more and more that we were not negotiating texts to bridge a difference, but to camouflage a difference. The sentence would provide space so you don't have to let anyone occasionally sleep under the bridge. You run into someone in your congregation who you don't know exactly what his background is and where he ends up. You catch him first and then you see where he can best be caught. That was my interpretation of the sentence. But in many municipalities the interpretation of that sentence was that you still keep a provision open where you occasionally receive a few hundred people every day. Then you get next to the LVV (national provision of foreigners), on which we agreed, a parallel structure that undermines the effectiveness of the LVV. If I had signed, I should have sent an agreement to the Chamber that I don't actually believe in what it says. That seems even worse to me. You would have rightly grilled me here, because by now dozens of municipalities had said: agree or not, it just remains open. When yesterday morning there was a misconception in the press that there was an agreement, at 7:15 in the morning four municipalities said: agree, to my hula, it remains open as it was. This strengthens me in the belief that this agreement has rightly not been concluded. Unfortunately, Mr Voordewind is right. I have not been able to change the status quo because I have not been able to achieve an effective improvement together with the municipalities. It was agreed that funding would continue as long as we negotiated and reached an agreement. We're not reaching an agreement right now. That is why I think it is right that funding should be stopped. Temporarily responding to the funding no longer encourages a solution. It even seems to prevent that. That's why I'm stopping it. At the moment when the municipalities want to talk about opening new doors to the LVV, the return-oriented facility for executed, and are willing to close the other door to the alternative system of bed-bath-bath facilities, where the return is not central, we can talk about it again.
ParlaMint-NL_2016-11-22-tweedekamer-3.u4	I thank the Secretary of State for telling his side of the story. He says there was no deal. The VNG says there was a deal on Friday. Only I wasn't allowed to write down that one sentence, says negotiator Jos Wienen. Who are we supposed to believe? The Secretary of State says that it was intended to take on occasional people and then refer them through, but I feared that the other municipalities might again abuse them. Why isn't he still willing to get out of here with the VNG? If you are afraid that it is being abused by municipalities, can you still include it in texts and make sure that that is clear to all municipalities? It is clear that there must be a policy of expulsion and that the municipalities must also be involved. The parties have to get out of here, don't they? The budget says that funding will continue until there is a deal with the UNG. I now notice that there is still no deal with the VNG. I encourage the Secretary of State to go through the funding, because it was primarily intended to compensate the municipalities for their extra costs as long as there is no so-called closed-down policy, as long as you ever manage to do so. I call for funding to go through. I'm gonna make a call to the Secretary of State to get you out of here. If we don't figure it out, we'll be back here in six months and we'll be in the middle of the campaign or with a outgoing cabinet. Then we won't be able to move forward before the court.
ParlaMint-NL_2016-11-22-tweedekamer-3.u5	There hasn't been one near agreement at some point. If something is put on paper after the first consultation, it is called a draft agreement. I have seen over a dozen variants of draft agreements in the last year and a half. Of course, Mr Voordewind is right that it can be resolved in text. However, all the variants in which it was very sharp were not negotiable for the municipalities. That strengthens me in my idea, which is very much confirmed after not concluding the agreement, because in the course of yesterday and today many more municipalities have said: they could have written down anything, but the bed-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-bath-b-b-bath-bath-bath-bath-bath-bath-bath-bath-b-bath-bath-b-b-b-b-b-b-bath-b-b-b-bath-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b-b- I regret that, because I still think that the solution with the LVVs was better. However, it only works if there is no alternative parallel reception system. Municipalities don't have to make those costs, so I don't want to meet them. After all, municipalities can also choose to close what they now have in exchange for these new provisions, which are aimed at return and with which we can work together on a more effective policy.
ParlaMint-NL_2016-11-22-tweedekamer-3.u6	Finally, very briefly.
ParlaMint-NL_2016-11-22-tweedekamer-3.u7	The Secretary of State has announced legislation. Next week we will deal with the security and justice budget. However, I would ask the Secretary of State to come up with the first directives of that legislation. This is, after all, the last budget that we are discussing with this Secretary of State. I ask him to send the contours or the first guidelines of such a bill to the Chamber by means of a letter so that we can talk about it next week. The point is that, at the time when the State Secretary comes up with his own legislation, the municipalities may be able to count on a fine.
ParlaMint-NL_2016-11-22-tweedekamer-3.u8	I think Mr Voordewind will appreciate that I have not been secretly preparing legislation for a year and a half in the event of a failure. That's really not crystallized in a week. This is a complex issue of inter-administrative relations, in which I cannot easily identify one instrument. I don't think we're gonna be able to outline that next week.
ParlaMint-NL_2016-11-22-tweedekamer-3.u9	I now give the floor to Mr Fritsma. Wait, I see Mrs. Gesthuizen was first. I'll give her the floor.
ParlaMint-NL_2016-11-22-tweedekamer-3.u10	Thank you, Mr. Chairman. I don't think this can be explained to anyone anymore. I think this is politics with a very small p. The citizens, people who are here illegally and who have to work on their return or perhaps still hope for a new procedure, simply need clarity. The news has been published extensively throughout the last weekend. I just want the Secretary of State to clarify, during Question Time, what he thinks should be done at the moment with people who are now in our country, who have no status and cannot be deported à la minute.
ParlaMint-NL_2016-11-22-tweedekamer-3.u11	The people in category Mrs Gesthuizen is talking about are obliged to leave. They can therefore report to the vbl (freedom-limiting location) in Ter Apel for reception during the period in which they cooperate on their return. If they then fulfil their obligation to leave, they may voluntarily return to the country of origin.
