ParlaMint-NL_2016-02-04-tweedekamer-4.u1	I would like to welcome the Minister for Housing and National Service.
ParlaMint-NL_2016-02-04-tweedekamer-4.u2	Mr. Chairman. I shall be brief, given the limited speaking time. I have previously tabled a motion to combat mismatches in the housing market in shrinking areas. That motion was widely adopted here, but not carried out by the Minister. I shall therefore table the next motion to encourage the implementation of that earlier motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas tailor-made solutions are being sought in shrinking areas to resolve mismatches in the housing market;]] [[Considering that at the end of 2015 a motion by Mr Van Vliet for experiments in shrinking areas was tabled without any additional landlord levy and that this motion was adopted by two-thirds majority;]] [[Whereas the Minister has not yet carried out this motion;]] [[Whereas, in the meantime, there is a letter of fire from the colleges of Deputy States of the five shrinking provinces to carry out this motion;]] [[calls on the government to carry out the Van Vliet motion on experiments in shrinking areas, adopted by a large majority,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Vliet. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31757-81]]
ParlaMint-NL_2016-02-04-tweedekamer-4.u3	In my view, the Minister has indicated in general consultation that he wants to look at a comprehensive package of measures. He doesn't want to anticipate that by taking one out. In fact, Mr Van Vliet calls again with this motion for a resolution for one of the possibilities to be removed and accelerated. Does Mr Van Vliet, by giving the corporations such a solid role, not open the door to many more things that corporations could do?
ParlaMint-NL_2016-02-04-tweedekamer-4.u4	That's actually two questions. To deal with the latter, it's just not. The survey and the new Housing Act show that corporations have to go back to the core task of managing and renting social housing. When the motion is carried out, they do, because the houses are temporarily used as social housing and then demolished. That's the answer to question two. The first question was about the AO, in which the minister said he couldn't get one thing out of it. I understand that. That's why I offered the Minister an opening in the AA. I said: I will not apply for a VAO and I will not table a motion if the Minister now undertakes to implement the motion adopted earlier than with that overall package. We didn't get a reply on that.
ParlaMint-NL_2016-02-04-tweedekamer-4.u5	Mr Van Vliet refers to the survey and says very wise words. He said this in the debate at the time. I quote what he said at the time: 'Corporations play a crucial role in this, of course, but they are not the ones who have to take the lead and take the risk'. In carrying out this motion, I believe that the corporations take the lead and take the risk.
ParlaMint-NL_2016-02-04-tweedekamer-4.u6	If there is a calculation below which a bank also cooperates, if the corporations receive funding to buy up property and if then a profitable rent without that landlord levy is possible, it is a very close model, with which they jump out very well. Again, it also solves a mismatch. So the knife cuts both ways.
ParlaMint-NL_2016-02-04-tweedekamer-4.u7	Mr. Chairman. The Labour Party deplores the Minister's opposition to the implementation of the Van Vliet motion. Private owners of cheap houses in shrinking areas have seen their value decrease year after year. Sales are often not an option. If that's an option, they're left with a huge residual debt. Money to invest to put the property in order and to rent the property itself, these owners do not have. They're way under water. The plan of the corporations to buy these homes at the very low market price, fix something up and then rent out a few years and then demolish them, is in the view of the Labour Party just a good plan. Moreover, this frees the owners and does something about the lack of social housing. The landlord levy makes the business case of those plans unfeasible. I'll make two motions myself.
ParlaMint-NL_2016-02-04-tweedekamer-4.u8	I'd start with that, because you still have a minute.
ParlaMint-NL_2016-02-04-tweedekamer-4.u9	Yeah, I'm getting to that now. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Cabinet intends to halve the formation available to support shrinking regions and to coordinate government shrinking policies from 2020;]] [[Whereas the Empire has a permanent co-responsibility for maintaining the viability of shrinking regions as far as possible;]] [[Considers that this co-responsibility should be reflected in demand-oriented support for recognised shrinkage areas and in coordinating population decline policies and the regulations of the different ministries;]] [[calls on the Government to adjust the existing population decline formation by no more than the average reduction rate envisaged for the total state service;]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the recognised shrinkage areas are currently in the process of developing new action plans for the period 2017-2020;]] [[Whereas not only the municipalities in shrinking areas receive an additional benefit from the Municipal Fund but also the relevant provinces receive an additional contribution from the Province Fund;]] [[calls on the Government to include the provinces concerned in the drawing up of the action plans and the agreements to be based on them, as well as the use of the additional resources to be allocated to those provinces for population decline policies;]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Albert de Vries and Mr Van Dekken. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31757-82]] [[This motion was tabled by Mr Albert de Vries and Mr Van Dekken. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31757-83]]
ParlaMint-NL_2016-02-04-tweedekamer-4.u10	Mr. Chairman. The Netherlands will reach the record 17 million inhabitants this year. However, in the Netherlands there are areas, especially at the border, where shrinkage occurs. Shrimp can of course be annoying if it leads to loss of necessary facilities, such as a post office, a hospital or a doctor. Krimp is therefore annoying in those border regions, but what is even more annoying is when asylum seekers are placed there to cope with that shrinkage. Then the cure is worse than the ailment. The people in the shrinkage areas are already having a hard time. If additional asylum seekers are at risk, it is not good for development in that area. That's why I have the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that in letter 32847 No. 209 states that the Minister considers it logical to examine whether it is feasible and desirable to rent houses (temporary) to status holders;]] [[noting that housing status holders is never logical or desirable;]] [[noting that the Minister has abused the current asylum system in order to maintain viability in the shrinking areas;]] [[noting that the Minister has learned nothing from the Ruins of Purple;]] [[calls on the government to stop researching possibilities to accommodate status holders in shrinking regions,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Madlener. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31757-84]]
ParlaMint-NL_2016-02-04-tweedekamer-4.u11	What does Mr Madlener mean that there are plans to house additional status holders in the shrinkage areas? In what policy document, in what proposal has he read that?
ParlaMint-NL_2016-02-04-tweedekamer-4.u12	In the motion I refer to the letter in which the Minister writes to the Chamber that he is investigating whether that is possible and desirable. You know where an investigation can lead, especially in this Chamber. An investigation into the reception of additional asylum seekers in this Chamber, with a Labour Party which is still large, usually leads to additional asylum seekers. That is why I would like to put this motion to the vote.
ParlaMint-NL_2016-02-04-tweedekamer-4.u13	So Mr Madlener acknowledges that there are no plans to house additional refugees in the shrinkage regions, but that there is a plan for a spread across the Netherlands. He doesn't deny that the plan for a spread across the Netherlands has to be implemented?
ParlaMint-NL_2016-02-04-tweedekamer-4.u14	It's a little more than a plan to spread. This really is a plan to investigate whether asylum seekers could be a solution for shrinking areas. It is therefore particularly important to send some additional asylum seekers there. We don't want that investigation. We do not want asylum seekers in the Netherlands. You know all the problems of the 1990s with crime and you name it. It's crazy that the PvdA is here to take our country back to the abyss.
ParlaMint-NL_2016-02-04-tweedekamer-4.u15	Do you have another motion?
