Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-09-13-tweedekamer-4	ParlaMint-NL_2016-09-13-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 110, Session 4 (2016-09-13)	2016-09-13	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 110	Sitting 2016-09-13	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	HenkNijboer	Nijboer, Henk	M	1983	
ParlaMint-NL-en_2016-09-13-tweedekamer-4	ParlaMint-NL_2016-09-13-tweedekamer-4.u2	Report of the meeting of the Dutch Lower House, Meeting 110, Session 4 (2016-09-13)	2016-09-13	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 110	Sitting 2016-09-13	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JeroenDijsselbloem	Dijsselbloem, Jeroen	M	1966	
ParlaMint-NL-en_2016-09-13-tweedekamer-4	ParlaMint-NL_2016-09-13-tweedekamer-4.u3	Report of the meeting of the Dutch Lower House, Meeting 110, Session 4 (2016-09-13)	2016-09-13	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 110	Sitting 2016-09-13	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	HenkNijboer	Nijboer, Henk	M	1983	
ParlaMint-NL-en_2016-09-13-tweedekamer-4	ParlaMint-NL_2016-09-13-tweedekamer-4.u4	Report of the meeting of the Dutch Lower House, Meeting 110, Session 4 (2016-09-13)	2016-09-13	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 110	Sitting 2016-09-13	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JeroenDijsselbloem	Dijsselbloem, Jeroen	M	1966	
ParlaMint-NL-en_2016-09-13-tweedekamer-4	ParlaMint-NL_2016-09-13-tweedekamer-4.u5	Report of the meeting of the Dutch Lower House, Meeting 110, Session 4 (2016-09-13)	2016-09-13	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 110	Sitting 2016-09-13	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	HenkNijboer	Nijboer, Henk	M	1983	
ParlaMint-NL-en_2016-09-13-tweedekamer-4	ParlaMint-NL_2016-09-13-tweedekamer-4.u6	Report of the meeting of the Dutch Lower House, Meeting 110, Session 4 (2016-09-13)	2016-09-13	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 110	Sitting 2016-09-13	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JeroenDijsselbloem	Dijsselbloem, Jeroen	M	1966	
ParlaMint-NL-en_2016-09-13-tweedekamer-4	ParlaMint-NL_2016-09-13-tweedekamer-4.u7	Report of the meeting of the Dutch Lower House, Meeting 110, Session 4 (2016-09-13)	2016-09-13	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 110	Sitting 2016-09-13	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	ArnoldMerkies	Merkies, Arnold	M	1968	
ParlaMint-NL-en_2016-09-13-tweedekamer-4	ParlaMint-NL_2016-09-13-tweedekamer-4.u8	Report of the meeting of the Dutch Lower House, Meeting 110, Session 4 (2016-09-13)	2016-09-13	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 110	Sitting 2016-09-13	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JeroenDijsselbloem	Dijsselbloem, Jeroen	M	1966	
ParlaMint-NL-en_2016-09-13-tweedekamer-4	ParlaMint-NL_2016-09-13-tweedekamer-4.u9	Report of the meeting of the Dutch Lower House, Meeting 110, Session 4 (2016-09-13)	2016-09-13	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 110	Sitting 2016-09-13	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	ErikRonnes	Ronnes, Erik	M	1967	
ParlaMint-NL-en_2016-09-13-tweedekamer-4	ParlaMint-NL_2016-09-13-tweedekamer-4.u10	Report of the meeting of the Dutch Lower House, Meeting 110, Session 4 (2016-09-13)	2016-09-13	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 110	Sitting 2016-09-13	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JeroenDijsselbloem	Dijsselbloem, Jeroen	M	1966	
ParlaMint-NL-en_2016-09-13-tweedekamer-4	ParlaMint-NL_2016-09-13-tweedekamer-4.u11	Report of the meeting of the Dutch Lower House, Meeting 110, Session 4 (2016-09-13)	2016-09-13	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 110	Sitting 2016-09-13	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
