ParlaMint-NL_2016-12-22-tweedekamer-4.u1	I would, of course, like to welcome the Secretary of State.
ParlaMint-NL_2016-12-22-tweedekamer-4.u2	Madam President. I'm taking over this VAO from my sick colleague Barry, who was killed by pneumonia. I wish him well from here, too, because he'll probably look. I have a motion and a question. I'll start with the question. The General Court has found that the State Secretary has five methods of guidance for ProRail: grant provider, concession provider, shareholder, legislator and policy maker. Can the Secretary of State send the Chamber an overview of the methods used by it and its predecessor in relation to ProRail during this reign? If that is possible, we would like to see it in a clear schedule so that we, as members of the States-General, can quickly understand it. According to the spokesperson Barry Madlener, there is a strong feeling that these methods are not being fully used. He likes to get a reaction to that. I'll file the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the government is currently repositioning ProRail;]] [[noting that many actors, including the Dutch Railways, decentralised carriers and passenger organisation Rover, have indicated that they do not like the transformation of ProRail;]] [[noting that there is still a great deal of uncertainty about the tax implications and future use fees;]] [[calls on the government to stop repositioning ProRail into an independent administrative body (zbo),]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Graus and Mr Madlener. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29984-701]]
ParlaMint-NL_2016-12-22-tweedekamer-4.u3	Mr. Chairman. We have debated the situation of ProRail. I would like to thank my colleague, Mr Geurts, who has very, very much replaced me. As a result of this debate, I have tabled two motions for resolutions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas ProRail has identified a potential deficit of EUR 475 million in the field of future maintenance, which is reduced by introducing similar savings measures;]] [[calls on the government to urge ProRail to take the proposed savings measures as a hard starting point that it should not lead to a more expensive train ticket,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Helvert. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29984-702]]
ParlaMint-NL_2016-12-22-tweedekamer-4.u4	I come now to the most important point, which was discussed in the last AO but also in a few meetings before that. I shall table the next motion for a resolution on this matter. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas independent research carried out by McKinsey shows that the cabinet's intention to transform ProRail into a zbo may have a negative impact on the performance of the task, the usage fee, the staff, operational costs, the tax pressure and the change notice ProRail;]] [[Whereas these possible and negative effects do not have a positive impact on passengers and shippers;]] [[Considering that more options are conceivable to improve guidance from the Ministry on the track;]] [[calls on the Government to examine the present cabinet decision in more detail in relation to the scenarios and to inform the Chamber of its findings prior to the drafting of an institution law,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Helvert and Mr Geurts. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29984-703]]
ParlaMint-NL_2016-12-22-tweedekamer-4.u5	It's a little early for me. My question is about the previous motion, about the price of the train ticket. I thought this was already in the Hoogland motion, which has already been tabled. I can only imagine the CDA saying: what a fantastic proposal we support. Is that right, or isn't that right?
ParlaMint-NL_2016-12-22-tweedekamer-4.u6	If it's a double, I think it's fantastic and this motion wouldn't be necessary. Let's take a look at that after the meeting. Moreover, this subject is always important enough to be discussed again as a Chamber. I am prepared to look at this together with Mr Hoogland.
ParlaMint-NL_2016-12-22-tweedekamer-4.u7	There is no question of 'again' because the motion I tabled has been held, including at the request of Mr Van Helvert. The motion dealt with issues related to the debate on ProRail that would follow. That was yesterday. He wasn't there himself, but I can understand that. I can understand that. But it's on the table this afternoon.
ParlaMint-NL_2016-12-22-tweedekamer-4.u8	First of all, the CDA was very clearly present in the debate. I'd like to put that to you. The CDA was very well represented with a contribution as we know it from the CDA. In that sense, it's not a problem. But I'm willing to compare the motions. Maybe we can put it together. Let's take a look at it. I'm fine with that. I think we want the same thing, so we will certainly get out of it, knowing Mr Hoogland as well. In my last half minute, I had one more question for the Secretary of State. This question is about what we read in the newspaper and on the internet, namely that in trains of the Dutch Railways doors can be opened on two sides and that a blind man had fallen out. Then you will say: should this incident be discussed in the Chamber? Perhaps not so much the incident itself, which in itself is bad enough, but the reaction of the NS I read: the problem has been known to us for a long time, but we are still brainstorming about the solutions. I find that a little shocking. My question is not intended to catch the Dutch Railways as Zbo under the Ministry. My question is to know whether this problem is known to several carriers or whether this is a problem which the NS in particular knows. How can it be that we are still waiting for a solution in such a dangerous situation? Today someone else could just fall off the wrong side of the train.
ParlaMint-NL_2016-12-22-tweedekamer-4.u9	I understand that this has not been discussed in general consultation, but we can see if the Secretary of State can answer it.
ParlaMint-NL_2016-12-22-tweedekamer-4.u10	Mr. Chairman. We have indeed talked extensively about ProRail, about the different scenarios that have been investigated. I told the Secretary of State that I see that a number of different public-law scenarios have been investigated, but I would also like to see one private-law scenario being examined as a basis for a careful discussion afterwards. This concerns not the existing situation, but a slightly changed situation, namely: ProRail without a supervisory board. It seems to me very useful for decision-making if we also get that variant, which is often suggested by the sector, together with what this would mean for the various forms of influence on the budget and on the direction. Then we can compare all these things and see what is the best solution to the problem that we have all identified, namely that ProRail has gone a lot wrong for a number of years. I have the next motion on that. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the investigation into the future form of ProRail has limited itself to scenarios leading to a ZBO or an agency;]] [[Whereas the entire rail sector has expressed the wish to examine a private-law variant;]] [[calls on the Government to examine a private future for ProRail without a supervisory board and to inform the Court thereof,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29984-704]]
ParlaMint-NL_2016-12-22-tweedekamer-4.u11	Mr. Chairman. I would like to thank the Secretary of State for replying in the two general consultations. For the Christian Union, the public interest is paramount and the traveller must be at the centre of the planning on the track. The transition advocated by the Secretary of State must take place very carefully. I would like to draw attention to the recommendations of the Kuipers Committee and the recommendations resulting from the Fyra debate. We would like to emphasise the care of that transition with the following two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Cabinet has decided to make ProRail an independent administrative body under the Ministry of Infrastructure and the Environment;]] [[Whereas the impact of this on stakeholders is unclear and worrying;]] [[Whereas governance still needs to be developed and the financial and social consequences and risks still have to be taken into account;]] [[noting that the Fyra survey showed a lack of an exit or back-up strategy, which meant that the burden on the traveller was greater than necessary;]] [[calls on the government to identify an exit or back-up strategy so that there is an alternative scenario when the financial and social consequences and risks of the current decision are irresponsible or irresponsible. turn out to be insoluble,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Cabinet has decided to make ProRail an independent administrative body under the Ministry of Infrastructure and the Environment;]] [[Whereas the impact of this on stakeholders is unclear and worrying;]] [[noting that the Cabinet is committed to avoiding cost increases but is not yet able to provide any guarantees;]] [[calls on the Government to further develop the "no cost to users" pre-condition, examining all options,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bruins. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29984-705]] [[This motion has been proposed by Mr Bruins. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29984-706]]
