Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2016-09-14-tweedekamer-8	ParlaMint-NL_2016-09-14-tweedekamer-8.u1	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2016-09-14)	2016-09-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2016-09-14	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-09-14-tweedekamer-8	ParlaMint-NL_2016-09-14-tweedekamer-8.u2	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2016-09-14)	2016-09-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2016-09-14	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2016-09-14-tweedekamer-8	ParlaMint-NL_2016-09-14-tweedekamer-8.u3	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2016-09-14)	2016-09-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2016-09-14	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2016-09-14-tweedekamer-8	ParlaMint-NL_2016-09-14-tweedekamer-8.u4	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2016-09-14)	2016-09-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2016-09-14	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-09-14-tweedekamer-8	ParlaMint-NL_2016-09-14-tweedekamer-8.u5	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2016-09-14)	2016-09-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2016-09-14	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2016-09-14-tweedekamer-8	ParlaMint-NL_2016-09-14-tweedekamer-8.u6	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2016-09-14)	2016-09-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2016-09-14	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-09-14-tweedekamer-8	ParlaMint-NL_2016-09-14-tweedekamer-8.u7	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2016-09-14)	2016-09-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2016-09-14	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	RaymonddeRoon	de Roon, Raymond	M	1952	
ParlaMint-NL-en_2016-09-14-tweedekamer-8	ParlaMint-NL_2016-09-14-tweedekamer-8.u8	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2016-09-14)	2016-09-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2016-09-14	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AngelienEijsink	Eijsink, Angelien	F	1960	
ParlaMint-NL-en_2016-09-14-tweedekamer-8	ParlaMint-NL_2016-09-14-tweedekamer-8.u9	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2016-09-14)	2016-09-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2016-09-14	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-09-14-tweedekamer-8	ParlaMint-NL_2016-09-14-tweedekamer-8.u10	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2016-09-14)	2016-09-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2016-09-14	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JeanineHennis-Plasschaert	Hennis-Plasschaert, Jeanine	F	1973	
ParlaMint-NL-en_2016-09-14-tweedekamer-8	ParlaMint-NL_2016-09-14-tweedekamer-8.u11	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2016-09-14)	2016-09-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2016-09-14	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-09-14-tweedekamer-8	ParlaMint-NL_2016-09-14-tweedekamer-8.u12	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2016-09-14)	2016-09-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2016-09-14	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2016-09-14-tweedekamer-8	ParlaMint-NL_2016-09-14-tweedekamer-8.u13	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2016-09-14)	2016-09-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2016-09-14	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-09-14-tweedekamer-8	ParlaMint-NL_2016-09-14-tweedekamer-8.u14	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2016-09-14)	2016-09-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2016-09-14	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2016-09-14-tweedekamer-8	ParlaMint-NL_2016-09-14-tweedekamer-8.u15	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2016-09-14)	2016-09-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2016-09-14	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2016-09-14-tweedekamer-8	ParlaMint-NL_2016-09-14-tweedekamer-8.u16	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2016-09-14)	2016-09-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2016-09-14	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JeanineHennis-Plasschaert	Hennis-Plasschaert, Jeanine	F	1973	
ParlaMint-NL-en_2016-09-14-tweedekamer-8	ParlaMint-NL_2016-09-14-tweedekamer-8.u17	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2016-09-14)	2016-09-14	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2016-09-14	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
