Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2015-08-26-S1-commons	ParlaMint-GR_2015-08-26-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 89, 2015-08-26	2015-08-26	Unicameralism	16	1	-	89	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ_Ν._ΖΩΗ	Kōnstantopoyloy, Zōī	F	-	
ParlaMint-GR-en_2015-08-26-S1-commons	ParlaMint-GR_2015-08-26-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 89, 2015-08-26	2015-08-26	Unicameralism	16	1	-	89	-	Reference	English	Regular	MP	notMinister	LA.E.	Popular Unity	-	Left to far-left	ΛΑΦΑΖΑΝΗΣ_ΓΕΩΡΓΙΟΥ_ΠΑΝΑΓΙΩΤΗΣ	Lafazanīs, Panagiōtīs	M	-	
ParlaMint-GR-en_2015-08-26-S1-commons	ParlaMint-GR_2015-08-26-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 89, 2015-08-26	2015-08-26	Unicameralism	16	1	-	89	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ_Ν._ΖΩΗ	Kōnstantopoyloy, Zōī	F	-	
ParlaMint-GR-en_2015-08-26-S1-commons	ParlaMint-GR_2015-08-26-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 89, 2015-08-26	2015-08-26	Unicameralism	16	1	-	89	-	Reference	English	Regular	MP	notMinister	LA.E.	Popular Unity	-	Left to far-left	ΛΑΦΑΖΑΝΗΣ_ΓΕΩΡΓΙΟΥ_ΠΑΝΑΓΙΩΤΗΣ	Lafazanīs, Panagiōtīs	M	-	
ParlaMint-GR-en_2015-08-26-S1-commons	ParlaMint-GR_2015-08-26-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 89, 2015-08-26	2015-08-26	Unicameralism	16	1	-	89	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ_Ν._ΖΩΗ	Kōnstantopoyloy, Zōī	F	-	
ParlaMint-GR-en_2015-08-26-S1-commons	ParlaMint-GR_2015-08-26-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 89, 2015-08-26	2015-08-26	Unicameralism	16	1	-	89	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ_Ν._ΖΩΗ	Kōnstantopoyloy, Zōī	F	-	
ParlaMint-GR-en_2015-08-26-S1-commons	ParlaMint-GR_2015-08-26-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 89, 2015-08-26	2015-08-26	Unicameralism	16	1	-	89	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ_Ν._ΖΩΗ	Kōnstantopoyloy, Zōī	F	-	
ParlaMint-GR-en_2015-08-26-S1-commons	ParlaMint-GR_2015-08-26-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 89, 2015-08-26	2015-08-26	Unicameralism	16	1	-	89	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΧΑΤΖΗΛΑΜΠΡΟΥ_ΣΑΒΒΑ_ΒΑΣΙΛΕΙΟΣ	Chatzīlamproy, Vasileios	M	-	
ParlaMint-GR-en_2015-08-26-S1-commons	ParlaMint-GR_2015-08-26-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 89, 2015-08-26	2015-08-26	Unicameralism	16	1	-	89	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ_Ν._ΖΩΗ	Kōnstantopoyloy, Zōī	F	-	
ParlaMint-GR-en_2015-08-26-S1-commons	ParlaMint-GR_2015-08-26-S1-commons.u10	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 89, 2015-08-26	2015-08-26	Unicameralism	16	1	-	89	-	Reference	English	Regular	MP	notMinister	LA.E.	Popular Unity	-	Left to far-left	ΜΑΚΡΗ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΡΑΧΗΛ	Makrī, Rachīl	F	-	
ParlaMint-GR-en_2015-08-26-S1-commons	ParlaMint-GR_2015-08-26-S1-commons.u11	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 89, 2015-08-26	2015-08-26	Unicameralism	16	1	-	89	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ_Ν._ΖΩΗ	Kōnstantopoyloy, Zōī	F	-	
ParlaMint-GR-en_2015-08-26-S1-commons	ParlaMint-GR_2015-08-26-S1-commons.u12	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 89, 2015-08-26	2015-08-26	Unicameralism	16	1	-	89	-	Reference	English	Regular	MP	notMinister	LA.E.	Popular Unity	-	Left to far-left	ΖΕΡΔΕΛΗΣ_ΧΡΙΣΤΟΦΟΡΟΥ_ΙΩΑΝΝΗΣ	Zerdelīs, Iōannīs	M	-	
ParlaMint-GR-en_2015-08-26-S1-commons	ParlaMint-GR_2015-08-26-S1-commons.u13	Minutes of the assembly of the greek parliament, Term 16, session 1, sitting 89, 2015-08-26	2015-08-26	Unicameralism	16	1	-	89	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ_Ν._ΖΩΗ	Kōnstantopoyloy, Zōī	F	-	
