ParlaMint-ES-PV_2015-05-29.u0	Good morning, everyone. We'll start the whole meeting. First point in theme list: "The question is, "The question is, that the members of the staff of the U.S.A.R.R.A.R.R.R.R.A.R.R.R.R.A.R.R.A.R.R.R.A.R.R.A.R.R.A.R.R.R.A.R.R.A.A.R.R.R.A.A.R.R.A.S.A.S.A.S.S.S.A.A.S.S.A.A.S.A. Too much of a lady, it's your word.
ParlaMint-ES-PV_2015-05-29.u1	Thank you, Mr. President. President, chief officers, members of the legislature, good days to all. We ask the Chief Minister of Toña, "What are you doing? The staff of the profession had connected the days of strike from March 2013 to March 2015, and they had announced more of the day's strike for the 21st May. We were entirely concerned about this situation, because it had the right effect on people who are at last unemployed, and who are having a bad time. So we were glad to find out that the strike was disinfected. We know that the Basque Government has kept open all avenues of negotiation and mediation with the representatives of the workers of Lanbide, and we understand that they will have had their weight in the decision to devoke the aforementioned strikes. That is why we want to know what agreements they have reached, and what consequences they have for Lanbide's proper functioning. In addition, the department had another open front with the workers of the teleassistance service, who also called strikes from January to April of this year, and had announced more days of unemployment that, fortunately, have been called off last week. We are glad to be aware of the strike devocatory, because in this case it also affects people of great vulnerability, among which are older people. Since the service service service in 2011 has been passed from the forum to the Eusk0, the workers have been accused of various problems in the parliament. An important basis of the problem has been the conditions of the workers, the changes of management. They've also been proclaiming their own conviction for telehelp service. In this case, I'm sure you've been working for the service, you've been assigned to the company and the employees, you know, to continue your best help services and work conditions as best you can. Finally, we'd like to inform you, sir, of the meeting and agreement you've had around the service of teleportation as far as possible. And in advance we thank you for the explanation you will give, and for the work of the intermediary you are making. Thank you.
ParlaMint-ES-PV_2015-05-29.u2	Thank you, Mrs. Arreg. In reply, Mr. Toña has the word.
ParlaMint-ES-PV_2015-05-29.u3	President, chief officers, members of the legislature, good morning. It's good to cancel the job call. These are services that serve men and professions, as well as the axis of our privilege and beauty. We can find the reason why we have abandoned the calling of labor in negotiations, intermediary, and commitments to each other. In fact, the good will to get to the agreements has been essential. Besides the final issue and the agreement which will be obtained, what we desire to praise is to speak and negotiate. I want to insist on talking, negotiating, working, and doing what she has to do. In the case of tele-assistance, currently the unemployment is effectively deconvoked, because at the various meetings held, and finally on 19 May, with the mediation of the Department of Employment and Social Policy, minimum agreements were reached that favored the deconvocation of such unemployment. The commitment entered into, then ratified by the Workers' Assembly, affects relevant issues in all working conditions, such as pay, days, safety, health, staff stability and some other issues. In any case, there are still issues to be agreed that will be addressed by the parties within the Labour Relations Council, on the other hand a right breast to raise such conflicts and try to resolve them. Lanbide is a key instrument in the implementation of employment policies and a more than relevant element in promoting the social cohesion of our society. For this reason, during the whole parliamentary term – I would like to highlight it – representatives of this government have held numerous meetings with the representatives of the workers to design and equip Lanbide with a necessary employment relationship that would make this autonomous body an effective instrument in the management of active employment policies. The talks and contacts that have been held before and after the days of unemployment have never renounced dialogue and negotiation at any time. And so, at the last of the meetings held on 18 May, following a meeting convened to talk about salaries, levels of valuation, functioning, spatial distribution of the staff and other issues, as a result of which the power stations deconvoked the planned stoppages. But I would like to stress that this vocation of listening, dialogue and meeting that is being held by the Basque Government in the face of the various conflicts or problems that arise is not an issue that affects these two issues, but an issue that affects all members of the Government in our willingness to dialogue, negotiate and reach agreements that are possible in conflicts that are or may be raised in the field of administration. Thank you.
ParlaMint-ES-PV_2015-05-29.u4	Thank you, Mr. Toña. Second point on the subject list: "To ask the question, the parliamentary members of the Bel-Brit Tree Group, made to the chief physician of Education, Language Policy, and Cultural, concerning the evangelisation of the third-rate students of the College of Education." Mrs. Arrido, your word is yours.
ParlaMint-ES-PV_2015-05-29.u5	Good morning, everyone. On April 24th, we explained to you the attitude against the third-rate trial in the First Education, and to show you that the reasons were superfluous. They do it because Lomc sets it up, there's no pedagogical reason, and it's bad for our education system. We also told you that most of the educationmakers don't agree with your intention, but that they didn't agree with those tests and don't agree with Lomce. That's how it was expressed by the foundies of the Education Plaforms, most unions, EHIGEs, apprentices, creation. They made a call for the plane. In secret, you've been hiding information, and yet the families of several schools of three countries, with the protection of the school units, have decided to plan the test. Their children will not participate in these tests. They have our full support. We agree with the decision they made, because we have to face Lomce among all of us. That's why we'd like to know what the Board of Education, the Chief of Staff, will do after we know what he's going to do after he's made these decisions to force them to do or protect them.
ParlaMint-ES-PV_2015-05-29.u6	Thank you, Mrs. Arrido. In reply, Mrs. Uriart, who's a local representative, has the word.
ParlaMint-ES-PV_2015-05-29.u7	The President of the legislature, the President, the chief of the Department, the members of the legislature, good day. Mrs. Arburdo, you should know that you are mixing people with your discourses and actions, and that this attitude is quite contrary to our goal. Our goal is not only to protect and to improve the educational system, but to protect our students and families. The process of evaluation we're doing right now has nothing to do with rebalds, it has nothing to do with Lomce, but with the novel Hecite and the improvement of the education system. And this must be made perfectly clear, though some of them have all their efforts to explain the contrary message to the schools. The test we're doing is a pilot's test of evagnostic evaluation at the third grade of the first school. We're trying that pilot together with the schools, and we'll get the necessary information to design the diagnosis of the next year's evaluation, and we'll go straight to schools and do the same with them as we've always done. The objective is clear: to analyze and improve our educational system. You, meanwhile, can continue to spare your strength in hindering our work and clouding our work. We prefer to continue working in order to improve our educational system. We therefore insist on the importance of these assessments, which, without having any effect on the student's academic record, are of great help in the process of continuous improvement of our educational system. We will therefore continue with the established process and appeal to the responsibility of the centres and families. They are not an advance of the disabled, contrary to what is being passed on to families. This councillor and this Government are against the invalids and the Lomce, and I have always said so.
ParlaMint-ES-PV_2015-05-29.u8	Thank you, Mrs. Uriart. Mrs. Arrido, your word is yours.
ParlaMint-ES-PV_2015-05-29.u9	Mrs. Department Chief, you mean all these operators (E.H.I.H.I.E.G.E.E., academics, Board of Education, unions... SOCRATES: And are we to say, that the decisions which are being made and the work they are doing, and the deliberations which we have made of them? I think you're making a big mistake saying that. I don't think they'll understand that from your mouth that way. However, you say this has nothing to do with reservations, and it's not true what you say is true. That it has nothing to do with Lomce. That's not true, either. There is no other reason why these proofs should be made, no pedagogical reason. These tests haven't been tried in the third grade so far, they've been in another way. These tests are based on an evaluation system, not on isolated tests. Lomc, or Heziber, are placed within the external system, which puts them in, there is nothing else. You're fulfilling what Lomc says and that's how most of the educationmakers and families have understood it. And that's why every day the lists are getting longer. During these days, first of all, learning was a scholar in Ordria, the name of Gaste, the Gueruna, Samanego, the Arquabelle, the Chief of Sallus, the Barkaldo, Portugal, the Blessed, the Setato, the Holy One... It's a long list, and it'll still be longer in the next few days. Your object was to prevent family decisions, to prevent protest and opposition, and that's why at the last moment you've been reporting schools and families. But you're in vain and you're wrong. You're wrong, because you're losing a great deal of opportunity, and you're asking yourself, when you're under the protection of the majority, how much it takes you to pass them to Lomce to face them. Unfortunately, you've gone the wrong way, even this time. And you have not answered me, but I know at last what you will answer me, what you intend to do with families and students who do not participate in the trial these days. And we have it clear: We'll continue to face Lomce.
ParlaMint-ES-PV_2015-05-29.u10	Thank you, Mrs. Arrido. Mrs. Greart, your word is yours.
