ParlaMint-NO_2001-12-11-lower.ana.ud806e43	The representative of Eirin Fallet will present a private bill.
ParlaMint-NO_2001-12-11-lower.ana.ud806e46	I will be allowed to put forward a proposal by Mrs Bekkemelm Orheim and myself on the approval of the child protection institutions in the proposal for a law amending the Law of 17 July 1992 No. 100 on child protection services.
ParlaMint-NO_2001-12-11-lower.ana.ud806e51	The representative, Harald T. Nesvik, will make a private bill.
ParlaMint-NO_2001-12-11-lower.ana.ud806e54	On behalf of the representative, Mr Høglund, and myself, I would like to make a proposal to amend the Law of 2 June 1989 No. 27 on the marketing of alcoholic beverages n.e.c.
ParlaMint-NO_2001-12-11-lower.ana.ud806e59	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2001-12-11-lower.ana.ud806e73	This is in many ways part of the 2002 state budget. In this sense, a reduction in the payroll obligation under the leave of absence is in principle stipulated. What Odelstinget should do today is decide on the proposal for a change in the law. A little about today's permit law: the employer's obligation to pay the perpetrators for a three-day employer's period. After that, daily pay is paid according to the population’s social security for up to 52 weeks before employers are reintroduced to pay. This matter was raised by the government of Stoltenberg and held by the new co-operation government. The proposal proposes to reduce the social security period from 52 to 26 weeks. This will mean that employers will be required to pay after a period of 26 weeks of social security. Permitting workers to be temporarily relieved of their obligations to work without the employer being relieved of their obligations to pay. That is to say, the contract of employment shall apply in such a way that the employees on leave have both the right and the obligation to take up the work at the end of the period of leave. The use of the permit rule varies widely. There may be large cyclical fluctuations in some industries, or there may be other unfortunate reasons why employers have to go to the step of permitting. So today's legislation means that employers in periods of low activity e.g. may transfer their payroll obligations to the social security system. I think it is important to have such a system, both for businesses and for employees. On the other hand, too much of today's labour is channelled into the industries that have these major fluctuations. Another result of too generic legislation may be that the number of layoffs increases, because it is cheaper for employers. The Committee believes that a reduction in the period of social security equal to that proposed would mean that employers will decide at a much earlier stage whether the company needs the workforce of the company. This also means that workers who are on leave will return to work at a much earlier time, in other words, come to work sooner and faster. I would like to make it clear that when Odelstingen now moves to the step of tightening up the payroll during the period of leave, it is important to follow closely the developments in the labour market. And if the labour market situation becomes difficult, with extensive lay-offs and negative consequences for workers, the Committee will recall that one can come back to the promise and, if necessary, amend it. Finally, the Committee has received a copy of a letter from the NHO to the Minister of Labour and Administration, where the NHO expresses doubts as to whether these changes are also intended to apply to permits initiated before 1 January 2002. From my side, I interpret the bill so that there is no reason to fear this. An amendment to the law applicable from 1 January 2002 shall not have retroactive effect if it has not been stated otherwise in the proposal or in the setting up of the committee. Therefore, I believe that the new rules will only apply to permits issued after 1 January 2002. Permits before that time shall be governed by the law of the day — simply a 52-week period of social security. In order to clarify this, I would urge the Council of State to take the floor and answer the question asked by the NHO, so that both the Committee and the Department have an equal interpretation of this.
ParlaMint-NO_2001-12-11-lower.ana.ud806e96	Since this case was dismissed, a request has been made by the members of the Municipal Committee of the Right to forward it. The enquiry comes from the asphalt industry, an industry that is seasonal and depending on climatic conditions as well as geography. For the enterprises in this sector, it is very central to retain skilled labour, so that the workers start up again in the enterprises in a new season. It would be very problematic for these enterprises to keep workers on leave if the benefit from popular security is reduced to 26 weeks, and it is said that the option for businesses could be terminated. Now, the effects of seasonal fluctuations are assumed to be of a temporary nature. The State's Vegvesen Produktion AS itself will have a self-interest in putting all-year maintenance on the market for post-organisation competitive operation and maintenance. The reduction of 26 weeks will be very unfortunate for the asphalt industry during a transitional period. The Ministry will therefore be contacted by the industry on this issue, and we will ask the Ministry to be in favour of a dialogue with these companies.
ParlaMint-NO_2001-12-11-lower.ana.ud806e107	As far as the issue of retroactive effects is concerned, it is clear that unemployment benefits are a right-based living allowance for the individual, and a decision on day-to-day pay therefore, in my opinion and in the department, has a very high level of protection. I therefore assume that the law will not apply retroactively. And I can inform you that by letter to the Directorate of Labour of 9 November this year, the Department has already informed that the posted workers who receive a day-to-day allowance decision before 1 January 2002 will be able to expire the period of leave of 52 weeks. With regard to the question of asphalt workers, there is one group of workers who are exempt from the law in today's Payroll Act and there are workers in fish processing establishments. This is related to the many short-term fluctuations in raw material access there. Clearly, there are many areas of activity that are subject to larger and smaller seasonal fluctuations. Creating additional derogations for more groups than for workers in fish processing establishments is not desirable. But I would like to stress that I have noticed that in the Committee's position it is clarified that it is important to follow closely the developments in this matter and, if necessary, to amend the law if the change would lead to significant negative consequences for the employees, or if the unemployment rate is so high that it creates problems. And I think the question of the asphalt workers is one of the questions we're going to follow closely in the cooling water of the implementation of the law. I should also like to take note of the Committee's other comments.
ParlaMint-NO_2001-12-11-lower.ana.ud806e114	Several have not asked for the floor on case No. 1st@item: inlistbox [[Votation, see page 71]]
ParlaMint-NO_2001-12-11-lower.ana.ud806e129	At the request of the Social Committee, the President will propose that the debate be limited to 45 minutes and that speaking time be allocated to the groups as follows: The working party 10 minutes, the other groups 5 minutes each. Furthermore, the President will propose that there be an opportunity for a replacement of lines of up to three lines with replies after contributions from members of the Government. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted. The first speaker is Asmund Kristoffersen, when the rapporteur, Britt Hildeng, is in Lagtinget.
ParlaMint-NO_2001-12-11-lower.ana.ud806e142	Ot. pp. No 4 and Ot. pp. No 27 contains a number of proposals for legislative changes. Several of them are of a purely legal nature and are adjusted to previous legislative acts. These amendments will be of little concern to me, but I would rather comment on some proposals for legislative changes resulting from the budget we are now considering in parallel. The desire to do something for those who are most economically disadvantaged has gone like a red thread throughout the whole budget process of the autumn. It marked the budget proposals of the Stoltenberg government, and it marked the follow-up of the Bondevik government. Several of the legislative changes now being promoted aim to improve the economy for groups that generally have difficulties. Other legislative proposals are about creating greater security for groups that have so far fallen between several chairs and have thus come into economic crisis situations in the event of sickness or unemployment. In several contexts, the Committee’s attention has been focused on child-growth conditions. The Committee has pointed out that, in particular, younger non-pensioners with child care can find it difficult to do so financially. The Committee therefore welcomes the proposal to amend the Law on Social Security aimed at improving the economy of families with children where both or one of the parents is a pensioner. A unanimous committee agrees with the proposal to increase the child allowance for old-age and disability pensioners from 30 p.m. to 40 pst. of the basic amount, which means an increase of SEK 5 136 per year. a child. On the basis of the same argument, the Committee agrees unanimously with the proposal that single-parents with disabled or long-term sick children should also be fully supported for the provision of child-care services when an increase in the amount of aid is granted because of the child’s illness or disability. In this way, the Committee considers that it would also be better to facilitate the possibility of training and work for lone dependants. The government is following up proposals adopted in the context of the Equalization Communication, which pointed out that young people who became seriously ill did not have the same financial security as others in our society, because our legislation did not catch up with young people in an educational phase. This means that difficult economic situations may arise when the period for the conversion of loans into scholarships has expired and until a person can receive a rehabilitation allowance. In this context, the Ministry proposes to introduce a special scheme for young people in education so that rehabilitation benefits can be provided immediately after the expiry of the period of conversion of scholarships. Proposals are made for amendments to the National Social Security Act (Sections 3-27 and 3-28) which provide for more favourable pension rules for long-term spaces in institutions. The entire Committee is in line with the Government’s proposals. During long-term open-ended housing by the public, the benefits of public interest are reduced to living quarters. However, during the 1997 budgetary procedure, the reduction in pensions was discontinued in somatic hospitals. However, such a reduction has not been attributed to patients in psychiatric hospitals. In the view of the Ministry, it is reasonable that patients who are in a outpatient treatment scheme are treated as patients who are staying in somatic hospitals, but that long-term residence is treated as being equivalent to stay in somatic hospitals, so that social security benefits are reduced in the same way as in somatic hospitals. However, the Ministry suggests that it is only in the case of long-term stays over one year that the pension should be reduced. At present, there is a relatively large difference between the minimum amount that patients at different lucky day institutions receive, depending on whether they are state or municipal institutions. However, the Committee expresses the view that the patient’s payment in state and municipal institutions should be similar. The Committee therefore agrees with the proposal to improve the economic situation of long-term residents of state institutions by increasing the minimum amount there by DKK 516. A surviving spouse under 67 years of age is entitled, under certain conditions, to a survivor's pension to be curtailed against labour income. On several occasions, a large majority have underlined the importance of motivating surviving spouses to support themselves in their own work. On this basis, the Ministry has proposed that the pension for the deceased under the age of 55 be reduced on the basis of the expected income at least equal to twice the basic amount. However, derogations shall be possible if the survivors have reasonable grounds for having lower income. Such exceptional reasons may include the need for education, care for young children or lack of employment. The majority of the Committee has joined the proposal, stressing that the proposal is based on current practice and is thus a strengthening, but not a change, of existing principles. On several occasions, the Committee and the EEAS have highlighted the importance of greater flexibility in the relationship between work and social security. One has also pointed out the importance of older people wanting to stay longer in the workplace, but they need a slightly looser relationship than a full or half job. But for older people who are too young, there must be a point that all work should pay off. Today's rule that pensioners between 67 and 70 years of age get their pension reduced by 40 pst. if they serve more than 1 G, limit the motivation to work more. It is therefore gratifying that the Ministry is now following up the Stortingen's proposal to increase the income limit to 2G for those between 67 and 70 years before the pension is curtailed. As I said, this aggregate proposition contains a number of proposals for changes. I have chosen to comment on some of these. With this I recommend the setting of the committee.
