ParlaMint-NO_2001-03-27-lower.ana.ud2130e30	The representative, Kristin Halvorsen, will present a private bill.
ParlaMint-NO_2001-03-27-lower.ana.ud2130e33	On behalf of Karin Andersen and myself, I would like to put forward a proposal on amendments to Law 26 March 1999 No. 17 on rental contracts to mitigate large domestic rentals in the rental market, to ensure better housing security for tenants and to make user payments in the Dispute Settlement Committee and the Conciliation Council equal. [[the renting of dwellings,]]
ParlaMint-NO_2001-03-27-lower.ana.ud2130e38	The legislative proposal will be dealt with in accordance with the rules of procedure.
ParlaMint-NO_2001-03-27-lower.ana.ud2130e50	At the request of the Committee on Energy and the Environment, the President will propose that the debate be limited to 45 minutes and that speaking time be allocated to the groups as follows: The working party 10 minutes and the other groups 5 minutes each. In addition, the President will propose that there be a possibility of a replacement of lines of up to three lines with replies from members of the Government. In addition, the President will propose that those on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. The President sees it as a matter of fact.
ParlaMint-NO_2001-03-27-lower.ana.ud2130e61	The main challenges in Norwegian energy policy are limiting energy consumption, reducing the use of electricity and investing in new renewable energy sources. In connection with the treatment of the energy message last year, the Workers' Party, the Centre Parties and SV supported a goal to use 4 TWh more water-borne heat and to build wind power plants producing 3 TWh by 2010. The goal of limiting the use of energy was also supported. If we're going to do this conversion, we're going to depend on more efficient organisation and more stable funding. Today, the in-conversion work is unbridled, fragmented and resource-intensive. We don't know what our efforts actually give of results. The Committee, all with the exception of the Advance Party, supports the Government's proposal to pool the activities of a new energy institution. Enova, who becomes the name of this institution, shall take over the work and responsibilities currently shared between the NVE and the distribution companies. The majority of the Committee is committed to the widest possible use of Enova by external partners. In this context, Enova is not going to evolve into an operating institution. The government has decided to locate the new body in Trondheim. It is a reasonable choice based on Enova’s need for the recruitment of competent professionals. Trondheim’s wide-ranging labour market and strong energy and technological environment ensure the ability to provide the necessary resources. Regional centres have considerable skills and know the needs of conversion work very well. These centres will have a new contracting entity and will have to compete in time in line with other actors. But I'm pretty convinced that their unique position makes them have the best assumptions for success. The Workers' Party, the Centre Parties and the SV support the Government's proposal for a new funding model, where the body is financed through two sources of income, a mark-up on the network tariff, and funds from the State budget. The funds are allocated to a fund that finances Enova's activities. To achieve this, there has to be a change in the Energy Act. The mark-up on the network tariff is legalised and made compulsory. The working party, the centre parts and the SV agree that the application is set at 0,3 ears. But at the same time, we ask that the Government look at the possibility of expanding the basis to include other stationary energy consumption. We don't think it's fair that only hydropower should be involved in financing the big conversion of our energy system. The working party is committed to maintaining the state transfers to the Fund at a high level. The fixed revenue generated by the mark-up on the network tariff must not become a sleep cushion for the country. We rely on money from both sources to achieve our ambitious goals. The working party believes that natural gas is also part of the conversion of our energy system. For this reason, the Labour Party disagrees with the Christian People's Party, SV and Left's proposal to establish a dedicated gas centre. We do not think it is appropriate to start a necessary process of pooling activities by establishing different alternative energy sources institutions. An overall organisation in Trondheim provides an opportunity to assess different energy solutions against each other. This allows you to choose the most appropriate option in each individual situation based on local conditions and environment. If it really is that the Christian People's Party, SV and Left are afraid that too much money will be spent on gas, these parties should have scrapped these plans. A national gas competence centre initially requires much more money than the Government in this process proposes for Enova to take care of. However, the working party does not reject the future establishment of such a centre of competence. But we have to start at the right end. First, the Storting must present a national strategy for domestic use of gas. Then we have to determine the scope of such a strategy. And finally, we need to find out if there is a need for a dedicated centre of expertise to implement this strategy. The decisions we are making here today will have a significant impact on the success of the conversion of energy consumption to renewable energy sources.
ParlaMint-NO_2001-03-27-lower.ana.ud2130e97	When the Storting addressed the Energy Communication, the majority argued that 5 billion DKK over 10 years were to be allocated to the conversion of energy use and energy production, and that a new independent body responsible for energy saving and new renewable energy sources should be set up. The Energy Communication represented an important cross-roads in reiterating both in terms of new renewable energy sources and in terms of improving the efficiency of energy use. Here the Stortinget has said that the large hydropower expansion period is over. It is now time to take the necessary steps to achieve technological and environmental improvements in the production of energy and electricity. In addition, Norway has signed international agreements that commit us to reducing greenhouse gas emissions, and these climate agreements are leading our energy policy. Actions for more efficient energy use and energy savings are central to an environmentally friendly energy policy and to the long-term and sound management of energy resources. For Norway, it is also important to combine the role of a large energy producer with being an environmental policy precursor. It is therefore important that, as an energy nation, we make greater efforts to use and develop new renewable energy sources and to facilitate a greater degree of energy flexibility in order to ensure continued environmentally friendly energy production. The collection of work and other energy conversion in one institution is very important for cost-effectiveness and for pooling skills. In addition, the Christian People's Party believes that there is a basis for stepping up the switch-on charge and extending the basis to other stationary energy consumption. This would have made it possible to achieve a level of investment that is in line with what the Storting said when dealing with the energy communication, but for which it unfortunately did not become a majority in the Committee this time. The Christian People's Party believes it is important to have overall environmental policy objectives that ensure that any parallel action does not favour a fossil energy source. That is why, in the budget negotiations with the Workers' Party, we proposed that gassing should be separated into a separate budget line, which we also achieved. We believe that this logic should also have been the basis for the creation of the new body, but I note that the majority here today are in favour of increasing domestic gas use as part of the new body. The Christian People's Party also wants an increased investment in natural gas as an energy source, but believes it is important to bear in mind that gas is not a renewable energy source and that a gas investment can take resources from energy saving work. Lack of infrastructure is one of the barriers to increased use of new renewable energy sources in Norway today. The development of gas infrastructure is highly capital-intensive and may take place in direct competition with the development of district and local heating networks. The Christian People's Party represented the minority in the Committee with the wish to establish a national gas centre and to localise it to Haugaland. Gas is used here in a wide range of areas, and competence and the environment have developed independently of central support. In a comprehensive strategy for the domestic use of gas, as the Government is about to join in, it would be natural to take as a starting point the activity of the national gas centre in Haugaland. Gas and new renewable energy sources can undoubtedly conflict with each other if the political focus on renewable and non-renewable energy sources is not distinguished. The Christian People's Party records that the Workers' Party and the majority do not want such a distinction. Finally, I address the minority proposal in the position of setting up a national gas centre located in Haugaland.
ParlaMint-NO_2001-03-27-lower.ana.ud2130e118	The representative, Brother Yngve Rahm, has drawn up the proposal he referred to.
ParlaMint-NO_2001-03-27-lower.ana.ud2130e121	The right has long called for a more rational and market-oriented management of the country’s energy saving efforts. At the latest in the budget position, we underlined that the market needs to be more widely used. Although we were initially sceptical about a new government agency, we are now pleased that we have achieved a stronger market thinking in this area as well. The task of the new body is to ensure the greatest possible savings and environmentally friendly energy units without building up an operational organisation itself. The work is to be carried out by all those environments that have good ideas and which work with projects linked to an investment project. We are particularly pleased that the majority agree that the Ministry should develop clear criteria for success for its activities. But this is not just a matter of organising work on energy savings, it is also a matter of a new flat-rate charge on electricity. The right is opposite this for two reasons. Firstly, we believe that households already pay too high charges for their electricity consumption. The majority open up to increase the levy and find more areas to charge it. This shows that this charge could soon be used as a tool to increase electricity prices in Norway. The same parties have pledged to grant NOK 5 billion for this purpose. We're afraid that this whole bill will be pushed over to the power users. It is a great paradox that households that use the renewable energy source electricity have to pay a levy for energy savings, while for example: households using oil shall not pay the corresponding fee. Secondly, we believe that increased work should be given equal priority to other areas of the State budget. We find it unfortunate that the revenue from this new levy is directly linked to policy areas. When the Government announced this matter in the budget proposal, there was some uncertainty about the use of the fund. Some people talked about a new energy directorate, others thought that this body should have the task of following up the national gas strategy. Through this case, this has now been cancelled and cleaned up. Activities will relate to energy savings and new renewable energy sources. Natural gas can, of course, be part of these projects as long as it is a complement to other energy sources. In the past, the right has had an impact on the requirement for a national strategy for the use of gas on land. There it would be natural, as the majority suggests, to come back to who will be responsible for following up such a strategy. I agree with the description given by the Christian People's Party, the Left and the SV of the active gas environment in Haugaland. But, in our opinion, it is wrong to set up government bodies before the Storting has discussed what is the goal and strategy for the use of gas on land. Such a strategy will need to address the use of gas in three main perspectives: as energy, in transport and not least as raw material in industrial/product development. It's quite obvious that the agency, as intended, will not be able to attend to all of these sides. With this I take up proposal No. 2, from the Right, and recommends the Right Group to vote against the option I, proposal for a new §4-4, but otherwise support the setting.
ParlaMint-NO_2001-03-27-lower.ana.ud2130e138	The representative Bent Höie has drawn up the proposal he referred to. The President will note that the time for tomorrow's meeting is up. The President will propose that the morning meeting be extended until today's map has been completed. - It's a note.
ParlaMint-NO_2001-03-27-lower.ana.ud2130e143	For the treatment of St.meld. No 29 for 1998-99, a majority in the United Kingdom adopted targets for the conversion of energy use and energy production. The majority were concerned that in Norway we had too high energy consumption and therefore adopted some measures to limit this consumption as well as some measures to convert energy production. For this, 5 billion new tax and tax credits were to be allocated, among other things. to subsidise energy production which could not stand on its own economic grounds. Of course, the progress party distanced itself from this, not least because we do not have a higher energy consumption in Norwegian households than in the countries with which we normally compare. In addition, we believed and still believe that it is totally wrong to subsidise energy production in a country that is almost flooded with energy. The Party considers energy to be an ordinary commercial product which must be freely marketable without public interference. We therefore take a strong distance from measures that are distorting competition, such as subsidisation – which I have already mentioned – and the continuous introduction of higher taxes and new taxes, which the case we are dealing with today also contains. The Government proposes to reorganise the work on the conversion of energy use and energy production. In order to achieve this, a new and bureaucratic organisation will now be set up. Of course, funding should be shifted to consumers in the form of a new fee. Of course, the Progress Party will not be involved in building up a new and totally unnecessary bureaucratic body. Nor will we support a new charge that comes at the top of already too high charges, but we believe it must be the market price on energy that must be crucial for the profitability of consumers to start up an additional measure at all times. We assume that the country's businesses and households will focus on saving energy because it represents a cost that most people want to reduce. We therefore believe that it must be the economic gain of the individual that must be the main incentive to save energy. The setting indicates that some are calling for the establishment of a national gas land-based gas centre. We do not think it is right for us to address this at this stage, given that the government is now preparing a big message on these issues, which we will be receiving later. We therefore support the proposal to come back to who will be responsible for following up the national gas strategy in the context of the said Gazette. I will finally signal that we want to vote against the proposal for a new section 4-4.
ParlaMint-NO_2001-03-27-lower.ana.ud2130e162	With the exception of the Progress Party, there is a relatively large deal in this case, and that is my starting point. It is also positive – to talk a little about the gas at the beginning – that a majority impose clear restrictions on the use of gas on land. It is clear that there is a multiple in this gas power plant room – the government came to power on a matter of gas power plants – but as it is now formulated, it is suggested that it should not be the main strategy, at least not in this case. But the Labour Party is an Ole Brumm party, so it may still be that they will say: Yes, thank you, both – even if it looks like these gas plants are slow. I think it's important that we now get an instrument that can put some theory into practice. We know that there are quite a lot of good projects that are not put into practice, including: because they don't get funds. For this reason, SV’s budget is completely different in terms of both supporting research and being able to address the energy problem in general, based on the crazy climate problem we are facing and which is constantly emerging. I believe that the organisational approach that is now taking place could lead to more concrete efforts on the part of an individual and to an increase in energy efficiency. If we can do it properly, some other needs will be reduced in relation to the amount of force added. And then it's also a mess. Would you like to include a fossil fuel in such a centre — a fuel that helps increase greenhouse gas emissions? Or should a person focus on the most environmentally friendly options? And so that's where we're going to separate layers. SV and two of the center parts mean that we shouldn't have these two things together, that it might weaken the bet on the best environmental options. That's why our proposal is to separate gas as a project of our own, because it makes sense in some contexts as well. We have seen through various projects in Haugaland that gas can help reduce greenhouse gas emissions, which is the most important starting point for SV. We have seen it when it comes to industrial development and product development. We have seen in the transport sector that if we add up to the use of gas on land, it is possible to get buses and cars on top of it, if a bet on it. We have seen that it is possible to phase out the use of more polluting sources as oil for the benefit of gas, i.e. concrete measures to reduce greenhouse gas emissions. There's the Haugaland in front. Then the question is for those who have a bit of local difficulty both here and there: what's wrong with us starting from that place in the country that's in front of us when it's going to be using gas on land, saying that we want to continue working on this and that here we want to create a national center that we can show up to others? What's wrong with establishing that principle? I don't understand. It is obvious that it is important for a party such as the Right and the Labour Party to operate so that the development of the use of gas on land in the Haugalands area is not speeded up until a new one is notified. Our proposal is that we take that grip now, and then the other parties that fail this proposal will explain why they cannot take this grip now. SV is largely satisfied with the grip that is now being taken, with the exception of this one point.
