Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-04-24-lower	ParlaMint-NO_2001-04-24-lower.ana.ud1334e34	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-24	2001-04-24	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-24	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.SIO	Øye, Signe	F	1945	
ParlaMint-NO-en_2001-04-24-lower	ParlaMint-NO_2001-04-24-lower.ana.ud1334e47	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-24	2001-04-24	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-24	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.KES	Svendsen, Kenneth	M	1954	
ParlaMint-NO-en_2001-04-24-lower	ParlaMint-NO_2001-04-24-lower.ana.ud1334e60	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-24	2001-04-24	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-24	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2001-04-24-lower	ParlaMint-NO_2001-04-24-lower.ana.ud1334e63	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-24	2001-04-24	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-24	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.RTK	Klungland, Rolf Terje	M	1963	
ParlaMint-NO-en_2001-04-24-lower	ParlaMint-NO_2001-04-24-lower.ana.ud1334e74	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-24	2001-04-24	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-24	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.KES	Svendsen, Kenneth	M	1954	
ParlaMint-NO-en_2001-04-24-lower	ParlaMint-NO_2001-04-24-lower.ana.ud1334e85	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-24	2001-04-24	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-24	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.RTK	Klungland, Rolf Terje	M	1963	
ParlaMint-NO-en_2001-04-24-lower	ParlaMint-NO_2001-04-24-lower.ana.ud1334e94	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-24	2001-04-24	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-24	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2001-04-24-lower	ParlaMint-NO_2001-04-24-lower.ana.ud1334e97	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-24	2001-04-24	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-24	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.KES	Svendsen, Kenneth	M	1954	
ParlaMint-NO-en_2001-04-24-lower	ParlaMint-NO_2001-04-24-lower.ana.ud1334e102	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-24	2001-04-24	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-24	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2001-04-24-lower	ParlaMint-NO_2001-04-24-lower.ana.ud1334e105	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-24	2001-04-24	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-24	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GGF	Fossum, Grethe G.	F	1945	
ParlaMint-NO-en_2001-04-24-lower	ParlaMint-NO_2001-04-24-lower.ana.ud1334e111	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-24	2001-04-24	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-24	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2001-04-24-lower	ParlaMint-NO_2001-04-24-lower.ana.ud1334e119	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-24	2001-04-24	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-24	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2001-04-24-lower	ParlaMint-NO_2001-04-24-lower.ana.ud1334e125	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-24	2001-04-24	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-24	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2001-04-24-lower	ParlaMint-NO_2001-04-24-lower.ana.ud1334e164	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-24	2001-04-24	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-24	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
