Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-02-20-lower	ParlaMint-NO_2001-02-20-lower.ana.ud1849e25	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-02-20	2001-02-20	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-02-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2001-02-20-lower	ParlaMint-NO_2001-02-20-lower.ana.ud1849e33	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-02-20	2001-02-20	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-02-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2001-02-20-lower	ParlaMint-NO_2001-02-20-lower.ana.ud1849e36	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-02-20	2001-02-20	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-02-20	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TOA	Andersen, Torbjørn	M	1957	
ParlaMint-NO-en_2001-02-20-lower	ParlaMint-NO_2001-02-20-lower.ana.ud1849e41	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-02-20	2001-02-20	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-02-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2001-02-20-lower	ParlaMint-NO_2001-02-20-lower.ana.ud1849e53	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-02-20	2001-02-20	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-02-20	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.EIS	Steensnæs, Einar	M	1942	
ParlaMint-NO-en_2001-02-20-lower	ParlaMint-NO_2001-02-20-lower.ana.ud1849e95	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-02-20	2001-02-20	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-02-20	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.KE	Engebretsen, Kjell	M	1941	
ParlaMint-NO-en_2001-02-20-lower	ParlaMint-NO_2001-02-20-lower.ana.ud1849e122	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-02-20	2001-02-20	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-02-20	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_2001-02-20-lower	ParlaMint-NO_2001-02-20-lower.ana.ud1849e125	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-02-20	2001-02-20	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-02-20	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.JP	Petersen, Jan	M	1946	
ParlaMint-NO-en_2001-02-20-lower	ParlaMint-NO_2001-02-20-lower.ana.ud1849e141	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-02-20	2001-02-20	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-02-20	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JJJ	Jakobsen, Johan J.	M	1937	
ParlaMint-NO-en_2001-02-20-lower	ParlaMint-NO_2001-02-20-lower.ana.ud1849e162	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-02-20	2001-02-20	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-02-20	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.RHRE	Reikvam, Rolf	M	1948	
ParlaMint-NO-en_2001-02-20-lower	ParlaMint-NO_2001-02-20-lower.ana.ud1849e175	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-02-20	2001-02-20	Lower house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-02-20	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
