ParlaMint-NO_2001-01-31.ana.ud1670e27	It summons the alternate of the Nord-Trøndelag County, Astri Wessel, has a teke seat.
ParlaMint-NO_2001-01-31.ana.ud1670e35	The President will propose the election of a President-in-Office of the Stortinget meeting today – and see it as agreed. The President is asking for proposals from the President-in-Office.
ParlaMint-NO_2001-01-31.ana.ud1670e40	I allow myself to propose Per Ove width.
ParlaMint-NO_2001-01-31.ana.ud1670e45	Per Ove Width is proposed as president. . Other proposals are not in line, and Per Ove Width is elected by consensus as the chairman of the Stortinget meeting today. The representative, Carl I. Hagen, will make a private proposal.
ParlaMint-NO_2001-01-31.ana.ud1670e50	I would like to make proposals to the Government to investigate and propose legislation in order to be able to prosecute and punish all persons in a ‘god’ and to punish them for violent persecution.
ParlaMint-NO_2001-01-31.ana.ud1670e55	The proposal will be dealt with in accordance with the Rules of Procedure.
ParlaMint-NO_2001-01-31.ana.ud1670e76	On Monday the Storting received a message from the Prime Minister's office that the following government councils will meet for oral Question Time: State Council Sylvia Brustad State Council Siri Bjerke State Council Olav Akselsen These government members are there, and we're ready to start the oral Question Time. Representatives who, in addition to the pre-announcers, would like to ask their main questions will be asked to stand up. – We'll start with the first main questions, from the representative of Kjell Magne Bondevik.
ParlaMint-NO_2001-01-31.ana.ud1670e95	I have a question for the municipal minister, which is also central to integration and the fight against racism. Unfortunately, there are things that indicate that racism is also widespread in our society. UDI has conducted a survey in 29 municipalities showing this, and the last horrific violence episodes are a new example. It is necessary to mobilise on a broad front with a number of measures to reverse trends in racism. The central government drew up an action plan against racism, established a centre against ethnic discrimination and started work on a law against ethnic discrimination, which I hope will come soon. But now we see that on several points this is not followed up well enough. This applies in the housing sector, where the anti-racism action plan does not seem to have been followed up well enough, in the case of the labour market sentence, which is followed up, in the case of the recognition scheme for foreign education and in the case of the legal system. What will the Minister of State do to ensure an effective follow-up to the action plan?
ParlaMint-NO_2001-01-31.ana.ud1670e108	Let me first say that the cruel thing that happened this weekend should not and should not happen in Norway. Of course, the government will do what is in our power to help that kind of thing not happen, and to fight back against everything that has to do with racism and Nynazism. We're taking a strong distance from what's happened. It is true, as the representative Bondevik says – obviously, I think – that there is a lot going on around Norway about racism. Something happens unconsciously, but unfortunately also deliberately – more than we think. Here, first of all, I believe that we all, not only as politicians, but also as individuals, have a responsibility to fight back every time someone tries to say something or do something about racism. In addition, it is important that we – I think – go through the law to see if it works. There is a sample at work to make an adjustment for the autumn. The government will go through the whole law, and it's right, as the representative Bondevik says, that it doesn't work well enough in relation to, for example. labour market and housing situation. It is also the case that the government will put more money at the disposal of anyone who wants to contribute to do something about this terrible. This applies to individuals, groups and organisations who want to take action to try to do something about it. We want to unite all the good forces to try to do something about it, and mobilize to a force effort so that such things don't get to happen.
ParlaMint-NO_2001-01-31.ana.ud1670e115	I believe that in the fight against racism a more successful integration policy is crucial. We see examples of the labour market, where, for example: Two well-trained civil engineers have applied for 850 jobs without being called up for an interview at all. This suggests that attitudes have not penetrated the system as they should. There is a need for cross-sectoral responsibility, and I think it is necessary for one Council of State to have a special driving responsibility to follow up the action plan, so my question to the Council of State is: Will the Minister of State take on the responsibility for coordinating and driving the action plan itself? Let me also say that having an effective Foreign Affairs Directorate, UDI, is important for a positive refugee, asylum and integration policy. We see that UDI has had huge problems. The Christian People's Party leader, Valgerd Svarstad Haugland, asked on Friday that a review be carried out, an examination of the UDI. I am pleased to note that the Council of State has today notified it, and would like to acknowledge it back positively.
ParlaMint-NO_2001-01-31.ana.ud1670e124	It's totally unacceptable that people don't get a job because they have a different name than what's usual in Norway, and it's totally unacceptable that people don't get a job in Norway because they have a different color, a different religion or a different background than most people in Norway. We don't want to sit still and watch that. There is also some background that the government just before Christmas presented a big message, which is now being discussed here, on a better integration policy. I must say that I think many people should take self-criticism because the integration policy that has been in place in this country for many years has unfortunately not worked out in many areas. Therefore, there is now a need to work in a slightly different way, and one must be more active than what has been the case up to now. So to the question of whether I take on the coordination responsibility in relation to following up the action plan as well. The answer to that is, of course, yes. With regard to the question of the UDI, it is as some newspapers say today, that I believe there is a need to review the functioning of the foreign administration, UDI in particular. I'll ask that we get that before summer.
