ParlaMint-NO_2001-12-18-upper.ana.ud647e78	There is no record available.
ParlaMint-NO_2001-12-18-upper.ana.ud647e92	In this context, the President will make the following comments: The case led to the second handling in Lagtinget, when Odelstinget decided at its meeting on 14 December: ‘Slaughter note not accepted.’ The registration must now either accept or reject the Odelsting decision. If the Creation accepts Odelsting's decision, both things are signed and will be sent to the King for punishment. If the Creation does not accept Odelsting's decision, the Law must be handled by the Parliamentary Parliament. No one has asked for the floor. The law decision has therefore been accepted by both things, and will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2001-12-18-upper.ana.ud647e116	The President will make the same comment as in the previous case: The case led to the second handling in Lagtinget, when Odelstinget decided at its meeting on 14 December: ‘Storage remark not accepted.’» The registration must now either accept or reject the Odelsting decision. If the Creation accepts Odelsting's decision, both things are signed and will be sent to the King for punishment. If the Creation does not accept Odelsting's decision, the Law must be handled by the Parliamentary Parliament. No one has asked for the floor. The law decision is thus passed on by both things, and will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2001-12-18-upper.ana.ud647e141	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2001-12-18-upper.ana.ud647e157	On behalf of the Centre Party, I would like to make the following proposal: ‘The decision of the nodule is not accepted. Lactation Note: §§8-34 and 8-36 are expected to be deleted.»
ParlaMint-NO_2001-12-18-upper.ana.ud647e168	Rune J. Skjælaa has on behalf of the Center Party taken up what he presented now referred to. No more people have asked for the word.
ParlaMint-NO_2001-12-18-upper.ana.ud647e179	The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2001-12-18-upper.ana.ud647e193	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2001-12-18-upper.ana.ud647e209	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2001-12-18-upper.ana.ud647e225	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2001-12-18-upper.ana.ud647e241	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
