Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-01-11	ParlaMint-NO_2001-01-11.ana.ud1457e33	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-11	2001-01-11	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-11	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2001-01-11	ParlaMint-NO_2001-01-11.ana.ud1457e63	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-11	2001-01-11	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-11	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2001-01-11	ParlaMint-NO_2001-01-11.ana.ud1457e70	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-11	2001-01-11	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-11	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.GBR	Breimo, Gunnar	M	1939	
ParlaMint-NO-en_2001-01-11	ParlaMint-NO_2001-01-11.ana.ud1457e85	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-11	2001-01-11	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-11	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.OHE	Hedstrøm, Øystein	M	1946	
ParlaMint-NO-en_2001-01-11	ParlaMint-NO_2001-01-11.ana.ud1457e96	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-11	2001-01-11	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-11	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_2001-01-11	ParlaMint-NO_2001-01-11.ana.ud1457e116	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-11	2001-01-11	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-11	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.BHH	Hanssen, Bjarne Håkon	M	1962	
ParlaMint-NO-en_2001-01-11	ParlaMint-NO_2001-01-11.ana.ud1457e129	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-11	2001-01-11	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-11	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ML	Lund, Morten	M	1945	
ParlaMint-NO-en_2001-01-11	ParlaMint-NO_2001-01-11.ana.ud1457e138	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-11	2001-01-11	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-11	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2001-01-11	ParlaMint-NO_2001-01-11.ana.ud1457e154	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-11	2001-01-11	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-11	-	Reference	English	Regular	MP	notMinister	TF	Tverrpolitisk Folkevalgte (Kystpartiet)	-	Centre-right	person.SEBA	Bastesen, Steinar	M	1945	
ParlaMint-NO-en_2001-01-11	ParlaMint-NO_2001-01-11.ana.ud1457e182	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-11	2001-01-11	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-11	-	Reference	English	Regular	notMP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.OGRE	Gregussen, Otto	M	1956	
ParlaMint-NO-en_2001-01-11	ParlaMint-NO_2001-01-11.ana.ud1457e216	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-01-11	2001-01-11	Unicameralism	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-01-11	-	Reference	English	Regular	MP	notMinister	TF	Tverrpolitisk Folkevalgte (Kystpartiet)	-	Centre-right	person.SEBA	Bastesen, Steinar	M	1945	
