ParlaMint-NO_2001-03-21.ana.ud39e27	The called alternate of the Vest-Agder counties, Anne Berit Andersen, has taken the seat.
ParlaMint-NO_2001-03-21.ana.ud39e35	The President will propose the election of a President-in-Office of the European Parliament today – and consider it adopted. The President is asking for proposals from the President-in-Office.
ParlaMint-NO_2001-03-21.ana.ud39e40	I allow myself to propose Per Ove width.
ParlaMint-NO_2001-03-21.ana.ud39e45	Per Ove Width is proposed as president. – Other proposals are not available, and Per Ove Width is unanimously elected President of today’s meeting. The representative of Mr Øystein Djupedal will make a private proposal.
ParlaMint-NO_2001-03-21.ana.ud39e50	On behalf of the representative Kristin Halvorsen and myself, I would like to make proposals for the management of the petroleum fund, which takes care of fundamental concerns about both the environment and human rights.
ParlaMint-NO_2001-03-21.ana.ud39e55	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2001-03-21.ana.ud39e76	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: Prime Minister Jens Stoltenberg State Council Terje Moe Gustavsen The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, wish to ask themselves the main questions asked. – We'll start with the first main questions, from the representative Jan Petersen.
ParlaMint-NO_2001-03-21.ana.ud39e92	My question goes to the Prime Minister. There is a broad consensus that reforms in the petroleum sector are needed to increase value creation, so that we can get more out of the North Sea. Now, however, Norwegian policy is so fragmented that it is highly desirable to build broad consensus that can stand. I have understood that the Prime Minister has also wanted to reach a broad consensus between several parties, but it now seems suddenly to be stated by the Labour Party. My question to the Prime Minister is: why has he now given up his idea that we should have a broad consensus on the petroleum policy?
ParlaMint-NO_2001-03-21.ana.ud39e103	My and the Government's main objective with the conversion of the state ownership that we have presented to the Stortinget has been to achieve a better and more efficient management of the oil and gas resources on a Norwegian base. That is why we believe that something should be managed more actively by the companies, and we have suggested that. But in addition, it has been to secure the state's, community's, income, because these are incomes that we use to fund pensions, kindergartens, health, school and many other good purposes. Therefore, it is appropriate to be very careful to sell over large shares of the country's current direct holdings in the oil and gas sector, because it is one of the country's most important sources of income, which we use to finance school, welfare and many other important purposes. That's also why we've been held back from going too far in increasing the sales of state ownership. I believe that there is still a basis for broad consensus, partly because – as I understand it – there is a broad consensus in terms of extended ownership of Statoil and a stronger Statoil, and because there is a broad consensus that some of the country's direct holdings should be used to strengthen the companies, and then there is some disagreement about how much to use.
ParlaMint-NO_2001-03-21.ana.ud39e110	Is it not true that there is such a disparity in the Workers' Party that they are so out of control of the internal dispute that they do not have the strength to work with a broad compromise? It's pretty neat to, among other things, The Minister for Oil and Energy has lost – that was the title of the Evening Post on 20 March. And if the Prime Minister does not intend to move a single position in relation to what he has presented to the Stortinget, yes, then it is not possible to create a broad compromise. The reality is that the party has deprived the Prime Minister of the opportunity to create this broad and desirable compromise. Does it not seem to the Prime Minister that it is simply a defeat that he is not given the opportunity to exercise the necessary leadership in this matter?
ParlaMint-NO_2001-03-21.ana.ud39e117	No, on the contrary, I feel that the Government and I, as Prime Minister, exercise leadership in this matter, on the one hand by getting the case proposed for the Stortinget. It was a major and comprehensive reform, in which the previous government failed to conclude and come up with proposals. There was discussion in the Workers' Party, but we have the ability – although we have different positions – to take decisions and implement these decisions, as we did at the national meeting last autumn. It was taking leadership and taking responsibility for making a good proposal for the Storting. It is also taking leadership to say that we have been willing to negotiate, we have been willing to adjust our proposals, but we are not willing to adjust them as much as the Right, Left and Christian People's Party insisted on in the last few rounds here in the Storting. I still believe that there is a basis for broad agreement on the main elements of the ownership of Statoil, that part of the BEES should be used. But few percentage points here are several tens of billions of dollars, and there's every reason to be careful about selling out too much of the country's direct holdings. It should also be right-wing.
ParlaMint-NO_2001-03-21.ana.ud39e124	There will be follow-up questions – Gunnar Kvassheim.
ParlaMint-NO_2001-03-21.ana.ud39e127	The Prime Minister said he was not willing to adjust as much as the Left, Right and Christian People's Party wants. Now it's saying that the adjustment we want is a significantly less adjustment of the shares to be sold than the Workers' Party's states on the West want and go in for. So this is a moderate adjustment. The Prime Minister has said that it is important to get through the percentage of 20 proposed by the Government in relation to the sale of DEE. Now, the government might have to choose between holding on to this percentage and holding on to the distribution between Statoil, Hydro and other companies in the proposition. If it happens that the Government can't get through its arrangement in both areas, what is the most important thing: to keep the percentage, or to keep the distributions between the companies, as one has worked through and presented in the proposition?
ParlaMint-NO_2001-03-21.ana.ud39e134	The representative Kvassheim represents one centre party who was in government for two and a half years and who was not at all able to decide what they thought about this matter. There's discussion in many parties about this, and there's obviously discussion among the former government parties. The Labour Party has also had a discussion, but we also have the ability to make decisions, conclude and submit proposals, and it did my government a short time ago. So after a thorough review, we've meant 20 pst. is sufficient to take out the efficiency gains, the coordination gains, on a Norwegian base that we believe companies can take out. There is no need to sell any more because it may weaken the income base of the country. There's income left and all other parties are very good at spending on many good purposes, and that's fine, and that's why we need those revenues. I think we're all wise not to negotiate in an open-ended hall. There have been discussions in the committee, and I hope that there is still dialogue between the parties in the committee.
ParlaMint-NO_2001-03-21.ana.ud39e144	Kjell Magne Bondevik – for follow-up questions.
ParlaMint-NO_2001-03-21.ana.ud39e147	I agree with the Prime Minister that negotiations should not be held in the Chamber on a matter which is now under consideration in the Committee. But now the Prime Minister has given great attention to the fact that his government has presented a lot of major issues to the Stortinget – the petroleum reorganization is one; the reorganization of the Defence is another. But it's going to be completely wrong when he tries to give the impression that it's just a worker party government that would be able to do it. The cases were prepared, and no matter what government they were sitting there, they would be submitted. A lot could be said about the history and also about the contact we had with the Workers' Party in this matter, which showed that the Workers' Party was far from mature to take a stand at an earlier time. But I'm going to let that lie. One thing is to have these things presented, another thing is to deal with them so that one can get a broad political collection on matters of great national importance. It obviously doesn't have the ability of the Working Party right now. In the case of petroleum, they have their locked positions and show a lack of flexibility, in the case of defence, they put this forward without prior contact, and it has made a broad settlement much more difficult. Does the Prime Minister see that the Government must work in another way and take inward that it is a minority government?
ParlaMint-NO_2001-03-21.ana.ud39e156	We're going to negotiate, and we're going to have dialogue in Stortinget. And we have ten years of government experience – from 1986 to 1997 – where we had a majority in various ways for the majority of the major issues we presented to the Stortinget, obviously with some adjustments during the treatment in Stortinget. And I am absolutely sure that all the experience of the Workers' Party in negotiating things in place in Stortinget will also prove to work in ours in connection with the major issues we have now put in. But an important principle is not to conduct negotiations in the main hall, but to run them in the committee. It is not possible to get past the fact that the centre administration had to postpone any proposal on the petroleum activity. We had a deep disagreement, and the center parties still disagree. The working party has shown an ability to take a stand, we took a stand and have presented it. We have also shown our willingness to change and adjust the proposals we have made, but not as much as the Christian People's Party has wanted. My impression was that the Christian People's Party believed that 20 pst. was mostly made. Now the Christian People's Party obviously believes that you have to sell significantly more than that, and I regret that.
ParlaMint-NO_2001-03-21.ana.ud39e163	Steinar Bastesen – for additional questions.
