ParlaMint-NO_2001-04-26-2.ana.ud1107e15	The representative of Ivar Østberg has asked for the floor to withdraw a private proposal.
ParlaMint-NO_2001-04-26-2.ana.ud1107e18	On behalf of the representative Odd Holten and myself, I want to inform you that I am withdrawing Document No. 8:95 on labour market measures «Precious sheltered employment».
ParlaMint-NO_2001-04-26-2.ana.ud1107e23	The notification by the representative of Ivar Østberg that these proposals have now been withdrawn is taken into account.
ParlaMint-NO_2001-04-26-2.ana.ud1107e35	At the request of the Committee on Energy and the Environment, the President will propose that the debate be limited to 1 hour and 25 minutes and that speaking time be allocated to the groups as follows: Working Party 20 minutes, Christian People's Party 10 minutes, Right 10 minutes, Advance Party 10 minutes, Center Party 10 minutes, Socialist Left Party 10 minutes, Left 10 minutes and Twist Party 5 minutes. Furthermore, the President will propose that there be a possibility of a replacement of lines of up to three lines with replies after the speeches of the main speakers for each party group and five lines with replies after the posts of members of the Government. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – This is deemed to be adopted.
ParlaMint-NO_2001-04-26-2.ana.ud1107e46	State power should play a central role in the comprehensive restructuring of the power industry in Norway and Europe. It assumes a financial strengthening of the entity. The government proposes adding NOK 6 billion to new deposit capital and opening up another DKK 10 billion to the increased loan and guarantee framework. In Stortingen there is a broad consensus that Statkraft is an important player in the power industry. There is also a clear majority who want to use State power to exercise public ownership. The State arena is the European market, with a solid position in Norway as a foundation. The deposit capital and the extended loan and guarantee framework currently under discussion are to be used mainly for purchase in Norway. It is suggested that the company will need an additional DKK 8 billion in deposit capital in 2004 and an extension of the loan and guarantee framework. In the latter case, it has been suggested an extension of NOK 12 billion. Thus, in total, it is 36 billion kroner in deposit capital and extended loan and guarantee frameworks over a three-year period, which are mainly to be used for purchase in Norway. There is a clear atmosphere in the Storting to give Government a financial strength. The Right Party and the Advance Party have wanted to solve this by privatisation. State power shall play a central role in Norway. The Committee has discussed the central importance of this role. The Right Party, the Advance Party, the Christian People's Party and the Left believe that it is important to clarify exactly this question. The goal is a powerful company of a certain size. On the other hand, the company is in the process of gaining a dominant position in the Norwegian market through its direct and indirect ownership. The four lots consider that if the additional buying-in plans available are implemented, the company may be given such a dominant position as to undermine free competition in the market. One assumes that the competition authorities follow the situation closely. It is necessary to clarify whether the role of State power in the restructuring of the power market may undermine the important principle of the deregulation of the market adopted in the context of the 1990 Energy Act. If Statkraft carries out planned acquisitions, the dominance will be significantly enhanced. In the current year, one could arise in a situation where the company has an influence of more than 60 p.m. of the power generation. State power will sit in most enclosed spaces where important decisions in the power industry are made. The company has a unique position to coordinate and optimise its own interests. This is not in the interests of consumers. The result may be higher electricity prices than in a market with more heavy players. We are at a crossroads where political authorities need to make a clarification. One has to think about the space to be created for other actors in the power industry. In my view, there is a need to stimulate the development of different competences and to open up diversity and competition. We need other major actors who can exercise national ownership in this important area. The Workers' Party, SV and the Center Party support the Government's proposal. They stress that even though State power is high in Norway, they are small in the Nordic region, which they believe is the natural market to deal with. They therefore believe that Statkraft’s share of the Norwegian market is of less interest. The Parties will otherwise explain their views in the submissions of their respective representatives. The left wants a strong State force, we want it to be a central player in Norway, with a foreign involvement. However, this central role does not depend on the company’s overall dominance in Norway. The left therefore believes that it must be a prerequisite for capital expansion to take place in a way that does not block the development of strong companies based on municipal and municipal ownership. This can be achieved by the fact that State power under direct and indirect ownership does not have an influence in more than 50 pst. of Norwegian hydropower production. This means that input funds can be used for purchases in companies where State power is already inside, it can be used for foreign involvement or for restructuring by a seller going out into some companies to enter into others. There has been no willingness to make such a premise during committee proceedings, and therefore the Left will vote against the company being given new capital. There is a majority to add new capital to State power, the new thing is that there is a very scarce majority doing so without reservation and on the recommendation of the Government. During the committee proceedings, the competition situation in the Norwegian power market and the role of the Competition Authority were the subject. So the government and the majority believe that it is wrong to talk about a Norwegian market in this context. After the Committee had completed its work, we were informed that the Competition Authority, in connection with the acquisition by Statkraft of shares in Vestfold Kraft and the municipal power company of Skiensfjorden, stated that it was concerned that Statekraft was in the process of controlling such a significant share of the regular production that market power could be exercised in South Norway. It was not known to the committee when we did our treatment. And it's worth noting that while the Government and the majority will not deal with a Norwegian market, the Competition Authority is concerned about the South Norwegian market. The concerns of the Competition Surveillance Authority have also been expressed in other ways and after the Committee has given its opinion. In an interview with TV 2, a representative of the Competition Authority states that there is a critical need for State power to be given new billions and more power. It is believed that when an actor has such great power in the market, it can in turn lead to a higher price. These are, therefore, objections of the Competition Authority to the general general situation and general market situation of Statkraft and not to an opinion in relation to a specific buying-in case. This scepticism is also shared by others. The central statistical agency of researcher Tor A. Johnsen says that Statkraft is a gambler in an otherwise well-functioning competition market, and the company can become a monopoly in parts of the electricity market. If competition is weakened, higher prices may be offered. Johnsen points out that the Competition Authority will deal with each case when it comes to the table, but there is reason to lead where, says the representative of the Statistical Central Bureau. It will be very difficult to break up state power later, if you've already allowed a merger or a buy-up. I also believe that this scepticism is widespread in the industry and, in this respect, shows that the CEO of Bergen Energia, Bill Schjelledrup, says to the TV 2 news that the introduction of SEK 16 billion to State power will have a long-term, permanent impact on price developments in Norway – i.e. not individual purchases, but the general allocation of capital will have this effect. This is a problem that should have been addressed and addressed more thoroughly both by the Government and the Committee. It is possible that the Committee has not done its job well enough at this point, but all the input made in relation to the Government in order to get the competitive situation informed was rejected because it was uninteresting what was the picture in the Norwegian market. One did not help to gain insight into the general objections that the department was then familiar with and that had been expressed by the Competition Authority in connection with previous purchases. I am disappointed that it is not a majority that will set the framework for Statkraft's place in the Norwegian market. I would like to stress that the Left will not govern State power in relation to single purchases; it must have the freedom to prioritise within the framework that I believe should have been set. Competition supervision and others will ensure that attention is paid to the role of State power in the power industry. Although the company is providing funds, there is an open question of whether State power can implement its purchase plans in Norway as they are now known.
ParlaMint-NO_2001-04-26-2.ana.ud1107e82	It's going to be line change.
ParlaMint-NO_2001-04-26-2.ana.ud1107e85	I have to say that there were eye-catching statements from the rapporteur in the opening of this debate, and that it is the case-rapporteur who is standing today and will send the matter back to the committee. I thought the case rapporteur would have taken this initiative earlier. Now we have voted on it, and the matter is under consideration. Furthermore, I would like to draw the case rapporteur's attention to what the Left has been doing in the past. They have been involved in the adoption of the National Forces’ purpose paragraph in this process. The Right Party and the Advance Party have had and have a different direction on this issue, and I have all respect for that. But the Left has participated in the adoption, at the latest in connection with the Innst. S. No 66 for 1999-2000, that Statkraft should be a strong Norwegian player in the Norwegian and European power market and that muscles should be given to be involved. And the Left has almost helped to bully State power for capital in the past. They've been involved in a 75 pst dividend, and then all of a sudden we discover that the left now is talking about power prices, and now it's time to go to action against Statkraft. Then I would like to ask Left: if we are not going to give muscles to one national company in Norway, who is going to buy the individual power plants around? Well, then it's going to be foreign actors in full moon. I want to see the municipality of Kvassheim when the municipal politicians are going to ask for a loan guarantee of several million to buy up in some company. No, then it's set up against the hospitals. The size, with the Left, has given Government the lead to State power being dominant in the Norwegian market and buying up to ensure public ownership of these important resources in Norway. I agree with the case rapporteur on one point, that monopoly is a notch, and we shall take care of that. However, he must not agree that the Competition Authority should direct Stortinget in what they do – the Competition Authority should take a concrete stand on each case. And so I would say: it was remarkable that the Left came at power prices today – they have been active in the market and said that power prices must rise. We've heard that every day from the Left.
ParlaMint-NO_2001-04-26-2.ana.ud1107e98	The President would argue that the term 'robbe' does not automatically fit into the parliamentary language.
ParlaMint-NO_2001-04-26-2.ana.ud1107e101	The left has always been for the most efficient production and a competition that brings down the prices for the manufacturer, so it is right that we have been accompanied by an electricity charge that helps customers to adjust to prices that make it attractive to save and that raises other alternative production. But operating with monopolists who push up prices has never been left-wing policy. The classical centre position and the position of the left are national ownership of these resources, but it is exercised in a way that does not create a monopoly situation in the market. That's exactly the position that's the classic position of the Left, as opposed to the position of the socialists and the right. I've suspected Tore Nordtun to have made the line before he heard my post. I used large parts of my post just to stress that Statkraft was an important tool to secure the position in the market and exercise national ownership. But what we've decided is that they're going to be a strong actor, not a dominant actor, and I think we're getting a lot of unfortunate results from the dominant role that Statkraft is now in the process of getting. We have a duty to correct for that. I believe that national ownership can also be exercised by having a few regional actors owned by county councils and municipalities that complement Statkraft's ownership. I think that would be a good structure. So I agree with the party trap of Tore Nordtun, Myhre, who is a central energy politician in Rogaland and director of Light Energy. I definitely believe that what I said in my post is well in line with the previous position of the Left on these issues, and definitely in line with what is the classical centre position with balances between right-wing policy and socialist policy.
ParlaMint-NO_2001-04-26-2.ana.ud1107e110	I have a feeling that the left is going one step here and one step there, and then they have to land one place, and that's in the place that they now seem to land, on the right side of the market liberals. In this case, a clear view of what the Left stands for. The left will not be in a multiple that determines that the owner structure, return and concession laws should be fixed - they will not be included. In other words, they want a different structure, so they want to privatize the power sector. And then it's clear that it's a proper strategy to let Statkraft live without money, so that they can survive so far, because then all the other stakeholders, the foreigners, come to take over. That's what the Left wants. They must be honest enough to admit in this matter. It's a policy that SV strongly opposes. If the Left does not believe this, they should support the policy that SV stands for in its proposal, simply go in for the minimum price, or go in order for municipalities to be able to borrow cheaply, so that they can be involved in the fight for the different companies. But they don't want to go along with that either. And as the crown of the work, they will also not be involved in any environmental policy leadership on how to run the company. When SV proposes that a policy be pursued in accordance with the Kyoto agreement, so that a non-buy is not contrary to it, or that a non-buy into nuclear power, Left says that they are purchased where they want to. No, one step here and one step there, now the left country has to go. And I think they have countries where they belong: on the right hand side of Norwegian politics.
ParlaMint-NO_2001-04-26-2.ana.ud1107e121	SV has submitted in the vote proposals which are made as conditions, as reservations. It's going to be at the minimum price, and it's going to be an opportunity to give the municipalities cheap loans. Then one would believe, as the Left did, that when the reservations were not taken into account, the consequence was taken and the vote was different. SV has here waved with these good goals and knew that there is no majority for them, and then they obediently stand behind the Workers' Party and Statkraft for a policy that means that Statkraft is free to use its money to build up in gas power production, buy into foreign companies engaged in nuclear power production, etc. So if we go one step here and one step there, SV goes a long trip here and a long trip there. I am committed to stating that what we are doing in this matter is good in accordance with the policy of the Left. We are committed to the concession policy. We don't want to privatize Statkraft. It is clear from the setting that we do not want to privatize Statkraft, and I have assured Langeland on a number of occasions that we are also committed to the concession law, which is closely linked to the history of the Left. We want national control of these resources, and we have provisions today that help to ensure that. What is the alternative to Statkraft, as we see it, is to create some robust regional actors with county municipalities and municipalities as dominant owners.
