Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-04-26-upper	ParlaMint-NO_2001-04-26-upper.ana.ud199e62	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-26	2001-04-26	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-26	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PEM	Monsen, Per Erik	M	1946	
ParlaMint-NO-en_2001-04-26-upper	ParlaMint-NO_2001-04-26-upper.ana.ud199e112	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-26	2001-04-26	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-26	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-04-26-upper	ParlaMint-NO_2001-04-26-upper.ana.ud199e115	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-26	2001-04-26	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-26	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.PETL	Løvik, Petter	M	1949	
ParlaMint-NO-en_2001-04-26-upper	ParlaMint-NO_2001-04-26-upper.ana.ud199e201	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-26	2001-04-26	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-26	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-04-26-upper	ParlaMint-NO_2001-04-26-upper.ana.ud199e224	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-26	2001-04-26	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-26	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-04-26-upper	ParlaMint-NO_2001-04-26-upper.ana.ud199e236	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-26	2001-04-26	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-26	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PEM	Monsen, Per Erik	M	1946	
ParlaMint-NO-en_2001-04-26-upper	ParlaMint-NO_2001-04-26-upper.ana.ud199e257	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-26	2001-04-26	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-26	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-04-26-upper	ParlaMint-NO_2001-04-26-upper.ana.ud199e260	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-26	2001-04-26	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-26	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.AUG	Gaundal, Aud	F	1949	
ParlaMint-NO-en_2001-04-26-upper	ParlaMint-NO_2001-04-26-upper.ana.ud199e293	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-26	2001-04-26	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-26	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-04-26-upper	ParlaMint-NO_2001-04-26-upper.ana.ud199e310	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-26	2001-04-26	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-26	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2001-04-26-upper	ParlaMint-NO_2001-04-26-upper.ana.ud199e322	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-04-26	2001-04-26	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-04-26	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.ABS	Stråtveit, Anne Brit	F	1947	
