ParlaMint-NO_2001-02-21.ana.ud63e36	The representative of Kenneth Svendsen will make a private proposal.
ParlaMint-NO_2001-02-21.ana.ud63e39	On behalf of the big business representatives Per Erik Monsen, Øyvind Korsberg, Ulf Erik Knudsen and myself, I would like to suggest that we speed up the tax reduction on petrol adopted from 1 July 2001 to 1 March 2001.
ParlaMint-NO_2001-02-21.ana.ud63e44	The representative of Terje Johansen will make a private proposal.
ParlaMint-NO_2001-02-21.ana.ud63e47	On behalf of the major representatives of Terje Johansen, Odd Einar Dørum and Lars Sponheim, I propose to turn Norway's agricultural high school into «Green University».
ParlaMint-NO_2001-02-21.ana.ud63e52	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2001-02-21.ana.ud63e73	On Monday the Stortinge received a message from the Prime Minister's office that the Councils of State will meet Bjørn Tore Godal, Jørgen Kosmo and Siri Bjerke for oral Question Time. The announced members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. – We then start with the first main question, from the representative of Ingvald Godal.
ParlaMint-NO_2001-02-21.ana.ud63e82	I would like to ask the Minister for Defence the following questions: The state councils have now, at several conditions, painted out with wide pen the major problems our defenses have today. There is a broad deal about that issue, but I think the Minister of Defense has been jumping over one of the main reasons why it is so bad, and it is that in the whole of the 1990s, the Labour Party has never, not once, followed up its own long-term plans and its long-term plans in the annual budgets. If the Labour Party had done this, they would have received the Subsidiary support of the Right, and so we would have been in favour of the Defence, and we would have had the defence-policy agreement that many people are talking about. My question is: what can we now expect the Minister of Defence to do in order to get his way in his own party?
ParlaMint-NO_2001-02-21.ana.ud63e91	I'm afraid even with the Right Defence Budget, our current defense would be in crisis. In fact, if we are to maintain the current structure of defence, the annual defence budgets should be about 50 pst. higher than they are today. This is not because defence ministers or heads of defence have suddenly become dumber than before, but it is because of the underlying assumptions in terms of price growth, investment costs, foreseen savings – all this has largely not been done. And even if you had come out on a higher level, cf. Right-hand alternative state budgets, we'd probably just extended the stick rather than solve the problems. However, it has not been said that it is not a problem that we have removed ourselves from the ground through the annual budgetary procedures, in the sense that we have fallen below the framework requirements of the long-term programme in force at all times, but no worse than Norway being on the average of the European NATO countries. So it's not that bad, and you can ask the question, is there any reason to think that we should be much higher than the average of the European NATO countries? So to the extent that there's an accusation against the Workers' Party and the Center Parties here, I would say, we're not so bad at the landscape as to the ability and the will of our society to bet. But then I agree with my name brother that it is a goal to ensure that we get more stable and predictable conditions over the next four years. That is why we have now promoted a long-term proposition for Stortinget, which the representative is given full opportunity to influence more than many others, which contains a package of organisational measures, along with an economic level. And then we're venturing the idea of a defence policy settlement, where the parties on the Stortinget can be expected to enter into a binding agreement on the budgetary level for four years. It is a technique that has served well in Denmark. I believe that we have a lot to learn both there and elsewhere, and this is a positive response to the representative's invitation when it comes to a different and more long-term course.
ParlaMint-NO_2001-02-21.ana.ud63e100	One can say a lot about this. But the main point here is that when Stortinget sets a plan, one must follow up with the annual budgets if we are to avoid misinvestment and re-enter into what we are today. If one doesn't follow up that way in the future, it'll only be a matter of short time before we're in the same mess, but at a much lower level, where we can barely talk about having a defense at all. At last year's budget, this was very topical with the pilot situation. We did something about it then, but we're still getting messages about pilots who's been outstretched and slinged, and don't get flights. We see in the papers that only a fraction of our aircraft can be used for the purpose. Although the pilots have also said that they are willing to participate internationally, there is only one fraction that is operating in a proper way, despite the fact that we have spent billions updating our flights. This is totally unsustainable. I want to ask the Council of State if he will now make sure to correct this, which the Storting was very busy last fall, and present the necessary budgetary changes in connection with the revised national budget to spring.
ParlaMint-NO_2001-02-21.ana.ud63e107	The current year’s budget is not a major contribution to solving the defence problems — on the contrary, it is the last of the old-fashioned defence budgets. It's the ones we have to abolish, and we have to abolish that by taking a new combined grip, which we've invited the Stortinget to take in the spring session, so that we just have money at the pointed end of the defense, to keep planes in the air, to keep the vessels out of the sea and not to dry up on the emergency storage. I made it quite clear in the presentation of this year's budget that this year's budget is the last of the old, self-burdening budgets before we get to the necessary steps for, among other things. to address some of the challenges faced by the representative of Ingvald Godal both today and in the past. But without this overall grip, it doesn't hold to subsidize any tens of millions of dollars. It's a trick on an old defense that's ripe for fall. We have to take a new joint approach to create a better defense for the future, and then we'll see what we can do through the year compared to the last of the old-fashioned defence budgets.
ParlaMint-NO_2001-02-21.ana.ud63e112	There will be follow-up questions – Jan Petersen.
ParlaMint-NO_2001-02-21.ana.ud63e115	It is well clear that a new collective grip must at least be something more than a ‘gathering on the bench’, which gives the impression that the government’s arrangement is now. Last weekend, the Minister of Defense gave an interview to the evening post, where his points and reasons for reducing defence as strongly as he is now doing are that there is no invasion hazard now. Doesn't the Minister of Defense have a problem with the target? Isn't the point of the Defense that it has to be able to cover up situations that can change quickly and unexpectedly? Isn't the whole story of the last century the history of the rapidly changing assumptions to which it was not possible to guess in advance? Does not the Minister of Defense agree that he simply came a little wrong out of the interview he gave last weekend?
ParlaMint-NO_2001-02-21.ana.ud63e120	No, I don't agree with that. But yes, I agree that defence consists in preparing for the unforeseen. My main point of view, which emerges from the interview, but not the headline, is as follows: April 9 is a less likely scenario in the next few years than many of the other imminent threats the defense is facing. That is why, like all other NATO countries, we need to plan for a broader set of challenges. We cannot build up the defence so far that we cannot rebuild a wider mobilization defence than we have today, but we also have a wide range of other challenges that we are too poor to address, cf. The ability to deal with more limited attacks, sovereignty monitoring and resource enforcement in our large seas, ‘Course’, Kosovo — all NATO countries are now planning for a broader set of challenges than just waiting for the invasion from the east. I don't think it's that stupid, because there's a lot of evidence that at least it doesn't materialize with the first. But of course we're not going to lose our ability, we're going to have that ability in the future, and I'm referring to the proposition.
ParlaMint-NO_2001-02-21.ana.ud63e126	Lars Rise – for follow-up questions.
ParlaMint-NO_2001-02-21.ana.ud63e129	I understand that on the Council of States he is interested in a wide-ranging defence policy settlement – it was also expressed here – and that one wants a majority behind the proposition that is now presented to the Stortinget. The question was also raised at the press conference of the Council of State on Friday. He was then asked by a journalist about how he thought he would get a majority for this proposition, especially with reference to Bondevik's critical comments just before. The council then replied that he had had very close contact with the defence spokespersons and had had conversations, so he felt confident that a majority behind the proposals in this proposition would be obtained. I would like to ask: Where and when have these conversations taken place, and who has he been having conversations with?
