ParlaMint-NO_2001-06-07-upper.ana.ud2026e162	Unit is deleted.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e174	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e188	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e202	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e216	On behalf of the Labour Party and the Socialist Left, I would like to make the following proposal: ‘Non-contributory decisions are not accepted.Note: in the first sentence of Section 10-1 of the first paragraph, Romans, the first sentence of Section 10-1, is assumed to be replaced by the following:‘This chapter applies to derivatives of goods made up with the assistance of a clearing house as referred to in Section 6-1, future interest rate agreements [[FRA]]
ParlaMint-NO_2001-06-07-upper.ana.ud2026e230	Mr Dalheim has put forward the proposal he has now referred to. Several have not asked for the word.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e240	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e252	On behalf of the Labour Party and the Socialist Left, I would like to make the following proposal: ‘The decision of the nodule is not accepted. 1st@item: inlistbox § 14-2 is assumed to be replaced by the following:‘Infringement feeCredit supervision may impose an infringement fee on the State in the event of violation of §3-1 and §3-3, first subparagraph.Decisions on an infringement fee are mandatory grounds for outlays.The Ministry may provide detailed rules on the implementation of the rules of this paragraph, including on the amount and calculation of the fee, recovery, payment deadline and appeal period’2. § 14-2 becomes new § 14-33. Paragraph 14-3 becomes new § 14-4 and shall be replaced by the following:‘PunishmentWith a fine or imprisonment of up to six years, it shall be punished if intentionally or negligently infringes the first paragraph of Section 2-1 or the first or second subparagraph of Section 2-6. With fines or imprisonment up to 1 year, it is punished as intentional or negligent:1. violates § 2-2, § §2a-1 to 2a-7, § 2-6 third paragraph, § 5-1, § 5-7, § 5-8, § 6-1 first paragraph, § 6-5, § 7-1, § 7-11, §§ 8-2 to 8-8, §§ 9-3 to 9-8, § 11-3 or § 12-2.2. infringes § 2-3 if inside information is available in the company,3. provide misleading or incorrect information in prospectuses, advertisements, etc. as referred to in Section 5-5,4. infringes the obligation of Section 9-1, first paragraph, No. 3 to hold financial instruments and funds belonging to investors separately from the entity,5. violates the obligations imposed by law in Sections 12 to 4 or 6. gross or repeated breaches of §§ 2-5, 3-1 or 9-2. Penalties punish the one who deliberately or negligently infringes § 3-2 or grossly or repeatedly infringes § 3-3. Participation is punished in the same way. Infringements of the second and third subparagraphs are offences irrespective of the size of the sentence. Charges shall take place only where the general interest so requires.’»
ParlaMint-NO_2001-06-07-upper.ana.ud2026e311	Erik Dalheim, on behalf of the Labour Party and the Socialist Left, made the proposal he referred to. Several have not asked for the word.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e321	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e333	I refer to the debate in Odelstinget and would like to make the following proposals on behalf of the Right and the Progressive Party: ‘The decision of the Nodelsting is not accepted.Note: It is recommended to the Odelstinget to refer to the legislative proposal.’
ParlaMint-NO_2001-06-07-upper.ana.ud2026e345	Siri Frost Sterri, on behalf of the Right Party and the Progress Party, made the proposal she referred to. Several have not asked for the word.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e355	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e367	On behalf of the Labour Party and the Socialist Left, I would like to make another well-founded proposal: ‘The decision of the Nodelsting is not accepted.Note: It is recommended to the Odelstinget to refer to the legislative proposal.’
ParlaMint-NO_2001-06-07-upper.ana.ud2026e379	Erik Dalheim, on behalf of the Labour Party and the Socialist Left, made the proposal he himself referred to. Several have not asked for the word.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e389	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e401	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e415	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e430	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e444	I refer to the debate in Odelstinget and allow myself, on behalf of the Progress Party, to make the following proposals: ‘The decision of the nodule is not accepted. 1st@item: inlistbox Paragraph 33a, first paragraph, is assumed to be replaced by the following:‘The Board of the Court of Justice consists of seven members with personal representatives. The King appoints two lawyers, the Supreme Court appoints three judges, and the Grand Duchy elects two members to the Board. The Supreme Court may appoint another duly qualified representative of the courts instead of one of the three Judges. The King shall determine the member who shall be the head of the Board of the Court of Justice.»2. Paragraph 55a, first paragraph, should be assumed to be replaced by the following:‘The appointing board for judges shall give up the appointment in connection with the appointment of judges and shall appoint individual institutions in accordance with the provisions of Sections 55(e) and 55(f). The King appoints a lawyer and a lawyer to the public, the Supreme Court appoints three judges, and the Storting elects two members to the Constitutional Council. The king shall determine the member who shall be the head of the Council of Deputies.»3. § 235, first paragraph, is assumed to be replaced by the following:‘The Court of Justice is dealing with complaints and is considering disciplinary action against judges. The Court of Justice consists of five members with personal alternates. The King appoints a lawyer, the Supreme Court appoints two judges, and the Grand Duchy elects two members as representatives of the public to the Court of Justice. The King shall determine which member shall be the head of the Court of Justice.’ In the following provisions, the words ‘the Committee of Supervisors’ shall be replaced by ‘the Supervisory Board’: §§ 236, 237, 238, 239 and 240.’.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e472	Per Erik Monsen, on behalf of the Progress Party, has put forward the proposal he has now referred to. Several have not asked for the word.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e482	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e494	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e508	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e522	I refer to the debate in Odelstinget on this matter and will make the following proposals on behalf of the Christian People's Party, the Progress Party and the representative of Stolt-Nielsen: ‘The decision of the Nodelsting is not accepted.Note: It is recommended to the Odelstinget to refer to the legislative proposal.’
ParlaMint-NO_2001-06-07-upper.ana.ud2026e534	Elsa Scarbøvik, on behalf of the Christian People's Party, the Progress Party and the representative Stolt-Nielsen, made the proposal she has now referred to.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e537	I must be allowed to leave here and refer to the fact that my group was not present in the debate in Odelstinget. Here there has been a mistake somewhere on the way from the committee to massaging, which I regret. Of course, I take self-criticism that I had not read through the setting when it was in Odelstinget. In the event of a mistake, I came into a comment on page 3 of the vote, which also leads me into the proposal of the Christian People's Party and the Advance Party. That is not correct in relation to the work done in the committee and in relation to the position my group has on this question. I therefore ask that this be corrected. I was made aware of the error of members of the committee, who were not likely to say anything in Odelstinget because I was not present. They could not correct the impression they also had, that there was a mistake here. So I take self-criticism that I had not checked the printed setting, and I ask that this be corrected. I do not support the proposal of the Christian People's Party and the Advancement Party.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e548	The representative, Stolt-Nielsen, then explained his position on the matter. The proposal put forward by Elsa Scarbøvik is then to change so that the proposal has been promoted on behalf of the Christian People's Party and the Advance Party. Several have not asked for the word.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e558	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2001-06-07-upper.ana.ud2026e570	On behalf of the Labour Party and the Socialist Left, I would like to make the following proposal: «The decision of the nodule is not accepted.Note of the layering:Romantal In the second sentence of the first paragraph of Section 8, second sentence is assumed to be replaced by the following:The information shall, as far as possible, be provided without individualising characteristics.»
