ParlaMint-NO_2001-12-05.ana.ud1368e69	Representative Rolf Terje Klungland will make a private proposal.
ParlaMint-NO_2001-12-05.ana.ud1368e72	On behalf of Sylvia Brustad, Olav Aksensen and myself, I will make proposals for increased investment in energy recovery in industry.
ParlaMint-NO_2001-12-05.ana.ud1368e77	The representative of Åslaug Haga will make a private proposal.
ParlaMint-NO_2001-12-05.ana.ud1368e80	On behalf of Eirin Faldet, May Hansen and myself, I will present proposals on structural changes and framework conditions to the NRK.
ParlaMint-NO_2001-12-05.ana.ud1368e85	The proposals will be dealt with in a regulatory manner. According to the decision of the closing meeting recently held in Stortinget, case No. 2 on the agenda for the closed meeting, entered on the supplementary agenda for this meeting. President. — I call the Group of the European People's Party (Christian Democrats) and European Democrats. 1 on agenda No 22 and the matter on the supplementary agenda, No. 23, be treated together. – No objections have been raised to this proposal and it is deemed to have been adopted. Before considering the issues on today’s map, the President will propose that the morning meeting – if necessary – continue beyond the regulatory time, at 1 p.m. 15 until today's map has been processed. – No objections have been raised to the President’s proposal and it is deemed to have been adopted.
ParlaMint-NO_2001-12-05.ana.ud1368e112	Before the debate starts, the President will be able to make presentations by the Minister for Foreign Affairs and the Minister for Defence on the matter on the supplementary agenda.
ParlaMint-NO_2001-12-05.ana.ud1368e115	Today, I want to explain the current situation in Afghanistan and the various Norwegian contributions to the fight against international terrorism. Furthermore, I would like to address the legal framework for dealing with the issue of possible strengthening contributions to operations in or by Afghanistan. The fight against international terrorism has a long-term perspective and requires a broad range of instruments. Norway is actively participating in this fight, both politically, economically, legally and militarily. In the global coalition against terrorism, the UN plays a crucial role. The starting point for our joint action is the Security Council decision, which is binding on all UN Member States. The Council has instructed all States to cooperate in the pursuit of those responsible for the terrorist attacks against the United States. In Resolution 1368, the Security Council stated that the terrorist attacks were a threat to international peace and security and underlined the US's right to self-defence under Article 51 of the United Nations Charter. In Resolution 1373, the Council instructed all States to implement measures to halt the financing of international terrorist activities. Through our membership of the Security Council, Norway wants to strengthen the role of the United Nations in the fight against international terrorism. We have therefore actively supported the initiatives and decisions taken in the framework of the UN. Norway was, among other things, the first country which adopted the necessary legal basis for the implementation of Resolution 1373 and which reported in detail on the follow-up to the Anti-Terrorism Committee of the Security Council. For Norway as a NATO member, we are also obliged – by decision of 12 September – to assist the United States in the fight against international terrorism through the collective defence obligations under Article 5 of the Atlantic Charter. The Allies have given full political support and concrete contributions to this fight. Norway also has a clear self-interest in providing such assistance. The Article 5 guarantee has been the backbone of the defence of Norway for more than 50 years – and will continue to do so in the future. The guarantee must be effective and effective when the situation so requires. The fight against international terrorism will also be at the heart of the NATO Foreign Minister's meeting in Brussels tomorrow. Our joint efforts in the fight against international terrorism have also provided a new and positive basis for cooperation between the 19 allies and Russia. This will be of great importance to us, including as one of Russia's neighbouring countries. The international community is now facing significant tasks in Afghanistan: continuing military operations to the terrorists and their supporters have been reduced, facilitating a representative board, stabilising the security situation, stepping up humanitarian aid and contributing to the reconstruction of the country. In order to meet these tasks, a long-term and broad approach is needed, and to provide the necessary resources. The military operations in Afghanistan are directed at Osama bin Laden, his terrorist networks and supporters. It is my clear belief that the vast majority of Afghan people, too, distance themselves from these extremists, and want peace and development – not terror and oppression. The UN-led negotiations in Bonn between various Afghan groups promise the future of Afghanistan. There appears to be an agreement on a transitional administration to facilitate the operation of a representative board. Furthermore, the UN Security Council is requested to authorise a security force — initially in Kabul and surrounding areas. A large number of countries, including several of our closest allies, have already signaled the willingness to participate in such a force. Norway, too, should be in favour of the establishment of such a strength and be prepared to support it. Both humanitarian aid and longer-term aid are important in order to ensure the Afghan people's better future. International aid to Afghanistan has doubled in recent months. For our part, we have increased humanitarian aid to Afghanistan to over 300 million. kr for the current year. For the new year, we are taking over the chairmanship of the donor country group for Afghanistan, ASG. Here we will face major challenges in order to ensure optimal coordination of assistance to Afghanistan. As ASG Presidencies, we will work in particular to ensure that humanitarian aid is seen in the context of the longer-term relief work. Of course, if military aid is involved in humanitarian aid, we will be positive about this. The American-led military operations are crucial for the success of the fight against international terrorism. At the same time, cohesion in the broad international coalition is preserved – across political, cultural and religious divisions. This has been a vital prerequisite for the results so far achieved both in Afghanistan and in the fight against international terrorism more generally. The importance of the international community being united in this struggle cannot be stressed strongly enough. The Taliban regime continues to control important parts of Afghanistan. Despite military decline and extensive desertification, the Taliban is not neutralised as a power factor. At the same time, Osama bin Laden or the leadership of the al-Qaeda terrorist network have not yet been arrested or injured. Military action against terrorists and their supporters must therefore continue. In addition to the broad efforts we are now making, the US military authorities have announced that in the near future we will be able to obtain a request for direct military contributions to the ongoing military operations in Afghanistan. This enquiry must, of course, be seen in the light of our previous assurances that we will make it when we are asked to do so. In this regard, we must not forget that our own security can only be ensured by our being with our allies. This is not least the case in the fight against international terrorism. The government is therefore prepared to respond quickly and positively to an American request. This is important for Norway’s security, and is based on the broad agreement in the United Kingdom that Norway will abide by its NATO commitments – including military contributions to the fight against international terrorism. Several other countries, including several close allies, have also responded positively to similar American requests. A Norwegian contribution to the ongoing military operations will be added to any participation in a future security force. The Minister of Defence will explain in more detail in his statement what contribution it might be appropriate for Norway to make to the different types of operations. At the same time, I would like to take this opportunity to explore the legal framework for dealing with the issue of Norwegian strengths. According to the Basic Law, the King is both the commander of the armed forces and the head of the foreign government. The Government has thus been given authority to direct foreign and security policy. This is done through participation in bilateral and multilateral international cooperation, but also by deciding Norwegian participation in military operations abroad in the management of international crises. Of course, the powers exercised by the Government in this area require the Storting to make available the necessary funds. A specific restriction on participation in military operations abroad follows from the First paragraph of Section 25 of the Constitution. It states that armed forces must not be left in the service of foreign powers. The historical justification for this provision was to affect the tenancy of the soldiers, where the Government in return puts troops at the disposal of a foreign government. In our constitutional practice, this provision has not been considered to prevent participation in operations related to collective crisis management and security arrangements where this is also in Norway’s interest. Examples include our participation in the German Brigade, NATO's common command system, our efforts during the Gulf crisis and NATO operations against Yugoslavia during the Kosovo crisis. The military operations related to the situation in Afghanistan have a clear international legal base. They shall ensure important international common interests and values, including the restoration of international peace and security. The restriction in the first paragraph of Section 25 of the Basic Law on entrusting Norwegian forces in the service of foreign powers therefore does not apply to this situation. Under the second paragraph of Section 25 of the Constitution, consent from the Stortinget is required if it is appropriate to send abroad forces associated with the protection of land or other troops that are not considered as liners. The troops to which this provision applies depend on the army order at all times. The objective of this provision was, in particular during the Union period, to prevent the country from remaining completely defenceless because all military resources were used abroad. The deployment of land protection and similar forces will not be relevant in relation to operations related to Afghanistan. I find in this connection reason to stress that in this case it will be a matter of sending forces that participate with their own consent. It is therefore not a question of sending compulsory personnel. A decision by the Government on Norwegian participation in operations in or in Afghanistan under these conditions will therefore comply with the Basic Law § 25. However, it is safe practice for the Government to consult the extended Foreign Affairs Committee in advance on issues relating to strength contributions to military operations abroad. The purpose of today's grand meeting is to continue consultations with the bodies of Storting, which were launched in the enlarged Foreign Affairs Committee last Friday. The question of the financing of any strengthening aid has also been raised during the consultations. Of course, the government will address the matter with Stortinget as soon as the budgetary needs are clarified. Additional costs related to the preparation and possible deployment of Norwegian forces are assumed to be additionally financed. The Minister of Defence will discuss this further.
ParlaMint-NO_2001-12-05.ana.ud1368e174	A broad international coalition stands united in the fight against terrorism. The fight is demanding, and it will be long lasting. The United States plays a central role, not least because of its management of military operations. The International Coalition has expressed its support to the United States, but it is now high time to give real substance to the statements of support. Norway must also take part in the military burden of the fight against terrorism. The threat of terrorism is relevant to all countries, including us in Norway. Minor nations must demonstrate their ability and willingness to contribute actively in the fight against terrorism, and this includes making relevant military contributions. In addition to our self-interest in participating in the fight against terrorism, it is also crucial for Norway to demonstrate that we have the ability and the willingness to fulfil our collective defence obligations laid down in Article 5 of the Atlantic Pact and the expectations that lie in our long-term and long-term security cooperation with the United States. In the current situation, the Government considers it appropriate to offer Norwegian aid directly to the United States, as other coalition countries have already done. A number of countries, both NATO countries and non-NATO countries, have offered military forces to the ongoing operations, including European countries with which it is natural to compare us, such as Denmark. Norway is the only allied country that is represented at the U.S. headquarters in Florida and has not yet made any concrete possible contribution to strength. Enduring Freedom is the US-led campaign against international terrorism. In the short term, the main challenge for the operation will be to achieve the objectives of the ongoing military action in Afghanistan. The situation is developing rapidly, but the military action in Afghanistan may be long-term. Nor can it be excluded that the operation can be extended and targeted at targets in other countries. However, new policy treatment is reserved if Norwegian forces are to be used in operations other than ongoing operations in Afghanistan. Military support can also be provided in and around Afghanistan to ensure that humanitarian aid is provided to the population. NATO is investigating possible options to support humanitarian aid to Afghanistan in order to request such support from the United Nations. The UN signals are that NATO assistance is not relevant in the current situation, but it cannot be excluded if the situation worsens. Norway has also, together with a number of other countries, received a request directly from the United States if possible for military support for the UN humanitarian work. The United States considers that the coalition can support humanitarian efforts with transport capacities in the first place. The investigations in NATO and the United States are likely to be coordinated over time. The situation in Afghanistan is unstable and it may be necessary to establish an international security force to ensure the necessary stability during a transitional period. The composition, size and mandate of such a force has not been established and it is still uncertain whether such a force will actually be deployed. In principle, however, agreement on such strength was reached during the negotiations in Bonn this week. Although many clarifications remain, I already want to obtain support to provide Norwegian forces. The situation in Afghanistan is unclear and in rapid development and it may be necessary to deploy a security force very quickly when the necessary clarifications may be in place. As part of the international coalition, we have a responsibility to contribute to peaceful and democratic development in Afghanistan. A security force can be an important contribution to ensuring the political stabilisation process, humanitarian aid and the longer-term reconstruction of the country. Auxiliaries organisations have provided for such a strength. However, the detailed assumptions for any Norwegian participation in such an operation will be carefully assessed before deployment. In particular, assessments of the safety of personnel are concerned. The government's list of strength offers contains limited but relevant capacities that are assumed to be in demand and that we can actually provide on short notice if the offer is accepted and the circumstances would otherwise facilitate the participation. It is a prerequisite for participation that the Norwegian contributions are part of an acceptable command, control and logistics arrangement. For participation in the ‘Enduring Freedom’ operation, it will be most topical for Norwegian forces to be placed under the command of the U.S. Central Command in Florida. Attention will be given to the safety of Norwegian personnel. For all contributions, a maximum outsourcing of six months is initially assumed. Strengthening contributions will not have a critical impact on domestic preparedness and staff will be recruited on a voluntary basis. The following military contributions should, in the view of the Government, be offered for operation «Enduring Freedom»: up to six F-16 fighter aircraft, one aircraft for electronic warfare, a limited number of specialists competent in winter operations, a smaller number of staff officers, up to four Bell helicopters, a smaller transport control unit and a smaller number of explosives. The total number of staff could only be determined once we know which support functions Norwegian strength contributions are provided by coalition partners. The number of ground forces is likely to be no more than one hundred soldiers. Furthermore, it is proposed that this list can also be used as a starting point for possible Norwegian contributions to any security force in Afghanistan, in addition to the fact that a watch and security company should be identified as a possible contribution to such a security force. However, the provision of concrete offers of Norwegian forces to a possible security force is too early in the current situation. For humanitarian support operations in and around Afghanistan, provision should be made: one-two transport aircraft — C-130 Hercules — a smaller number of winter training advisers, a smaller transport control unit, a smaller engineering unit, a smaller number of explosive cleaners and a handful of experts with competence in civil-military cooperation, mine clearance and droplets. We have recently received signals from the US military authorities that they want to use a number of Norwegian off-road personnel vehicles, and the Government intends to meet such a wish. Of course, we may be asked to participate in the further dialogue with other capacities, including material support. The government is therefore asking for support to be able to provide other limited military capabilities that are deemed to be within the envelope I have outlined today. It is very unlikely that all the above strength contributions will be requested. However, it is important that the components are prepared for deployment, so that we can quickly contribute to what is actually being requested. The costs will, of course, depend on which units are actually deployed. The provisional estimate of costs is associated with uncertainty. The calculations have been carried out on the condition that the aeroplane strength can deploy to airbases where a certain infrastructure, support organisation and necessary securing is established. The deployment of six fighter aircraft will be the most expensive contribution, estimated at 360 million. kr. Of this amount, 100 million is. SEK to operational expenditure and SEK 210 million. NOK at personnel costs. In addition, it's going to be 50 million. kr to away work for flight maintenance to power generation nationally. The air defence has temporarily established an air-to-ground capacity which makes it unnecessary to carry out the material project related to this capacity. The costs associated with such a service have therefore not been calculated into the 360 million. kr. In addition, costs may also be incurred for the repurchasing of spent weapons. Participation in one aircraft for electronic warfare is intended for approx. Thirty million. kr. Participation with four helicopters is intended for approx. 60 million. kr. For advisers, transport control officers, staff officers, explosive cleaners and the like The costs are estimated at approx. One million. kr per. person. The deployment of one transport aeroplane is estimated at a total cost of 80 million. kr. That's 50 million. kr estimated operating costs and 30 mill. kr investment in material. There will also be costs associated with making some material investments. Some communication and material projects are concerned, approximately 65 million. kr, investment in certain operational capabilities for EK aeroplanes, approx. Ten million. kr, and the purchase of drop equipment, etc. to C-130 transport aircraft, approx. Five million. kr, a total of approx. Eighty million. kr. The cost of meeting a request to provide a number of off-road personnel vehicles will, of course, depend on the number of persons requested. This has not been clarified, but it cannot be excluded that we can be asked to set a significant number. The cost also depends on the type of vehicle being requested and the cost can be roughly estimated. 1.5-2 million. kr per. Paragraph The Government aims at the prompt implementation of preparations, including training for deployment of units offered. Those material acquisitions must also be made as soon as possible so that the defence is able to make a contribution at short notice. As far as funding is concerned, the Government will, of course, deal with the Storting as soon as the budgetary needs are clarified. Additional costs related to the preparation and possible deployment of Norwegian forces are assumed to be additionally financed. The government aims to promote a proposition to the Storting about this in the spring.
ParlaMint-NO_2001-12-05.ana.ud1368e218	At the request of the Foreign Affairs Committee, the President will propose that the maximum speaking time for speeches by main speakers from each party group and members of the Government be set at 10 minutes, and from other speakers at 5 minutes. Furthermore, the President will propose that there be a replication by up to three lines with replies from main speakers from each party group, and five lines with replies from members of the Government. – It shall be deemed to have been adopted.
ParlaMint-NO_2001-12-05.ana.ud1368e225	Let me first say on behalf of the Workers' Party that we support the Government's view that the issue of offering these forces and materials is the government's prerogative, but that it is natural to consult the bodies of the Storting, and that this debate is part of it. It is not just that it is unnecessary to take a decision in this case. We believe that if we were to do so, it would make the responsibility between accumulation and government unclear. In accordance with the second paragraph of Section 25 of the Basic Law, consent is required if it is appropriate to send forces associated with the protection of the land and other troops which cannot be considered as liners. What needs to be addressed in the Storting is the appropriations for these operations. However, the Labour Party will not make support for the fight against international terrorism dependent on how this is to be financed. We await here a proposal from the Government. I think it is obvious that the Storting should find a solution to those questions and not interfere with the issue of whether Norway should support the fight against international terrorism. I am also saying this because Norway needs to follow in a clear and clear way the decisions we have taken in NATO under Article 5 and in the UN Security Council under Article 51. SV has intervened across both of these international organisations. I would like to ask whether SV has thought through what would be the consequences if SV's view were also to be Norway's official policy. The Progress Party has also, as I have seen, raised doubts about its support, depending on how the operations are to be financed. On this basis, I am therefore pleased that there is a majority, as expressed in the consultations of the enlarged Foreign Affairs Committee, which supports the Government’s view on Norwegian participation, and therefore ensures clarity of Norway’s position on this issue. It's very important to all of us. To those who have claimed that it was not right to use military instruments in Afghanistan, I would like to say the following: Then the Taliban continued to hold hold hold in Afghanistan. Then we had no international conference in Bonn under UN leadership to establish a broad coalition government in the country, which now seems to have led. What is happening confirms that in such cases a broad UN strategy is needed, where the use of power, humanitarian aid, civil rule building and long-term assistance must go hand in hand. And I would like to stress: this was one of the three points that Norway presented as its main priorities for the work of the UN Security Council, as I explained here in the Chamber before that we took the place of the Security Council. That is why it is so important for Norway to follow up on this very specific action, as we now have to do in Afghanistan. We have also seen similar cases in the past, where it has been necessary to use power to pave the way for the building of civil rule and to pave the way for economic development, among other things. at the latest in Sierra Leone. It's not enough with the use of military power, but it's necessary to put the other sides in place. I believe that what we are now seeing in Afghanistan is proof that this broad approach by the UN Security Council is the right approach, not only in this conflict, but in other conflicts. I also want to say that it is now necessary to underline the difference between the situation to be dealt with in Afghanistan and the situation we have in the Middle East. In Afghanistan, we were – and still are – facing a regime that was not really a regime that controlled the country, but it was a kind of bandit regime that combined religious fanaticism with drug smuggling, international crime and support for international terrorism. In the Middle East, we are faced with two parties, the Israeli Government and the Palestinian authorities, who have recognized each other, signed it in the Oslo Agreement, and also said that they should resolve the conflict by peaceful means, that is. (Parliament adopted the resolution) This is a completely different situation that we're going to deal with. That does not mean that in any way we have to be in doubt that we should also fight terrorism here. But it's clear that we're facing another situation, which has to meet in a different way. I have no faith in the policy that is now being pursued – and it has proved not to work – namely to demand complete silence on the ground before entering into the confidence-building measures, to build confidence and to engage in negotiations. Several hundred Israelis have been killed, murdered, during the period of conduct of this policy. It is therefore appropriate to draw up the line proposed by the International Mitchell Committee, namely that a truce should be established, preferably with the help of the Americans. I think it is necessary for them to continue to cooperate in security between the two parties, but for them to start immediately with the confidence-building measures on both sides and to set a plan for the implementation of negotiations. Only then will the Palestinian people see that it is possible to go further on the road that was pulled up in Oslo, gain independence, gain freedom. And it is only when the Palestinians are given the opportunity of freedom that Israel can also have security. Israel's security depends on the Palestinians getting their independent state. I would also like to make a strong point: the Palestinians cannot have freedom if they do not guarantee Israel's security. These two things are connected. I think that the international community now needs to put pressure on the parties to engage in a dialogue that leads to these goals, rather than now, more and more use of violence. The budgetary position of the Foreign Affairs Committee is based on the framework adopted by the Stortinget on 28 November this year. The total amount of expenditure has been exceeded by NOK 16 billion. It is the framework of the government parties we are dealing with here, and it is only for the Workers' Party to note that there was no majority in favour of an increase in the budget, as we proposed. We therefore joined the reduced framework. In other words, the government has largely followed up the priorities of the Labour Party Government. The adjustments proposed by the Government have largely been agreed by the Committee. It shows the broad consensus on important parts of Norwegian foreign policy. Only the Progress Party has a budget line that deviates dramatically from the rest of the bulk of the population. It is particularly gratifying to see that the Government is continuing its efforts to assist the Workers' Party. It maintains the same ODA-approved assistance framework as provided by the Stoltenberg Government. This involves an increase of DKK 13.5 billion, an increase of DKK 1.2 billion from 2001. There is a broad consensus on the objective, that aid should reach 1 pst. of GNI. When, in the additional proposition of the Government, a GNI share higher than that of the Stoltenberg government is operated, it is because the GNI estimate has been adjusted so that the percentage also increases. The fact that even the Right now, after they have come into government, joins the rest of the bulk of the population in the aid is very positive. This means that there is now an even wider majority of the main lines of Norwegian development policy here in the United Kingdom. Only the Progress Party will stand on the side bar. The government of Stoltenberg also provided more effective and targeted Norwegian assistance. In order to help even more people out of poverty, a thematic effort was proposed and bilateral assistance concentrated on a few main co-operation countries and several other co-operation countries. As regards the co-operation countries, the Committee calls for the status of some of them to be assessed in the 2003 budget. The Committee asks the Government to carry out an assessment in the context of development policy presentation to spring. The international situation after 11 September may require more than ever that refugee and peacekeeping work be given priority. A unanimous committee considers it important to increase the allocation of emergency aid, humanitarian aid and human rights both in relation to natural disasters and situations of conflict. The Committee refers in particular to the situation in Afghanistan and the international fight against terrorism, and it is gratifying that there is also broad consensus on this point. In the end, I just want to point out that I think it is unfortunate that the allocation of foreign profiling for Norway is beginning to fall again. It went up the previous two years, but now you start cutting down again. I think it's a little forward-looking policy on the part of the Government, and if it goes through in the Storting, the exact same characteristic is necessary.
ParlaMint-NO_2001-12-05.ana.ud1368e259	It's going to be line change.
