ParlaMint-NO_2001-05-14-2.ana.ud860e24	The called alternate of the Nordland County, Kari Brodevoll, has now taken the seat.
ParlaMint-NO_2001-05-14-2.ana.ud860e30	In the first two and a half years of this downturn, the Labour Party's IT political commitment was to accuse the current government of training the apparently only interesting IT project in the country, IT Fornebu, and to direct the project in the Workers' Party's direction. I am very pleased that the Workers' Party today, after the valuable plots at Fornebu have got the «real» owner according to the Workers' Party and the opinion of the Advance Party, realizes that IT policy must be much more. This is good for Norway and promises good for the future. Then each of us gets to make our own thoughts on what was at stake in the Fornebu case, when the Minister of Industry in his presentation has the following to report on the progress of Fornebu since last spring: ‘We will soon be able to see an initial concreteisation of the visions which the Stortinge took into account...’ Had it been government councillor Knudsen's predecessor, Lars Sponheim, who made such a vague speech, certain radar pair representatives would probably have a busy day at Stortinget's pulpit. The State Council's statement on IT policy shows that the Government of Stoltenberg is still based on the course of the former Minister of Economic Affairs and Trade and the previous government. This applies, inter alia, to: the commitment to electronic commerce and management, the work on IT security and the principles and progress of broadband development. I notice that the Council of State stated in its statement that the previous government had a poorly coordinated IT policy, and lacked a common overall strategy. This is a speech for better knowledge. It was just the previous government that for the first time combined responsibility for IT policy, which was very well received, among other things. by professional organisations of the IT industry. I want to give special commendation to the Council of State for two things. I think it is positive that the government is following up the Vulnerability Committee's attitude, and is working on the new security and preparedness challenges that information technology is giving to society. This is an area in which we were seriously aware in connection with the 2000 problem, and which is of the utmost importance that we take seriously. The second thing I want to highlight is a steady and satisfactory progress in removing the barriers to e-commerce and electronic communications in today's legislation. The NHO has recently demonstrated that the project ‘Simplifying Norway’ has dramatically ceased after the Workers’ Party took over power. In this particular area, however, Lars Sponheim's commitment is still being followed up. It is absolutely necessary for e-commerce to have the desired prevalence, which will significantly improve the efficiency of public administration. However, in key areas, the IT statement contained more pompous words than a tangible content, at least if the priorities of the Government are at the same time aligned with those of other budgets and policies. The main challenge of society is access to skilled and competent labour. This is not least the case in the field of information technology. This requires two things: a strong boost in the commitment to higher education and research and an offensive policy for labour immigration where the interests of the LO and the foreign fear of the Progress Party do not premise. In both of these areas, things are going too small. In higher education and research, the association of IT industries has recently announced the need for a tripling of research efforts in ICT over the next three years, as well as a strong resource promise for ICT training at our universities. The government's response to this has been to cut the university budgets and to refuse to introduce the most effective way to increase the research effort of industry: tax incentives for research investment. Here the Left stands for a completely different policy than the Government. If we are to succeed in becoming an even more growth-intensive export nation within the IT industry, it is important that we focus heavily on areas where we have natural prerequisites to be the best. Such an area is marine information technology. In the field of electronic navigational charts, there are great opportunities to be ahead of them and it can provide good export revenue. Finally, IT offers enormous opportunities to modernise public administration without centralising. It is important that the Government takes this inward into practice. The left is in favour of modernising the public sector. For the left, it means yes to rationalization, but no to centralization. Such content should all be included in the concept of modernisation.
ParlaMint-NO_2001-05-14-2.ana.ud860e61	IT development is an international race, and more than ever, it is important to maintain a high rate of pace in the formulation of an information and knowledge society policy. That's why eNorge is a national virtue that we have to stand together for! In recent times, we have witnessed that the prices of IT shares have fallen dramatically, and still – fortunately – it is true that no three are growing into heaven. Those who had hoped that the IT revolution would soon be sidelined as a short-term fashion phenomenon, I think, will be disappointed. What we see is that companies that might have been established on an unrealistic basis are now being tested by the usual economic laws. The basic trends are equally widespread around the world. Fresh figures show us that digital Norway is still developing at high speed. In recent days, we have seen a notice that, according to an OECD analysis, Norway is at a low level in terms of expected economic growth over the next five years. It is suggested that the inability of industry to use IT is a contributing cause. The analysis is an example of our having major challenges ahead of us, and the challenges are to keep and strengthen Norway's place at a time when all the countries we compare with would like to be in close contact. We have carried out a large project, ‘A value-creating Norway’, where Torgeir Reve had the management. There it was clear that we are competing more in volume than many other countries, and that we have problems in increasing the competence and technological content of our land-based industry. The project concludes that we therefore need to further develop the clusters where we are competent, because that is where we can find and develop the new technology, and therefore there is nothing specific about what the OECD comes up with, but it is too pessimistic about the course of this big business, too, by concentrating on the clusters where Norway really has something to pick up. Norwegian business has special challenges. We know that oil revenues will flatten out, and that we will therefore need new jobs, new industries, and not least need to exploit the full potential of the new technology for increased value creation and thus also for enhanced well-being. It will also be important to have effective electronic infrastructure, increased confidence in tools and enhanced skills to make use of the new technology, not only in the new industries, but equally fully in our traditional industries and throughout public administration. This shows how important it is to bet on developing our competences in all areas of society. Research competence in IT, competence to use IT in work, competence to use it as a citizen of society, competence to use IT in education are important objectives in the future. In terms of security and vulnerability issues, too, competence is a major concern. We need to understand the technology and find out how it can be used most appropriately. VeRDI – the national SND-based e-commerce programme – is an important part of enhancing the competence for the practical and strategic use of e-commerce in small and medium-sized enterprises. Competence building and information dissemination are important not only in electronic commerce but also in the use of the new technology throughout the whole value chain. We must ensure that everyone is given the opportunity to participate in the information, competence and knowledge society. On the one hand, the high prevalence of technological aids in homes, schools and public spaces contributes to increasing the possibility of including all. On the other hand, it is now becoming more serious for people who are not online. Without specific measures, many could become part of a minority that is at risk of being marginalised. Then we can't be calm about a development that can create class divisions. Therefore, solid skills must be built on the use of the new technology in our entire population. This is why adult competence reform is so important. It gives people who are already at work the opportunity to evolve further and not give up. At the same time, it also provides new opportunities for young people who have walked the practical path. The programming language SIMULA, developed in the 1960s, has been called the largest Norwegian IT invention ever. Now this name remains in the new Center for Basic Research in Information Technology, Simula Research Laboratories, which is about to establish itself at Fornebu. With good international relations, the Centre will make an important contribution to achieving the vision behind the establishment of the leading international IT environment at Fornebu. But SIMULA is also a talking example of opportunities that were not exploited. We have to pull the load together to achieve the targets in the broadband plan. Here it is not useful to shift responsibility on each other. We all need to participate, authorities, organisations and businesses, both nationally and regionally, because broadband is about efficient infrastructure, about the capacity to carry large amounts of information, whether in the form of images, text or sound. Already in a few years today's low capacity and thus low speed on the web will be incomprehensible to most people. Access to broadband will become as natural and necessary as access to electricity and telephone. Business needs broadband. The districts and regions need broadband. Schools, public libraries, hospitals and local administrations need broadband. The expansion of broadband, which will provide us with high-speed communications, is also a very expensive infrastructure. The Government has set out in its main strategy – it has also wanted a large majority in this House – that market players should deal with this as much as possible, with public demand as a strong and decisive driving force. Overall efforts this year and up to the next year will be crucial for the achievement of the first objective of the broadband action plan. We have now also invited KS to participate as an active actor in the IT forum that is in progress and that I established in due course. We need to bring forward the municipalities that are on the offensive – and it is not that it is the richest municipalities that have now taken the challenge. There are very big differences, but the important thing is that they go with the private and pull the load together. Content content and content providers will also play an important role in the development of the information and knowledge society and, as broadband is developed, an increased focus on content and use is needed. We need to stimulate the Norwegian content industry, including: to further develop our own language and our own cultural heritage. Therefore, the Government will assess an overall strategy, including: by connecting industry to areas of activity such as spatial data, learning, language technology and culture. Last week, the Norwegian Stortinget adopted Norwegian participation in the EU eContent programme. The aim of the programme is to ensure the linguistic and cultural diversity of Europe, and also to help small and medium-sized enterprises. In June, I present version 3.0 of the eNorway Plan, Government Action Plan for the Information and Knowledge Society. eNorway has contributed to a higher pace of speeding up Norway’s transition to the information society. It has also been noticed far beyond our own borders. eNorway is a user-oriented and operational plan. In version 3.0, we will also point to broadband deployment, the development of electronic content, the internationalisation of the IT industry, and how we can better exploit the new technology to gain productivity. The international strategy is also interesting. We are now building it up thematically, not least in relation to individual countries in the East. The aim of the eNorway plan is to contribute to the creation of information communities for all. It's a value measure. We want everyone to be with us. This is also one of the key conditions for economic growth and well-being, for countries with broad social participation and low levels of social inequalities will also be the strongest in the long term in the development of the society we see coming. Finally, I see, among others. SV has put forward a proposal to have a global presentation on the broadband side. That's what we're doing. I expect that it will be presented as a separate matter for the next spring, at the latest in the revised version. The Ministry of Transport is also in the process of monitoring the entire infrastructure side in the case of broadband.
ParlaMint-NO_2001-05-14-2.ana.ud860e105	It's going to be line change.
ParlaMint-NO_2001-05-14-2.ana.ud860e108	First, I want to agree entirely with the Council of State that it was good that this sector had to try out the laws that exist in the market, and that we saw that the pricing was in proportion to that. It was healthy for this industry, although it's not sure that it was as healthy for all those who thought this was easy money to make. But that was good for the industry, that was it. There's two things I want to deal with. The only thing that the government finally commented on is a message. Status is important for action, and I am busy that we need to acquire knowledge to get the measures. Because there are two things per person. date is difficult. The only thing is that the permissions on the budget are obviously too small for all the municipalities that want to follow their example of Ryfylke municipalities. It is quite clear that they have succeeded. But there have been a lot of people who have contacted me – and I believe others on the Business Committee – who say that they are told that there are not enough resources for the skill that a person wants to do so that he is good enough to ask. It's a problem, and we have to do something about it. The second is that there are some places where it is probably not the basis for that skill either – where it is too thin with people. I'd like to know that we would get a message before the state council now said that at least there has to be a proper review in the state budget that provides the basis for going on. I'm more busy than in shape. So finally, what concrete active action will the Council of State — let me get two of them — initiate to respond to both the challenge of Reve and his investigation and the challenge of the OECD? Because it's not enough that we know that more people have said it; we have to do something.
ParlaMint-NO_2001-05-14-2.ana.ud860e119	As regards broadband development, it is clear that it will be crucial. It is probably also true that some municipalities have taken the challenge on a tight arm and have joined forces with private people and have been active, while others are more weaning and do not know exactly how to continue their work. That is why we have now invited the Municipal Councils – they are also involved as eNorway partners – to a very concrete cooperation where we can get modeling. We also see now that a company in Finnmark – Finnmark Broadband – has gone out publicly and said that they can actually make broadband connections for 45 pst. by the population of Finnmark. Then it's important that we enable ourselves to follow them up. It is also our responsibility to ensure that the HIGH COM system, the incentive system that we have, can continue, so that, when you get started, you also know that it triggers some incentives from the public. So to a value-creating Norway. We've done a good job there. We've now taken a round across all the regions of our country to get an idea of what the stand is like there. At the same time, we see that the clusters do not need to be linked to one particular industry, but that when they join together, they also acquire new inspiration and skills. So that's what's going to happen, and we've also put forward from our side for the follow-up to the Hervik Committee. We have added up to a rule-driven arrangement. Others may think otherwise, but in order to cope with the transition that is absolutely necessary, much goes on the competence side.
ParlaMint-NO_2001-05-14-2.ana.ud860e126	ICT industries are at least one of the future industries for which we somehow have to organise, whether the oil age is towards its end or not. I could imagine asking the Council of State about the most important steps we politicians have to take to increase the likelihood that we will be able to establish the next big ICT company in the Nordic region: what are we going to have to do differently from what we've done to achieve it? The second thing I would like to hear about is the joint project that the Workers' Party and the Advance Party have on Fornebu, which has been mentioned to some extent in the IT policy statement. Now we got a broad review of Hedstrom, who talked about how wonderful everything is out there right now – and that's of course happy if that's how Hedstrom has explained it. I would like to ask the Council of State, which I suppose follows this very carefully – she was one of the crumbs working to unload this in her time: Is it so that the progress of what is going on out there is consistent with what was happening? And do the council share in that case Hedstrom's joy over how wonderful this has become?
ParlaMint-NO_2001-05-14-2.ana.ud860e135	If I could have made a recipe on how to set up a next, huge ICT company in Norway à la Nokia and Ericsson, I would probably have shot the gold bird. However, I am going to stick to what the research results show very clearly, namely that where we have the opportunities, we are already very competent – whether we are talking about new technologies linked to the entire marine side, to the biotechnology side or to what we can do on the ICT side both in the satellite industry and a good deal in the maritime sector. The size has just agreed that these are the areas we have to go on. And then we're always going to get into the difficult problem that we want the extra money for it. And if we have to go in and make a choice, we get problems when we have to take something out of what we've been brooding -- maybe a little bit too thin -- beyond, which prevents us from making the really heavy effort in these areas. I hope we can do this, for example. on the marine side. We've been saying for a long time that we're going to bet on it. And when we go back year after year, when it comes to the problem, we don't have the time to do the priorities exactly in the area that has such great opportunities in it. In the case of IT Fornebu, some areas have been late. After all, the centre for excellent research is now in place and will be on its way to the autumn, but in addition to this, the large engine and the driving force on the telecommunications side in Norway, namely Telenor, will actually physically move out there. Then we also have to make sure that we think that communication arrangements are ready when they move.
ParlaMint-NO_2001-05-14-2.ana.ud860e144	I would also like to mention the OECD report, which has attracted considerable attention in the media — and also in this room — where Norway has predicted the lowest economic growth of the Member States. Now, it is always the case that statistics are to be taken with a pinch of salt and see what they include and contain, but in any case they give a signal that Norway has to be an activator here, so that this does not become a reality. The Council of State also referred to a ‘value-creating Norway’. As I remember Professor Reve's project, some clusters were presented where we could be internationally competitive. Oil and gas, shipping — yes, at all maritime sectors. But what was also pointed out was that Norway had the opportunity to become part of a Nordic cluster within ICT, and that it was important that we knew our visit time so that we could have a strong influence on this Nordic cluster. It is a fact that we have not managed, in line with some other Western countries, to use information technology in such a way that continental-based activities have strengthened their competitiveness. This was the main reason why the United States had strong industrial growth throughout the 1990s. There were no shared opinions about that. My question to the Council of State is: What is the reason why we, who are at the top of the world in terms of being advanced users of mobile telephony and ICT, have not been able to exploit this to increase the competitiveness of our companies in mainland Norway?
ParlaMint-NO_2001-05-14-2.ana.ud860e157	With regard to the OECD report, I would say, in addition to what I said to the former replicant, that a 24-hour administration where you can go online and get information, of course, will help increase activity, and in addition, more ICT will be used in your daily work. It is right that Professor Reve, on behalf of, among others. by the Ministry of Economic Affairs and Trade, paid attention to these important clusters. It's not right that we're not world leaders, because in some of these areas we're actually. If we look at space technology, which also comes under the telecommunications and communications side, the satellite industry, Norway only has the United States and France ahead, so we're actually very good at some of those areas. But if we're going to go ahead and further process this, we need even more expertise and technology. So the question from the representative is, why don't we do it in mainland Norway? We're in the unique situation that we have oil and gas, and we compete a lot in volume. We are not in the crisis situation of many others, who have had to do a colossal 'round-run', but we have to prepare and get ready to go into a whole new situation, because we know that the new jobs will come in areas other than the traditional industry. That's one of the challenges we're facing.
ParlaMint-NO_2001-05-14-2.ana.ud860e163	I want to go into the expansion phase in the case of broadband, which the representative Lilletun was also involved. The Council of State said in its statement that it will be serious for those who remain outside the new technology. They will be ‘marginalised’, and it was expressed that we can get a new class distinction. I understand it as if it were businesses, individuals and groups of individuals. It's clear it's serious, and then we have to avoid doing that. The statement maintains the deadlines that had been set before. All schools, town halls, libraries and hospitals should be able to connect to broadband by the end of 2002. All Norwegian households will have the same opportunity during 2004, and I assume that Norwegian small businesses belong to the last category – during 2004. According to the media, Telenor has said that half of Norwegian citizens will be able to get real broadband for the next four to five years – that is, it is the largest market player who says it. Half of the town halls have access today, and there's only 9 pst. of the municipalities that have spent money this year to do something about this. The IT companies invest in Oslo and little outside, because the infrastructure is not in place elsewhere. So the Council of State in its statement now says that until the spring of next year, the Storting will be up-to-date on whether this is going well, according to the strategy that has been chosen, that the market should be settled. I believe we need a real update in the state budget, as the representative Lilletun said. If the Stortinget does not have to start a new process, let IT Fornebu, with date and time, to get something done. The question to the Council of State is: can the Council of State guarantee the progress I have read, which is mentioned in the statement?
