ParlaMint-NO_2001-05-03.ana.ud1912e95	The representative Ulf Erik Knudsen, who has been licensed, has once again taken the seat.
ParlaMint-NO_2001-05-03.ana.ud1912e103	The President will propose the election of a President-in-Office of the European Parliament today – and consider it adopted. The President is asking for proposals from the President-in-Office.
ParlaMint-NO_2001-05-03.ana.ud1912e108	I allow myself to propose Ursula Evje.
ParlaMint-NO_2001-05-03.ana.ud1912e113	Ursula Evje has been proposed as vice-president. – Other proposals are not available, and Ursula Evje is considered unanimously elected president of the current meeting. The representative Magnhild Melting Group Kleppa will make a private proposal.
ParlaMint-NO_2001-05-03.ana.ud1912e118	On behalf of the representative Ola D. Glötvold and myself, I will be presented with proposals on the coverage of extra costs and the lending of training equipment for the disabled.
ParlaMint-NO_2001-05-03.ana.ud1912e123	The representative, Are Næss, will make a private proposal.
ParlaMint-NO_2001-05-03.ana.ud1912e126	On behalf of the representatives of Valgerd Svarstad Haugland, Åse Gunhild Woie Duesund and myself, I would like to propose measures to bring healthcare professionals back to their professions.
ParlaMint-NO_2001-05-03.ana.ud1912e132	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2001-05-03.ana.ud1912e144	No one has asked for the floor. [[Fooding, see page 2848]]
ParlaMint-NO_2001-05-03.ana.ud1912e156	Norway is responsible for some of the world's largest and most productive coastal and marine areas. With the vision of ‘Values from the sea – the future of Norway’, the Ministry of Fisheries has set ambitious targets for the national importance of the fisheries and aquaculture industry in the future. Norwegian fisheries management is based on the principle of sustainable harvesting, based on best scientific advice. If there's a big hole in our administration, the system can break down. That's what my statement should focus on. Let me first say that, in my opinion, the vast majority of Norwegian fishermen and fish producers are serious practitioners of a proud professional tradition. The living marine resources are renewable but not inexhaustible. The living marine resources are the joint heritage of Norwegian society. If we live with this inheritance in a good way, it will make a great contribution to the community in the future. If we are to achieve this, all players in the fishing industry must play their part. Everyone must loyally follow the framework and rules that have been drawn up. Access to the joint resource is restricted to a few. Therefore, society must require harvests to be carried out in a manner that does not undermine the value of the sea for future generations. Actions that are contrary to laws and regulations undermine their own future and, in addition, yield unfair benefits at the expense of their neighbours and communities. It is also serious that such individual actions undermine the confidence and acceptance of the rules of the large majority. Unregistered stock withdrawals weaken the scientific basis for the stock assessments underlying the annual quota determinations. Market requirements for good resource management will result in Norwegian producers of fish and fish products increasingly being able to demonstrate that fishing and fishing are taking place within nature’s sustainability, within the limits of the quotas set and by methods that are otherwise ethically sound. It is therefore in everyone's interest that we in Norway have good resource management with an industry that remains within the framework set. In the last year, considerable attention has been paid to illegalities in fishing and fishing. There have been very serious allegations about the extent of the illegalities. Something has been discovered and reacted to, others are still undocumented. But in any case, both the Storting and the Government have wanted to focus their search more strongly on these conditions. Infringement of the necessary framework conditions involves the disposal of valuable social resources. It undermines the economy of both fleet and industry and reduces the ability of industry to contribute to the community. It prevents fair competition between fishermen and between industrial establishments. It weakens our reputation as a seafood producer, and it weakens the trust – and thus the influence of Norway – that is responsible for the international administration of the seas. Therefore, there is a strong need on the part of society for resource control and, if necessary, for a strong need to clean up. I have seen the need for a comprehensive clearance and will explain here the situation, the measures taken and the measures to be taken. The government will attack this case from several sides. Firstly, control needs to be strengthened; secondly, criminal reactions need to be intensified; thirdly, we need to have legislation that ensures good governance; fourthly, we need to simplify legislation so that fishing can be carried out in a rational and good way, and fifthly, ethics and awareness-raising work are fundamental. It's the industry itself that has to take care of. The Ministry of Fisheries is responsible for the exercise of Norwegian and foreign fishing in waters under Norwegian jurisdiction – in Norwegian economic zone, at Jan Mayen and in the protection zone around Svalbard – in accordance with Norwegian laws and regulations. The Directorate of Fisheries, Coast Guard and Sales Act are responsible for the carrying out of the control work. Customs and tax authorities are important partners. Today's resource control is characterised by two background conditions. Firstly, from 1997 onwards, the control of the resource take-off by the Directorate of Fisheries has been gradually stepped down, as a result of increased activity in key and priority areas related to quality control. In particular, I would like to point out international obligations in the context of self-control and implementation and follow-up to the EEA Agreement and the veterinary agreement. There were regulatory changes that forced the re-disposal of the control effort in an establishment that did not receive increased resources in conjunction with increased tasks. Secondly, in parallel with this development, there was a clear improvement in the stock situation of cod, herring and mackerel. It can explain why the effects of the lower control body did not become clearer for management and industry until the allowance base was slightly reduced towards the end of the 1990s. The Directorate of Fisheries spent last year's 61 year's work on resource control. This is allocated to various tasks such as kai control, marketing control, marine inspectors, other maritime controls, control of marine mammals, satellite surveillance, surveillance of fishing grounds, general procedures, etc. It is the nine Regional Offices of the Directorate for Fisheries responsible for the practical implementation of resource control. Different geographical, different fishing and different fleet and reception structures mean that control work within the regions varies in scope and content. Monitoring and control of fishing in the sea areas under Norwegian fisheries jurisdiction has been and is the Coast Guard’s main and highest priority task. The coastguard disposes of eleven vessels for these tasks, and about 70 pst. the resources of the Coast Guard are used in this area. Coast Guard resource control is primarily directed at the Norwegian and foreign seagoing fishing fleet. The emphasis is on being present where there is a high fleet concentration and the take-off is large. Frequent inspections are carried out to identify what is being taken up by the sea. Particular attention is paid to checking that no fishing is carried out in areas that are closed, to the control of illegal fishing in the border areas and that no fishing is reported from zones and areas other than where it was taken. Sales have also an important role to play in ensuring good resource control. The marketing teams have been granted the exclusive right for the first-time marketing of fish and are responsible for the registration of all fish traded in Norway. Reliable data are essential to obtain good catch statistics for fishing in Norwegian sea areas. All information is passed on to the Directorate for Fisheries and provides a basis for quota control and statistics. In addition to this document check, two of the six sales teams carry out some checks on the kaikant with the landing of catches. The Norwegian Råfisk team and the Norwegian Sildesselg team currently have five persons each participating in this check. The sales teams report on any irregular situation that is revealed, then to the Directorate for Fisheries, which is responsible for the further processing of the case. The value of intercepted catches in relation to quota exceedances and other illegalities detected falls within the scope of the Sales Act. The efforts made in the resource control carried out by the Directorate of Fisheries, the Coast Guard and the sales teams are significant. There were last year inspectors from the directorate present at 2 400 individual landings. But with the approx. However, 400,000 annual individual landings in Norway become a control frequency of only half a per cent. In recent years, the Directorate for Fisheries has re-focused its focus on sales control, which is a document control in the establishments and which is effective but very time consuming in relation to the control of the quay. The number of recent inspections by the Coast Guard has been at a high level. In the last three years, around 3000 inspections have been carried out on Norwegian and foreign vessels per year. years. Over 60 pst. the inspections relate to foreign vessels. On average, seagoing vessels fishing in Norwegian waters will visit the Coast Guard three to four times a year in the case of trawlers and one to two times in the case of the conventional part of the seagoing vessels. The sales teams systematically and continuously reconcile all information from the fisherman and buy against the allowances of the vessels. The numerical control covers all landings and is therefore very extensive. This illustrates that, despite considerable efforts by the control bodies, the extent of the fishing activity in Norway is limited; in particular, it concerns landing control and control by inspectors on board vessels. The control work continuously reveals how the legislation is being circumvented and the laws and regulations being broken. I'll give you some examples. Less valuable fish or fish are dumped under minimum conditions during fishing. Illegal gear is used and fishing in closed areas according to species or sizes to be protected. Catches are reported from areas other than where they are fished and fish change their name, weight or length. When landing in cooperation between the fisherman and the purchaser, the wrong quantity is recorded. Instruments have been identified as having been manipulated and all catches have been avoided from organised turnover and resource control. Irregularities are committed both at sea and on land. And there are many cases of organised cooperation between fishermen, buyers, exporters and carriers of offences that undermine a sound resource extraction. In addition to conflicting with rules to ensure biologically sound resource management, this is also financial crime. So the illegalities can take many forms. It is in the nature of the matter that it is impossible to have certain facts about sizes with regard to overfishing and other infringements of fisheries legislation. However, available information and the conclusions we can draw on this basis clearly indicate that the scope is unacceptable and that resource control needs to be strengthened both to ensure the resource base, to prevent financial crime and to correct the image of the fishing industry. In order to give a picture of the extent of fish jacks, I will take from what has been revealed in the resource control. The statistics of the Directorate of Fisheries show that the proportion of reactions, withdrawals, warnings and notifications, compared to controls, has been at a higher level in the late 1990s than in the mid-1990s, from three per cent to five to six per cent. The Directorate for Fisheries does not have precise figures for the extent of the various breaches of the rules, but assumes on the basis of available information that the extent of the quota jack may be in the range of 0-20 pst. of recorded catches, varying from fishing to fishing and over time. With an booked first-hand value of DKK 10 billion annually, this indicates a valuable amount of quota circumvention. It must be emphasised that there is a very high degree of uncertainty about the figures. However, I consider this to be a strong indication that there is a breach of the rules on an unacceptable scale. This illustrates the need for action – for a power cap. As I've been told, the Coast Guard prioritizes the presence in relation to known problem areas and thus places the emphasis on having a preventative effect. According to the Coast Guard’s feedback, the control of fishing and law enforcement is good where the Coast Guard is present. The number of serious infringements, i.e.: during the last 10 years, the notifying or yielding persons have been between two and three per cent of the number of inspections. However, in the last three years there has been a marked increase in the number of notifications of Norwegian vessels. The sales teams have not stated the extent of illegalities but conclude from the checks carried out that a number of infringements of the quota and by-catch rules are undoubtedly taking place. In addition, there are a number of rumors in the industry about different types of regulatory offences. These are mainly illegal discards of fish, rewriting on the final page of the species and size of fish, and reporting on catches from areas other than where the fish is caught. I will now provide information on the work that has already been carried out and the measures that have been taken. On 28 November 2000, I held a meeting on illegalities with representatives from all the relevant parts of the administration and all the major organisations in the industry. At the meeting there was broad agreement on the need for action and some key areas of action: Control efforts must be increased. The regulatory framework needs to be strengthened in some areas and simplified in others. Penalties and administrative responses to infringements need to be intensified. Police and prosecution authorities need to give increased priority to issues related to infringements of fisheries legislation. Business organisations must focus on awareness-raising among their members. These are measures I have followed up on several levels. Reaction to detected illegalities in fisheries is an important instrument alongside the control effort carried out. The Fisheries Directorate is therefore asked to use legal access to temporarily or permanently withdraw the right of a vessel to fish for acquisition or the right of a fish buyer to accept fish in the event of serious or repeated infringements of the fisheries legislation. As of today, two vessels and one holding are suspended for between 8 and 17 weeks for serious infringements of fisheries legislation. This has aroused strong reactions, but it is a reaction form I have great faith in. It sends clear and unambiguous signals to the individual and to the public that severe action will be taken against gross infringements. I consider this to be a strong prevention measure that will be continued. The Minister of Justice and I have focused on the decisive role of the police and prosecution authorities in ensuring that their efforts and priorities will have the desired effects. I put great emphasis on efficiency in the overall control work. This is not least important with regard to the time between infringement and reaction. The prosecution authority in Troms and Finnmark and in Rogaland, which together have overall responsibility for the follow-up of infringements of fisheries legislation, has followed this up with their political partners, stressing the need for shorter processing times and a uniform response pattern. I have asked the sales teams to strengthen their resource control and facilitate the publication of all landings. The transparency of landing information will act as a preventative measure. The herring sales team has already implemented this well in advance. Work is under way to formalise enhanced cooperation between the Directorate of Fisheries, the Coast Guard and the Sales Act both on the overall long-term and in daily tactical work. Satellite tracking of fishing vessels was initiated for Norwegian vessels from 1 July 2000. Satellite tracking is based on communication of data from fishing vessels to a reception centre in the Directorate of Fisheries via a satellite. In this way, the fishing authorities are given knowledge of the position, speed and course of the fishing vessel. Satellite tracking has been agreed with all nations having access to fishing in Norwegian waters. In January 2001, the Directorate for Fisheries opened a ‘tip phone’ for enquiries about industrial illegalities. This has aroused a number of negative reactions from several teams. Since the introduction it has been received approx. 40 enquiries that have been further worked on. Some of these have resulted in reports to the police. Right rules are not a fixed state. It is a process that also includes the operators in the industry. In this connection, in December 2000, I invited business organisations and business professionals to make proposals for regulatory simplification in an open letter. The aim is to have as simple a regulatory framework as possible which at the same time ensures the control of resources. All the proposers were invited to present the proposals for debate at a seminar held on 24 April in Bodø. The proposals for regulatory simplification are many, but more deal with measures other than simplification. Of the themes discussed in Bodø, I would like to mention by-catch rules, aggregate quotas and rules on the keeping of the fishing book and final notes. The legitimacy of the legislation by fishermen and better information on changed or new rules were also discussed. The Fisheries Directorate and representatives of the trade organisations will make concrete proposals to improve the regulatory environment in line with the conclusions of Bodø. The clear objectives of the government are a good and cost-effective resource control that ensures control of the resource take-off. It is important that we have a control and sanctioning system that reflects the fact that the cost of breaking the legislation exceeds any gain from such an activity. The legitimacy of regulations, other management measures and controls is essential for the industry to keep its activities within the framework set. Without fair and intelligible laws and regulations, good resource management will be unattainable. It is therefore important that all sectors of the industry both find regulation and control reasonable and have confidence that the other parts of the industry are also law-abiding. Therefore, increased effort needs to be made both at sea, in order to reduce discards of small fish, and on land, in order to deal with quota circumventions. In order to achieve these objectives, the Government will implement a number of further actions, in addition to all that has already been undertaken: We need to strengthen coordination between the Directorate of Fisheries, the Coast Guard and the Sales Act in order to take advantage of the advantages of individual units and to prevent overlapping activities. Formalised cooperation and planning mechanisms shall be established at central and operational level. We're going to take advantage of the opportunities offered by the technology for the most effective control. The exchange of information between the control bodies and other public bodies shall be strengthened. A joint data collection and analysis unit will be set up to assist current control units. We will develop an electronic reporting system from the operators in the fishing industry. We need to change the laws and regulations to facilitate better control. A legislative proposal will be put forward next week for the Stortinget in particular. stricter penalties in the Seawater Fisheries Act and the Raw Fish Act. In this way, I will further stress the seriousness of this type of illegality. Provision will be made for the weighing of catches landed for intermediate storage before final sale with registration on a landing note. The control competence of the Directorate of Fisheries on land will be extended to means of transport and other links not directly engaged in fishing or fishing. Norwegian vessels will be required to operate via a control point if the 62 N limit is crossed. The Code will be amended to ensure resource control of foreign catches landed directly in Norway or by Norwegian merchant vessels. The extended reporting obligation for catches will be introduced. All major vessels shall notify in advance of where and when the catch is to be delivered. We need to strengthen the Directorate of Fisheries so that the Directorate is able to carry out a control on the ground that has a real preventative effect. We need more landing control, and we need to focus more on document control in the companies. This means a significant strengthening of the control crew and, inter alia, of: special competence in auditing. We will propose to the Stortinget strengthening of the Fisheries Directorate's budget, so that the Directorate can be added to 30 new inspectorates' posts for landing and document control. Furthermore, there is a need for the Directorate-General for Fisheries to strengthen staffing related to satellite tracking, other information and analytical work with nine posts at the centre of the Directorate for Fisheries and ten posts at the regional offices. We can achieve something through reorganization, but the main contribution must be made through new employment. We shall maintain the efforts of the Coast Guard at the current level. In addition, the staff of the Directorate-General for Fisheries with inspectors on board fishing vessels will be increased from three to thirteen, inter alia. as part of the process of improving the efficiency of small fish regulation through the opening and closing of fields. To a greater extent, we need to focus sales teams' efforts on the processing of landing information for capture. This will be done on the basis of the significant amount of information and experience gained by the sales teams. We will require the sales laws to use withdrawn funds solely to strengthen resource control. We will investigate whether complementing the efforts of the Coast Guard and Fisheries Directorate by introducing an observer system on fishing vessels will improve control. I want to launch a project to see if, and, if necessary, how, this should be implemented. In the 2002 budget, the Government will propose the appropriations needed to implement these measures. Already in the revised budget for this year, proposals are being made for the measures that can be implemented immediately. In conclusion, I would like to say a few words about what may be the most important thing about the control and reaction measures: the awareness-raising work in the industry. Unfortunately, experience has taught us that we need an effective control regime and strong sanctions to ensure good resource management. Nevertheless, the main efforts to achieve illegal discards and quota circumvention must, after all, be undertaken by the individual food business operator. I have great faith in the fishing industry. Similarly, there are serious illegalities committed in full for the fishing nation of Norway. Without the individual’s understanding of why it is important to have a controlled and orderly resource outsourcing – and then to act – we will not be able to overcome the illegalities. It is therefore only through a joint effort that the credibility of the fishing industry can be restored. We are in a positive and good dialogue with the organisations in the fishing industry on these issues, and I trust that the organisations on their side are working seriously and constructively towards their members. I began this presentation by pointing out that Norway is responsible for some of the world’s largest and most productive coastal and marine areas, and that with the vision of ‘Values from the sea – Norway’s future’ we have set ambitious targets for the national importance of fisheries and aquaculture in the future. In addition, it is ethically high-worthy to produce food. Modern behaviour has unfortunately made it necessary to repeat this. The Norwegian fishing industry has a unique starting point. But we can do this if we don't get along – governments, business organisations, businessmen and the community for the rest – we do well in our households of the sea. The sea, the coast, the fish and the other richnesses that the living marine environment provides us with enormous opportunities. That is why we need good resource management. That is why we need effective resource control. That is why we must have an active attitude to lawbreakers. This is why the promotion of an industry that works together in total to promote our common goals is very important. That's why we have to take a power cap now.
ParlaMint-NO_2001-05-03.ana.ud1912e330	The President will propose that the Minister of Fisheries report be discussed at a later meeting — and considers it adopted.
