Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2001-05-29-upper	ParlaMint-NO_2001-05-29-upper.ana.ud2167e106	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-05-29	2001-05-29	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-05-29	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.LK	Kaland, Laila	F	1939	
ParlaMint-NO-en_2001-05-29-upper	ParlaMint-NO_2001-05-29-upper.ana.ud2167e111	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-05-29	2001-05-29	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-05-29	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_2001-05-29-upper	ParlaMint-NO_2001-05-29-upper.ana.ud2167e127	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-05-29	2001-05-29	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-05-29	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.OJB	Brunæs, Ole Johs.	M	1936	
ParlaMint-NO-en_2001-05-29-upper	ParlaMint-NO_2001-05-29-upper.ana.ud2167e141	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-05-29	2001-05-29	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-05-29	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_2001-05-29-upper	ParlaMint-NO_2001-05-29-upper.ana.ud2167e151	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-05-29	2001-05-29	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-05-29	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_2001-05-29-upper	ParlaMint-NO_2001-05-29-upper.ana.ud2167e163	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-05-29	2001-05-29	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-05-29	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.OJB	Brunæs, Ole Johs.	M	1936	
ParlaMint-NO-en_2001-05-29-upper	ParlaMint-NO_2001-05-29-upper.ana.ud2167e175	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-05-29	2001-05-29	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-05-29	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_2001-05-29-upper	ParlaMint-NO_2001-05-29-upper.ana.ud2167e185	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-05-29	2001-05-29	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-05-29	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_2001-05-29-upper	ParlaMint-NO_2001-05-29-upper.ana.ud2167e197	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-05-29	2001-05-29	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-05-29	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PEM	Monsen, Per Erik	M	1946	
ParlaMint-NO-en_2001-05-29-upper	ParlaMint-NO_2001-05-29-upper.ana.ud2167e211	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-05-29	2001-05-29	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-05-29	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_2001-05-29-upper	ParlaMint-NO_2001-05-29-upper.ana.ud2167e214	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-05-29	2001-05-29	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-05-29	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.ELSK	Skarbøvik, Elsa	F	1948	
ParlaMint-NO-en_2001-05-29-upper	ParlaMint-NO_2001-05-29-upper.ana.ud2167e235	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-05-29	2001-05-29	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-05-29	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_2001-05-29-upper	ParlaMint-NO_2001-05-29-upper.ana.ud2167e253	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-05-29	2001-05-29	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-05-29	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
ParlaMint-NO-en_2001-05-29-upper	ParlaMint-NO_2001-05-29-upper.ana.ud2167e265	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-05-29	2001-05-29	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-05-29	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PEM	Monsen, Per Erik	M	1946	
ParlaMint-NO-en_2001-05-29-upper	ParlaMint-NO_2001-05-29-upper.ana.ud2167e286	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 2000-2001, Sitting day 2001-05-29	2001-05-29	Upper house	Term 1997-2001	Session 2000-2001	-	Sitting day 2001-05-29	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.SFS	Sterri, Siri Frost	F	1944	
