ParlaMint-NO_2001-12-19.ana.ud51e69	The representative of Ågot Valle will make a private proposal.
ParlaMint-NO_2001-12-19.ana.ud51e72	On behalf of May Elisabeth Hansen, Øystein Djupedal, Eli Sollied Överaas and myself, I propose to grant the NRK exemption from VAT, zero rate.
ParlaMint-NO_2001-12-19.ana.ud51e77	The representative, Odd Roger Enoksen, will make a private proposal.
ParlaMint-NO_2001-12-19.ana.ud51e80	I will be presented with proposals for measures at equal fuel prices across the country. It is a proposal similar to what was promoted by the central government in its time.
ParlaMint-NO_2001-12-19.ana.ud51e85	The proposals will be dealt with in a regulatory manner. Before the matters on the current map are dealt with, the President will propose that the morning meeting – if necessary – continue beyond the scheduled time of 9 p.m. 15.00 until the current map has been processed. – No objection has been raised, and it is deemed to have been adopted. Then the President will propose a change to today's map in order to take account of the treatment in the Chamber. The President proposes that cases be brought before the Court of Justice of the European Communities. 5, 6 and 7 go out, and that they are set up for treatment in a later meeting, probably on 10 January. – No objection has been raised, and it is deemed to have been adopted.
ParlaMint-NO_2001-12-19.ana.ud51e107	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: Prime Minister Kjell Magne Bondevik Council Victor D. Norman The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. – We start with the first main question, from the representative Jens Stoltenberg.
ParlaMint-NO_2001-12-19.ana.ud51e123	Since this is the last meeting before Christmas, I would like to wish Prime Minister Kjell Magne Bondevik and State Council Victor D. Norman a Merry Christmas and a peaceful Christmas. Then I have a question for the Prime Minister, and it's related to kindergartens. Both the Government and the Workers' Party are concerned with drastically lowering prices, about halving the parental payment in kindergartens, and making sure that everyone who wants it has room in kindergarten. The Labour Party government estimated that we needed over 40,000 new kindergartens, and that we had to spend well over 5 billion kroner in the next four years to achieve that goal. The Bondevik government is unclear on this question. You don't promise that there will be 40,000 new places, and you won't spend more than 5 billion kroner. That's the price it costs, regardless of the financing model. My question to Prime Minister Kjell Magne Bondevik is: Do you stand firm by the promise to secure all children who want it, kindergarten, and about half of the parental payment?
ParlaMint-NO_2001-12-19.ana.ud51e132	First, I suppose I get a receipt from the Labour Party parliamentary leader with a wish for a good and, not least, peaceful Christmas. When it comes to the question of babysitting, my answer is yes. The government is firmly committed to the objective of full coverage of needs and a reduction in prices down to about the level now mentioned by the representative Stoltenberg. The number of locations this might require is currently uncertain. What is crucial is not the percentage that an estimate of the annual coal coverage, etc. The essential thing is the real need. And we want to stimulate a kindergarten expansion that makes everyone who wants a nursery place get it, no matter what number of new places it needs. It is also the Cooperative Government that has taken action, which the Workers' Party never did, to ensure that prices are properly reduced, not only in the public kindergartens, but also in the private kindergartens, which constitute a very large part of the kindergarten offer, by allowing the public subsidy to be collected in one pot and to go directly to the kindergartens, also to the private ones that are approved. Today, it is known that many private kindergartens do not receive municipal support, only state subsidies. That means that the prices in many of these private kindergartens are high. If we are to ensure that prices go down there too, we must have a funding system that allows them to receive both state and municipal subsidies. We can only ensure this through one public support scheme. It's been taken by the Co-operation Administration to get it done. The Workers' Party did not do that as long as they were in government.
ParlaMint-NO_2001-12-19.ana.ud51e143	First, it is that the Workers' Party has agreed to increase the state subsidy, which goes unabated to both private and municipal kindergartens. Regardless of the funding model, it is estimated that we need something like 40,000 new places and well over 5 billion extra to provide full child care coverage and a halving of the parental payment. Earlier, when you did not go in for so drastic reductions in prices, it was estimated that it would keep to 10,000-12000 places. Now there's a dramatic increase in need, because we're in favour of reduced prices, both the Government and the Workers' Party. The problem is that the government does not commit itself to working towards getting the required number of new kindergartens, and then this becomes an empty children's hazel lift again. Now we started, with well over $1 billion in the 2002 budget. But in order to ensure full child-care, it has to be followed up by about the same amount every year. And I hear that Bondevik in his answer today is unclear at this point.
ParlaMint-NO_2001-12-19.ana.ud51e152	There's no reason. The Prime Minister is quite clear: we have the same objective as I believe the Labour Party has, full needs. Then it's not a number that's interesting, but it's going to be a real need-coverage. That need may also vary slightly from municipality to municipality. So we're going to continue the kindergarten expansion at a high rate until everyone who wants kindergarten gets it. Before joining the Cooperation Board, there were many scares, including: by the Workers' Party, that this government was certainly not going to maintain the high stakes of the Workers' Party government in kindergartens. When we joined and presented our revised budget, we maintained the great effort, and we are prepared to continue at a high pace, to ensure full coverage of needs. And the goal is as well known that it should be by 2003.
ParlaMint-NO_2001-12-19.ana.ud51e159	There will be follow-up questions – Trond Giske.
ParlaMint-NO_2001-12-19.ana.ud51e164	I am a little uncertain about whether those who have follow-up questions should also join the Christmas greetings, or whether it is enough that the parliamentary leader has come with them. We'll think that's enough. It's quite right, as the Prime Minister says, that the important thing is that there are enough kindergartens, the percentage is little important. But when you make a government budget, make plans and add up to an expansion, you have to have a target number to go after. The Labour Party government had agreed that we would build 10,000 seats each year – NOK 5 billion. The Minister for Children and Family said during the budget debate in Stortinget about a reduction in the target from 80 p.m. to 70 pst. coverage, in effect, means that the Government's ambition after 2002 is 2000 to 3000 places each year. And the Prime Minister must be precise: how many places do you have as a goal to expand in the years after 2002? In addition, the Arbeiderpartiet aimed that from 2006 all children would have a statutory individual right to kindergarten. At this point, the Minister for Children and Family was also unclear, and it will be interesting to hear whether the Prime Minister is firmly committed to the goal of a right for all to kindergarten from 2006.
ParlaMint-NO_2001-12-19.ana.ud51e173	I sincerely believe that the debate on 80 or 70 pst. is less interesting. The crucial thing and the interesting thing is that everyone who asks for a nursery place gets it. Whether the percentage finally turns out to be 80, 75 or 70 – or maybe 85 for that matter – is less interesting. If someone's in line and doesn't get enough space, it won't help if it's built out 80 pst. I don't think so. The point of this government is that we will continue to develop at a high rate to ensure that all children who want kindergarten will receive it, so that there will be a real freedom of choice between kindergarten and cash support. The real freedom of choice is the Workers' Party, because they have been opposed to offering cash support. Legislation can be absolutely relevant, but it is vital now that everyone has a kindergarten. It doesn't help with a law clause if you don't have an offer to give. And that's this government determined to give.
ParlaMint-NO_2001-12-19.ana.ud51e180	Øystein Djupedal – for follow-up questions.
ParlaMint-NO_2001-12-19.ana.ud51e184	I would like to say that I was reassured by the Prime Minister's assurance that the ambition is firm, but it is a bit striking to note that this government, as the first government, is now adjusting down the estimate that full child care coverage is assumed to be. This is difficult to interpret differently from having lower ambitions in this field than you had in the past. If you also see in the Sem Declaration, you write there that you want full babysitting, in line with the large number that you have adopted a long time ago. But what you don't write is that you have a commitment to how much a kindergarten space is going to cost. Not least the Prime Minister's own party in the election campaign had a very high profile, where you went to the country's kindergarten parents and said that we should go down to an average of NOK 1500 per year. Place – which I think was the ambition of Kjell Magne Bondevik's party. So I notice that this is not being followed up at all, and it seems now that the mutual focus in this respect is on the cash support. Cash support is the solution, not a reduction in the nursery rate. My very clear challenge to the Prime Minister is, is it really that you don't have that ambition? For this is not stated in the Sem Declaration [[President clubs]]
ParlaMint-NO_2001-12-19.ana.ud51e193	No, that ambition is fixed, and it's wrong when Djupedal says that nothing is done to reduce prices. There is a significant increase in government subsidies in the budget for next year, just to bring prices down. It had to be co-operative to get a grip on the fact that prices in private kindergartens would also have to be ensured. It was not with the old system, where one depended on the goodwill of the municipalities in terms of municipal subsidies. Here, I may think that the SV and the Cooperation Administration are more in line than the Workers' Party and the Cooperation Administration have been. As far as the rate of expansion is concerned, we have no lower ambitions than what we have said in the Sem Declaration, and what I have now repeated: full coverage of needs. If the percent is 85, 80, or 75, it's less interesting to me. It is vital that parents who want a nursery place for their children should have it. And it's a little strange now to see how the criticism from the opposition came. In the course of our accession, there was a pre-criticism that one was not going to maintain the initiative. [[The President Clubs Again]]
