ParlaMint-NO_2001-03-06.ana.ud664e31	The requested alternate of the State of Uppland, Kjell Ivar Fossnes, has taken the seat.
ParlaMint-NO_2001-03-06.ana.ud664e42	The representative, Karin Andersen, will make a private proposal.
ParlaMint-NO_2001-03-06.ana.ud664e45	On behalf of the representatives of Ågot Valle, Hallgeir H. Langeland and myself, I will present proposals on organic farming.
ParlaMint-NO_2001-03-06.ana.ud664e50	The representative Annelise Höegh will make a private proposal.
ParlaMint-NO_2001-03-06.ana.ud664e53	On behalf of Børge Brende and myself, I would like to make proposals on non-discrimination between private and public X-ray institutes.
ParlaMint-NO_2001-03-06.ana.ud664e58	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2001-03-06.ana.ud664e68	The size decided at the December budgetary procedure to reduce petrol taxes by 50 cents from 1 January 2001. Furthermore, Stortinget adopted a further reduction in petrol taxes by 32 cents applicable from 1 July 2001. Although the Progress Party considers this reduction to be far too small, it is a small step in the right direction. If one goes back to the proposal from the Government and sees why the Government proposed a reduction in the petrol tax, it is quick to see that this is due to the fact that the crude oil price pushed the pump price on petrol so high that this was unacceptable even for the Government. I would like to quote from page 71 under section 3.5.7 Fee on petrol in St.prp. No 1 for 2000-2001, Tax, tax and customs decisions, where it states: ‘The increase in crude oil prices has led to higher prices of petrol in real terms since 1951. In addition, the tax on petrol in Norway is higher than in our neighbouring countries and can therefore contribute to increased trade leakage. In order to reduce the trade leakage and the load on those who depend on using the car, the Government proposes to reduce the fuel tax by 50 cents per cent. litre nominal from 1 January 2001. ...In the context of the VAT reform of 1 July 2001, it is proposed that the petrol tax should be reduced by a further 32 øre per. litre.’» Before the tax reduction on petrol on 31 December 2000, the indicative pump price for petrol was 9,88 kroner. Per. On 8 February 2001, after the tax reduction had entered into force and had been effective for a while, the indicative pump price was DKK 9.89, i.e. 1 ear higher than before the end of the year. And then my question is whether the intention behind the Government's proposal and the Stortinge's decision on a lower pump price for petrol is fulfilled. My answer is a no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no-no. It is important to realise that the background to the price increase is not that Norwegian oil companies are trying to take extra profits in the context of the tax reduction, but price jumps on the international petrol market in Rotterdam. The problem of excessive pump prices is here, and the only reasonable and logical conclusion will be to speed up the already agreed reduction from 1 July to 1 March. Although this will only partly help with the sky-high gas prices, it's a bit on the way. I assume that the budget-mates, on the basis of the fact that the pain threshold for petrol prices is established by the December Decision, will come back with proposals for further reductions and system changes in relation to the revised national budget. The permanent solution to the problem we are facing is to be read in Document No. 8:39 for 1999-2000 by the Party of Progress. III of the proposal reads: ‘The government asks the Government to propose the introduction of a flexible petrol tax system, so that the tax goes down when the oil price rises and vice versa, so that the selling price does not change as a result of changes in the oil price.’ This shows, on the basis of the intention of this proposal, that we would be able to solve the economic costs facing the normal Norwegian driver today, at one of the world's highest petrol prices. Do not let this good party proposal suffer the same fate as, among other things, it does. the proposal to fund the price of patients in hospitals and to make the Norwegian people suffer unnecessarily for 10-15 years as the political majority matures. It is reasonably clear that it is those who have the least in society, the unemployed, the low pay, the minimum pensioners, etc., who are hit hardest by high petrol prices. For rich people, high petrol prices mean less. As studies have shown, those with the highest income are located in and around agglomerations in central areas. Once again, it means that those with the lowest income live in scattered rural areas with poorly developed collective services, which are hit hardest by high petrol prices. I assume that this has not been the goal of the Workers' Party, which likes to call itself the party of the weak in society. I assume that it has not been the goal of the Central Party, which believes it has a monopoly on representing the scattered rural areas of the country. If any of these parties mean anything to what they claim in celebrations, then the time has come to show it by action. Now these parties have the opportunity to approach the goal they themselves adopted in December, and the goal they claim to have, namely to be a champion of the weakest in society and those who live so that they depend on using a passenger car. Even though a reduction of 32 centimeters from March 1st is just to count as a drop in the ocean, it's a start and a completely necessary drop. The Party of Progress shall ensure that the Storting will in future be given the opportunity to vote for a new petrol and diesel charging system that provides stable pump prices. But above all, the Advance Party must ensure that proposals are made for much lower petrol and diesel prices of around DKK 6-7 per year. liters. For stable petrol and diesel prices are not enough; they must be stablely low petrol and diesel prices. I hope that the majority will continue to support the idea of a lower pump price for petrol and vote in favour of the proposal of the Progress Party to speed up the already adopted reductions in the petrol tax from 1 July to 1 March, which we have put forward. I take up the proposal herein.
ParlaMint-NO_2001-03-06.ana.ud664e98	Kenneth Svendsen has taken up the proposal to which he referred.
ParlaMint-NO_2001-03-06.ana.ud664e101	It is very nice today, and I almost have to point out, after the article to Kenneth Svendsen, that we are doing very well in this country – also materially. The vast majority of people have seen very well with the eyes of other countries. If we go to the specific matter, as most people do, I have accepted that a so-called market, supply and demand, governs the pricing of most goods and services. However, in many cases it can also be noted that strong forces are able to manipulate price rises to achieve great profits. A number of oil market actors are included in this. In recent years we have had extreme price fluctuations on oil. If we go back two years, we recorded oil prices all the way down to $10. We've been all the way up to $35, and we've had price fluctuations in Norwegian money only over short periods of time on the hundreds bill. So there are incredible fluctuations in the market that Kenneth Svendsen here is moving into with his solution. The average price level has increased considerably. In the last budgetary procedure, the size found it necessary to reduce the country’s revenue from diesel and petrol sales in order to compensate for some of the added profits achieved by oil market operators, while making the necessary adjustments to neighbouring countries. The revenue and expenditure of the State budget shall be fixed for one year at a time and shall be related to each other. Changes in budgetary assumptions should be avoided for many reasons. In particular, when the fluctuations in market prices are one way up, they are to be compensated by immediate reductions in the income of the country, as we now see examples in Document No. 8:56 on petrol prices. What would result from this type of behaviour in relation to the pricing of the market can only be referred to by the seller as: very convenient. I believe, for my part, that there is only one concept that is adequate for the proposal we now have on the table: very populist. The Labour Party Group will vote against the proposal, and I think more are.
ParlaMint-NO_2001-03-06.ana.ud664e112	The principle requested by the proposers is now being considered, namely that charges should counteract market fluctuations, was also assessed in the examination of Document No. 8:39 for 1999-2000. After the autumn budget decision, the tax reduction on petrol will be around 1 July this year. 1,20 kroner compared to 2000. This means that the fees are down to almost the same level as in Sweden, and lower than for example. in Germany, France and the Netherlands. This is a monthly reduction in the fee. There was a majority for this tax reduction in the autumn budgetary procedure, and this was also part of the financial soundness of the budget. The tax reduction is on track. I therefore see no reason to support the progress that has already been made, with a few months or so. The Christian People's Party will vote against the proposal.
ParlaMint-NO_2001-03-06.ana.ud664e119	Even with the cautious reduction of the petrol tax that Stortinget decided last autumn, it is a fact that the taxes on petrol are higher in Norway than in our neighbouring country. The size has decided that the petrol charge will be reduced by 50 cents from 1 January and that it will be reduced by a further 32 cents from 1 July. The proposers point out that developments in the international petrol market are counteracting the effect of the tax cut on pump prices and therefore propose to accelerate the second stage of the tax reduction. The proposers also refer to the Leading Party's petrol charging model, where the fee is to be regulated continuously after oil price developments, so that pump prices are kept constant. I would like to point out that the Right in the examination of the 2001 budget proposed that the entire tax reduction should take place from 1 January. Supporting an acceleration of the tax reduction will therefore be in line with our alternative budget. At the same time, I would like to stress that the Right has taken a distance, and takes a distance, from the Advance Party's model for a constant selling price for petrol. Such a model is very far from market economy thinking, where supply and demand determine prices.
