ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e67	The representative, Erna Solberg, will present a private bill.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e70	On behalf of the representatives of Per-Kristian Foss, Trond Helleland and myself, I will be allowed to propose changes to the law on competition in acquisition activities to ensure political independence in all matters under the law. [[Competition Act]]
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e75	The legislative proposal will be dealt with in accordance with the rules of procedure.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e87	At the request of the Judicial Committee, the President will propose that the debate be limited to 1 hour and 20 minutes and that speaking time be allocated as follows: Working Party 25 minutes, Christian People's Party 10 minutes, Right 10 minutes, Progress Party 10 minutes, Center Party 5 minutes, Socialist Left Party 5 minutes, Left 5 minutes, Twist Party 5 minutes and one of the independent representatives 5 minutes. In addition, the President will suggest that there is no possibility of replication after the individual speeches, and that those who have to sign up to the list of speakers in addition to the allocated speaking time will have a speaking time of up to 3 minutes. - It's a note.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e96	All independent nations need to secure themselves against terrorism, expose and stop intelligence activities by foreign powers and secure information on the international threat scene. Every country in the world needs secret services. Norway currently has an up-to-date surveillance service — a surveillance service that is criticized when something goes wrong, and rarely can be praised when something goes very well. It is in the nature of the service – success is kept secret. We get to know from time to time when foreign intelligence agencies are exposed and expelled from Norway, but we never know the results of the prevention work. The management of the surveillance service may not always stand up and receive praise for the results of the service. But there is no doubt that the activities of the surveillance service have saved human lives. The alleged sins of the past have been turbulent around the surveillance service for some years. It eventually resulted in a sample to carry out a full review of the organisation and legal framework of the service. I think the result was good for the surveillance service. The selection concluded clearly and unambiguously that Norway needs a surveillance service today as much as it needs during the Cold War. A unanimous Justice Department agrees with this conclusion. Several nations still carry out significant intelligence activities in Norway. At the same time, there are a number of terrorist organisations based on different parts of the world that pose a threat to the population of most countries. Today, terrorist acts from bases in Afghanistan are planned and carried out in Nairobi. It might as well happen in Norway, especially if we signal that we do not consider it an important task to prevent terrorism. There has long been a desire to have the tasks of the monitoring service clearly defined in a law. The Ministry has come up with a proposal to define the tasks through new paragraphs of the Police Act. The majority of the Judicial Committee agrees with the Ministry as to which tasks are so important that they should be defined in a legislative text. The Progress Party and the representative, Jørn Stag, want in addition to have the surveillance service legalised in the fight against organised crime, and will re-establish the mission of the bodyguard service, which the surveillance service lost to Oslo Police District by a decision of the Government last year. In other words, the Judicial Committee fully agrees that the surveillance service should have exclusive competence to prevent and investigate crimes against the security of the State, cases relating to illegal intelligence activities, sabotage operations, terrorism, politically motivated violence, proliferation of weapons of mass destruction and illegal technology transfer. In a number of other areas, there is full agreement that the monitoring service should have an important assistance function. There is some disagreement in the Committee on the clear definition of the monitoring service’s work to combat organised crime. Everyone agrees that the monitoring service has an important role to play, particularly in the context of the operational and analytical competence of the service and the contact with collaborative services. The majority of the Committee considers that the ordinary police should continue to have primary responsibility for this type of crime and that the surveillance service should have an auxiliary function upon the prior request of the responsible police unit. The Progress Party and the representative of Jørn Stag consider that the national supervisory assistance function should not be limited to assisting only on request, and that the monitoring service should be given a self-responsive responsibility in line with the ordinary police in preventing international organised crime. There is disagreement in the Committee on the Oslo Police District or the Surveillance Service shall be responsible for the bodyguard service. This service was transferred to the Oslo Police District from 1 October 2000. The majority of the Committee takes this decision into account, but requests that an evaluation be carried out during 2002 on the appropriateness of the transfer carried out and that the results of this evaluation be submitted to the Stortinget in an appropriate manner. Even signed, as a representative of the Progress Party, is convinced that the transfer of the bodyguard service from the surveillance service to the Oslo police district was a mistake. The members of the bodyguards of the surveillance service served in a section that provided them with information on international conditions, the threat picture and analytical conditions. This is relevant knowledge relevant to both international and national lifeguards. The vigilance service was a naturally integrated part of the terrorist prevention work. In my opinion, it is critical that former Minister of Justice Odd Einar Dørum moved this important job out of the surveillance service at a time when the department was working on a case for the Stortingen on the duties of the surveillance service. The monitoring service is currently closely controlled by the Storting Control Committee. The Danielsen Committee assessed whether the monitoring service control of this sample should be extended to cover the overall oversight of the prosecution authority, and the majority of the sample concluded positively. I am very pleased that the Justice Committee has held its tongue in its mouth and comes with a unanimous and strong warning against eroding the very central democratic principle of a free and independent prosecution authority. Both the State Attorney, the Head of Monitoring and the Ministry of Justice disagree that the EOS Committee should be able to control the overall prosecution authority. Everyone argues that it is an important principle that the prosecution authority is independent from political authorities. When a unanimous Justice Department now says the same thing, any thought of expanding the control area of the EOS Committee in this direction should have been turned back forever. And finally, after this day, we can say good-bye to the police surveillance service and welcome to the police security service. It will be the new name of a service that is the same as before, with mainly the same tasks and with skilled employees. We have a surveillance service in Norway that we can all be proud of. Finally, I would like to address the proposals from the Progress Party and the representative, Mr Stag, that have been put forward in the vote.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e124	The representative Jan Simonsen has drawn up the proposals he referred to.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e127	I think the case rapporteur, Jan Simonsen, gave a good account of the Committee's position, but I also think that, in the light of the debate on the monitoring service after and during the work of the Lund Commission, it was important to clear out the legal regulation of the service that is now taking place, and underline the important point that Mr Simonsen concluded, namely that there is a broad political consensus that there is a need for a monitoring service to prevent threats to the security, terrorism and illegal intelligence of the country, even if the current threat situation is not critical. There is also broad agreement on all aspects of the organisational structure and legal framework conditions. There is some difference in the Committee’s view on two points – to which the rapporteur also referred – and I would just like to briefly repeat the justification in relation to the possible legalisation of organised crime as a primary task for the monitoring service, or the security service. We believe that that service has a role to play, not as a primary task, but at the request of the general police, precisely because it has also been an important purpose simply to create the necessary boundaries with the general police, that is. who shall initially have those tasks as primary tasks. I also see that both the national lawyer and the police director agree with the delimitation of the government, which, as said, does not give primary responsibility to organised crime, but also states in the legislative text that they can be assigned tasks related to this in addition to the usual reporting obligations they have in relation to instructions. As far as the bodyguard service is concerned, I don't want to go so far as to say that I'm critical of the decision that was made last year by the Government. We've taken note of it. It is clear that there are questions about what lies within the formal authority of individuals, but we clearly see that the purpose of cleaning up the primary tasks of the surveillance service, and that there should not be a bodyguard service in two police units, are good reasons for the change that has taken place. However, we note in the committee position that an evaluation must be carried out after a period of time, and we suggest during 2002, since coordination only started at the end of last year. But the main picture remains, and what I want to get out of the pulpit of Storting is that there is a broad political consensus on the legal regulation of the security service that we are doing here today.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e138	I don't mean to say much about the police surveillance service, POT. On the other hand, I intend to talk about the police security service, because with the decision we are making today, we no longer have any POT. Ot. pp. No 29 proposes a change of name, and it has joined the entire committee. After that, it shall be called the Police Security Service. The service has been in focus at regular intervals in recent years. The matter that we are dealing with today is, hopefully, the final outcome of a long process. The Lund Commission’s report took a thorough review of, inter alia, the monitoring service in Norway and made many critical comments. As a follow-up to the Lund Commission, a sample, the Danielsen Committee, was appointed to look at the organisation and framework conditions of the monitoring service. Ot. pp. No 29 follow up on the recommendations of the sample, and with all the work that has now been done in this area, everything should facilitate an up-to-date and effective security service with a clear framework for its work. There is no doubt that we need an up-to-date and effective security service. Unfortunately, the world is not such that everyone wants each other well, whether it be individuals, organisations or countries. That's why we have to be prepared in many different areas, and the police security service has to cover some of them. The Christian People's Party is satisfied with the legislative process now taking place in relation to the central tasks of the security service. One of the most important tasks of the security service will be to prevent and investigate crimes against the Kingdom’s security. It is important not to be naive, and threats exist today too. We also need to be aware that the threats can change both in form and content. Sabotage and intelligence activities are other key tasks the service has to deal with, monitoring and hidden investigations of terrorism and violent, extreme groupings as well. Other tasks regulated by law are the control of cases involving the proliferation of weapons of mass destruction, illegal technology transfer, organised crime, crimes against humanity, genocide and gross war crimes. The security service shall be a special body of the police action. One of the few points on which the Committee is divided is in the view of combating organised crime. The majority, such as The Christian People's Party is part of, is committed to the fight against organised crime as a task for the security service, but that this should be done in the form of an assistance function for the ordinary police and not an independent responsibility for the service. The Christian People's Party assumes that this is a close and close cooperation between the service and the police, so that this area is well maintained. The majority have followed up recommendations from the Danielsen Committee. If the service were given this as a self-reliance, it would involve a substantial extension of the tasks compared to today’s. Both the national lawyer and the police director believe that the security service in this area should have an aid function. As far as the bodyguard service is concerned, it's transferred to the Oslo Police Chamber. The Christian People's Party wishes to evaluate this during 2002 to see if the scheme is appropriate. We also believe that an important area of security services is to provide threat assessments to policy authorities. If policy authorities are to be able to implement the right measures, a sound decision-making basis is needed. That's the threat assessments to give. Because this problem is so important, it's also right to legislate. A difficult and important question has been whether the EOS Committee should be able to control the overall prosecution authority. A majority in the Danielsen Committee thought so, but many others have gone against it, among others. the national lawyer, the head of surveillance and the department. The Christian People's Party will stress that the reason why the Committee has not supported the majority of the Danielsen Committee is that we place the decisive emphasis on a free and independent prosecution authority. This principle would be broken if the EOS Committee, as a politically appointed supervisory body, could exercise control over the overall prosecution authority. Finally, the Christian People's Party will stress that good recruitment to the security service is important and that it is important to bring in people with education other than police. In an increasingly complex and complex world, there is a need for different types of knowledge in the security service. It is necessary for the overall competence of the security service to be as good as possible. There are still areas that I have not touched on, but the rapporteur had a good and thorough review. I would like to stress that it is neither possible nor desirable to regulate the activities of the security service in detail in the law. What is important, however, is that today we legislate the most central tasks for the service, so that there is a framework for the business. A good judgement must help to draw up the limits of what cannot be legislated.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e168	The case spokesperson was concerned that the police surveillance service has been getting a lot shut up over time, and they have gasped it in view of a part of the business that has been going on. But let's hope that one today is facing a turning point where one gets a monitoring service that works according to the intentions that the political majority wants. I also believe that the Lund Commission has played an important role and helped to get you cleaned up. SV is not in the committee, so I just have to specify a few points. The one thing that many people have been about, this with the EOS selection's ability to control a superior prosecution power. SV agrees with the Committee that they should not have that function, but SV would like to make it clear that it requires the Governing Board to act politically independently. It's important for me to be told. It hasn't always been easy. Not least Berge Furre-saka taught us a lesson there. So here one has to follow the principle of independence, even in such matters. The principle of independence demands both for us and for the superior authority of the prosecution. SV's other comment is related to the threat assessments that a proxy has to offer. SV agrees that one should develop such threat assessments for political governance. However, there is a basis for questioning the threat assessments that are being carried out today. Of course, I have experienced that the assessments you make are not always so rational and reasonable. On 6 April this year, we felt that a very peaceful demonstration against the cynicism of the pharmaceutical industry in the context of AIDS medicine was encountered with a misassessment, the threat image was misjudged. The police met 50 peaceful demonstrators with clubs and shields, and the Stortinget was shut off with fences and police. There is therefore a basis for asking for threat assessments to be reviewed and renewed, not least on the basis of the increasing power we experience from the racist and neo-Nazi environment. The tragic killing of Benjamin illustrates what the main focus must be. Finally, SV will warn against too much interference with our military defence and surveillance service. History has taught us that such contact is not always good. SV thinks there must be a clear distinction between what is the defence's mission and what is the police's. When the Committee recommends that the monitoring service be able to participate in military exercises, this clear distinction may be erased. I have now done well for the few objections that SV has raised in this matter. So we have no alternative suggestions, but we have some things that we point to that we think it is important for the monitoring services to take care of in their work.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e181	I noticed in the last post that you had no alternative suggestions. Then I think it was relatively unnecessary for this attempt to reverse the secret services that SV has been fairly isolated in all post-war years. We've had an important review of the secret services, and we've come up with a solution that I think everyone agrees on. For my part, I would like to stress that the need for a monitoring service is as great today as it has been in the past. Several nations still carry out significant intelligence activities in Norway. At the same time, there are a number of terrorist organisations based on different parts of the world that can strike in Norway if it is no longer considered an important task to prevent terrorist acts. I also agree that it is important to further regulate the main tasks of the monitoring service and that the international cooperation of the monitoring service is so important for the service that this cooperation should be regulated as part of the service’s tasks. I am pleased that we now have the law establishing that the surveillance service has an instructional obligation to transmit relevant information to the other police, and that information received by the service from cooperative services can be very relevant and of great interest to the police units entrusted with the primary responsibility for combating organised crime. In addition, the monitoring service will, upon request, be responsible for obtaining any additional information and providing questions and answers in specific cases. I would like to refer to the Danielsen Committee, which believes that the operational and analytical competence of the monitoring service could be an important contribution to the fight against organised crime, and that the service could attract bills of exchange for cooperation with foreign security and intelligence services. It is therefore important to stress that the monitoring service should be involved in the prevention and investigation of organised crime. However, the monitoring service should not be entrusted with self-reliance on the same level as the ordinary police with regard to organised crime. This would result in a substantial extension of the tasks of the surveillance service and emphasis should be placed on the performance of the primary duties of the service and the relationship with the responsibilities of other police units. I would point out that both the national lawyer and the police director agree with this assessment. With regard to the bodyguard service, I will briefly endorse the view expressed by the representative Vidar Bjørnstad. We look forward to an evaluation of a matter to which it was not really easy for us to join. As far as the EOS Committee is concerned, I am also pleased that we have reached an agreement on this. In particular, I would point out that the national lawyer believes that it would lead to a marked breach of a Norwegian tradition of more than a hundred years if a politically appointed supervisory body reporting to the Stortinget were to be given authority to exercise control over the overall prosecution authority. I fully agree with the conclusions and arguments of the State Attorney and the Head of Monitoring, and will strongly warn against the hollowing out of the very central democratic principle of a free and independent prosecution authority. With these comments I would recommend the setting, and I am very pleased that we have achieved virtually unanimity in relation to these sensitive and very important tasks.
ParlaMint-NO_2001-05-21-lower-2.ana.ud2668e202	It is very positive that the police security service has received the thorough and proper report they have received in the committee position. It's important. It is also important that there is a broad majority behind the service, with the exception of those points where the Progress Party has divergent positions. On these points, the Left is in agreement with the majority of the Committee, i.e. both in terms of views on organised crime, where we believe that the service should be an aid body, and in terms of prosecution, where we fully agree with the Ministry that no one should intervene in the prosecution authority – i.e. the EOS Committee should not intervene in the prosecution authority in the areas outlined here – and we also agree with the Committee on the organisation of the bodyguard service. With that in mind, I would like to link some comments to the service and the service function. I think it is good that the Committee has generally examined the threats you might face. I also think it is important that it is confirmed that a threat assessment is now being carried out which, through a specific procedure, is finally cleared politically both by the Minister of Justice and by the Government Security Committee. I also agree that there are important aspects of the service that should never be out to the public, including: sources, but I think you can talk openly and directly about things that are serious and that concern the citizens of the Kingdom. I think there are aspects of such a threat assessment that we know, which you can talk about, because if something is serious, a country's citizens should have insight into what is serious. This does not mean going into details that are unnecessary in order to protect the specific nature of the service. But if so, for example. As a result of the fact that we no longer have good international agreements on weapons of mass destruction, we should be aware of groupings that are different from our infrastructure, and there is reason to mention them in such a way that people can naturally be on guard. So this can happen in two ways. One way is not to say anything, and the other way is to say it so dramatic that people are looking for an agent behind every corner. But there is a wide gap in this landscape, where you can reason and talk about something. What should be secret should be secret, but what the secret should protect us from can't be secret. It must be able to withstand a review – and something broader and more precise than the Committee has done. So I would simply encourage the Council of States to ensure, on an appropriate occasion, that the threat assessments with which the Government operates, which are important to the citizens of the Kingdom, are made known in an appropriate way. There's a lot of ways that can happen, but I'd like to express it. I also express it because I have great respect for the service we are currently dealing with. I think it has a very important task in Norway, and it has become no less important with the new threats we are facing. Nevertheless, at the end of the article, I will address a historical relationship. I think that as we get all the keys – or whatever it is now called – that make us transparent in the Stasi archives, Norway should also be able to tolerate its own Truth Commission. We should be able to tolerate what we find here, independently of criminal law, under the light of history. When a country is far away from our cultural circle, in South Africa, able to talk about rock-hard conditions, and when you can talk about tough conditions elsewhere, we have to face up to the fact that Stasi is also part of our history, just as the Lund Commission is part of our history. The Lund Commission was necessary to intervene and look at some issues, but knowing what the Stasi system, with large and small, did – and they probably didn't do the most with our country, they did it elsewhere – is also part of the truth that should be on the table. And when we gradually get on the table history that describes how Norwegian intelligence has existed in the postwar period, when we get history that depicts nuclear weapons stocks or plans to do so until 1970, this part of history must also be part of our common heritage. It may not be as comfortable for all people, but it must be part of our common heritage. And when I mention it, it's because you're facing systems and regimes that are as thorough and as totalitarian as the regime was able to create an intelligence device that included 12-13 pst. of the entire adult population, and who gradually manage to create a grip with a mixture of German communist and Nazi fundamentality in a common tradition. Then it is good that we are also told. So my appeal is that the Council of State assesses whether there is a suitable occasion where one can also ensure that the historical facts about what the Stasi archives tell about the relationship with Norway are made known.
