ParlaMint-NO_2001-05-29-lower.ana.ud2670e87	The representative Per Sandberg will present two private legislative proposals.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e90	On behalf of the representative John I. Alvheim and myself, I would like to propose amendments to the Act of 8 April 1981 No. 7 on children and parents § 3 and § 6 so that issues of danger are determined by DNA testing and changes to the Law of 13 August 1915 No. 6 on the proceedings in disputes § 412 so that proceedings on prudence shall be decided in accordance with the rules of children's law. I will also, on behalf of the representative Per Roar Bredvold and myself, make proposals on the law on amendments to the law on gambling of 28 August 1992. Section 103(10), so that after fund redundancies are made, the profits of the company are to be distributed by one-half for sport and one-half for cultural purposes.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e97	The legislative proposals will be dealt with in accordance with the rules of procedure.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e109	No one has asked for the floor. [[Footing, see page 579]]
ParlaMint-NO_2001-05-29-lower.ana.ud2670e123	At the request of the Municipal Committee, the President will propose that the debate be limited to 45 minutes and that speaking time be allocated to the groups as follows: The working party 10 minutes and the other groups 5 minutes each. In addition, the President will propose that the opportunity be given to the exchange of lines of up to five lines with replies from members of the Government. In addition, it is proposed that those on the list of speakers, in addition to the time allocated, should have a speaking time of up to 3 minutes. - It's a note.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e134	The current law on disaggregation is outdated in several respects and, in general, in a limited amount of time. According to its wording, the law applies only to changes in municipal borders. It does not include rules for changing county limits. Changes in county boundaries have been implemented by analogy with the law, which is not useful. For the treatment of St.meld. No 32 for 1994-95, the municipal and county divisions, debated the Stortinget on 7 June 1996 Innst. S. No 225 for 1995-96. Both the Government and the Stortinget stated that there was no need for a divisional reform. The size took note of the question of the need for a revision of the partitioning law. On 23 May 1995 the representative of Mr Morten Lund, in the context of a debate on the merger decision, presented the following proposals: ‘The government asks the Government to assume that future changes in the municipal structure shall not include municipalities where the local government, or the residents of a referendum, has opposed the municipal association.’ This is the concrete basis for the legislative review and, at the same time, the political basis up to today. The Christian People's Party, the Advance Party, the Central Party and the Socialist Left remain on the same policy as in 1995. All parties state that it is important to protect local democracy. It's important to bring power out to the people. It is therefore regrettable that this time the Right does not wish to support the proposal of those lots. The right-wing members also show that experience shows that the best results are obtained through voluntary rather than coercive. However, the right reserves the right to cut through fully locked situations. The members of the Workers' Party also show that it is necessary to stimulate voluntary associations of municipalities, so that we get stronger municipalities that are able to carry out more tasks. But, like in 1995, the Workers' Party wants to be able to impose community law when they find this appropriate. The whole committee is mainly behind the new law on division, a law which is a clear procedural law, and which covers a number of areas that are not covered by the current law. In addition to a number of procedural rules, the law provides guidance on who has the right to initiate border adjustments and mergers. The law sets out the objectives and scope and sets out a number of necessary definitions. The provisions of the Law on the preparation of cases are both useful and good, and the Committee welcomes these provisions. In contrast to current law, the law will also have provisions in the case of counties. The law provides for the bundling and splitting of districts, for the bundling and sharing of municipalities, for the adjustment of county boundaries, for the adjustment of municipal borders and for the setting of borders. Furthermore, it provides for the effects of border changes and specific rules for the implementation phase. It also regulates the economic settlement after border changes and addresses economic compensation and supervision. The members of the Committee from the Christian People's Party, the Progressive Party, the Centre Party and the Socialist Left point to the unfairness committed against the municipalities which were coerced in 1991. These new large municipalities only retained the basic grants for all municipalities for two years and have lost significantly in relation to current legislation. These parties have also announced that they will submit proposals for loss compensation to the municipalities of Arendal, Fredrikstad, Hamar and Larvik in the context of the treatment of the municipal proposal. What the treatment of this law is about is what policy we are going to pursue. The Christian People's Party, the Party of Advances, the Central Party and the Socialist Left are therefore promoting the following proposals: ‘The government asks the Government to assume that future changes in the municipal structure shall not include municipalities where the local government, or the residents of the referendum, has opposed the municipal association.’ I'm addressing this proposal. The proposal is about showing respect in action for local democracy. I regret that the Right Party and the Labour Party cannot support such a proposal, not least that the Right Party has changed its course in this context. The fact that the Workers' Party is in favour of a policy that will inevitably lead to centralisation is nothing new.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e162	Ivar Østberg has drawn up the proposal he referred to.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e165	It is a completely necessary renewal of the law of division – the municipal and county border law, we can well call it – we are now going to adopt. Today's law from 1956 is deficient, and it leaves doubt about the procedure in specific cases. The law we are now to adopt is a law that clarifies the procedure and process for setting municipal boundaries and changes in municipal and county divisions. Borders between municipalities, not to say community mergers, are often controversial and very emotional. Therefore, it is important to be very clear as to who should act as actors, what is the procedure for proper handling, who can decide on different types of cases, the consequences of the changes proposed, and their implementation. This law will not affect the number of municipalities or counties. The aim of the law is to create greater predictability for those who have to be involved in this type of process, and a more effective procedure. Local democracy is strengthened by the fact that a legislator should obtain the views of the local government on a topical question of division, and that the local government itself determines the method to be used. But there is no requirement for local referendums. A relationship to which it is important to stress is that State compensation should be granted for the cancellation of Framework Grants by, for example: community mergers. Finally, the question of coercion of municipalities. The law gives Stortinget access to this, but the Workers' Party believes it is more important to stimulate voluntary community mergers than to use coercion. Our motive for getting fewer and larger municipalities in the long term is that they will become more robust, and thus be able to take on more tasks – this again in order to fulfil the role we believe the municipalities should have, which is the most central part of our welfare system.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e178	It is gratifying that the bulk of the population now brings us a significant step forward in the clearing process that started with the Christiansen selection early in the 1990s. The majority of the population may have fallen short in 1995, but the subsequent legislative process has nevertheless clarified the need and picture in terms of the right of initiative and decision-making in the various cases. Some of us have been a bit concerned with the overall responsibility of Stortingen. Finally, the Ministry has pointed out that the Stortinget, regardless of the legal text, can also have a right of initiative, if that should be the case. A unanimous decision-making process today adopts a legal text with a clear definition of which divisional matters are to be decided by the government and at large. Now the majority also say that the law can be applied – a fact of course in many ways, which the minority seeks to prevent with an additional proposal. In the past, as I said in 1995, the right has correctly supported such a proposal, precisely to underline our commitment to volunteering in terms of structural development in the municipal sector. And this attitude still has the Right. It has also been shown to the right by being a driver of further lubrication in relation to the voluntary processes by also proposing the regional grant included in the existing breakdown grant. Nevertheless, fully fixed situations may require the participation of the Storting, which the legal text now takes into account – a legal text that everyone supports. However, it seems appropriate to point out that Section 4 is not to apply. The centre party also has a fear of the Ministry's right of initiative. The right has no fear of investigations. Of course, we have respect for decisions, and that is where we need to ensure that our participation is responsible, as our behaviour in even smaller divisional matters in recent times has shown. The rapporteur and the majority point out that this is a procedural law, i.e. that the Department may not promote matters of a certain character which the Department considers inappropriate. This may vary depending on which party is in government, but there must be no doubt that if the Stortinget has the overall authority, the Stortinget may also ask for cases that may not reach the Stortinget. There is no practical consequence in the first instance of this legal process except that, if there is local democratic resistance in an investigated process, at least there will now be a minimum of justification for this resistance. Otherwise, if the minority proposal is adopted, the right of veto will be absolute – also a right of veto without any justification.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e195	The proposal for a new division law, which we are dealing with here today, means that we get a much clearer law than the current division law. The new law describes in a clearer way the process, right of initiative, investigations, case preparation and decision-making authority in matters relating to local border adjustment, municipal division or community merger. This legislative reform is both positive and important. The Progress Party therefore largely agrees with the present proposal for a new partitioning law. However, for the Progress Party, it is important to stress that any merger of municipalities should be based on voluntary participation by means of a binding referendum in the municipalities concerned. The Progress Party, together with the Christian People's Party, the Centre Party and SV, therefore agree on the proposal that the principle of voluntary municipal association, adopted by the Stortinget on 1 June 1995, should continue to apply, and that future changes in the municipal structure should not include municipalities where the municipal government or residents have opposed the municipal association in the event of a referendum. Community is in a way primarily a local matter, but of course it is also a matter of great national interest. It is therefore appropriate to confer on the Ministry the right of initiative and the investigation authority in relation to the merger of municipalities. The Committee agrees. The Progress Party is not at all against a change in the municipal structure in Norway so that we get fewer and larger municipalities through a municipal merger. Although this may not really be part of the debate, I will briefly mention that, in my view, the number of municipalities today – 435 – is too high. In addition, several municipalities in Norway are too small by population. When nearly 250 municipalities have less than 5,000 inhabitants, and about 320 municipalities have fewer than 10,000 inhabitants, it speaks its clear language. But although this debate is not primarily about community mergers, I am taking this with me to illustrate the potential of this new law of division. Moreover, the Progress Party, as mentioned in the main, supports the legislative proposal itself, after signaling its main views in the comments in the vote, where the Progress Party thus clearly states that municipal mergers should be based on democratically anchored principles through binding referendums in the municipalities concerned.
ParlaMint-NO_2001-05-29-lower.ana.ud2670e208	The Labour Party confirms in today's recommendation that their emphasis on local government and their desire for greater political commitment to the inhabitants of each local environment has a clear limit. When it comes to community structure, which is so sensitive to belongings, which has so much to say for each individual's involvement, the Labour Party is taking a counter-fight compared to 1995. In the Government's proposal for a partitioning law, the Labour Party chooses to ignore the fact that a broad majority in the Stortinget on 1 June 1995 took the following decisions: ‘The government asks the Government to assume that future changes in the municipal structure shall not include municipalities where the local government, or the residents of a referendum, has opposed the municipal association.’ Right has now turned in ours and secure plurals so that municipalities can join forces, against the will of the people. The right often speaks nicely of freedom of choice, of trust in the individual, of the need to get rid of state overgrowth. Jan Petersen, who has so often maintained free will as a basis for municipal convergence, is overrun. When this proposal was being debated in 1995, Jan Petersen and others said. following: ‘I read the proposal so that the very central element in it is the principle of the use or non-use of coercive force in municipal associations, i.e. a decision here against what is the clear majority of the community. On this point, I would like to recommend to the Right-wing Group that we vote in favour of this proposal which has now been tabled. I believe it is important that in the foreseeable future we see it as not relevant to join municipalities by coercion." ‘Coverable future’ — in this case, the ‘foreseeable future’ was to be defined as six years. Correctly force only in special cases. It is more than exciting to follow up on what should be defined as special at a time when the Labour Party is constantly looking for new incentives to achieve its target of larger municipalities. The central party does not want the Storting to overrun the local people's will in such cases. We will not make changes that create poorer conditions for the local government, for people's membership, for opportunities for equivalent welfare services, for the fight against centralisation forces, for ensuring full employment through the role of local authorities as a driver of local development. We are not against change, but we believe that changes, border adjustments and also associations of municipalities should be based on local initiatives and local agreements. Many municipalities today have developed good inter-municipal cooperation. That's what we think is important. That's what we want to stimulate. We know that is a very good alternative in many areas to merging municipalities and thus contributing to greater distances in many cases between the controllers and the controllers. In my country, Nord-Jären is an area where there is a common labour market region, and where this issue of association comes up at certain intervals, and where the ministry has also taken the initiative in this way. When the court's national meeting decision was clear, Stavanger Aftenblad wrote on the pitch: «In Stavanger Right, the decision is welcomed. We're afraid it can hit back quickly. Recently, there has been a positive trend towards greater practical cooperation between municipalities in Northern Ireland. If the threat of coercion is to be used again as a rice behind the rear-view mirror, it may destroy the confidence and the climate of cooperation that is in the process of being built up. In addition, if the big municipality really is a good idea, why do you not rely more on the power of the belief?’
