ParlaMint-NO_2001-02-08.ana.ud1394e38	No one has asked for the floor. [[Fotation, see page 1814]]
ParlaMint-NO_2001-02-08.ana.ud1394e50	At the request of the Business Committee, the President will propose that the debate be limited to 1 hour and 15 minutes and that the speaking time be allocated to the groups as follows: Working Party 25 minutes, Christian People's Party 10 minutes, Progress Party 10 minutes, Right 10 minutes, Center Party 5 minutes, Socialist Left Party 5 minutes, Left 5 minutes and Representative Falch 5 minutes. Furthermore, the President will propose that there be a possibility of a replacement of lines of up to three lines with replies after the contributions of the main speakers from each party group, and up to five lines with replies after contributions from members of the Government. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2001-02-08.ana.ud1394e61	The Industry Committee visited Hydro's management on 28 March last year. It has been known that all members of the Committee expressed deep dissatisfaction and concern about the plans to sell Hydro Seafood to non-resident owners. This industry is too important — and will become even more important and more central later — for the flagships to be launched was refuted. So this consensus was well used to take the necessary steps in that matter and to ensure the desired ownership in an industry that everyone believes and wants it to be invested in. No! No! Only England refused to approve the Hydro Seafood sale. In Norway, there is a rapid concentration of ownership with several listings. We may experience that the coastal zone can be sold in good time according to the stock exchange rules, without leadings that ensure local ownership or local gains from the value creation, which we hope will be doubled in 20 years. I think it'll be a historic step if there's not soon to be a regulation that ensures local build-up of skills, capital and jobs in the areas where natural resources are used. I'm sorry to have to use such capitals to remind you of the gravity of the situation. I don't know anyone who wants us to be without a fisheries policy, oil policy or hydropower policy – which had meant free of foreign purchases and exploitation of natural resources. Banana Republic is the word used for such conditions. We don't have to align ourselves with the new exploitation of the coastal zone, which to those degrees is common to the first right of those who live by the sea. The centre party will support strong public commitment to research and development in existing and new aquaculture industries. I have noticed the recording of Norway's geological survey in the evening post on 1 February, highlighting the importance of surveying the seabed for nutritional purposes. Such studies will extend the concept of aquaculture. It is important that such studies and measurements in order to identify environmental conditions in a broad sense are carried out quickly. The centre party wants a maximum owner limit of 10 pst. of the concessions in one hand. If we think of a time-lapse of the number of locations, that means that one company can have as many locations as we have today. If larger units are needed to serve customers, this can be achieved through cooperation. It would be wise for the Council of State to grant new concessions after what the Stortinge has recently said in the Statkorn case: first to the small ones so that everyone gets equivalent three concessions, then some for recruitment and training, then to good areas with little farming. There is no doubt that all the tiny companies need to improve their operating base. The centre party considers it essential that local ownership is required in the new concessions – not least in order to obtain local goodwill during a strong growth period. Local ownership also ensures that the majority municipality receives income and exciting jobs, which are a prerequisite for a better recruitment than at present. Local ownership of small companies does not need to prevent cooperation needed for development, sales, etc. Own-initiative cooperation with the big ones can also be thought of, but limited by total ownership to 10 pst. of the total volume of rearing. The centre party will grant new concessions free of charge and any remuneration will be paid on resale. The amount of the consideration may be reduced to zero after, for example: 20 years of ownership. We believe that the remuneration and any area charges should go to the municipality. We will warn against setting new charges based on the price situation that has been in recent months. It will be better for well-established parts of the industry to allocate funds to product development, sales, etc. instead of imposing a public charge which requires the State to grant the same money for the necessary measures. It is positive that the Government will maintain the concession scheme, inter alia: to control the volume of production, as is the system of flexible feed quotas based on monitoring of the carrying capacity of the site. Monitoring of fishing density in the mermaids and thereby animal health and animal welfare could naturally be combined with this. It will be very exciting to follow how increasing consumer focus on production will affect farming as well. With the strong commitment of aquaculture industries in the broad sense that we now agree on, the coordinated industrial policy and legislation of the State councils are needed. However, there is a greater urgency in establishing rules that ensure an ‘anti-banana development’, which ensure that the growth of a large-scale joint effort primarily benefits the coast and those who live there, and that we can spend a lot of oil money in a way that makes us less oil addicts in the future.
ParlaMint-NO_2001-02-08.ana.ud1394e92	It's going to be line change.
ParlaMint-NO_2001-02-08.ana.ud1394e95	The center party says they're busy with local ownership and the small companies. If you go back and look at the success story of this industry – because it must be allowed to call this a success story – it is not least because one in the start-up phase had a great freedom where entrepreneurs could take advantage of this freedom locally to allow the industry to grow. Unfortunately, one in retrospect has felt that this industry also has new restrictions, new laws, new taxes and new rules to deal with. Does not Morten Lund also think that it would be much easier for the little man, for the individual in the community, to establish and start in this industry if one had received a red tape, reduced fees and made this less regulated than it is today? I would like an answer to that question. Then Morten Lund, on the same line as Right, is also concerned that the value creation that happens in the communities is going to benefit the communities. But now the Central Party will turn its attention to the tax system and go back in order for corporate taxation to get something to say in individual communities. Instead of introducing new taxes and new ways of collecting money into a community, it would probably be much easier to change the corporate tax so that the incomes of the municipalities benefited, not only for this industry, but also for all the other industries that generate value in individual communities. So the last question to the Central Party, which is obviously concerned with this industry, is: how will the views of the Central Party on the EEA Agreement affect the market access of this industry to its main area?
ParlaMint-NO_2001-02-08.ana.ud1394e106	When this industry started, some entrepreneurs were in the front line. And I probably agree that if we had had so many restrictions on starting up the time we've had later, we wouldn't have started. But I have also talked to some of the entrepreneurs I know personally, who are terribly sorry for the development that has happened later, where it is free for them with the most money. That it's worth $30 million. kr for a breeding concession that a person receives free of charge from society, they do not have a sense of it. They do not feel that large companies are coming and setting up the small businesses they were involved in, both for the farms themselves and for slaughterhouses, which provided important jobs, and which the large companies say are not good enough, despite the fact that it was the small companies both on the farm side and on the slaughter side that proved to be the most effective. But that didn't fit in the system of the big ones. The founders I know have wanted more local demands for ownership and less of the development against stock exchange that we have seen. I have not seen in the Business Committee a single enquiry from anyone who wants the policy that the Right supports, that we should end the concession scheme, and that there should be more freedom for those who want to move on to the stock exchange as quickly as possible, and I do not think anyone else has received such enquiries. I also want to remind you that it was when the melt part of this industry was deregulated, that we got into the major disease problems that took the crack at a lot of people. With regard to the taxation of companies for the benefit of local communities, the Central Party's new electoral programme, which has not yet been approved, says that we want the corporate tax to become municipal again. We were thinking about that time that it was changed, and we have got a lot of reactions to it as it was at the time.
ParlaMint-NO_2001-02-08.ana.ud1394e115	I have seen that the representative Morten Lund among others. in writing. - (SV) the press has shown that the presentation of fisheries policy in several areas has been of little practical value, including: in the case of whom new concessions are to be granted. In his statement, the Minister for Fisheries said: ‘At the same time as the aquaculture industry is becoming increasingly important to coastal communities, we see a concentration of interests that results in the accumulation of exclusive rights to operate salmon and trout sport among fewer operators. This does not contribute to the necessary diversity of the industry. Therefore, in the near future, I will lay down general rules for the restriction of ownership of salmon and trout." Does the representative Morten Lund disagree with that?
ParlaMint-NO_2001-02-08.ana.ud1394e127	I agree that we should have restrictions on ownership, and I believe that the Council of State, in its statement in Stortinget, could be specific about what he wants. We saw in the media the day before that he talked about that one company could own 20 pst. of future concessions. That is, if we get a tidal sample of the number of locations that we have today – we have 2,000 today, and let's say we get 20,000 – then one company has to be able to sit with 4,000 locations, that is, twice what we have today – apparently exceptionally, the council has said. I think he should now be able to determine from the hearings that have been held, that the biggest ones will find themselves in some limitations, too, so that we can achieve a balanced development and a scattered ownership here, which at least the people of the coast will have. He did not mention any number at all, so I think he could have been more specific. Then we read in the media that the director of the SND goes out and says that the ownership restriction proposed in the regulation that the Council of State has consulted is harmful to the industry – so it is the director of the government's tool for industrial development in the districts that says it. I have not seen that he has received any corrections from any government councils. In other words, SND does not distinguish between the value creation of production in the districts and the value creation of companies. I think that should have been pointed out by the Council of State. Otherwise, I think the Council of State should be able to say who is going to get new concessions, as the Workers' Party, together with a majority in the Stortinget, said in the vote on Statkorn, that it is the smallest that should have it. He said something about the least, if they needed it to get a good development, they could get it. I think he should now be able to say that so we've heard what the majority of the Storting says about who's going to have the new concessions.
ParlaMint-NO_2001-02-08.ana.ud1394e136	I want to follow up on the line from Karin Kjølmoen about this with ownership regulation in the salmon farming industry. There has been a hearing there, and it is a little alarming when the chairman of the committee designates SND in the way he does – SND, which should be among the most resource-intensive in the instrument that is represented throughout the country. I have here a notice in the Evening Post of 24 January, where it is said by SND that there is a lot of ‘Unfortunately, the farming industry is subject to stricter regulations than other sectors in Norway and to stricter rules than those in the competing countries’. Even LO Industry says the same thing. I know that the Center Party has been very concerned about these questions, and I would like to have this clarified. Are these professional bodies, which represent both large tool values and very many jobs in Norway, quite contrary to the views of the Centre party in this matter?
ParlaMint-NO_2001-02-08.ana.ud1394e146	In my opinion, the farming industry has not been harmed by the government that has been operating over the years. The worst times in the farming industry are when there has been deregulation, and I have mentioned one example of it. Another case where it has been shown that there was too little governance was when the EU found out that they had to impose criminal duties. I have also heard that representatives of the industry have said that what was the result of the process, the export charge that was imposed, has benefited us, because we have been able to use it jointly for export promotion measures. And I think the industry has been very capable of getting to that very part of the business, reaching out to new markets, which makes them no longer so dependent on one big market, or another big market. Also in the case of the United States, they are able to develop other products that are not affected by the export restrictions. And I think we're going to see that in the future as well. There are some who are willing to use innumerable export restrictions and instruments to prevent our industry, and then the industry has to be flexible, find ways of doing it. I think it is quite easy to see that if the policy of the Advance Party in the field of aquaculture had been implemented – what they wanted most is a complete deregulation – then there would be big, big problems. We would get a completely different business out in the districts than what we have today. We would see less positive development than what we're doing now. In the future, we are willing to use large public funds to make this industry better, to bring about greater value creation. We must also be willing to govern this so that the result of the creation of the value will benefit the community and those who live almost the mercenaries.
ParlaMint-NO_2001-02-08.ana.ud1394e158	That's the line change.
