ParlaMint-NO_2001-03-22-lower.ana.ud1197e31	The representative of Øyvind Waksdal will present a private legislative proposal.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e34	I will, on behalf of Per Sandberg and myself, put forward proposals on the law on amendments to Law 26 March 1999 No. 14 on taxes on wealth and income [[Intercommunal companies that compete with commercial operators shall be deemed to have acquisitions as their object]]
ParlaMint-NO_2001-03-22-lower.ana.ud1197e39	The legislative proposal will be dealt with in accordance with the rules of procedure.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e51	Ot. pp. No 36 for 2000-2001 refers to the amendment of Law No 28 July 1949. 26 of the State Pension Fund. When a decision was taken to allow the Employment Act to hire labour directly from Aetat to end-users with effect from 1 July 2000, it was taken that this group should also be exempted from membership of the State Pension Fund. In this respect, it was assumed that the second paragraph of Section 8 of the Pension Act could be used. The provision reads as follows: «The pension fund may exempt a worker from membership if he is covered by another occupational pension scheme or there are other specific reasons for doing so.» However, the pension fund only has the right to exempt a worker from membership in cases where the member himself wishes to do so. The employee must therefore be informed in such a case that he can choose to retain his membership of the Pension Fund. Thus, this provision of law does not provide for unconditional exemption from membership of the State Pension Fund, but for the option of being exempted if the State Pension Fund agrees. It is therefore not possible to exempt this group from membership of the State Pension Fund within the current legislation, as foreseen in the examination of the case. It is therefore proposed to introduce an exemption clause in the Pensions Act. The State Pension Fund Act § 5 states that employees employed in the State's service with at least 14 hours of work per person. weeks are members of the Pension Fund. It is assumed that many of the temporary workers will have shorter working hours than this and will therefore not have membership. Both working hours and working hours will lead to many having less than a total of three years' membership of the State Pension Fund, which is required for entitlement to a pension. It could lead to difficult administrative extra work to decide which temporary workers will be eligible for membership of the State Pension Fund. It is considered unreasonable that a large part of the employees in the leasing business should contribute to a pension scheme from which they are most likely not to be paid. Membership would mean they had to pay 2 pst. of its salary in the amount of its members' contributions. In order to exempt the group from membership, it is considered that a clear legal framework should be established. This kind of legislation can also be applied to other groups where there is a need. The legislative proposal opens the way for the regulation to determine which groups are exempted from membership. It is assumed that the legal base should be used to exempt clearly defined groups from membership of the State Pension Fund if specific reasons warrant. The scheme shall not be used to exempt an entire State from membership, as this would be contrary to the law. However, this provision may also be used to exempt specific groups of workers in a specifically integrated activity from membership. It would be useful to use the same procedure here as the one used in the Civil Service Act. The scheme should be based on the same principle as set out in Section 1 paragraph of the Civil Service Act. 3, where it is possible for the King, where there is doubt, to determine to whom the law shall apply, and may also provide that groups of workers shall be wholly or partly exempt from the law when there are specific reasons for doing so. Instead, the king may lay down specific rules. This amendment to the State Pension Fund Act will not immediately have any economic or administrative consequences. A unanimous committee has no other comments and supports the change.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e78	No more people have asked for the floor on case No. 1st@item: inlistbox [[See page 331]]
ParlaMint-NO_2001-03-22-lower.ana.ud1197e92	At the request of the Municipal Committee, the President will propose that the debate be limited to 50 minutes and that the speaking time be allocated to the groups as follows: the working party 15 minutes, the other groups 5 minutes each. In addition, the President will propose that the opportunity be given for a sequence change of up to three sequences with replies after the contributions of the main speakers from each party group and after contributions from members of the Government. In addition, it is suggested that those on the list of speakers, in addition to the time allocated, should have a speaking time of up to 3 minutes. - It's a note.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e101	In Ot.prp. No 34 for 2000-2001 the Government promotes proposals to extend the current prohibition of discrimination in the Work Environment Act § 55 A. This extension means that when employed in the workplace, discrimination against disabled persons is prohibited. Current Section 55(A) of the Working Environment Act states that when employed, employers must not ‘discriminate applicants because of race, skin colour, national or ethnic origin, homophilic orientation or homophilic form of life’. In the proposal, the Government proposes that disabled persons should also be included in the groups previously mentioned in Section 55(A) of the Working Environment Act. An overall committee supports the Government's proposals in this area and supports the inclusion of disabled people in line with the groups already mentioned in Section 55A of the Working Environment Act. The Government further proposes, in the same proposition, that sanctions be introduced in order to achieve the intentions of the law to prevent discrimination under Section 55(A) in the event of employment. In this context, the Government therefore proposes to introduce disclosure obligations, shared burden of proof and liability for employers who show irresistible discrimination in employment under Section 55(A). The proposal implies that employers who are charged with discrimination under Section 55(A) must prove their innocence in writing, while at the same time risking legal proceedings and financial liability in the event of breaches of these rules. During the examination of the Committee, the Government's proposal to introduce those sanctions has been endorsed by a majority consisting of the Workers' Party, the Christian People's Party, the Centre Party and the SV. This majority believes that the imposition of disclosure obligations, shared burden of proof and liability will make the prohibition of discrimination for all grounds of discrimination under § 55A more effective. On the other hand, the minority, consisting of the Party of Advancement and the Right, has not found itself able to agree to such a type of law enforcement in this area, since, in the view of these parties, this will not necessarily be the best means of fulfilling the legal intentions themselves. For the Progress Party, we clearly agree that no one should be discriminated against on that basis by recruitment. But on the other hand, it seems equally clear that the type of sanctioning provision in question is not a suitable instrument for achieving the legal interest. In my view, these provisions will in no way benefit them at all. It is likely that, on the other hand, the provisions on sanctions would seem quite the opposite, so that the situation for those to be helped would become more difficult. This is a good example of superfluous policy-making that only creates problems for all parties. The recruitment process itself can be more closed. In that case, this is very unfortunate. Job seekers with less formal qualifications become losers. Is that good? What weight can an employer attach to their own assessment of personal suitability rather than formal qualifications? The employer's right to control is drastically reduced. You can no longer hire whomever you like. You can be forced to hire people you don't want. Does it create a better working environment? The legal jungle and the form field against small businesses are further exacerbated, and the law can create contrasts between the Nordics and, for example, the Nordics. immigrants. Moreover, the extent of the alleged discrimination has also been fully investigated. One can therefore question whether there is at all any real need for these sanctions provisions.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e114	It's going to be line change.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e117	The joy of this matter is that everyone now agrees that people with disabilities should in principle not be discriminated against. However, both the Right Party and, in particular, the Advance Party are against all the instruments that can make this effective. They paint a picture of a closed process, of more or less frightened employers who now do not dare to hire whomever they want and who get a very anxious relationship with hiring new people. When I have had meetings with the NHO and with employers, they have been very eager to say that they actually believe that they need this workforce and that they want companies to hire more. So I want to ask the representative Torbjørn Andersen what's the reason why you're now painting all the counter performances and blowing them up big to show how difficult this is. Because it is wrong, as Andersen of the Progress Party says, that one cannot now hire the one that is considered most suitable. The paragraph we are adopting today does not give priority to disabled people, it is about non-discrimination. In some cases, non-discrimination requires the use of instruments in relation to some groups that are initially discriminated against. If one considers that one person is more suitable than another, it is lawful to choose whomever one considers most appropriate, even after the provision adopted today. The only difference would be that you can actually justify it. And what I think is such a reasonable claim that it is difficult for me to understand why the Progress Party cannot participate in such a mild instrument as the legal provision we are adopting today is in fact.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e126	To the representative of SV: I do not believe that the vast majority of Norwegian employers need this law. In fact, we cannot accuse the vast majority of Norwegian employers of consistently discriminating against this law. And if we assume that a few employers do, it is quite unreasonable to have to introduce an unwanted law that affects the vast majority of companies that have a clean relationship in this area. I think it would be very rude to accuse all employers in this country of engaging in ethnic discrimination. But yet this law creates problems for the thousands of small businesses we have in our country. I believe that this is an entirely unnecessary form of political foresight towards the many thousands of Norwegian employers. So why does the representative from SV say that the Progress Party must paint up all these counter performances? It should only be lacking that one should not paint counter performances when they are most relevant in this context. I don't actually see any need for the sanctions that are now to be introduced into this law, and as I know that SV from the very first moment has been very eager to introduce, but as some other parties, when we last treated this law, did not find to go in for.
ParlaMint-NO_2001-03-22-lower.ana.ud1197e133	It is sad, but not surprising, that the Progress Party in a case such as this one uses as an argument to go against a more tidy law that changing the work environment law may imply greater contradictions between Norwegian citizens and immigrants. The party of progress profiles itself in a different context as the people with disabilities strongly defenders, and regularly makes proposals to improve living conditions. My question then depends on the relationship between disability and work. Does the representative Torbjørn Andersen see that a general purpose paragraph without sanctions in this area, with the experience that one has, can in fact imply the same state as today, that the disabled in very many contexts still have to fight social security offices, against other public authorities and against some jobs and see it as a giant that they can get allies out of work – with an employer and with others added – and a fighter if they get a job? Could the Progress Party have been so in attendance that they could see that these tools could at least lead to more disabled people in this country being included in the labour market?
