ParlaMint-NO_2001-05-09.ana.ud2047e27	The called alternate of the Uppland County, Gry Larsen, has taken the seat.
ParlaMint-NO_2001-05-09.ana.ud2047e51	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: Bjørn Tore Godal Guri Ingebrichtsen Otto Gregussen The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, wish to ask themselves the main questions asked. – We then start with the first main questions, from the representative, Siv Jensen.
ParlaMint-NO_2001-05-09.ana.ud2047e70	I have a question for the Minister of Defence. Norway has six transport aircraft in very poor condition. There are crack formations on the wings and hull, and the planes should have been replaced for the longest time. Now it is also the case that Norway has undertaken to make these transport aircraft available as part of international efforts. What does the Minister for Defence intend to do to solve this acute problem?
ParlaMint-NO_2001-05-09.ana.ud2047e79	It's true that our Hercules planes are starting to spring. They have made and continue to make a very important and significant effort. It's also true, unfortunately, that there are recently revealed wear damage on these planes that may be more extensive than what we had the basis to believe for not too long back. I am now awaiting a more detailed assessment of the condition of the aircraft from the Air Force and from the Defence Command, and I hope it will come in the near future. No such final assessment is available. But it goes without saying – and that’s the Stortinget and not least the Defence Committee – that we’ve been looking at the possibilities of renewing this fleet for a long time. At some point it is clear that the cost of repair and maintenance exceeds the cost of new acquisitions. When the intersection occurs, it will depend on the state analysis that the department receives in the near future, hopefully. But I want to add: this is just one of many examples of a defense that is in decline because we don't have the power to convert the defense, and for that purpose, there is now a proposition for consideration in the committee. The aim is to release funds for other operations – except for wage costs, we have too many employees in the Defence Agency – more money for skills, more money for initial investment and innovation. Of course, this will also come to the attention of the Air Force.
ParlaMint-NO_2001-05-09.ana.ud2047e84	I agree, to the extent, with the state description given by the Minister of Defense, but my question was what the Minister of Defence intended to do to get a faster replacement of the Hercules planes. As I know, the planes are in such a bad condition that the defense has to hire alternative planes in order to meet its obligations. If it is that we have had a defense in due course for a long time just because the Storting has failed to give sufficient funds, among other things. for initial investment, a natural question will be — since these transport aircraft are mainly produced abroad and it would therefore not be appropriate to claim that it is inflationary to renew material in Norway by purchasing it abroad — whether the Minister of Defence will come to Stortinget with a proposal to invest in new aircraft as soon as possible.
ParlaMint-NO_2001-05-09.ana.ud2047e89	As I just said, it depends on a detailed assessment of the condition of the aircraft in the Defence Command and in the Air Force. Now, when many people are standing on the ground, it's because you want to have a thorough review of the status of everyone, and there's no indication that that review is clearly negative. It may well be that extensive repairs will go well for a long time. But then how long is part of the ground material that we've been asking for. It goes without saying that it is not possible to answer the standing question about when we are going to get new planes. It depends on the analyses that come in from the military. And then we're going to invite the Storting to discuss the questions, depending on the reports we get.
ParlaMint-NO_2001-05-09.ana.ud2047e94	There will be follow-up questions – Karin Andersen.
ParlaMint-NO_2001-05-09.ana.ud2047e97	I assume that the Government has presented a proposal for future defence within the framework of which the Government believes is right, and in relation to other priority tasks. In Stortinget on 4 December 1998, Labour Party representative Bjørn Tore Godal said that the defence budget was dealt with in a situation where children and old people feel maltreated in the budgetary process. Now it seems that the Storting will push the Government to spend even more billions on the Defense. If the Minister of Defence had had 3 to 4 billion more to go with, would it be planes and frigates, or would there be better kindergartens, more environmental policies and a better care for the elderly?
ParlaMint-NO_2001-05-09.ana.ud2047e104	That was a difficult question. But I assume that the representative would like an answer. Now the Government's proposition is in the committee. There will be a lot of noise in my mind – excuse the expression – for me to give in to speculations about what can become a majority for, and not a majority for, in the Committee on Economic Level. I have noticed that representatives of the central parties have sent out a press release that they have problems with getting pressure anywhere, for some reason, where it appears that a person is based on the government's economic level, subject to what may result from a possible defence policy settlement. It is well pointing to the fact that the distance between the economic level of the proposition and what may result from the treatment of the Storting may not be very large. But it's impossible for me to quantify it in billions of dollars or hundreds of millions of dollars. That's why it's hopeless for me to give me into a question about it. This issue is now being addressed in the groups, and of course, there will be a comprehensive consideration of the issues such as: The representative, Mr Andersen, is preparing the report.
ParlaMint-NO_2001-05-09.ana.ud2047e112	The President will recall that additional questions have to be related to the main issue. Ingvalt Godal – for follow-up questions.
ParlaMint-NO_2001-05-09.ana.ud2047e117	Of course, the Council of State is right in the situation description when it concerns the defence, but I think he forgets the most important reason, and that is that the Stortinget has agreed long-term plans for the defence, but then they undermine the same plans by not following up in the annual budgets, and so we are lying where we are. And if you don't get this fixed, we're going to lie down where we are, once again, in a few years, only on an even lower level. When it comes to the transport planes, we had this thing here in the house a few years ago. Already then, the information we received from the trade union team indicated that it was worth buying new ones rather than patching up the old ones. I have not heard that something has changed on that page. I'm assuming that's the same situation today. And then it is economical for AS Norway to buy new aircraft now, possibly adjusting to the requirements for repurchase if it would select problems for the temperature in the Norwegian economy. Would the Government consider such a solution?
ParlaMint-NO_2001-05-09.ana.ud2047e124	Yes, it goes without saying that in the light of the state report that will be available from the Defence Command, we need to discuss that issue on a broad basis. And as I said in a previous answer, there's an intersection between the cost of maintenance and the cost of damage and the profitability of initial investment. The Storting found out that the crash point had not occurred, and therefore one was to realize new transport aircraft for not too long back. We'll see if the new state review updates a new attitude to that question, and I won't predict that. It is true, of course, that one of the many explanations of the problems in the defence is that we have not followed up on the Storting of the adopted long-term programmes, and it has the address of a great many in this Chamber and internal priorities. I remember that if we were to maintain the defence structure that Stortinget has adopted, we should have defence budgets of well over $30 billion, so this is a problem for all of us. And that's part of the basis for the government to vent the idea of a defence policy settlement, where the political parties commit themselves to a level in the four-year period.
ParlaMint-NO_2001-05-09.ana.ud2047e131	Let's move on to the next main question.
ParlaMint-NO_2001-05-09.ana.ud2047e134	In yesterday’s TV debate ‘Holmgang’, Prime Minister Stoltenberg said that ‘the voters have a right to know before the elections what the government options will do with important welfare schemes’. That is why my question goes to the Minister of Social Affairs about the Governmental Alternative Workers’ Party – I now understand that it is all alone – to clarify very clearly what they will do in the coming period with the disability regime in relation to the Sandman Committee. Are you in favour of or against the proposals that lie there? What will the Labour Party do with the sickness pay scheme? I register, among other things: opinions of the Ministry of Foreign Affairs, which fully support the proposals of the Sandman Committee. The Ministry of Foreign Affairs is managed as known by the head of the Workers' Party. Do you agree with what is said here, or does the government have other opinions? And a final point: what is the Workers' Party's view of the future and funding of the people's rights, except to refer to a sample? As you know, the matter has already been investigated by one sample.
ParlaMint-NO_2001-05-09.ana.ud2047e141	There are major and important questions that are addressed here. The Sandman Committee has investigated both the health pay system and the disability benefit system and the growth in the two areas of concern to all people in Norway, I think. This matter is so important that the government has actually chosen to spend a long time making the social partners fully agree. We know that there's one question that there's no consensus about. In fact, the rest of us have a broad consensus on that. One issue concerns the sickness pay scheme and how it should be handled. I have to say that is one thing in the Sandman Committee's investigation that I am very pleased that there is agreement on, and that is the need for a significantly greater prevention in the workplace. What's happening to the sample investigation now is that we're working on it to present it to the Stortinge this year, as we promised. It's important that we be able to agree as much as possible. What is clear, however, is that we do not weaken employees' rights in terms of sick pay. It has been stated by the Workers' Party for a long time. It was also asked about the future of popular fear. Here, a pension commission has been set up, with all the games on the Storting, including the Right and the Workers' Party.
ParlaMint-NO_2001-05-09.ana.ud2047e152	My question was basically at a quote where the Prime Minister said that the parties were going to make it before the elections. Now the Minister of Social Affairs has prepared a process, no position. Does the Workers' Party have a position on these matters for which the process is now described? I can be very specific and rather ask in a different way – in the hope of an answer: Have, for example, done so. The Labour Party has some view of the way in which the Social Democratic Government in Sweden has tightened up the sick pay system, with a proportion of 20 pst. And Karen's Day? I record that the Prime Minister in Norway describes the estates of 10 p.m. as a frenzy of welfare schemes. What is the Social Minister's description of the Swedish scheme? And I stress that the social democrats do not have in their election program to change the proportions of the Swedish sick pay scheme.
ParlaMint-NO_2001-05-09.ana.ud2047e164	I'm not going into the Swedish health pay system, but I'm going to say something about the Norwegian. As I said in my previous answer, the Government does not intend to change the workers' rights in the case of the sickness pay scheme. On the other hand, we are following up the other parts of the Sandman Committee's investigation on which there is broad agreement.
ParlaMint-NO_2001-05-09.ana.ud2047e171	There will be follow-up questions – Are Nose.
ParlaMint-NO_2001-05-09.ana.ud2047e174	The payment of sick pay and disability benefits is increasing alarmingly. The significant increase is due to long-term sick leave and an increase in the number of persons with disabilities. This is essentially – approx. two thirds of the cases – talk about mental disorders and stress disorders from the musculoskeletal system, which particularly affect women in care professionals. Will the Council of State in its work on this put the emphasis on these relationships, which are the most significant, and which are the most striking, both human and economic?
