ParlaMint-NO_2001-11-15.ana.ud687e26	The representative of Ola D. Glötvold will make a private proposal.
ParlaMint-NO_2001-11-15.ana.ud687e29	I am going to make proposals on behalf of Olav Gunnar Ballo and myself to make changes to the State budget for the year 2000 under the heading. 2790, Item 72 Sickness treatment abroad may be disposed of under certain conditions for medical treatment in Norway.
ParlaMint-NO_2001-11-15.ana.ud687e34	The representative Trond Giske will make a private proposal.
ParlaMint-NO_2001-11-15.ana.ud687e37	On behalf of Vidar Bjørnstad and myself, I would like to propose the creation of a national knowledge base.
ParlaMint-NO_2001-11-15.ana.ud687e42	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2001-11-15.ana.ud687e56	At the request of the Foreign Affairs Committee, the President will propose that the debate be limited to 1 hour and 15 minutes and that the speaking time be allocated to the groups as follows: Working Party 15 minutes, Right 15 minutes, Advance Party 10 minutes, Socialist Left Party 10 minutes, Christian People's Party 10 minutes, Center Party 5 minutes, Left 5 minutes and Coast Party 5 minutes. Furthermore, the President will propose that there be an opportunity for a replacement of lines of up to five lines with a reply after the speeches by the main speakers for each party group and after contributions by members of the Government. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2001-11-15.ana.ud687e67	That was a very good statement made by the Prime Minister, and I would like to reaffirm that the Labour Party supports the policy pursued by the International Coalition. It is claimed that military action will subside and lead to increased recruitment to terrorism, but there are no points in history that this kind of inhumane force will receive more support if firmness is shown and reversed. On the contrary, it's if they see that they can achieve something, that they get blood on their teeth and increased recruitment. No one likes bombs and acts of war, but the alternative is that the humanitarian disaster we've seen in Afghanistan is allowed to continue. It's a cross of thought that you didn't hear anything from those who are now opposed to bombing when four million Afghans were driven away, and the civilian population was hanged in large numbers at the football stadium in Kabul. But the military actions only make sense if they are followed up. Never before has it been more necessary for the international community under UN mandate to adopt a broad strategy. Never before has the concept of 'humanitarian intervention' been more meaningful than at present, and has been more required than in this case, a broad strategy which requires international military presence under the UN mandate, a comprehensive humanitarian aid, the establishment of a civil regime in the country, and the provision of long-term economic assistance. And it is precisely this broad strategy for peace that Norway was said to give priority to working on, when we took a seat in the Security Council almost a year ago. I said it was a very good statement, but I want to add that I am amazed that the Prime Minister did not touch the Middle East in his speech here. The terrorist networks seek refuge in countries that have collapsed and are themselves controlled by warlords, drug lords and gangsters. We've seen this in many other places in the world, including in Sierra Leone. This terrorist network under bin Laden originates in the Middle East, but it is seeking refuge in Afghanistan, a country that has collapsed completely, and has until now been ruled by the Taliban, which is no ordinary government at all, and has also not had full control of the country. The terrorist network originates in the Middle East, especially in Saudi Arabia, a country that has imported the symbols and luxury of the West into its own upper class, but nothing else, a country where the majority of the population live in poverty, among others. because half of the women are not allowed to work or are allowed to drive a car – they are hardly allowed to go out on the street. It is this social situation in many of the Arab countries that leads to an increase in terror, and I want to add, also leads to the conflict between the Palestinians and Israel. The state of war that has been in the Middle East for so many decades hinders the necessary political and economic renewal of the region. And if you're talking about something nerding under terror, it's in my opinion the Palestinians' lack of freedom. Bin Laden has never done anything for the Palestinians, but the social situation that exists in the Middle East leads to his being joined. Other terrorist organisations are also endorsed because the Palestinians lack freedom. That's why I hope that the new government will, as the old one did, order that the international community also interfere in the Middle East. There's no other way, because we see that this terror is now affecting us all. Therefore, the international community must intervene and say that we can no longer live with this. You have to make sure that the Palestinians also get their own state. That's perhaps the most important thing we can do to prevent terror from growing intrusion in the world. Because that's where the whole nucleus of this lies, in my opinion.
ParlaMint-NO_2001-11-15.ana.ud687e84	It's going to be line change.
ParlaMint-NO_2001-11-15.ana.ud687e87	I agree with Thorbjørn Jagland when he underlines the close link between the Middle East crisis, the situation of the Palestinians, and the impact that terrorists à la bin Laden have the opportunity to appeal against. I think, however, that Thorbjørn Jagland is probably quick to establish that there is no backside of the medal that we now see, when he says that everyone can see that it's firmness and turning back that works. There is no one who today has an overview of the acts of war we have seen in Afghanistan, which have increased recruitment to fundamentalist environments, and which they have put in place in the long term for increased terror. But we know that in some of the countries that are now among the allies of the United States, for example. Saudi Arabia and Turkey, elementary violations of human rights are an important reason why many can be drawn in a fundamentalist direction. I myself was also involved in the human rights situation in Saudi Arabia. What I want to challenge Jagland is: In what way did his own government take up the situation when it came to human rights, the need for democracy, the fear that lack of democracy could lead to extreme environments, with Saudi Arabia – and with Turkey, which is another example – when they put themselves in government? And in what way do they now believe that the current government should address the kind of situation that could increase the fear of terror in the long term? The second is that the Bishops' Meeting has, among other things: agreed that a special session should be held in the United Nations against terrorism. Such special sessions have been held before, for example: as regards the situation regarding the rights of children and the fight against AIDS. If it becomes a special session, it means that you have to prepare and commit in a completely different way than if it is addressed in other forms of the United Nations. Will Jagland and the Labour Party support such an idea?
ParlaMint-NO_2001-11-15.ana.ud687e98	At first I must say that I did not at all confirm that there are no back pages of what is being done. It's mostly the case, but the problem is all the backsides that exist by not doing anything. There is a lot to say about the history here, but at least one can say that the backside of the fact that the international community has done nothing in Afghanistan other than provide humanitarian aid – which has been quite large on the part of Norway for several years at least – has led to this humanitarian disaster. This is actually a very good example of the need to do more of what the UN Secretary-General called for at the UN Millennium Assembly: humanitarian intervention when it is seen that a civilian population to the degrees suffers because of their own leaders. But that's not what we're discussing right now. Now we're discussing, what are we going to do in the future? There are many back pages of what we do, many unfortunate things, but it's even worse to sit and not do anything. As for what we did with regard to the human rights in Saudi Arabia and Turkey, I can say: I was myself in Saudi Arabia in winter and met the entire leadership there, and that was the first time Norway took up human rights with Saudi Arabia. We brought it up right in front of the leaders of Riyadh. I came directly from Ankara, where I had also taken up the human rights situation plus a large number of individual ships in Turkey. So it's been picked up. And I hope you will continue to discuss and discuss the human rights situation in Saudi Arabia. As far as the UN Special Session is concerned, this is the subject of the General Assembly. The Security Council has had its own meeting. If it might be necessary to have your own special session, well, you'll get to discuss it.
ParlaMint-NO_2001-11-15.ana.ud687e111	First I find reason to thank and compliment the Foreign Affairs Committee's leader and that the Labour Party has been tidy in relation to such situations if now has doctors lead. Both in government and in opposition, it is important in such situations as we now have, that there is a broad political platform for the government that is always there. There I would like to give full praise to the Foreign Affairs Committee's leader and to the Labour Party. What made me ask for the word for a line was the small section that the Foreign Affairs Committee had on the Middle East. In the throne debate, the Prime Minister did well to have just had talks with both Sharon and Arafat, and we also saw at Arafat's visit here in Norway that it was working for peace in the Middle East that has been strong in Norway in several governments, continuing. Therefore, there is no doubt that a solid effort has already been made to carry on a completely necessary work. There are two more comments I would like to make in relation to that. One is that it is obvious that human rights are important in the Middle East. And then there's also reason to remember that one of the problems in the Palestinian territories is that President Arafat has to a little bit of make institutions that make people there think they've somehow got a share in what they thought they'd get involved in. It is the one piece – in addition to the fact that the course of action of Israel in the new government has, of course, resulted in the same. The other thing I would like to ask the representative, Mr. Jagland, is, when he says that it must be a Palestinian state, is it something we are gathered about, but is it the way I assume that I am thinking that it must be done in relation to a negotiated solution where all parties are in a way and can acquire ownership of such a solution?
