ParlaMint-NO_2001-06-07.ana.ud2377e87	The representative, Inger Stolt-Nielsen, will make a private proposal.
ParlaMint-NO_2001-06-07.ana.ud2377e90	On behalf of the representative Steinar Bastesen and myself, I would like to put forward a proposal on measures that can help fewer young people to fall out of work through early retirement.
ParlaMint-NO_2001-06-07.ana.ud2377e95	The representative of Morten Lund will make a private proposal.
ParlaMint-NO_2001-06-07.ana.ud2377e98	I would like to make proposals on behalf of Odd Roger Enoxsen and myself on the reorganization of the state ownership of companies that are organised as limited liability companies and are engaged in business activities. Then I would like to ask that this proposal be dealt with by Stortinget in accordance with point (c) of the third paragraph of Section 28 of the Stortinget Rules of Procedure.
ParlaMint-NO_2001-06-07.ana.ud2377e105	The proposals will be dealt with in a regulatory manner. At the request of the Committee on Energy and the Environment, the President will propose that matters be referred to the Committee on Energy and the Environment. 1 and 2 are dealt with as a whole – and consider it to be adopted.
ParlaMint-NO_2001-06-07.ana.ud2377e128	At the request of the Committee on Energy and the Environment, the President will propose that the debate be limited to 1 hour and 10 minutes and that speaking time be allocated to the groups as follows: Working Party 20 minutes, Christian People's Party, Right and Advance Party 10 minutes each, Center Party 5 minutes, Socialist Left Party 5 minutes, Left 5 minutes and Twist Party 5 minutes. Furthermore, the President will propose to allow for the replacement of lines of up to three lines with replies after the contributions of the main speakers for each party group and five lines with replies after the contributions of members of the Government. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2001-06-07.ana.ud2377e139	We're dealing with today's St. Report. No 24, The Government's environmental protection policy and the state of the state of the state of the state, while we are dealing with Document No. 8:38, from Jan Petersen, Jan Tore Sanner and Bent Höie, on the action plan for the control of environmental pollution PCB. The working party has strong ambitions for environmental protection work in Norway. We want Norway to be a leading country in environmental policy. A good environment is important both for people's health and well-being. One of the most serious environmental problems today is changes in the climate caused by emissions from the combustion of, inter alia: oil and coal. The international climate negotiations are in a very demanding and important phase. The government is actively working to get the negotiations back on track. The aim is to have a binding agreement as soon as possible to reduce greenhouse gas emissions from industrialised countries. Until such an agreement is in place, effective climate action will be continued in Norway. This will be discussed in the forthcoming Green Paper on climate policy instruments. The big message we are dealing with today is a follow-up to the previous announcement of October 2000. At the time, the Committee agreed on most of the issues and, in fact, the Committee broadly agrees with the Government in most areas also in this position. This is a very good sign of environmental policy in the future. Once again, the centre parties and the Workers' Party are closest to each other in environmental policy. It is positive that the centre parties and SV in the setting are satisfied with the work done so far by the Government to report back on the status and further plans for environmental work in different areas. The entire Committee supports the principles of sustainable development where today's needs are met without jeopardising the potential of future generations to meet their needs and to care for the diversity of life on earth. We also believe that these objectives should contribute to strengthening an overall environmental protection policy in which municipalities and business become even better partners in the work on local environmental challenges. We need a common promise to preserve our cultural memories and environments in the future. A stepping-up plan has been launched through the annual budgets, in addition to a cultural memory fund, inter alia. reduces the annual loss of cultural memories from 1 pst. to 1⁄2 pst. until 2008. Norway is a small country, and we can be proud to have four areas on UNESCO's cultural heritage list. If what we're all hoping for, in a few years we can get the fifth area on the list. A beautiful archipelago area in Vega municipality in Nordland can be equated with, among others. Great Wall in China, Anthony Island in Canada, etc. The challenges on the environment are many. Last winter many ship sharks showed that the need for a review of today’s contingency plans is necessary. It is necessary to clarify definitions of the responsibilities of shipwreck clearance. The Government has announced an action plan in the autumn of 2001 assessing the current division of tasks, and already in the revised national budget for 2001, the Government proposes a strengthening of 2 million. kr to the State Oil Preparedness with special focus on North Norway. We must take care of our seas, and the Workers' Party will formulate an offensive policy for a clean marine environment. The government has signalled that the next biggest report on the state of the state of the state of the state of the state of the state will contain a comprehensive policy for the management of marine and coastal areas. The year 2000/2001 will go into history as a major victory for nature and the environment. After almost a century of large hydropower expansions in this country, the time has come to slow down for new, large hydropower expansions. The Prime Minister's New Year speech was not to be misunderstood, and again it was the Workers' Party that went ahead to make a decision on a very important matter for the future. All the parties praised the Prime Minister for his position. That some parties in retrospect have run from their rosy review, we get to take note. That's a choice this year! We are also dealing with a Document No today. Eight proposals to draw up an action plan on the environment for PCBs during 2001. The proposal shall be supported by the Committee as a whole. PCBs and dioxins are some of the most dangerous pollutants, and they must therefore be banned or their use considerably reduced, see above. The Stockholm Convention on Environmental Toxins. Clean-up is a generation work and will cost about 30 billion kroner. The government has put in place a great deal of work in relation to these environmental problems and will present a plan for systematic work to clean up and eliminate the pollutants such as: threatens our fjords. So far, the state has gone in by 11 million. kr for a pilot project in the fjord at Sandefjord. There are many ‘old’ environmental sins, including PCBs, that have spread throughout the country, and there is a great need to clean up. Long-distance transport of PCBs with ocean currents is a major threat to the wildlife of arctic strata. There is also a need for monitoring, and the Government will have a national biodiversity monitoring programme in place during 2004. The Committee has been presented with all problems with windows containing PCBs manufactured between 1965 and 1975. The Committee asks the Government to find a solution to this matter as soon as possible so that these windows are properly collected and destroyed. The majority, all except the Workers' Party, want to have an investigation of the possibility of a private/public clean-up fund. The Labour Party does not agree with this proposal because we do not want to undermine the provisions of the pollution law. It is important to get each individual polluter to take his financial responsibility, while the landowner and the State must and must assume their responsibilities. Finally, I will consider the chapter on waste. Two large-scale communications have been submitted on the state of the state of the state of the state of the state of the state of the state of the state where a possible amendment of the pollution law has been proposed. The majority, all except SV, agree with the Government in the proposed amendments to the law. Norway has been pursuing a good waste policy for the last ten years. The aim is to reduce the amount of waste destined for final treatment to 25 pst. by 2010. Today, approx. 50 pst. for final treatment. There shall be a good balance between the volume of waste generated and recovered, incinerated or landfilled. In the Communication, the Government, like the previous Government, proposes that businesses be given the opportunity to take care of their own waste, including wet organic waste. The working party believes that this can contribute to making even more responsible, and that this will produce better results in the form of less generated waste. It is important that a two-year transitional period be introduced before the entry into force of the amendment in order to allow municipalities, businesses, consumers, organisations and authorities to jointly identify solutions for legislative changes. In particular, it is important to clarify the relationship between municipalities and business in the legislative change that now appears to be coming. The majority believe that energy recovery incineration can be a beneficial end-treatment for parts of the waste. The batch of workers is not anti-combustion, but first waste for recycling must be sorted out before the rest of the waste is sent for incineration. The majority believe that the authorities should have overall management of combustion and combustion plants and that national and international emission requirements should be imposed. In the end, I would like to mention that the Government has promoted two key messages, one on biodiversity and one on outdoor life, which unfortunately are not dealt with during this majority period. In the outdoor communication, the Government proposes to wind up the State fishing fee on inland fishing. This has been addressed through work on the state of the state of the state of the state of the state of the kingdom and supported by the entire Committee. This shows that the Workers' Party is actually cleaning up the tax jungle in this country. So I'll refer to the eight Roman number decisions in the setting. The Workers' Party will vote against the II and VI of the Decision.
ParlaMint-NO_2001-06-07.ana.ud2377e192	It's going to be line change.
ParlaMint-NO_2001-06-07.ana.ud2377e195	The representative, Torny Pedersen, was in his contribution to the creation of a cultural memory fund, and that's why I have a question for Pedersen. During the treatment of Innst. S. No 256 for 1999-2000, an overwhelming majority in the United Kingdom decided to ask the Government to come back by the end of 2000 with proposals for the creation of a cultural memory fund. At that time, the Working Party joined this process. Now we are in 2001, the cultural memory fund is not in place, and a minority in the committee, including the Christian People's Party, have then found the basis for pointing this out and asking that this be put in place by reminding the Government of the decisions that the Storting has actually made. Now the Workers' Party chooses not to participate in a proposal involving the creation of a cultural memory fund. I have the following question: Has the Workers' Party changed its position? Does it feel that the proposal of the other parties is such a strong criticism by the Government that you cannot participate in this? And point three: In what way will the Workers' Party Group ensure that the Government actually follows up the decision of the Storting at this point?
ParlaMint-NO_2001-06-07.ana.ud2377e204	It is true that during the examination of the previous state of the state of the kingdom it was a unanimous committee, with the exception of the Progress Party, which wanted to have a cultural memory fund. It's a very important thing. The working party helped to enter this into the previous state of the kingdom's environment setting. And we want it to become a reality. The main lines of environmental protection policy in the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the country of which we are dealing are that there has been a short period of time between the notifications of the state of the state of the state of the environment and that there has been little time to implement some of the decisions taken. However, we point out that all the decisions taken during the examination of the previous state of the state of the state of the state of the state of the state of the state are to be implemented as quickly as possible. I want to say that we still believe that this fund will help private – not least – to get better opportunities to do a job that is actually intended for many in the case of cultural memories. We know that there is a loss of cultural memories of approx. 1 pst. annual. Our goal is for us to be at 0.5 pst by 2008. Then we need this fund. I would like to remind you that the Workers' Party was a leading party to bring in a cultural memory fund in connection with the previous communication on the state of the state of the state of the state of the state of the state, and we are following it up.
ParlaMint-NO_2001-06-07.ana.ud2377e215	As the rapporteur pointed out, there is a broad consensus on the broad lines of environmental policy. What is now happening is that the various pollutants take responsibility. The policies of the authorities also lead to a track record where most environmental challenges are being addressed. What is important, on which the rapporteur was concerned, is the principle that the polluter should pay. But a different and perhaps so important principle, at least for the Right, is that we always have to bear in mind that we're going to leave the country in a better state than it was in when we took over, that is, the relationship to the next generation. It is therefore surprising that the Workers' Party as the only party chooses not to participate in establishing a fund to clean up old environmental sins. We also believe that the polluter should pay, but it is not always possible to identify the polluter, at least not when it has been very long. In some places in Norway, for example: in cities and not least in the old industrial communities, some environmental bombs are well buried, but it is difficult to identify who is responsible for them, at least to place them financially in charge of this pollution. Why, then, does the Workers' Party choose as the only party not to participate in establishing a fund, so that we ensure that these environmental sins too are cleared up in relation to the next generation?
