ParlaMint-NO_2003-03-05.ana.ud730e28	The representative of Inge Ryan, who has been licensed, has once again taken his seat.
ParlaMint-NO_2003-03-05.ana.ud730e36	The President will propose the election of two presidents for the Storting meeting today – and consider it adopted. The President is asking for proposals from the President-in-Office.
ParlaMint-NO_2003-03-05.ana.ud730e41	I suggest Øyvind Halleraker and Finn Martin Vallersnes.
ParlaMint-NO_2003-03-05.ana.ud730e46	Øyvind Halleraker and Finn Martin Vallersnes are proposed as presidents. – Other proposals are not available, and Øyvind Halleraker and Finn Martin Vallersnes are unanimously elected as presidents of today’s meeting. The representative of Gunnar Halvorsen will make a private proposal.
ParlaMint-NO_2003-03-05.ana.ud730e51	On behalf of the representatives of Marit Nybakk, Rita Tveiten, Kjell Engebretsen, Svein Roald Hansen and myself, I propose the management of the Oscarsborg fortress and other fortifications that have been decided upon out of military use.
ParlaMint-NO_2003-03-05.ana.ud730e56	The representative, Siv Jensen, will make a private proposal.
ParlaMint-NO_2003-03-05.ana.ud730e59	On behalf of Øyvind Waksdal, Øyvind Korsberg, Gjermund Hagesetter and myself, I would like to make a proposal on changes to the petroleum tax system.
ParlaMint-NO_2003-03-05.ana.ud730e65	The representative Rolf Rikvam will make a private proposal.
ParlaMint-NO_2003-03-05.ana.ud730e68	On behalf of Øystein Djupedal, Lena Jensen and myself, I propose that technology be introduced as a compulsory subject in primary school.
ParlaMint-NO_2003-03-05.ana.ud730e73	The representative of Sigvald Oppebøen Hansen will make a private proposal.
ParlaMint-NO_2003-03-05.ana.ud730e76	On behalf of Hill-Marta Solberg and myself, I would like to put forward a proposal to introduce a guarantee to ensure that long-term unemployed young people aged 20-24 are provided with a job, challenge or labour market measure.
ParlaMint-NO_2003-03-05.ana.ud730e81	The representative Audun Bjørlo Lighthouse will make a private proposal.
ParlaMint-NO_2003-03-05.ana.ud730e84	On behalf of the representative Bjørn Jacobsen and myself, I would like to make proposals to draw Norway's requests and demands for developing countries to liberalise trade in services.
ParlaMint-NO_2003-03-05.ana.ud730e89	The representative of Kirsti Saxi will make a private proposal.
ParlaMint-NO_2003-03-05.ana.ud730e92	On behalf of Hallgeir H. Langeland and myself, I would like to make a proposal to set up and contribute to the co-financing of a competence and cultural centre for the wild axis of the Tanava region during this great period.
ParlaMint-NO_2003-03-05.ana.ud730e97	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2003-03-05.ana.ud730e120	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: State Council Dagfinn HøjbrätenState Council Einar Steensnæsstatsrådet Børge Brende The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, wish to ask themselves the main questions asked. We start with the first main questions, from the representative of Øyvind Korsberg.
ParlaMint-NO_2003-03-05.ana.ud730e139	My question goes to the Minister for the Environment. A few weeks ago it was revealed in the media that it was a dramatic flight of members from voluntary environmental protection organisations, while the financial support from the Government is increasing sharply. In addition, there are wide variations between individual organisations in what they receive in support. For example, Nature and Youth get more than 60 pst. of its revenue from the government, while others do not receive five flat ears in support. The Progress Party made proposals during the budgetary procedure for the Government to establish a new and fair regulatory framework. It was downhearted. Will the Council now ensure a proper regulatory review, so that financial support to voluntary environmental protection organisations is based on more equal and fair criteria, such as paying members?
ParlaMint-NO_2003-03-05.ana.ud730e148	In the case of support to voluntary environmental organisations, proposals are not only made for the amount of support to be given to these organisations, but also for the support to each organisation. We also did that in the harvest, and the Stortinget took a stand for this. We also explained the criteria and the reasons. The decision was taken by the majority. In the case of support to voluntary environmental organisations, the total amount is 35 million. kr. These are membership-based organisations, and there are also broad associations. I do not intend to re-examine this. I have taken note that Stortinget gave its support not only to the sum but also to the support of each organisation.
ParlaMint-NO_2003-03-05.ana.ud730e157	I thank the Council of State for the answer, and I am disappointed that the Council of State will not take a proper look at the suction pipe that some environmental protection organisations have in the state register. The environmental protection organisations do not only receive basic support from the Minister for the Environment. For example, in 2001 nature and youth received 1.8 million. kr from the Ministry of Children and Family Affairs. In addition, the same organisation received support for international work with almost NOK 100000. And not enough – Nature and Youth also receive financial support for different projects. Since the Council of State does not wish to review this, will it at least ensure that a comprehensive overview of all types of government transfers to voluntary environmental protection organisations is presented at the next year's budget, so that this is clearly presented to the Stortinget?
ParlaMint-NO_2003-03-05.ana.ud730e166	I can promise the representative that, for the Ministry of the Environment, a proposal on the sum of support for voluntary environmental organisations will also be submitted in the context of the next year's budget, as well as that each organisation will be included with a proposal for support. We would also like to explain the criteria. The criteria are that there should be democratically elected governing bodies in organisations whose primary purpose is environmental protection. Organisations must have a broad membership basis or professional top competence. Furthermore, an assessment of the importance and position of organisations in Norwegian society, competence, membership and organisational structure is emphasised. So that's what we're talking about. Of course, if the Storting believes that these are incorrect criteria or disagree with what the Ministry has presented, the Stortinget is free to change on these terms and also to change the amount of aid for each organisation.
ParlaMint-NO_2003-03-05.ana.ud730e171	There will be follow-up questions – Øyvind Waksdal.
ParlaMint-NO_2003-03-05.ana.ud730e174	It must be obvious to me that the organisations that receive public support respect our democratic rules of play and Norwegian law. Unfortunately, we've seen some examples of the opposite. Nature and Youth had illegal actions in connection with the Snow White Development and the other day an illegal action against a forest owner who was going to take timber out of his forest. Such actions may lead to major economic losses and, of course, to a risk to safety. In view of this, will the Council of State ensure that environmental protection organisations that actively and demonstrably violate Norwegian law lose all state financial support?
ParlaMint-NO_2003-03-05.ana.ud730e183	First, I would like to draw attention to the fact that there was an agreement in the Energy and Environment Committee between the Government Parties and the Advance Party where the current year's allocations to the environmental organisations concerned – including Nature and Youth, to which I understand the Progress Party has a somewhat strenuous relationship – were approved by the Progress Party. But I notice that the Progress Party believes that the department should also assess the behaviour of the individual organisation in relation to legislation, etc. The main purpose of this support to voluntary environmental organisations, which are actually lower than the support to many other organisations – there is not much support in the Ministry of the Environment's budget for them – is to have a voluntary involvement in the environment too. The government's policy is that we should use less for project support, but more for general support, so that these organisations also have a freedom. We depend on voluntary involvement in the environmental field as well.
ParlaMint-NO_2003-03-05.ana.ud730e191	We're going to go to the next main question.
ParlaMint-NO_2003-03-05.ana.ud730e194	I have a question for the Minister of Oil and Energy. Many today are despondent because they have lost their job or are in danger of losing it. This is very serious, and we in the Workers' Party are concerned that the Government does not take this situation sufficiently inward. Since the government of Bondevik has taken over, there have been 75 new unemployed every day. Not least in the oil and shipbuilding industry, this situation is now quite dramatic, and therefore there were also on Friday demonstrations around the country, also in the hometown of Haugesund, against Regeringa's inaction in this matter. People are tired of that, for example. Important tasks in the oil industry are now being pursued on a case-by-case basis. My question is: Does the government intend to do anything about this development, or will the government continue to be silent while the workplace is shut down and disappears from the country?
ParlaMint-NO_2003-03-05.ana.ud730e205	Combating unemployment will be one of the main policy areas in which the Government will focus. I refer to the fact that the Prime Minister has already gone out and invited the parties in Stortinget to a joint effort to combat unemployment with different measures. It is true that the high costs of the last few years, based on both high interest rates and high exchange rates, have made the situation serious for parts of our export-oriented industry. And it's a goal for the Government to pursue an economic policy that leads to a more normal dollar rate and a lower interest rate. We have done so, as the central bank has already reduced interest rates twice and has announced that further cuts may be relevant. It is clear that we also depend on efforts to develop skills and technology. There, the Government wants to invest more in research and development to make Norwegian enterprises more competitive. Finally, I would like to show that within my field I have taken an initiative within the Top Leader Forum and set up a project group to look into the level of activity on the Norwegian base. It is worrying that disappointing search results in the 16th round of the concession have led to a reduction in activity, and it is important that we now look at everything related to land access, framework conditions, small field development, late-stage production, cost structures, decision-making processes and technology needs. All of this I have then challenged a project team within the KonKraft/Top Leader Forum, a wide-ranging group to report in the summer of 2003. I feel confident that such cooperation could lead to results, so that both authorities, the supplier industry, oil companies and employee organisations can identify areas where we can increase our competitiveness.
ParlaMint-NO_2003-03-05.ana.ud730e216	Since the takeover of the Bondevik government, there have been 40,000 new unemployed in this country. That means we don't have time to lose if we're going to be able to keep jobs and make sure that new jobs are built. What has also happened is that many of the tools we could have used to create new jobs have been removed by this government, with the support of the Progress Party in several cases. I think it is good that initiatives have now been taken to try to do something about the situation in the oil and yard industry, but the point is that here it is urgent. We have no time to lose! It is too long to wait until summer to come up with concrete measures on what to do to make the Norwegian supplier industry more competitive. And so it was before Christmas that a majority in the Stortinget asked the government to look at what's the reason we're losing on a case-by-case basis, for example. in Spain, and the loss of many jobs. So my question is: will the Council of State take an initiative that means that something can happen now – not in six months or one year? We don't have time to lose!
