Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-05-20	ParlaMint-NO_2003-05-20.ana.ud1848e26	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-20	2003-05-20	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-20	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.FMV	Vallersnes, Finn Martin	M	1945	
ParlaMint-NO-en_2003-05-20	ParlaMint-NO_2003-05-20.ana.ud1848e158	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-20	2003-05-20	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-20	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.FMV	Vallersnes, Finn Martin	M	1945	
ParlaMint-NO-en_2003-05-20	ParlaMint-NO_2003-05-20.ana.ud1848e166	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-20	2003-05-20	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-20	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.FMV	Vallersnes, Finn Martin	M	1945	
ParlaMint-NO-en_2003-05-20	ParlaMint-NO_2003-05-20.ana.ud1848e169	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-20	2003-05-20	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-20	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.AESO	Sortevik, Arne	M	1947	
ParlaMint-NO-en_2003-05-20	ParlaMint-NO_2003-05-20.ana.ud1848e178	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-20	2003-05-20	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-20	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.FMV	Vallersnes, Finn Martin	M	1945	
ParlaMint-NO-en_2003-05-20	ParlaMint-NO_2003-05-20.ana.ud1848e192	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-20	2003-05-20	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-20	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HR	Rød, Henrik	M	1975	
ParlaMint-NO-en_2003-05-20	ParlaMint-NO_2003-05-20.ana.ud1848e228	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-20	2003-05-20	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-20	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.FMV	Vallersnes, Finn Martin	M	1945	
ParlaMint-NO-en_2003-05-20	ParlaMint-NO_2003-05-20.ana.ud1848e231	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-20	2003-05-20	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-20	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.MARE	Engeset, Martin	M	1964	
ParlaMint-NO-en_2003-05-20	ParlaMint-NO_2003-05-20.ana.ud1848e248	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-20	2003-05-20	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-20	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.FMV	Vallersnes, Finn Martin	M	1945	
ParlaMint-NO-en_2003-05-20	ParlaMint-NO_2003-05-20.ana.ud1848e251	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-20	2003-05-20	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-20	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2003-05-20	ParlaMint-NO_2003-05-20.ana.ud1848e290	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-20	2003-05-20	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-20	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.OAS	Starrfelt, Oddbjørg Ausdal	F	1948	
ParlaMint-NO-en_2003-05-20	ParlaMint-NO_2003-05-20.ana.ud1848e303	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-20	2003-05-20	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-20	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.MODA	Aukan, Modulf	M	1948	
ParlaMint-NO-en_2003-05-20	ParlaMint-NO_2003-05-20.ana.ud1848e316	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-20	2003-05-20	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-20	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
