Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e48	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e71	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e82	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e87	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ON	Nilsen, Oddvard	M	1940	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e92	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e97	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PES	Sandberg, Per	M	1960	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e103	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e121	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e181	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.MARE	Engeset, Martin	M	1964	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e210	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2003-05-28	ParlaMint-NO_2003-05-28.ana.ud191e255	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-05-28	2003-05-28	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-05-28	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
