ParlaMint-NO_2003-04-02.ana.ud2020e28	The representative of May Hansen will make a private proposal.
ParlaMint-NO_2003-04-02.ana.ud2020e31	On behalf of the big business representatives Karin Andersen, Magnar Lund Bergo and myself, I would like to propose to evaluate and adjust the unintended outcome of the new rules on contributions that will enter into force from October 2003.
ParlaMint-NO_2003-04-02.ana.ud2020e36	The representative of John I. Alvheim will make a private proposal.
ParlaMint-NO_2003-04-02.ana.ud2020e39	On behalf of the representatives Harald T. Nesvik, Øystein Hedstrøm and myself, I propose to ask the Government by the end of 2003 for proposals to amend VAT legislation so that no VAT is required on remuneration for the rental of equipment and services provided between self-employed dental practitioners in the same practice.
ParlaMint-NO_2003-04-02.ana.ud2020e44	The representative Knut Storberget will make a private proposal.
ParlaMint-NO_2003-04-02.ana.ud2020e47	On behalf of Eirin Faldet, Karita Bekkemel Orheim and myself, I would like to propose more effective measures to prevent child abduction and make it easier to bring the child back to the caregiver.
ParlaMint-NO_2003-04-02.ana.ud2020e52	The representative of Thore A. Nistad will make a private proposal.
ParlaMint-NO_2003-04-02.ana.ud2020e55	On behalf of the representatives of Kenneth Svendsen, Per Roar Bredvold, Christopher Stensaker and myself, I propose the development of a continuous four-field E6 motorway from Oslo to Trondheim.
ParlaMint-NO_2003-04-02.ana.ud2020e61	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2003-04-02.ana.ud2020e84	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: Council of State Election City of Haugland Council of State Kristin Clemet Council of State Kristin Krohn Devold The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, wish to ask themselves the main questions asked. – We will then start with the first main questions, from the representative Arne Sortevik.
ParlaMint-NO_2003-04-02.ana.ud2020e103	I have a question for the Minister of Education. Norwegian school is going in the wrong direction. Norwegian students can't count. One of the four high school students cancels in mathematics. Now, when we measure the knowledge of student coal that has been trained after Reform 97, the iron percentage is explosive, and at the last measurement, i.e., the 2002 exam, almost 27 pst. This is frighteningly bad, and it is a warning about real level lowering in real science. The government is responsible for today's school. With this result, the Government also cancels the exam. Major unacceptable deviations in learning outcomes must result in significant and clear corrective measures — immediate action. What will the Council of State do in addition to the talk of concern and the programme review? What immediate action will the Council of State take to improve the knowledge of mathematics in Norwegian students?
ParlaMint-NO_2003-04-02.ana.ud2020e114	I must say that one of the things that pleased me when I got up today was to read the editorials in some of the newspapers I read on the morning quiz. Finally, I felt that it had become a certain understanding that Norway unfortunately does not have an equality school or a school that provides an equivalent and good training offer to everyone. In many ways, we have a different school. There are great differences between girls and boys, between strong and weak, between classes, between schools, we have social segregation in cities, and we do not contribute to the social mobility that the school should contribute to. I've felt for a year and a half that when we've been talking about this, we've only met on a wall of rhetoric about the college, while now it finally seems to be a certain understanding that we have a difference problem in Norwegian school. I think we've started a pretty comprehensive program to do something about it, and let me mention some elements. Firstly, we have put a lot more emphasis on skills development, both in relation to new and existing teachers. Secondly, we are doing quite radical things in strengthening the room for action of the school owners and of the schools. We have taken decisions to transfer the negotiating responsibility, and soon there will be proposals for the Storting, among others. amending the 2+2 model in secondary and amending the classification rules. We have provided for much greater transparency in school and for user involvement and user transparency, and, not least, the Stortingen have agreed to develop a national quality assessment system, which can provide us with knowledge of quality and the basis for improvement. Just as far as mathematics is concerned, I also believe that we have taken a grip that has been received very positively. We have put forward a comprehensive plan to strengthen the real subjects from kindergarten to research. It is a five-year plan, and we are taking action at all levels and in and on behalf of all groups — yes, also in relation to society. The immediate results of such measures cannot be expected. Contributing to improving quality in school is a very long-term work, where it takes a long time to get results, but I definitely believe that we have started an important work. And then we also wait for the quality committee to be set, which is due in June.
ParlaMint-NO_2003-04-02.ana.ud2020e129	I hope that the Council of State has also read the head of the Evening Post with the title «When the school goes in the wrong direction». When it fails in high school, it's a signal that something is fundamentally wrong in primary school too. Will the Council of State change the curricula so that there will be more time for teaching to ensure basic math understanding by primary school students? In my opinion, through recommendations and regulatory options of the specialist council, there is a room for action for immediate action. What's our concern is that we now get so much talk -- far in parallel with the physical decay in school -- that everything should get better just for a little while, that today's students leave school without getting a better learning result. That would be a pity, because students in Norwegian school can do much better than what is presented with Norwegian curricula today.
ParlaMint-NO_2003-04-02.ana.ud2020e138	It's not my impression that the main criticism against me is that I'm talking a lot and not doing anything, but now let it go! In terms of curriculums and curricula, we are in that situation – we have changed somewhat in the CRL field – that we have reduced a sample, in other words, the previous government, with a slightly extended and amended mandate from our government, which we refer to as the Quality Committee. They're putting forward a position at the beginning of June, and there's a certain logic in that we're going to have to change curriculums and curricula after that. We have already started the preparatory work, but of course we have to await the sample and have the normal consultation processes on it. Some of the scientific plans that are most strongly criticised refer to mathematics. It has been claimed – and I think it is right – that they have been overread and too busy in methods and activities rather than dealing with goals, a limited number of objectives and giving some greater freedom of method to teachers. We have one of the country's most powerful mathematics experts in the Quality Committee. She also leads the National Center for Mathematics in Education, which we have established at NTNU, and I think we'll see that there are changes in mathematics, and it can come relatively quickly as well.
ParlaMint-NO_2003-04-02.ana.ud2020e149	There will be two follow-up questions – first Karita Bekkelem Orheim.
ParlaMint-NO_2003-04-02.ana.ud2020e152	I want to ask a follow-up question. All of the parties are concerned that we're going to have a high-quality school. And if that's how we don't get out well enough, among other things. in mathematics and reading skills, there is one thing that all the games in the Storting are concerned about. But what's obvious is that this government thinks it's the competition that's going to promote more and better education in the schools. We have seen Secretary of State Bergesen say to the newspaper Education that the good school cannot be adopted by political decisions. Victor D. Norman has clearly stated that the school can cope with far fewer teachers than we have today. Then is my short question to the Council of State: is it such that the Council of State really believes that competition itself will improve the Norwegian school, and that this has no connection whatsoever with the resources that we are allocated to the Norwegian school?
ParlaMint-NO_2003-04-02.ana.ud2020e161	When Karita Bekkemelm Orheim says that all the parties are concerned about quality in school, it sounds like a spell to me. Because there is actually no one before, and especially not the Workers' Party, who has been busy getting knowledge of quality. A first prerequisite to be able to do something about quality is to acquire knowledge about what quality is both in terms of learning outcomes, the learning environment, etc., and then to acquire knowledge about what leads to better quality. That kind of information was practically absent in the department when I got in there. Now we know a lot about quality, and we know a lot more about what's going on to do to improve quality. I don't know what the representative is looking for when she says "competition." If there is competition between schools, it is virtually non-existent in Norway. We almost don't have free choice of school in primary school. There are almost no municipalities that have implemented it, and in any case there is a strong constraint that the law says you have the right to go to your secondary school, and so it's still going to be as long as I sit in that chair. So to resources. It's important, of course. [[President clubs]]
ParlaMint-NO_2003-04-02.ana.ud2020e173	Ursula Evje – for follow-up questions.
ParlaMint-NO_2003-04-02.ana.ud2020e176	Now, the results we see now are simply what has come after a reform that has obviously failed. Changing the subject plan within this will hardly solve a problem. Today, the school has a responsibility to provide the individual with the training he needs, and it is such that the parents rely on the school to do so. What will the Council of State do to clarify the school's own responsibility for providing adapted training, including within the plan already in place?
