ParlaMint-NO_2003-03-27.ana.ud1262e69	The representative, Inge Ryan, will make a private proposal.
ParlaMint-NO_2003-03-27.ana.ud1262e72	I will, on behalf of Øystein Djupedal, Ingvild Vaggen Malvik, Heidi Sørensen and myself, put forward proposals to set up a fund for eco-innovation and start-ups.
ParlaMint-NO_2003-03-27.ana.ud1262e77	The proposal will be dealt with in a regulatory manner. At the request of the Committee on Energy and the Environment, the President will propose that matters be referred to the Committee on Energy and the Environment. 1, 2 and 3 are dealt with as a whole – and consider it adopted.
ParlaMint-NO_2003-03-27.ana.ud1262e115	At the request of the Committee on Energy and the Environment, the President will propose that the debate be limited to 2 hours and 40 minutes and that speaking time be allocated to the groups as follows: Working Party 40 minutes, Right 35 minutes, Advance Party 25 minutes, Socialist Left Party 20 minutes, Christian People's Party 20 minutes, Center Party 10 minutes, Left 5 minutes and Coast Party 5 minutes. Furthermore, the President will propose that there be a replication of up to three lines with replies after the speeches of the main speakers of each party group and five lines with replies after the contributions of members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2003-03-27.ana.ud1262e126	"Politics is wild," said Olof Palme. Those were wise words that I fully agree with. Unfortunately, it doesn't seem to be wanting to have been the majority's main goal of taking a larger part of the gas into use. The processing of the gas report could be an important start to a new industrial bag in our country for the next 50 to 100 years. A crucial prerequisite for getting this into and getting the gas to the places we need it and using it in industrial contexts is to build infrastructure. It is therefore disappointing that a majority, consisting of the government parties, the SV and the Central Party, put their feet on the brake instead of on the gas, because the majority’s decisions on new investigations and several assessments do not make a very large number of jobs – at least not now. Many places in the country are those that want to use gas for different purposes, areas that have been waiting for a long time. Grenland is one of these. Not least we experienced that when the Energy and Environment Committee visited Grenland earlier this winter. 6000 people in torch trains to get gas to Grenland showed an commitment to jobs that we very rarely experience. Border is one of several areas that want access to natural gas and that should receive it. In Eastfold, several places in the West, in Trøndelag and in the South, industry wants to use gas. Studies have been carried out in many of these locations and plans are in place. It is now just waiting for clear signals about how the state will contribute to the realisation of these plans. Then action is needed. The newspaper wrote in its editorial on 25 March: ‘Now there is a need for political action and foresight, not more investigations.’ I agree. Just 1 pst. of the gas we produce is used in Norway. 99 pst. leaving the country. Probably we'll produce gas for almost 100 more years. Creating new industrial jobs based on natural gas will therefore be creating badly needed long-term jobs. At a time when unemployment is rising every day, it is therefore very strange that the government parties, SV and the Central Party are not aware of their responsibilities and use this opportunity to give industry an important vitamin injection, because the signals from the industry have been quite clear: the key is infrastructure. And to be able to finance it, the state has to contribute. The Workers' Party's proposal to set up a state-owned company that would initially receive DKK 3 billion in equity and would have the task of co-financing infrastructure is a redeployment of the country's wealth in long-term investments. This is not subsidisation that will burden the expenditure side of the State budget. This winter has shown us that we also need the gas for energy purposes to prevent people from paying so crazy high power bills. The gap between what we use and what we produce has to be close. In addition to renewable energy, it is important to put gas power plants in place so that people and industry can have lower electricity costs. A majority in this Chamber will not contribute to it either. For the Workers' Party, it is a prerequisite that increased use of natural gas should take place within our international climate obligations. Increased use of natural gas in Norway could help reduce the use of more polluting energy sources. Nevertheless, it is an objective to develop as environmentally friendly technologies as possible, so that emissions are near zero. There is therefore a need for increased research and development in this area. Although a lot of research has been done in this field, most people believe that it is far to the goal. There is broad agreement to set up an innovation company in Grenland, but there is disagreement about how quickly it will start, about the mandate and about money. The innovation company shall be responsible for coordinating its efforts and shall promote technologies and pilot projects for the environmentally friendly use of gas for energy purposes, for petrochemicals and for hydrogen as an energy carrier. It is now almost two years since we decided to set up this company, and I am pleased that all parties today support this. However, we would like the majority to commit to the financing of the company and that the company could be established as of 1 January 2004. Nor will the majority be entirely specific here. We want to give a clear signal that the company should be given equity that can make it at the other end out 250 million. DKK for 10 years, which could be used for this purpose. Progress in the development of environmentally friendly gas technologies is important for our environment, but it is also important to create future Norwegian jobs based on this technology. Not least, technology itself can be sought and become an important export product. I find it strange that the government parties, who believe that a gas power plant with CO2 handling is the answer, do not agree to give a clear signal for money to do so in order to bring it forward more quickly, rather to support a proposal to support the corresponding whole electricity charge for such power plants. On the other hand, there is broad agreement to establish a centre of end-user technology in Rogaland. Building on the environment there would be very sensible. In the transport sector, too, there is a high potential for the use of more natural gas. We have several successful gas buses projects that should be continued, and we also want new projects to be welcomed. Then there is probably also a need to provide some financial support for buses and filling stations. I am somewhat surprised that the Government in the Storing Message is so negative to this, for there it says: ‘In total, therefore, it is not possible to extend the level of gas in road traffic.’ This is a strange attitude when it has been proven to have produced such good results, for example. in Bergen, in the case of air quality improvement. In several places, there is also a good opportunity to use gas ferries. The Haljem–Sandvikvåg stretch south of Bergen is an example of this. By building three gas ferries on this route, the NOx emissions will be reduced by about 80 pst. relative to the conventional ferries option. The current ferry company, HSD, wants to build gas ferries, but needs framework conditions that enable this. I had hoped that through the work on this message we could have obtained a binding decision that had made it possible to realize several gas ferries. But here too, the bulk of the population is asking for more government assessments before any concrete decisions are to be taken. The use of natural gas can be bridged to the hydrogen society. Most people probably think that it's a bit until we have the technology that makes it economically possible to use hydrogen on a large scale. But there are many interesting projects going on in several places in the country. For example, I want to do this. mentioned the Green Hydrogen project on Notodden, and I am pleased that there is broad support for this project to continue. On the point of green certificates for new renewable energy, binding decisions are now being taken, and this is absolutely necessary. The government proposes in the message that the establishment of a mandatory green certificate market should be put on ice until we have an international market in place. This is contrary to what both the environmental movement and the power industry want. I am therefore pleased that there is so much support for establishing a mandatory green certificate market for new renewable energy, and that the Government is required to make a concrete proposal as soon as possible, by spring 2004. This will speed up the development of renewable energy and could also make an important contribution to the supply of electricity. Work on the gas message has been an exciting and interesting work. Not least, the enormous commitment around the country has made a strong impression on me, and I also believe in many others. I would therefore hope that we had come even further in making concrete and binding decisions. However, the Workers' Party will continue to be drivers to take a greater share of natural gas into use in the future. Odvar Nordli wrote in the book «We saw the corn mollusks – about dream and everyday life»: ‘Unemployment is wasted with the greatest wealth of a society, man’s own ability and will to create something.’ That is what the fight is all about. Therefore, it is important to act now, and not to take a waiting and looking attitude, as the majority suggests on essential points. Finally, I would like to address the proposals on which the Labour Party stands alone or with other parties, and I would also like to address the proposal that has been distributed in the Chamber, but there is a typographical error. That proposal is not just from the Labour Party, it is on behalf of the entire Committee.
ParlaMint-NO_2003-03-27.ana.ud1262e175	The representative Sylvia Brustad has taken up the suggestions she referred to. It's going to be line change.
ParlaMint-NO_2003-03-27.ana.ud1262e180	It is alarming that Brustad uses much of his post to criticise the government and the government fraction here in this hall for refusal and lack of political will. I have to remind Brustad that it is this government that has presented the first gas message of the times, precisely because one wants to develop forward-looking strategies for domestic use of gas. The government fraction follows up and takes in today's setting responsible grips to withstand daylight. Workers' party governments before us, of whom Brustad himself has been a member, have had the full opportunity to be equally offensive, without that happening. But something has happened to the Workers' Party and their former state councils. Reversely proportional to the party's inception, populism increases. It's going to be all wrong, both factually and seriously, to those who have serious expectations about the state as a partner, if we were to see in the billions what gas pipes to Grenland, for example, are going to cost, and make decisions on such a vague basis. Hasn't the Workers' Party learned some things from political nutrition projects like Mongstad, the Flytrain and now fornebu? Not least in the interests of the cooperating actors, the State has an obligation to proceed in an orderly manner and to act in a orderly manner. Populism is bad for industrial construction, and has proved to be painful for those affected. It has earned neither Grenland nor anywhere else in the country. In concrete terms, therefore, the question is: is there Hydro’s cost estimate for gas pipelines to Grenland of DKK 3.7 billion or Statoil’s estimate of DKK 6-7 billion that underlies the Workers’ Party’s proposal of DKK 3 billion above the table?
ParlaMint-NO_2003-03-27.ana.ud1262e189	The most eye-catching thing in this line and in this case is not the Workers' Party's position, but it is perhaps the Right's position. I think maybe the attack that is now coming from the Right representatives comes because the Right innermost actually agrees with the Workers' Party, but has been overrun by others in their own government, to enter into another settlement. I see in Fädrelandsvenn from 25 March that Vest- Agder Røjres County Leader, Kirsten Huser Leschbrandt – she refers to the investigation on which the government parties have joined SV and the Center Party – says the following: ‘The postponement that is now taking place seems to be a substituting argument. Actually, you want to say no, and that's bad." The point in this case is that there have been investigations here for a number of years. Here, there are environments across the country that are aware of how to use the gas. We know more than enough to start. We know that 99 pst. of this gas goes straight out of the country without us being able to use any of it to create jobs in Norway. And then the answer from the government parties, along with SV, that no, now we're going to figure out even more. This happens at a time when unemployment increases every day. I would like to remind you that with the Bondevik administration we have 75 new job vacancies every day. That means that we have no days to lose in terms of creating new jobs. What makes me suspicious is that the government parties choose to join SV in this case. I have a great deal to say about SV, but in this case there is no doubt that SV might be the party in Norway that is interested in using at least gas. Therefore, there is reason to be concerned about the investigation proposal they have now agreed on. I believe that the Right now tries to attack the Workers' Party because they are not very well in this company and with the agreement they have now entered into. I think we can say straight back that this is forward-looking and absolutely necessary for our country.
ParlaMint-NO_2003-03-27.ana.ud1262e203	After hearing the representative Brustad, you can ask questions about the Workers' Party knows what they want in the field of gas and energy policy. The working party fires entitled to the Government and wants to build a gas power plant immediately. At the same time, the Workers' Party must take account of its own climate policy, which in practice puts an end to gas power plants in the event of CO2 management requirements. This also follows up the head of the Workers' Party, Jens Stoltenberg, when he said to Telemarksavias on 20 March that the important thing is not how many gas power plants are being built, but that the emissions are within the limits that Norway is obliged to keep. In other words, the consequence of the Labour Party’s policy is that CO2 emissions from gas power plants must be included in today’s quota emissions. Thus, Norwegian industry and industry have to make further emission reductions, with significant costs, if gas power plants are built. At the same time, the Workers' Party is a champion of taking the majority of emission reductions in Norway, thus reducing the possibility of making reasonable reductions in emissions abroad. The question to the representative Brustad is therefore: Is the climate policy of the Workers' Party still the issue, or is it only a party speaker, Stoltenberg, who is involved in the construction of gas power stations?
ParlaMint-NO_2003-03-27.ana.ud1262e214	We don't have party speeches, either in the case of gas power plants, and I think many have brought them. We have clearly stated that all use of gas in Norway, both in industry and in energy purposes, should take place within our climate commitments and our international commitments in general in relation to the environment – and that should be lacking. There the Labour Party and the Advance Party separate very layers, because there is nothing that the Advance Party is concerned about at all. We believe that when we're so clear about it not least this winter has shown us that there's an incredibly large gap between what we're using and what we're producing, it's absolutely necessary to get gas power plants in place. We are very much in order to obtain gas power stations with CO2 handling as quickly as possible, but it will take some time. That's why we've also given a very clear signal that we're going to go in by 250 million. NOK over a ten-year period to research and develop that kind of technology, so we get this faster. We have also said that we should support such power plants, but while waiting for it, we have to make sure that people don't pay as high electricity bills as they have done this winter, and that they can risk paying the next winter and the winter after that, if you don't do anything. Then we're going to have a huge investment in renewable energy, but we also have to build gas power plants. That's why we've said that if those who have been granted a concession won't build, then there must be a concession for others who are interested in building. And I think there can be energy companies in Norway that will. So the call must be: search! Then I also hope that the Government is prepared to grant it, and that it is not stuck in a legal notion that it is not possible to move concessions if necessary. I think it is rather embarrassing that the energy nation of Norway has faced a situation where we are not able to provide enough power for industry and the population without having to experience as high prices as they are now, and we are also going to do this within the commitments we have promised.
ParlaMint-NO_2003-03-27.ana.ud1262e225	It is the last reply from the representative Sylvia Brustad that actually tells what this is about, because there will be few who will disagree that it makes sense to use gas for industrial purposes. But it's clear that there's no economy in this, because the volume of gas, if you're going to build pipelines, is so big that it won't be economically profitable at all. This means that at the other end of a gas pipe there will be a gas power plant. When Sylvia Brustad specifically accuses the government parties that they are now entering into a settlement with SV, it shows how unreasonable this is. When Onarheim and others in the Right agree with SV, that shows the balance and the weight of what will be adopted here, simply because I think most will understand that, for example. The representative onarheim hardly is particularly anti-industrial – to use such a word. That means that what lies at the other end of this gas pipeline, which the Workers' Party wants the Storting to subsidize by $3 billion above the table without having any sense of where to go or how to use this money, is, of course, – whether it is populism – irresponsible. What has been discussed here is a sensible approach to this problem: how can we use gas in a sensible way and within the framework of the climate obligations imposed on the nation by the Storting? That means that this is a balance. This means taking into account industry and value creation, but, of course, it is necessary to take account of the environment and the same obligations that the Workers' Party has accepted and, of course, is also actively fighting for. That means that what may surprise us most in today's debate is that the Workers' Party has chosen a position that makes them have no influence at all on this and has no influence whatsoever on how this should go ahead, namely having these two thoughts or this balance in their heads at the same time. No one can be surprised that SV, or for that matter the Government, does not want to build a large gas power plant without CO2 cleaning once, and at the top of everything with state money at the bottom. This is what should worry Sylvia Brustad. Clearly, we are interested in moving forward in a dialogue with the Government on these issues, in order to find sensible solutions. But that, of course, does not require gas power plants.
