ParlaMint-NO_2003-12-15-upper.ana.ud1945e91	There is no record available.
ParlaMint-NO_2003-12-15-upper.ana.ud1945e105	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2003-12-15-upper.ana.ud1945e121	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2003-12-15-upper.ana.ud1945e137	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2003-12-15-upper.ana.ud1945e153	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2003-12-15-upper.ana.ud1945e169	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2003-12-15-upper.ana.ud1945e185	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2003-12-15-upper.ana.ud1945e201	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2003-12-15-upper.ana.ud1945e217	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2003-12-15-upper.ana.ud1945e233	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2003-12-15-upper.ana.ud1945e250	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
