Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-03-21	ParlaMint-NO_2003-03-21.ana.ud1301e33	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-21	2003-03-21	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-21	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.KMB	Bondevik, Kjell Magne	M	1947	
ParlaMint-NO-en_2003-03-21	ParlaMint-NO_2003-03-21.ana.ud1301e217	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-21	2003-03-21	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-21	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-03-21	ParlaMint-NO_2003-03-21.ana.ud1301e222	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-21	2003-03-21	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-21	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JES	Stoltenberg, Jens	M	1959	
ParlaMint-NO-en_2003-03-21	ParlaMint-NO_2003-03-21.ana.ud1301e250	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-21	2003-03-21	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-21	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ON	Nilsen, Oddvard	M	1940	
ParlaMint-NO-en_2003-03-21	ParlaMint-NO_2003-03-21.ana.ud1301e267	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-21	2003-03-21	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-21	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2003-03-21	ParlaMint-NO_2003-03-21.ana.ud1301e291	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-21	2003-03-21	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-21	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.KHA	Halvorsen, Kristin	F	1960	
ParlaMint-NO-en_2003-03-21	ParlaMint-NO_2003-03-21.ana.ud1301e312	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-21	2003-03-21	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-21	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.JL	Lilletun, Jon	M	1945	
ParlaMint-NO-en_2003-03-21	ParlaMint-NO_2003-03-21.ana.ud1301e335	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-21	2003-03-21	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-21	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.AAMH	Haga, Åslaug	F	1959	
ParlaMint-NO-en_2003-03-21	ParlaMint-NO_2003-03-21.ana.ud1301e354	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-21	2003-03-21	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-21	-	Reference	English	Regular	MP	notMinister	V	Venstre	Coalition	Centre	person.MABV	Vihovde, May Britt	F	1958	
ParlaMint-NO-en_2003-03-21	ParlaMint-NO_2003-03-21.ana.ud1301e384	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-21	2003-03-21	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-21	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.KMB	Bondevik, Kjell Magne	M	1947	
ParlaMint-NO-en_2003-03-21	ParlaMint-NO_2003-03-21.ana.ud1301e402	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-21	2003-03-21	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-21	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2003-03-21	ParlaMint-NO_2003-03-21.ana.ud1301e415	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-03-21	2003-03-21	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-03-21	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
