ParlaMint-NO_2003-12-08-2.ana.ud1416e52	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2003-12-08-2.ana.ud1416e55	The Johannesburg Environment Conference last year confirmed that environmental challenges are global and that the rich countries have a special responsibility to help get the best possible environment globally. We are co-responsible for man-made climate change, and we must therefore contribute to an environmentally sound development of society. On 25 November this year, the Stortinget concluded that the following wording was compatible: ‘Each generation has an obligation to leave the earth to the next in at least as good a constitution as that of the previous.’ The fact that a mass accumulation is behind this obligation provides a basis for joy and hope. More than ever before, it is important that we take the executive responsibility inwards. I am pleased that the constructive budgetary cooperation between the Government Party and the Workers' Party can contribute to the realisation of the Cooperative Government's willingness to pursue offensive environmental and resource policies. In a tight budget for 2004, including: In order to reduce unemployment, we have found room for important environmental efforts. We're increasing the license to clean up the forureina sediment with PCB content in ports and fjords. The opportunities for the fight against gyro will increase in 2004, and the management of biological deficiency will be strengthened. Taking care of cultural memories and places is important both to ourselves and to those who come after us. The cultural memory fund will increase from 6.5 million. to 13 million. kr, and the protection of private-owned stave churches and national cultural memories is strengthened. The leases to the World Heritage Sites Bergstaden Røros and Bryggen in Bergen will also be increased. We assume that the foundation of the Lynggiestret in North Hordland will have a good deal to do with the further development of the center. A joint committee supports the completion of the refurbishment work of the Norwegian Watercourse and Industrial City Museum in Tyssedal in 2004. Between the Ministry of Oil and Energy and the Ministry of Environment and the Ministry of Environment, investment in this museum can be fully financed. I want to use it to underline the valuable work done locally, so that one here can pass on knowledge to future generations about an important part of the basis for the well-being of this country, the exploitation of our water resources for energy production. The 2004 budget provides the basis for a target-conscious commitment to sustainable development and provides support to the individual to take the responsibility of the administrator seriously.
ParlaMint-NO_2003-12-08-2.ana.ud1416e77	At the very end of the debate, it's okay to sum up a little bit. It is interesting to know that some clarifications have been given in this debate, among other things. as regards the views of the Workers' Party on oil and gas activity in the northern regions. Let me quote from the answer I received from the representative Klungland on a reply I had earlier today. There he said: ‘There may be a lot to be said in different places that are still not the policy under consideration. I assume that the representative of Korsberg is of course aware of this." I'm fully aware of that now. It is obvious that the Workers' Party's opinions vary from where the party's representatives debate, and it is great that they stand openly and honestly in this Chamber and admit it. In the case of the Barents Sea and the Lofoten, the representative of Klungland said to the same line: “This means that the response from the Workers’ Party is yes, we have to open up in the northern regions, but we will see the consequences before we decide on it, and before we deal with it here in Stortinget.” So first you say yes, and then you see the consequences of what you have said. I really can't quite understand what the Workers' Party believes in that matter. Earlier today I quoted former energy minister Olav Akselsen, who in his time stopped Nordland VI in Lofoten, while in the Official Journal of Bergen on 29 November this year he stated that he was concerned about the oil industry and the loss of jobs. There he said, among other things:\t\t You can ‘The representative of the Labour Party fears it might be even worse if Steensnæs does not get up and open to drilling west of the so-called Nordland VI field west of Lofoten’ – the same field that he himself has been in to close. And then I quoted what he said at the Intsok Conference, and what the Labour Party Sylvia Brustad said at the Olympic Conference, and then it really doesn't matter, what the Labour Party is doing both here in this Chamber and in other contexts. However, I am pleased that Rolf Terje Klungland admits it. And then the Workers' Party has a tradition of overcoming its own local politicians, and I have to be allowed to quote what the entire political leadership in North Norway says – i.e. state politicians and state leaders. This is from Nordlys Friday, December 5th this year: ‘In concrete terms, we expect the government to take the decision on the resumption of activities in existing licences in Northern Ireland VI and the Barents Sea in the current year, so that our part of the country and our population can meet with predictability and optimism in the coming years.’ I fully agree with that, and I think the Workers' Party should listen more to its people in the northern regions.
ParlaMint-NO_2003-12-08-2.ana.ud1416e111	In the various budgetary debates, much has been said about the budgetary agreement between the government parties and the Labour Party. Yes, some have even been happier than others. Today, when the Committee on Energy and the Environment is debating its important area, I would like to express my satisfaction at the budgetary agreement that exists. I think that Mr. Leif Frode Onarheim, in his contribution, was able to raise his eyes and look ahead in an excellent way, presenting Norway as an energy policy force with great potential for leadership in Western Europe, and with good prospects for developing its oil and gas resources in a long-term and environmentally sound manner, and last but not least, the possibilities of gradually taking a greater share of gas resources into use in Norway. The representative Klungland also said it was striking that we are now facing a new era – the hundred years of gas. It concerns the putting into service of the gas, its use as a source of heating and energy and its use for industrial development. A gas pipeline for, inter alia, The South will be able to give us a national boost to technology and industry. Grenland, which is my area, is Norway's largest industrial cluster, with good opportunities for continued profitable expansion if the opportunities are provided for it. The working party prefers to misinform the Government's willingness to regard the pipeline as infrastructure measures. There is no disagreement that the State has a responsibility for the infrastructure when landing gas to Norway. It was underlined and reinforced in decisions taken in connection with the gas notification as this dump was previously treated. However, I am still somewhat surprised that the Workers' Party, with its government experience, does not understand that a matter of great economic impact needs to be assessed and assessed in a consistent manner before a decision is taken. But anyway: I look forward to more domestic gas use, and I look forward to dealing with this matter, which will be presented by the spring of 2004. I started by expressing general satisfaction with the 2004 budget. Finally, I would like to highlight in particular the need to continue and strengthen research into environmentally friendly gas power technologies. It is particularly important for future industrial and environmental developments. And then I want to highlight the Green Hydrogen project, which is going to add 5 million. kr. Hydrogen can become a future exciting and environmentally friendly energy carrier, and it is important and right to invest in such projects.
ParlaMint-NO_2003-12-08-2.ana.ud1416e124	It was the representative of Korsberg who made me take the floor, and I am really happy about that. If it is such that someone can misunderstand what I said earlier today, where the representatives of the Workers' Party say something one place and something else, then it does not mean that I have meant it. What is the challenge, and especially for the Progress Party, is to understand the coherence of policy. The representative of Korsberg also criticized me for saying yes to opening in the northern regions, but that we would wait to decide where and when to reach the impact assessment. I understand that the Progress Party does not understand that there is a difference between drilling in the cod hole and drilling far at sea, but I hope that there is respect in the Progress Party too because there are actually people who believe this. That's why I'm glad I got the word again. Neither does the party understand the context when they are opposed to subsidising all energy production in relation to other energy production, and it is also in favour that it is only the taxpayers and the state that do so in relation to CO2 management. But CO2 management is not really a problem for the Progress Party, because they say it's a strange problem that we're just researching in Norway. Then we realize that the Progress Party may have problems understanding the coherence of the policy behind which the Labour Party and its representatives naturally stand.
ParlaMint-NO_2003-12-08-2.ana.ud1416e131	Øyvind Korsberg has had the word twice and gets the word for a short remark.
ParlaMint-NO_2003-12-08-2.ana.ud1416e134	It's true that I've had the word twice, I've had one five-minute post and one three-minute post. I just need to clarify a little bit. What I started my post instead was quoting the representative of Klungland from the pulpit in his reply. That's what's so interesting about the Workers' Party, you never know what's coming, until a representative has been up in the pulpit and said what's to be said, especially in terms of oil and gas extraction in the northern regions. We have a lot of examples of that. I don't have so much speaking time that I can refer to all of the examples that I have in that area. Before that, I shall just end by saying that we are going to vote in favour of proposal No. 42, from SV. After reading that proposal, we have found that we can vote against it, but we can also vote for it. Otherwise, I would like a good Christmas and a good New Year!
ParlaMint-NO_2003-12-08-2.ana.ud1416e143	Yeah, it's about time.
ParlaMint-NO_2003-12-08-2.ana.ud1416e146	It was not my desire to prolong this debate, but since my name has been withdrawn, I thought it was natural to say a few words. First to the last article. I thought it coincided with own urism or lack of content when Korsberg says that one never knows what comes from the Labour Party when it comes to oil and energy policy. I want to say that we've been very consistent over the 30 years we've been doing this activity in Norway. I also want to say that once we've closed down in this area, it's because we've been closed in evaluating different opposites of interest to each other. One of the reasons why we have the highest environmental standard in Norway, for example. in this area, one already from day 1 sets tough demands for what to allow in this area. It has also always been a premise that when one is going to have oil activity in Norway, it must be in co-existence with, for example. the interests of fishing, and of course it will also be directed. Then, from the Korsberg side, a big point was made that one in the Labour Party has been there asking for more information in this area, and that one takes the time to wait for that information to come to the Storting, before one takes a final decision as to which area one will be in and open. What's quite clear is that the Workers' Party wants to create a new search area. We have a very serious situation for the Norwegian offshore supplier industry, for the Norwegian oil environment, and we want us to have an offensive policy in this area. I have no faith that the way the Progress Party is moving forward is the way that best can secure this industry a future in Norway. I think it's important that we also take time in the process that's ahead to run the processes that have become several in this room, and one has come to agree that first we have to have an impact statement, and then we have to have a debate in this room. So, of course, it's that parallel to this, the government is working on concession issues. And the tradition in Norway has been that it's the government that operates the concession policy, based on the conditions that have previously been given by the Storting. What has been a bit of criticism from the Labour Party in this area is that one has spent too much time. We have previously said that this question wants us to have clarified during the autumn of 2003, so that it could be part of the 18th concession round. So I'm going to say that what Korsberg is trying to do here, is to give a wrong idea of what the Labour Party's policy is, and then he's also trying to create a conflict that's not there. The working party wants to invest in the oil industry, but this must be done in the fisheries sector and with regard to the environment. We've always done that, and that's what we stand for in this context as well.
ParlaMint-NO_2003-12-08-2.ana.ud1416e157	Several have not asked for the floor for case No. One, two, three. At the request of the Committee on Energy and the Environment, the President will propose that matters be referred to the Committee on Energy and the Environment. 4 and 5 are dealt with as a whole – and considered adopted. [[See pages 1005, 1018 and 1019]]
ParlaMint-NO_2003-12-08-2.ana.ud1416e186	At the request of the Energy and Environment Committee, the President will propose that speaking time be limited to five minutes to each group and five minutes to the Council of State. Furthermore, the President will propose that five lines of response be given to comments by members of the Government within the allocated speaking time. In addition, the President will propose that those who subscribe to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – This is deemed to be adopted.
