ParlaMint-NO_2003-03-26.ana.ud1942e28	The representative of Olav Gunnar Ballo will make a private proposal.
ParlaMint-NO_2003-03-26.ana.ud1942e31	On behalf of the representatives of Karin Andersen, Sigbjørn Molvik, Heidi Grande Røys, Geir-Ketil Hansen, May Hansen, Audun Bjørlo Lysbakken and myself, I would like to propose the introduction of a national health plan.
ParlaMint-NO_2003-03-26.ana.ud1942e36	The representative of Inger S. Enger will make a private proposal.
ParlaMint-NO_2003-03-26.ana.ud1942e39	On behalf of the representative Jorunn Ringstad and myself, I would like to make a proposal to change the practice with regard to the use of restricted driving licences, the driving licence code § 32.
ParlaMint-NO_2003-03-26.ana.ud1942e44	The representative of Gjermund Hageseter will make a private proposal.
ParlaMint-NO_2003-03-26.ana.ud1942e47	On behalf of the representative Per Erik Monsen and myself, I would like to make proposals on the reduction of the environmental tax.
ParlaMint-NO_2003-03-26.ana.ud1942e52	The representative, Siv Jensen, will make a private proposal.
ParlaMint-NO_2003-03-26.ana.ud1942e55	On behalf of Carl I. Hagen, Per Sandberg and myself, I would like to propose measures to improve the functioning of the economy, increase economic growth and reduce unemployment.
ParlaMint-NO_2003-03-26.ana.ud1942e61	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2003-03-26.ana.ud1942e84	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: Prime Minister Kjell Magne Bondevik Council of State Ingerd Schou The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. – We then start with the first main questions, from the representative Jens Stoltenberg.
ParlaMint-NO_2003-03-26.ana.ud1942e100	I have a question for the Prime Minister. The war in Iraq is now within its seventh day. It is a war of the Workers' Party and very many others have been against it. We believe that the peace trail should have been followed longer, that the weapons inspectors should have had longer time, and that more should have been done to get peaceful disarmament from Iraq, and that it was therefore wrong to go to war against Iraq. When the war is now under way, there are at least two areas in which Norway can contribute. One is to contribute to the work of resolving the Middle East conflict, which is an important part of the whole conflict in the region, and the other is to provide humanitarian aid. We are pleased that the Government has already contributed, but in relation to what we have given of humanitarian aid in similar conflicts in recent years, Norwegian contributions are still significantly less. I would like the Prime Minister to confirm that he is prepared to step up his assistance. What is needed now is increased financial support and contribution to coordination and ensuring that humanitarian aid reaches those who need it.
