Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-02-18-lower	ParlaMint-NO_2003-02-18-lower.ana.ud587e34	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-18	2003-02-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-18	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2003-02-18-lower	ParlaMint-NO_2003-02-18-lower.ana.ud587e39	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-18	2003-02-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-18	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.HHL	Langeland, Hallgeir H.	M	1955	
ParlaMint-NO-en_2003-02-18-lower	ParlaMint-NO_2003-02-18-lower.ana.ud587e44	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-18	2003-02-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-18	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2003-02-18-lower	ParlaMint-NO_2003-02-18-lower.ana.ud587e58	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-18	2003-02-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-18	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2003-02-18-lower	ParlaMint-NO_2003-02-18-lower.ana.ud587e63	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-18	2003-02-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-18	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.CD	Dybevig, Carsten	M	1963	
ParlaMint-NO-en_2003-02-18-lower	ParlaMint-NO_2003-02-18-lower.ana.ud587e121	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-18	2003-02-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-18	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GKG	Gjul, Gunn Karin	F	1967	
ParlaMint-NO-en_2003-02-18-lower	ParlaMint-NO_2003-02-18-lower.ana.ud587e134	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-18	2003-02-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-18	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.FKM	Marthinsen, Finn Kristian	M	1946	
ParlaMint-NO-en_2003-02-18-lower	ParlaMint-NO_2003-02-18-lower.ana.ud587e160	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-18	2003-02-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-18	-	Reference	English	Regular	MP	Minister	V	Venstre	Coalition	Centre	person.ODDØ	Dørum, Odd Einar	M	1943	
ParlaMint-NO-en_2003-02-18-lower	ParlaMint-NO_2003-02-18-lower.ana.ud587e181	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-18	2003-02-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-18	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.HGR	Røys, Heidi Grande	F	1967	
ParlaMint-NO-en_2003-02-18-lower	ParlaMint-NO_2003-02-18-lower.ana.ud587e197	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-18	2003-02-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-18	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.HGR	Røys, Heidi Grande	F	1967	
ParlaMint-NO-en_2003-02-18-lower	ParlaMint-NO_2003-02-18-lower.ana.ud587e205	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-18	2003-02-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-18	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.HGR	Røys, Heidi Grande	F	1967	
ParlaMint-NO-en_2003-02-18-lower	ParlaMint-NO_2003-02-18-lower.ana.ud587e1195	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-18	2003-02-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-18	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.HGR	Røys, Heidi Grande	F	1967	
ParlaMint-NO-en_2003-02-18-lower	ParlaMint-NO_2003-02-18-lower.ana.ud587e1205	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-18	2003-02-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-18	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.HGR	Røys, Heidi Grande	F	1967	
ParlaMint-NO-en_2003-02-18-lower	ParlaMint-NO_2003-02-18-lower.ana.ud587e1315	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-18	2003-02-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-18	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.HGR	Røys, Heidi Grande	F	1967	
ParlaMint-NO-en_2003-02-18-lower	ParlaMint-NO_2003-02-18-lower.ana.ud587e1325	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-18	2003-02-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-18	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.HGR	Røys, Heidi Grande	F	1967	
ParlaMint-NO-en_2003-02-18-lower	ParlaMint-NO_2003-02-18-lower.ana.ud587e1336	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-18	2003-02-18	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-18	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.HGR	Røys, Heidi Grande	F	1967	
