ParlaMint-NO_2003-04-08-lower.ana.ud760e31	The representative, Øystein Hedstrom, will make a private bill.
ParlaMint-NO_2003-04-08-lower.ana.ud760e34	On behalf of myself, I would like to make a proposal for amendments to the Competition Act that would prevent Norwegian companies from building up in the Nordic and European markets when there is a functioning market. President: The legislative proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2003-04-08-lower.ana.ud760e52	At the request of the Social Committee, the President will propose that the debate be limited to 1 hour and 15 minutes and that speaking time be allocated to the groups as follows: Working Party 15 minutes, Right 15 minutes, Advance Party 10 minutes, Socialist Left Party 10 minutes, Christian People's Party 10 minutes, Center Party 5 minutes, Left 5 minutes and Coast Party 5 minutes. Furthermore, the President will propose that there be an opportunity for a replacement of lines of up to five lines with replies after contributions by members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2003-04-08-lower.ana.ud760e61	All workers, with the exception of waiters, currently have a legal right to smoke-free work. At the same time, the service providers are the professional group with the highest incidence of all cancers combined, lung cancer and cancer of the urinary bladder. Health damage from passive smoking is well documented. Among other things, it is supported by the World Health Organisation of the International Agency for Research on Cancer expert group, which has established that passive smoking increases the risk of lung cancer by between 20 and 30 pst. The risk of dying from cardiovascular disease is increased by about 30 pst. In this country it is estimated that 300-500 non-smokers die every year from heart attacks caused by passive smoking. There are also effects of more short-term influence. Many people feel uncomfortable when they are exposed to passive smoking. Symptoms may include eye irritation, sores or dry throat, coughing, tightness of the chest or tightness of the tongue. The symptoms are greatest among people with so-called hyperactive respiratory tracts, which affect about a quarter of the population. In a short period of time, passive smoking may lead to an increased likelihood of blood clots, a slight onset of cardiac spasms in the heart, and as early as 30 minutes after exposure, the functions of the inner cell layers of the blood vessels of the heart will be affected to the same extent as those of a smoker. This is in itself discomfort and dangers that most of us will not accept to be exposed to in our own workplace. The Minister of Health therefore deserves praise for having dared to raise this issue and ask us as the top legislative body: Will you ignore these facts? By means of the bill, he has answered a clear no. And as the rapporteur-in-Office, I am very pleased that a broad political majority has joined in unanimously to this. Of course, as the Right-Representative, the reaction to such a prohibition is: Is it really necessary? Isn't there enough regulation of personal freedom? There has therefore been a debate in its own party on this matter. But personal freedom is a good thing for the whole of society – until it hurts others or at the expense of the freedom of others. In this case, the rule of exception that has allowed smoking in service sites has both led to the injury of innocent people and to a reduction in the freedom of many. There are probably 120,000 people in this country who, with some form of lung disease or respiratory disease, are unable to take advantage of those serving places that most of us consider to be part of a good life — and in meeting employees’ organisations and patient organisations the response has been obvious: this is a change in law that will lead to increased freedom. During the consultation round, SINTEF, the tobacco industry and the National Association of Travel Companies have pointed to improved ventilation systems and so-called smoke curtains as a solution to the problem of passive smoking for employees and guests at catering sites. The other hearing bodies have supported the Ministry's assessment that this is not satisfactory. The opinions of SINTEF are based on the MRLs for the current action level. In the hearing of 29 September 2002 — paragraph 3 on the exposure of employees — they refer to unpublished measurements taken in a restaurant/bar on a Thursday, where the exposure of employees is below the action limit for service providers serving both smoking zones and smoking ban zones. This is an investigation carried out during the days of the week. Most people understand that the effect of ventilation curtains and facilities goes down significantly during weekends, when the premises are full of people, and people walk between different zones without respecting the smoking ban. That's what's happening today, and that's what you have to live to. In addition, the study is based on the current action limit. But in a larger survey, involving 940 offices and 91 homes in the United States, it was found that the average nicotine level was less than half of what we operate with as the current action limit. At these levels, it has been found, by comparison with other studies, that the risk of lung cancer and myocardial infarction is increased by 20-30 pst, compared to the risk to non-smokers who are not exposed to passive smoking. In retrospect, a letter from SINTEF has also come out stating that no health evaluation of their technical solution has been carried out versus the imposition of a smoking ban. The majority therefore consider that the introduction of better ventilation systems would not provide adequate protection against passive smoking for employees. The Joint Office of the tobacco industry and the National Association of Travel Companies have also pointed out that opening up smoking rooms without serving at catering sites could provide a satisfactory solution. The majority do not share this assessment. Although a physically decommissioned smoking room without a service could have led to an improvement in today's situation, it would still not have been sufficient. In practice, it will be difficult to enforce a food ban in parts of the room, and thus employees will have to provide for the cleaning, emptying of ashtrays and the like. It will be difficult during the most visited periods to prevent the smoke drifting out of the smoking room, and that doors are not kept closed. Such a solution would also physically require that the serving sites have an area to set aside for this type of purpose, and this in itself would result in a distortion of competition between the sites and a requirement to increase the yield area. Furthermore, the unprofessional part of the industry will use this rule to bypass the intention of law, which one, not least, looks like the practice of today's law. It is now 14 years since smoking bans were introduced in premises where the public has access. Since then, the service industry has had an exception to this rule. It is an exception that this amendment will remove. The acceptance that non-smokers are entitled to a smoke-free environment has been a question of maturation, and is a question of maturation. The various changes and the strengthening of the smoking law over the years have shown that changes that seemed unlikely to have been quickly received only a few years ago. I also think that would be the case with today's change in the smoking law. At the same time, we treat Ot.prp. No 42 for 2001-2002 on changes in the alcohol law and the Tobacco Injury Act. The main areas covered by the amendment are three: more effective handling of the advertising ban in the two laws by means of the introduction, inter alia. the possibility of a periodic penalty payment, a new and simplified system to allow the production of beer and wine for donation in its own establishment and a new and simplified system to allow the introduction of alcoholic beverages for donation or sale in its own establishment. All three amendments have received broad agreement within the Committee. There is reason to stress that it is gratifying that it is now easier to use local brewing traditions as part of a total concept, for example. in the case of farm tourism. Finally, I want to correct a defect in the cancellation regarding the alcohol law new § 9-3, new § 9-4 and new § 9-5. These changes are supported by all parties in the Committee, with the exception of the Advance Party, and not by an overall committee, as noted in the Committee's comments.
ParlaMint-NO_2003-04-08-lower.ana.ud760e95	In my article I will take note of the changes in the Act on Tobacco Protection. A later article by the Workers' Party will address the changes to the laws on the marketing of alcoholic beverages, etc. There are still new research reports on health damage from both active and passive smoking. The fact that very many become ill and die from smoking-related diseases is very well documented. Every day 20 Nordics die because of smoking. Hundreds of thousands of Norwegians have health problems that could have been avoided if they were not exposed to tobacco smoke. I remember the opposition to the smoking law introduced in 1988. At that time it was decided in this room that the air should be smoke-free in premises and means of transport where the public has access, and in meeting rooms, workplaces and institutions where two or more persons are gathered. Resistance was also strong among many politicians. Now, 15 years later, it's probably hardly anyone who disagrees with what was then adopted. The 1988 Act made an explicit derogation from the requirement for smoke-free air for serving places. The serving industry and the tobacco industry were granted the exemption they requested. Later, smoking zones have been introduced. The industry has to varying degrees followed up the requirements to have these zones. The fact that half of the tables should be smoke-free has improved the situation of many guests, but the employees are in no way protected from the smoking of others. I believe that no professional group other than the serving staff would be accepted to work in such a health-care working environment day in and day out. One thought experiment could be that the same poisons found in tobacco smoke would have been sprayed continuously into a workplace. I don't think anyone would have accepted it. Staff in the food industry are the professionals with the highest incidence of lung cancer and cardiovascular diseases. We can no longer just sit and watch this. In fact, many of them smoke themselves, but there can be no doubt that the smoking of guests greatly enhances the health damage they get. It concerns both running eyes, cough, chest pipe, and more serious diseases such as cancer, heart attack and stroke. The main reason why the Workers' Party wants smoke-free serving places is the health of its employees. Studies in California show that during a few weeks after the introduction of smoke-free bars in 1998, the health status improved dramatically. Before it was introduced, the entire 74 pst declared. that they had respiratory symptoms such as cough, tongue wheezing and wheezing in their chest. 77 pst. stated that they had eye, nose and throat irritations. A few weeks later, after the smoking ban, 32 pst respectively. and 19 pst. Same thing. I have noticed that the Travel Life Companies Association, RBL, and their lobbyists say that many serving sites will go bankrupt. That might happen, but not because it's going to be smoke-free. I would like to remind you that, according to the Evening Post, during the first ten months of the year, the number of outpatients who have gone bankrupt in Oslo and Akershus was recorded. 80 restaurants and one bar had to go down. There are more than one in 2001, when 72 restaurants and four bars went to the doll. With as many outdoor sites as there are now, there is good reason to believe that this trend continues. The new thing is that the industry will claim that it's the smoking law that's to blame. Smoke-free serving sites are widely supported by the population. A poll that LHL has conducted shows that the entire 80 pst. believes that workers in the catering industry should have the same right to smoke-free working environment as all other professional groups. Another measurement from the same organisation shows that the entire 85 pst. they'll go out as much or more when it gets smoke free. Several other measurements made after the presentation of the proposal show that there is a majority for completely smoke-free outdoors. It's not surprising. We don't go out to smoke, but to eat, drink and have fun with others. The measurements I refer to are ordered from VG, Tobacco Free and LHL. I have observed one measurement where there is a majority against the law, and it was ordered by the tobacco industry. Former Minister of Health, Tore Tønne, was concerned with the health of employees when, in 2001, he submitted proposals to consult on the amendment of the smoking law. He did not take a stand as to whether the serving points should be completely smoke-free, but it was one of the alternatives. Hearing replies almost gave clear support to completely smoke-free outdoors. State Council The Højbråten and the Government have followed up this in a good way. Today, we see that the majority of the population takes the health of their employees seriously and will no longer accept that the employees become ill and die because of a poor working environment. SINTEF Energy Research, RBL and the tobacco industry have argued for a so-called ventilation curtain. This was also the case rapporteur. In an NTB notification, SINTEF Energy Research states that it has received technical support from Norwegian Ventilation and Energy Technology Association and quotes its opinion that ventilation correctly designed, properly installed, properly operated and properly maintained can protect employees and non-smoking audiences from tobacco smoke within the applicable limits. I agree with the National Institute for Public Health, which has stated that this solution is not robust enough to protect employees from health damage. Having read, in addition, the letter from SINTEF dated 21 November 2002, with their official view, I am absolutely convinced that this is not a satisfactory solution. Here's what it says: ‘SINTEF is committed to the overall assessments made by the Health Directorate in relation to the imposition of total smoking bans at restaurants and other outpatients. The so-called ‘ventilation curtain’ developed in SINTEF is a technical solution that, in certain situations, can protect persons who are involuntaryly exposed to tobacco smoke. No health evaluation of this technical solution has been carried out in SINTEF versus the fact that smoking bans have been imposed.’ This is and will be a good forward-looking law for both employees and guests. We in the Labour Party will therefore give it our full support.
ParlaMint-NO_2003-04-08-lower.ana.ud760e130	The government, at the time of presenting the matter that we now have to deal with, has shown its willingness to tree its own and partly extreme anti-smoking attitudes across the heads of the Norwegian people. They can do this in full assurance that they in this Chamber have the support of all parties other than the Advance Party. The Minister of Health has demonstrated through this matter that his intention is to force the Norwegian people to dance after his pipe in this matter. When one also sees who has been chosen to bring a case and draft hearing in the pen, one cannot be surprised that the draft was as it was. The government indicates that all employees should have the opportunity to have a smoke-free job, and this would in itself be a legitimate objective if this had been a believer. I have to admit that I have a suspicion that this is an argument that is put forward in order to bring with me the LO, and therefore also the Labour Party and the Socialist Left Party. The background to my suspicion is that if this were really the reason, one could at least have supported a scheme in which unofficial smoking rooms were allowed. A number of restaurants, cafes, bars and other service establishments have loyally followed the instructions of the authorities with regard to improved ventilation requirements, breakdown by smoke-free table and follow-up where smoking is not permitted. But then there is also a good part that unfortunately has not followed up these prescriptions. However, this may not be a good enough reason to ban smoking at all serving sites in Norway. In this way, a premium is given to those who have always given the bluff in the orders that have come, and in addition, to those who have invested large sums to meet the current requirements. In this context, there is also reason to note that, on the public side, the controls and measures necessary to make the imposed active have not been put in place. It is claimed in the proposition that it is not possible to obtain adequate solutions by means of ventilation systems, air curtains, etc. This is with respect to reporting undocumented claims, such as: have been refused by both TELFO and SINTEF Technical Entrepreneurs. In this context, there is reason to note the following consultation opinion from, among others. SINTEF: ‘What has been written about ventilation in the hearing note contains so many defects and deficiencies, and is so trendy that we have difficulty taking it seriously’. It also says: ‘Our studies show that proper ventilation can protect employees and non-smoking audiences against tobacco smoke within the current limits.’ I'm not surprised that the Minister of Health and the Christian People's Party wants to force the Norwegian people's opinions through state decisions, but I'm a little surprised that the Right is in the same position. I also fear littering and more trouble outside the restaurants when people bring themselves drinks out or try to do so, even if this is illegal. But I guess the Minister of Health just looks at it as a positive effect that there are fewer people working in this industry, and that it is positive from the point of view that this is an industry that it is not necessarily very good to have. Finally, I would like to inform you that the Progress Party will vote against any changes to the Smoking Act, but we will also make proposals that if the Act is passed, unauthorised smoking rooms will be allowed. Against this background, I am promoting the proposal of the Advance Party, which is included in the vote.
ParlaMint-NO_2003-04-08-lower.ana.ud760e155	The representative Harald T. Nesvik has taken up the suggestions he referred to.
ParlaMint-NO_2003-04-08-lower.ana.ud760e158	Norway has had a law on protection against tobacco damage since 9 March 1973. Much has happened in the cold water because we got the law. There has been a ban on tobacco advertising in the 1970s, as has alcohol advertising. But the biggest change probably occurred in 1988 under then Social Minister Tove Strand Gerhardsen when the proposal for a ban on smoking in workplaces was raised. I remember that there were strong reactions. I would like to say that when you look afterwards at the consequences of the ban, it must be one of the most forward-looking legislative proposals that have been promoted, and it was adopted in 1988. It has dramatically changed society as we knew it from before. When you think back that it was possible, no matter where you stayed, whether it was in a public office or anywhere, and you brought kids, that employees you were supposed to talk to, sit and smoke, there's a foreign world when we think back. And that's just 14 years ago. We have seen how the airlines, on their own initiative, took the initiative in the 1990s to ensure that the cabin should be smoke-free, because the cabin crew should initially have the right to work and stay in a smoke-free environment. I believe that most people today would be strangers to the idea that it should be allowed to smoke again in an airplane, where you cannot protect yourself from the ringing effects of the smoke and the damage that it is well documented that smoking gives. In this sense, it may be illustrative that there are relatively few members of this debate today, both in the press department and in the gallery, because the change that is taking place is not in itself more dramatic than following up on something that has existed for many years, and is now being introduced also at outdoors, in serving places. So you just remove an exception. Thus, the SV fundamentally disagrees with the Progress Party in their angle of this and with what the Government is doing, because what you are doing is to meet the demands of workers on a smoke-free environment, which the law has always arranged for for all other groups, except those who have worked in serving places. I will nevertheless give tribute to the Minister of Health for having taken the initiative he has taken. It's not more than a couple of years since we were asked by organizations working for smoke-free environments in general, if we thought that the matter was mature, and that there would be a majority in the Stortinge who would be willing to support the freedom of smoke in the outdoors. Most of the politicians in Stortinget answered the question that the matter was hardly mature for it, and that it was hardly a political will to do so. Thus, it has not been obvious that you would bring a large number of people. But the fact that so many parties still stand together – it is only the Progress Party that is opposed – is a very positive result. I'm convinced that when a few years have passed, we'll think back to the time when one could smoke in the outdoors, and then one couldn't protect oneself from the smoking of others, just as we think today in other areas of society. I think that the argument that has come from employee organisations related to the serving industry within the LO is not excluded. One can discuss the personal freedom each should have when one goes out, but the freedom each should have to be able to work in an environment that is smoke-free must, however, be general. If we don't take that kind of consideration, we also agree to support under a kind of professional ban for those who are shy of it. You have allergy sufferers and people who have significant respiratory and lung problems, who simply won't be able to work in this industry. SV therefore strongly supports the fact that the last step is now being taken in terms of the smoking law and in this way introduces general laws and guidelines for all employees, including the last group we are talking about here. That this should be somewhat doubtful from the Government, as I sense the Advance Party believes, I am just wondering. This is part of a social development we've seen going on over time, from 1973 onward. I have recorded that the Progress Party has always argued against it in a very reactionary way, but it is a development that may not be stopped, as we see running parallel in other countries, and that will allow us to see many countries in a few years' time doing exactly what Norway is doing now. Some countries have already done so. We know about states in the United States that have had that kind of law ban for many years. When the Social Committee has been travelling abroad, we have also recorded that more and more places today are smoke-free. So this does not happen in a vacuum, where Norway stands out as a kind of different country that goes extremely far, but on the contrary as part of a development we see internationally today. That's why it's hoped, when a few more years have gone by, that this is not just happening to us, but that we'll see it in most countries that it's natural for Norway to compare with. I would also like to address the proposal that we have with the Centre Party on alcohol legislation.
ParlaMint-NO_2003-04-08-lower.ana.ud760e179	The representative of Olav Gunnar Ballo has taken up the suggestion he referred to.
ParlaMint-NO_2003-04-08-lower.ana.ud760e182	Few cases have recently been as remarkable as the law on protection against tobacco damage. When it applies to most of the things covered by this law, I would like to see the case-speaker's thorough presentation. The government has taken a courageous step when, in the form of law, it will make all workplaces smoke free, and there is good reason to commend the Minister of Health especially for this bill. Today it is mainly the restaurant and hotel industries that remain. All the data, all the numbers and all the information available tell us that passive smoking is also harmful to health. This is what the government and a solid plurality of the social committee want to do – for this reason, the bill. The legislative proposal places Norway at the forefront of the fight against smoking injuries, and it is gratifying that the organisations of employees in the hotel and restaurant industries have broken this law. They consume a smoke-free work environment, like everyone else. And they'll get that from 1 January next year. From the hotel and restaurant industries it has our resistance to the laws. They have pointed to the practical difficulties that they think will arise. We have to take this seriously when it comes from a serious industry. A few years ago, smoking in staff rooms, on airplanes, in meetings, and many other places where people were gathered was common. Today, this is unmistakable. But when these bans came, the counterclaims against regulation were present, just as we register today here in the hall and in society. The hotel and restaurant industries have a six-month period to adapt or adjust to the new law following the decision that will be taken today. I am reasonably overconfident that after some time we will adopt what we adopt today, be seen as natural and of course. And we're not alone in the world with such regulations. We read about it in other countries. Last out was New York, which has made decisions about the same content as what we put up here today. When it comes to the Progress Party's attacks on the Minister of Health, and to a particular extent on the Christian People's Party, I take it quite calmly. At least we've done something very funny if we've managed to get both the LO and all the games on the Stortinget to go into a trap here. I think they're all well able to think for themselves, and I'm glad we're working with them for a better and more smoke-free society. But I'm sorry that the Progress Party here behaves very old-fashioned and little in the pact with what a modern society requires. When it concerns the central party's proposals here to evaluate the promises later after three years, I'll just say that there should be things about this law that don't work like the plurals have had intentions about, I of course argued that the government will come back with it long before that time.
ParlaMint-NO_2003-04-08-lower.ana.ud760e203	Five minutes on these two laws are very short time, but I'll take some points here. In the case of Ot.prp. No 42 for 2001-2002, which is the largest in the United Kingdom, we are pleased that the proposal here is a direct follow-up to previous decisions in the United Kingdom, that a system should be in place to ensure that you can sell your own alcoholic product in order to ensure the development of nutrition in travel and agriculture. We think this could be an interesting arrangement as an alternative to the culture of pizza and raspberry. We also believe that this law can be practised in a modest way, so that production facilities can be approved in close proximity to the service facilities in order to make this work in a reasonable way. On the other hand, we are much more concerned about what is in the proposition regarding authorisation for the introduction of alcoholic beverages for sale or donation in our own business. We know from the hearing notes that, among other things, LO, Norwegian Food and Drug Workers' Association, the Association of Hotel and Restaurant Workers, the National Council of the Afstands, the Directorate of Customs and Fees and the Directorate of Drugs have comments on this, and some of these hearing bodies are directly opposed to the introduction of such alcoholic beverages for sale or donation in their own activities. We agree with that and show, among other things: to the report drawn up by the grantor Niels Kristian Aksensen for several departments in the field of gift practices, and considers that there is reason to believe that controls are becoming quite difficult here. There are several things that need to be weighed out, including: whether the imported beverages are dangerous to health and whether they contain illegal substances, plus full control of quantities. We also believe it is wrong that the wine monopoly, which currently has a monopoly on retail sales, should have the right to import. We are afraid that it will give ESA or competing companies in Norway the opportunity to challenge this and say that if the wine monopoly is to be allowed to import, other importers must also be allowed to make retail sales. We are in favour of a monopoly system on retail sales, as we have today, and want to support both it and a serious restaurant business. As far as imports are concerned, we believe that the most effective wholesale allocation we have today is the one we have. So to the smoking law. We support the proposal on smoke-free serving places primarily for workers' working environment and health. Many have made good arguments there, so I shouldn't say as much health professionals about this in the short time I have left. We also believe that a law ban will extend the personal freedom of many who today have a limited freedom to go out because they have asthma, allergies or other respiratory problems that make them unable to be out in a smoke-filled environment. In the Manneråk Committee’s investigation ‘From user to citizen’, this is pointed out, and we believe that a more accessible society for all means that we should look at non-smoking premises. We also believe that smoke-free outdoors can have a preventative effect in the long term, especially in the case of young people’s smoking habits. So finally, something that the Center Party is all alone. These changes to the Smoking Act have created some major discussions, and there have been relatively many counter-representations to the law, especially from the hotel and restaurant owners' side. It was quiet for a very long time, and it was assumed that there was agreement in the hotel and restaurant industries, both on the employee and on the employer side, but that has not been the case for the last six months. We believe that smoking can have practical consequences for hotels and restaurants, all-activity rooms and for example. community houses, where there can now be relatively large conversions. These are consequences that we have to look at, but we also have to look at the positive consequences of this law and measure what is the outcome of this smoking law in the long term. Therefore, we want the Tobacco Damage Act, and in particular Section 6, to be evaluated no later than three years after the amendments have entered into force. I am pleased with the representative of the Aarøen saying that if there are weaknesses here, something that does not work, the government will of course have to come back with it. But I think we should have the opportunity to signal this already now, so that you follow this carefully and professionally. I'm taking up the proposal of the Center Party.
