ParlaMint-NO_2003-01-28.ana.ud921e37	President-in-Office Jørgen Kosmo, who has been licensed, has once again taken the seat.
ParlaMint-NO_2003-01-28.ana.ud921e42	The President will propose the election of two presidents of the Grand Duchy's meetings on Tuesday and Wednesday – and consider it adopted. The President is asking for proposals from the President-in-Office.
ParlaMint-NO_2003-01-28.ana.ud921e47	I allow myself to propose Anne Berit Andersen and Øyvind Halleraker.
ParlaMint-NO_2003-01-28.ana.ud921e52	Anne Berit Andersen and Øyvind Halleraker are proposed as presidents. – Other proposals are not available, and Anne Berit Andersen and Øyvind Halleraker are unanimously elected presidents of today’s and tomorrow’s meetings. Karl Eirik Schjøtt-Pedersen will make a private proposal.
ParlaMint-NO_2003-01-28.ana.ud921e57	On behalf of the representatives of Bendiks H. Arnesen, Reidar Sandal, Asmund Kristoffersen and myself, I allow myself to propose the establishment of a State guarantee for operating grants to the fishing industry.
ParlaMint-NO_2003-01-28.ana.ud921e62	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2003-01-28.ana.ud921e76	The first speaker is Grethe Fossli – for the rapporteur.
ParlaMint-NO_2003-01-28.ana.ud921e79	This case includes the country's ownership of three enterprises. It is Raufoss ASA, NOAH Holding AS and Moxy Trucks AS respectively. In the case of Raufoss ASA, the Ministry of Economic Affairs is asking the Ministry of Economic Affairs for a power of attorney from the Stortinget to take a position on the Board's proposal for decisions relating to the sale of the companies of Raufoss ASA and to the power to liquidate the State's ownership in the remainder of the Raufoss group on a permanent basis from the board and in consultation with other shareholders. The issue of NOAH Holding concerns the sale of the business of Brevik to Norcem AS and the power to reduce the State’s holdings in NOAH Holding AS down to zero, possibly selling all or part of the business of Langøya to private persons. Finally, it is the authority of the Stortinget to extend the duration of the State guarantee for operating credit of 30 million. kr to Moxy Trucks AS by 12 months until 31 December 2003. To take the principle first: not long ago the Storting dealt with the ownership message. In its examination, a large majority of the Committee stated that: ‘The majority cannot see that the Government has provided an adequate response to how best to manage the state’s interests. The majority will therefore ask for a sample to be set up to look at how to better organise state ownership. This sample should work quickly.» In addition, the majority decided to ask the Government to set up a rapid-working sample in order to have a broad review with a view to better organisation and management of state ownership. We have recorded that the Government has reduced the sample and that they have been given a deadline of 1 March 2004. We believe that this is not very fast-working. At the speed the Government is now presenting issues about changes in ownership structure and sales of state enterprises, the result may be that most companies may be sold before the sample is finished, if we don't stop it in Stortinget. It is a very unsatisfactory deadline that has been set, and we are therefore asking the Government to come back to the Storting with a plan for better governance of state ownership, so that the Storing can deal with it in the spring of 2004. We assume that the Government follows up this. So to the issues. A large majority of the Committee, all with the exception of the Advance Party, supports the proposal to extend the duration of the State guarantee to Moxy Trucks. In the case of NOAH Holding, a majority supports the proposal to sell the plant in Brevik to Norcem. Any sale of the company on Langøya in Holmestrand is so little justified and investigated in the proposition that we cannot support this as the case exists. If the government gets more concrete plans, they have to come back to Stortinget with one thing. Then it's Raufoss ASA. The working party is in the majority who will authorise the Government to assess and, where appropriate, approve the Board's proposal for a decision on the sale of establishments in Raufoss ASA. The background to our support is that there have only been positive signals from all environments on Raufoss, which has been crucial for us. In this context, we have been briefed through several meetings with the Raufoss community and the two municipalities concerned on the plans for the creation of an innovation company in the region. Many have pointed out that the lack of economic development is a problem for Inland Norway, and that just such an industrial environment as Raufoss should be a place where business development and innovation should be at the heart of it. We from the Workers' Party have always been ready to go in for the establishment of such a company, but so that it was not possible to get a majority for such a proposal in the Stortinget. We have therefore chosen to join in asking the Government to consider participating in the creation of this innovation company. We would like to ask the Government, from the Labour Party, to follow up on this matter. It should be able to provide the Government with a good track record in the development of industry in an otherwise difficult area of the country and in a difficult time for Norwegian industry. We need all the good forces we can reach, and they should be supported by the Government.
ParlaMint-NO_2003-01-28.ana.ud921e106	The representative of Fossli has given a clear account of the Committee's work. Let me just first say that this case illustrates in many ways the necessity and importance of the government having the necessary powers to deal with changing situations also in companies where the state is a heavy owner, or has interests, where we often see that time obtains what can bear the mark of having a kind of long-term political horizon. It is clearly documented in all three companies involved in this process. It does not in any way demonstrate any kind of political desire — some point out that this in many ways reflects a kind of desire for privatisation as such — although it is both desirable and necessary. What we need to do is a necessary process to reduce state ownership in Norwegian business and in Norwegian business development, while strengthening the conditions of private ownership. With regard to these three companies, the economic situation has in many ways resulted in developments, led by the Board of Directors and the General Assembly, reaching a turning point where necessary decisions need to be taken concerning communities, employees and owners. And the state is a heavy owner in all of these companies. As Grethe Fossli had in mind, there is largely a unanimous committee behind most of the solutions. It is in the case of a separation of the NOAH Holding AS, in fact with regard to giving the necessary authority requested by the Government, to either sell itself down and down completely or to go for a privatisation solution of this part of the NOAH plant in Lang Island, which is currently going well financially. Fortunately, on this point too, the Government has obtained a majority, this time by means of the Progress Party. In the case of NOAH first, a good solution has been found by Norcem taking over the plant in Brevik. I think in these cases, as in other cases, the state level of ownership is initially no guarantee of economic success. It is not decisive either for the purpose of the job to be done or for securing the jobs. On the contrary. In the case of waste management – problem waste, inorganic or organic – it is more than enough that the State sets the conditions and standards for how this is to be handled, and not as we have seen in this case, that indirect contributions have also been made to the fact that others who could have been involved in this area have almost been asked to reduce their commitment and their pace in the interests of the high level of government involvement, which ends with the fact that when one phases out their ownership of the NOAH and possibly takes the current decision on Brevik, there is a considerable financial loss left on the hands of the State. But my conclusion is that today this is getting a good solution from Stortinget. In the case of Moxy, there is also evidence of evolution. Although significant developments in reorganization and production have been demonstrated for this year, the economic problems surrounding the enterprise remain significant. I am pleased that you now conclude by continuing the guarantee of 30 million kroner. kr, in order to achieve a year-long objective of new and increased equity, while at the same time looking at other ownership solutions that can be the best for the company, for the market, and not least for employees. In the case of Raufoss, one has also come into a situation where it is quite clear that there is an hourglass that is about to run out. I am also pleased with the conclusion that it seems that the Stortinget is coming to today, where the necessary powers are given to go further around the purchase of the company. Today, we have been brought with us through the case files who is the actor, in which direction the company's business idea is to be further developed, and the possibility of securing the jobs in Raufoss by Euralcom entering as the new owner of the majority of the Raufoss ASA group. The committee was just a week ago on tour in and around the company, and there's no doubt that the industrial cluster we get presented at Raufoss, we'll do everything we can to keep and further develop. We have too few such innovative industrial environments in Norway. Although we want to question whether the economic strength of Euralcom is heavy and good enough, I think we are all confident that in today's situation this must be the only right choice to bring the company forward, so that you can clean up the processes of car production that you are doing, and ensure that you develop further the commitments you have, in further cooperation with the General Motors Group and through the establishment of a new factory in Canada. As far as the Committee's comments are concerned, it is a unanimous committee that asks the Government to consider participating in an innovation company in the Raufoss region. I do not think there is any major political disagreement about the wording. The discussion was in many ways concentrated around what kind of financial resources would remain in the case of any trade after the transactions that had to be made. And since the uncertainty about both what lies in environmental clean-up and other conditions, is as great as it is, I think it was the best and closest formulation on which it was possible to land. Finally, just a few words about the decision taken in June 2002 in relation to the ownership notification, to which all the parties with the exception of the government parties were present and on which we are today committed to follow up. I am not so sure how much this question has to do with this matter. I think – if we think about it – that it has very little to do with this matter. But it was a large marshall that the majority of the population blamed the government, and it is quite correct that in connection with the extensive task that was imposed on the government, it was also requested that the sample work quickly. It is a heavy, comprehensive and robust mandate of the Reinertsen Committee, which is also very complex, and it is extremely comprehensive and complex that the sample is working on. I also see with interest that a few of the parties now in the setting request that this sample also be assigned a few additional tasks. I cannot quite name the impression being made that the work I have taken on is not going fast enough. However, we take note of the wish that has now been re-established by the Committee that this work will have to lead to a major review in spring 2004. This can and must – I assume – lead to a somewhat reduced scope for the consultation round of which such work would normally be part. But at least it should not mean that the important and necessary work being done by the Reinertsen Committee is now getting a kind of disfigured release, because then we have achieved nothing, neither the opposition nor the government parties, of what we really wanted with this matter.
ParlaMint-NO_2003-01-28.ana.ud921e132	The size is currently treating an aggregate proposition. In two of the three ownership cases — Raufoss ASA and NOAH Holding AS — the issue is to liquidate or reduce State ownership, while the third is to extend the State operating credit guarantee of Moxy Trucks AS. To take Raufoss first: a basic agreement has been reached between Euralcom and the Board of Raufoss on the group's total industrial activities, in the form of an input sale. The discount is currently authorised to sell, while the shareholders take a final decision on the sale proposal at an extraordinary general meeting by the end of January. The board and management have long worked to find an industrial solution, so that the business can have a future at Toten. In the last few years, Raufoss has closed and sold a number of companies, so that today the company appears to be a focused supplier of aluminium suspension components with production activities at Raufoss, and a new factory under construction in Montreal, Canada. In addition, the company has kept the coupling factory at Raufoss with the products brake pipe couplings and water and gas connections. One should be clear: if Raufoss is to succeed in maintaining and further developing a profitable competitive industry based on the industrial competence of Raufoss, the company must be able to use the national competence network in light metal and forming materials and be able to become a global player within its core areas. This will require significant international growth. The volume of turnover that the company can achieve through its own growth will be significantly too low to bear the costs of being present in the global market for automotive suppliers and the costs of continuous product development. Realists have come to realize that it is necessary to become a global player with significantly greater turnover in order to survive. When dealing with the ownership message last year, the board presented three opportunities for development. One alternative could be that Raufoss buys up other actors in the international market, which would require a significant injection of new equity. Other options could be the purchase or merger of Raufoss with one or more appropriate actors. There has been a widespread perception that today's owners have not been prepared to raise fresh capital in the company. A solution with a new share issue aimed at others in the market has also been considered to be unrealistic. A transfer to Euralcom therefore appears, as it stands today, to be the only realistic option. The option could, in the worst case, mean bankruptcy or managed liquidation. And even though Raufoss now disappears as a brand name, integration into the Euralcom group can open up considerable opportunities. Although in Norway we have no significant car industry, far from the big customers and have higher compensation of employees than competitors, Norwegian producers export cars for more than 4 billion kroner per year. Some niches in car production, including what we find at Raufoss, attract both customers and investors. And Euralcom is a holding company that owns a number of industrial companies across Europe and in Brazil. They put a lot of money on aluminium products. As a result, companies become complementary and can eliminate synergies. It's of course very interesting for Euralcom to get better access to and be able to strengthen its position in the North American market. Raufoss is building a factory in Canada to supply the US market with suspension. This bet is known to be based on a major US General Motors order. When examining the ownership notification, several political parties considered that the product spectrum at Raufoss could expose the company to slaughter. Fortunately, for the time being, there is no sign of it. Looking at the strategy adopted by Euralcom in its investments in carpentry production in several European countries, that is exactly the opposite. Their strategy seems to allow businesses to continue the development and production of what they are good at, and rather to derive the benefits of linking different producers together in an industrial network. What will be crucial in the long term for whether Euralcom will be interested in investing in Toten will, of course, be a sufficiently competitive production. High competence and strong concentration in the area of product development have strengthened the position of a significant supplier within the relevant niches of systems and components of the global truck and passenger car industry. Now, when this is introduced in a larger context with an ownership structure that makes Raufoss part of a global network in the automotive industry, new opportunities are opened up. This can provide good industrial solutions while resolving a tight financial situation. Nevertheless, it is easy to see that the production of Raufoss can get it tough. There will be pressure between international demand for ever-lower price and high quality products and the extraordinary cost level. Let's hope that you have muscles to meet future challenges in both product development and ongoing modernisation of production. The Progress Party has, following an overall assessment, concluded that we will support the Government's proposal to empower a new ownership structure and provide an opportunity to liquidate the country's ownership in the remainder of the Raufoss group. The Progress Party also supports the Government’s proposals for the sale of the NOAH Holding plant in Brevik to Norcem AS and to provide opportunities to reduce the country’s shares in the Lang Island business. There is no longer any significant reason for the state to be the owner, in our view. The country shall ensure that Norway complies with its international obligations with regard to its domestic treatment capacity for special waste. In the case of Moxy Trucks, neither will the Progress Party this time support the Government's proposal to extend the State guarantee for operational credit. We have been opposed to proposals for both state capital and guarantees for the business for every year as it has been. And the Hartmark Consulting report of December 2000, which was an independent review and assessment of the situation and plans of Moxy Trucks, says that the company has a good product, has a significant sale and can be established as a profitable company. If that is and has been true, there should be no problem in getting private to engage, we believe. Finally, some comments to the option I. The entire Committee endorses the proposal for better governance of state ownership and a plan to strengthen private ownership. This is a direct follow-up of the Workers' Party, the Advance Party, the Socialist Left Party and the proposals and reasoning of the Centre's Party that emerged from the treatment of the ownership message. The lack of a national business strategy has already led to a significant branching of Norwegian business. In Norway, the State will be a significant owner of Norwegian businesses even in the time to come. It is important to professionalise state ownership. The Progress Party believes it is necessary to build the most watertight bulkheads between the role of authority and the business role, which we would like to see added to various funds, based on our own boards, statutes and business ethics. Furthermore, it is important to improve opportunities for private business investment by ensuring internationally competitive framework conditions. For this reason, the Statistics Committee should have high progress in its work, because it is urgent to develop a comprehensive plan to strengthen private ownership and better organisation of State interests. It is urgent to develop a comprehensive ownership strategy, which contains long-term instruments to safeguard national ownership. We can't have it as it is today, when one sees at the time of a sale that the values disappear completely planlessly to the oil fund, without any special ringing effects on Norwegian business. This has to change, and it's urgent!
ParlaMint-NO_2003-01-28.ana.ud921e166	When we had an open hearing on the ownership announcement, the CEO of the Kongsberg Group, the Korsøen, said that the state has been a very good owner, and that the state was an owner he also wanted in the future. We thought that was an unusually positive and interesting statement from one of our leading business leaders. But when we get the case from the government, it seems that you have abdidicated completely in relation to ownership in Norwegian business. Almost no effort will be made to have strong Norwegian ownership in the future. You want to get rid of it, whether it's on Raufoss, or it's in waste management, that we're dealing with today. For us in SV it is quite incomprehensible. We believe that instead of resigning when things conflict, one should rather take a seam in the neck and try to improve and make sure that one becomes even more capable of doing his job, so that these businesses are profitable, and that one ensures the jobs. This debate is therefore about a little more than three companies. It is a little about ideology, and whether the state should have a responsibility in terms of securing important jobs and developing important businesses in Norway. So we're going in SV to the sale in Raufoss and the like in relation to the NOAH. In the case of Moxy Trucks and this guarantee, we agree with the Government's proposal to extend the warranty on Moxy Trucks. In the end, I'll take up a relationship. This applies to employees who today experience a change of ownership and feel insecure and uncertain about it. We want a set of rules and laws on how to manage employees in the event of a change of ownership, in order to clarify driving rules that help to ensure the rights of employees. This will lead to less unrest, and it will lead – we believe – to a much better climate when such processes are in progress. Finally, I would like to address the two proposals that SV has made.
