ParlaMint-NO_2003-05-14.ana.ud917e28	The representative, Jan Simonsen, will make a private proposal.
ParlaMint-NO_2003-05-14.ana.ud917e31	I am delighted to make a proposal to honor the pioneers in the North Sea according to the same economic guidelines for military retirement, which is approximately NOK 240,000. This proposal has actually been drawn up: Vidar Kleppes, a new party, the Democrats, where I myself am a member. However, I have understood the Stortingen Code so that I have the status of independent representative here, and that it must therefore be formally right to promote the proposal not on behalf of the Democrats, although I am a member there, but on behalf of myself.
ParlaMint-NO_2003-05-14.ana.ud917e38	The President will unquestionably consider the option to be the most reassuring. The representative of Heidi Sørensen will make a private proposal.
ParlaMint-NO_2003-05-14.ana.ud917e43	On behalf of the representatives of Heikki Holmås, Kristin Halvorsen and myself, I would like to propose the establishment of the Alnaelva Environmental Park.
ParlaMint-NO_2003-05-14.ana.ud917e48	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2003-05-14.ana.ud917e71	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: – State Council Selected City of Reply Haugland – Councillor Laila Davøy, – State Council Børge Brende The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, wish to ask themselves the main questions asked. – We then start with the first main questions, from the representative Vidar Bjørnstad.
ParlaMint-NO_2003-05-14.ana.ud917e86	I have a question to the Council of State in response to Haugland. Last week the Council of State spoke to the media about an important political issue for most people, and I hope that the Council of State can also share its views with the Stortinget. The government has proposed a new law, opening up private schools with guaranteed state funding. The Labour Party will fight to strengthen the public common school as the main meeting place for all young people, regardless of background. Why is it so important for the Christian People's Party to contribute to the privatisation of the public primary school, which opens up the sorting of young people by their parents' backgrounds and grades? I know that the Council of State has the opportunity to choose whether she can and will answer, all the time Right is in the chair of the Government's school policy.
ParlaMint-NO_2003-05-14.ana.ud917e97	The question of whether to answer or not to respond does not depend on the positions of lots. It depends on the responsibility of the Council of State, but the Council of State is free to respond on behalf of other Councils if she wishes.
ParlaMint-NO_2003-05-14.ana.ud917e100	The answer I want to give will, of course, be on behalf of the Government. It is not an individual party that is in government. There are three parties, and we are united on the policy we are pursuing. The school policy is not within my remit, but it is a heart issue for the Christian People's Party, also a strong public school. I want to distance myself from the way the question was formulated, because we also want to build up under a strong public school. At the same time, we felt that parental freedom is very important, and that parents themselves should be allowed to choose school, whether they want to send children to an independent school or to a public school. For me, it's pretty easy to combine the two wishes – bet on a public, good school, but at the same time focus on parental rights, so that they can choose another school for their children if that's what they want. There must be a certain peculiarity for the parents who want to send their children there. It will cost them something, but the price doesn't have to be so high that only rich people can afford it. Let me add, because there's a bunch of people in the back that's probably going to follow up, that I'm not going to go into a wider school-political discussion. But I want to cut it down to completely general positions in relation to what the Government stands for, and what the Christian People's Party stands for. I assume that it is based on the national meeting of the holy representative asking questions.
ParlaMint-NO_2003-05-14.ana.ud917e109	I'm going to be general. The Council of State itself has stated that setting up private schools can create problems for public schools, both financially and in terms of resources. Clearly, she's worried, and I'm glad the Council of State recognizes it. The problem is that she has not done anything to remedy the unrest. I don't have anything to do with it, but it must be this thing that's called talking to two tongues. Governments are well aware of the situation in the school sector in municipalities, with reductions in teaching positions and cuts. In practice, the ability of municipalities to say no to private schools is very limited. But money for the private schools will drain the municipalities' school budgets. Should not the Christian People's Party, based on its values, defend the community represented by the municipalities and the public elementary school, instead of more markets and private schools that will sort young students?
ParlaMint-NO_2003-05-14.ana.ud917e118	The President will file that it is remarkable if there are politicians who do not know how to speak with two tongues.
