ParlaMint-NO_2003-01-09.ana.ud1137e91	The representative of Åslaug Haga will make a private proposal.
ParlaMint-NO_2003-01-09.ana.ud1137e94	On behalf of the representative, Alter Skreisestad and myself, I would like to propose to reintroduce the temporary law on the right of access to police records until 31 December 2003.
ParlaMint-NO_2003-01-09.ana.ud1137e99	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2003-01-09.ana.ud1137e113	At the request of the Church, Education and Research Committee, the President will propose that the debate be limited to 45 minutes and that the speaking time be allocated to the groups: right 10 minutes, the other groups 5 minutes each. Furthermore, the President will propose that there be a replication of up to three lines with replies after the speeches of the main speakers from each party group and up to five lines with replies from members of the Government. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2003-01-09.ana.ud1137e122	First of all, I would like to thank the Committee on good and constructive cooperation. There is a broad consensus on most comments in this setting. There is only one suggestion, from SV, which I am referring to here. I expect that the various parties will explain their particular comments during the debate. In 1999, a majority in the UK, on a proposal from SV, decided that Norway would reach the OECD average level of research effort measured as a share of gross domestic product in the next few years. The Research Communication, and following the treatment of the Storting, set 2005 as the year for which the objective is to be achieved. By the end of 2003, we will probably need between 8 and 9 billion dollars to achieve this goal, depending on how developments are going to be in the countries with which we are going to compare. We assume that the public will have to finance approx. half, the research budget needs to be increased by DKK 4 to 4.5 billion over the two years up to 2005, i.e. in the years 2004 and 2005. We have also adopted a reform of higher education which requires closer follow-up of students, new forms of teaching, new forms of evaluation, etc. All of this will require more scientific people. A broad majority of the Committee considers that both universities and higher education institutions should continue to be research-based. The training of researchers shall be based on and shall focus on integration into the professional environments. SV believes that the main model of doctoral positions should be 3+1 years, that the grant holders have one year in addition to what they use for the task itself, and that this should be linked to the obligation to teach as part of the overall environmental effort. We believe that by drawing the scholarship holders closer into the environment and imposing tasks on the rest of the students, this will also help recruit more Master's students, because they come into contact with the research environment in a different way than they would otherwise do. In addition, we in SV believe that the estimate for the number of scientific people added by the Government is somewhat low. We choose to use the NIFU estimate in terms of the need for scientists in the coming years. That's why we have our own proposal that the increase in the number of scholarship positions should be 400 in the coming years, as opposed to the Government's proposal, which adds up to 350. I would like to remind you again that the research report operated with an increase of 150-200. After Storting's treatment, this was increased somewhat, and now it's increased even more, precisely because we see that the need is greater than what we assumed. We believe that one of the proposals of the department does not meet the need we will receive in the coming years. In addition, an overall committee agrees that there is a need to increase the number of postdoctoral positions. It is important that we be able to create continuity and coherence and facilitate a career path for those who want to invest in a career in the university and higher education sectors. We know that when a person is finished with a doctorate, it is often difficult to get a permanent position. Then it's very important that we have jobs that can catch up with the people who want to bet on such a career, and that's where post-doctoral positions come in. We in SV believe that postdoctoral positions as a general rule should have a length of four years. Both doctoral students and post-doctoral students have temporary employment until they get a permanent position. We think it's important that post-doctoral positions also have a duration of four years to get a continuity. We also believe that post-doctoral students should be part of the integrated environment at the institutions, at the institute, at the faculty, so that they can also be used in education in a different way from that of today. In the end, we're the only party that has a note that pay is an important recruitment tool. Giving these doctoral students real pay is an important matter to ensure the necessary recruitment. We continue to be able to recruit people to most of the positions in most of the subjects, but there are problems in some disciplines, and I think that the problems will increase in the future if we don't manage to use wages deliberately to secure more for these positions. We propose in our note that ‘the salary level of doctoral scholarships should be at least equal to that which is the starting salary level in alternative public positions’. It should be the level to which you are going to apply.
ParlaMint-NO_2003-01-09.ana.ud1137e144	Rolf Rikham has taken up the proposal he referred to.
ParlaMint-NO_2003-01-09.ana.ud1137e147	The Advocate General, the Chairman of the Committee, gave a good presentation of the Committee's position. I believe that the big message and the setting provide a good basis for increasing the recruitment of scientific staff to our universities and colleges. I would also like to underline the great degree of agreement that the setting bears the mark. The implementation of the quality reform and the stepping up of research efforts to the average OECD level are the basis for the recruitment needs of the sector. The working party believes that quality improvement and personnel needs need to be addressed in a combination of new recruitment, better framework conditions and more efficient use of resources. We also base the principles that most professional positions should be combined teaching and research positions and that education should be research-based. The Labour Party believes that the implementation of the quality reform, the strengthening of the research sector and the increase in recruitment positions will require an increase in the number of scientific posts. In my opinion, this is underestimated in the message, or perhaps more correctly described: the government is somewhat restrained in the assessment of resource needs. And it's more than nuances when the majority point out that one doesn't need significant increase and the minority positive says that we need an increase. I also refer here to the budget debate on appropriations for the institutions and, in particular, the means of conversion to quality reform. Greater freedom and flexibility for institutions are desirable, for example: in relation to the use of human resources. However, this must not mean a discharge for the ministry or admissibility. Important principles and considerations must be respected. The university and higher education sectors are too short in the recruitment of women. There are far fewer women here than men in fixed scientific positions, and the higher the proportion in the job structure coming. Here we need a more comprehensive and comprehensive effort. Important measures are to maintain the system of designating scientific positions for women, developing skills and providing good welfare for families with young children. At the same time, we consider it necessary to evaluate and evaluate the processes and criteria for recruitment. Over time, it may be necessary to build up some disciplines in order to strengthen others. However, we need to have funding to enable the maintenance of the subject after an in-depth assessment, where there is no high demand at the moment or permanently. Norway needs an increased number of doctoral candidates, and we agree that this needs to be achieved through a combination of better streamlining in organised research training and stepping up the number of scholarship positions. The Workers' Party is in favour of the Government's extended plan for increasing the number of doctoral candidates for the period up to 2007, but we will reserve the right to assess the need along the way and take a concrete position on the number of scholarships in the annual budgets. Of course, career opportunities and wages play a major role in recruiting for scientific positions at our universities and colleges. These are familiar elements, but they are probably not perceived to have been followed up by many of the employees of our institutions. I would also like to emphasise the role of institutions in motivating and following up research candidates. Important things here can be the form of teaching and the relationship between the student and the supervisor. Scientific staff should be encouraged to be active in relation to students who show an interest in a research career. This also applies to master’s degree students. Information is an important prerequisite here. Research sprouts should be caught as early as possible. Recruitment is also about dissemination, dissemination of research results to people most both in order to increase the level of knowledge and create a social debate. It can increase the status of researchers and society's willingness to invest in research. Research results have to go to the audience. Yes, I also want to hit a blow for the students' production, the main tasks. I would also call this a kind of research, and there's a lot of information potential and dust in the warehouses of the university libraries. The transition from student production to research candidate production needs to be reduced. Being part of the professional environment of institutions is important, with participation in education and guidance at the centre. Scholarships are a resource for institutions and must demonstrate flexibility to complete their work. At the same time, institutions need to be secured staff and resources to guide and educate the increased number of scholarship holders. The way to the doctoral degree is too long today. The Labour Party believes that the research training should continue to be three years, but asks the Ministry to evaluate, in cooperation with the sector, whether the training period should be extended to four years. We need to increase research efforts in Norway to secure our common future. The Labour Party has high expectations for the quality reform of higher education and research. Everything is not dependent on money. But at the end of the day, there is a question of securing financial framework conditions for institutions that allow them to follow the good intentions. But there's another bowl, and this we'll come back to in the next budgets.
ParlaMint-NO_2003-01-09.ana.ud1137e185	The size has adopted a stepping-up plan for Norwegian research. During 2005, the total research effort shall be at least at the OECD average level. The size has also passed through Innst. S. No 337 for 2000–2001 on the quality reform based on the principles of higher education, which poses many and major challenges to universities and higher education, this applies in particular to the recruitment of teaching and research positions. St.meld. No 35 for 2001-2002, which we are dealing with today, shows both the will and the ability to increase quality and to strengthen the conditions for research. The notification contains several changes in the course of research and personnel policy in the sector. I would like to highlight in particular the requirements of the management of institutions to focus more on strategic developments in their own research environments. The need to satisfy research conditions in the disposal of own budgets requires the provision of stronger professional management. It's an ambitious escalation plan for doctoral scholarship positions it's added up to. This is necessary to ensure the necessary recruitment of scientific personnel. The plan adds up to an increase of 1,600 doctoral positions over five years. When we know that Norway has had a significantly lower number of doctoral degrees than our neighbouring countries, this is necessary. With us, the number of doctoral degrees has increased by 6.5 pst. the year in the 1990s, while the corresponding figures in Sweden are 10 pst. The Government's goal of training 1 100 doctoral students annually in the coming years – an increase of 60 pst. – will ensure access to doctoral students for universities and higher education, as well as ensure increased recruitment to other establishments, including: in business. From the Right, we want to express satisfaction with the broad connection to the Storing Message. The Government shall be associated with all the main items of the message. The priority should be given to strengthening the research conditions and improving quality rather than extending the staff and stepping up the plan for doctoral scholarships. Other key elements, such as improved throughput and degree of completion in research training, the continuation of combined research and teaching positions and the strengthening of professional leadership responsibility, are also widely supported. Furthermore, the notification provides the necessary room for greater boldness in the use of tools to recruit and retain the most competent staff, even if this could lead to untraditional discrimination. All of this, as well as the other main points of the Communication, are important measures to increase the quality and strengthen the conditions under which research is carried out. The small degree of disagreement in the Committee has focused on the need and desirability of detailed management and the dictates of universities and colleges. For the right, it is important to point out the freedom and autonomy of institutions. This freedom and autonomy also involve responsibility for ensuring good educational opportunities, career paths and creating opportunities for the recruitment of teachers and researchers. So we haven't seen either the necessity or the desire to be as detailed in our remarks as the Committee's minority. This does not necessarily mean that we disagree with the purely content, but the question is how detailed the Committee and the Storing should be to the institutions. It must also be said that minority comments contain some advice that is so obvious that the need to say something about them might not be there. Institutions must be given freedom within the framework set out in the notification. The majority of the Committee, with the right, agrees with the Government that the quality reform should be possible without a significant increase in permanent professional staff. However, it is difficult to have a safe view of this at that time. At least the majority do not have a safe view of it. However, we assume that both the institutions and the Government closely follow developments in this area and, if necessary, come back to this in the annual budgetary proceedings. Finally, let me point out that new demands for follow-up of the students, longer semesters, etc. must not result in a further reduction in available research time for scientific staff. Institutions have professional management responsibilities both to ensure that the research obligation is fulfilled and to facilitate the provision of time. Last but not least, I would like to thank the rapporteur for a thorough and constructive discussion within the Committee.
ParlaMint-NO_2003-01-09.ana.ud1137e204	It's going to be line change.
ParlaMint-NO_2003-01-09.ana.ud1137e207	Jan Olav Olsen used as a reason that the Right did not participate in any part of the comments, that this was detail management, and they would therefore not be involved in them. The right and the government parties have withdrawn some of the remarks that are largely under the responsibility of the institutions — and call this detailed management. If the message and our setting were not to go into any details, there might not be that much left in the message or in our setting. But what is important for the minority – and as Jan Olav Olsen calls detail management – is to tell institutions, universities and colleges that they must have structure, and that they must have models for how to recruit people for research positions and encourage people to take a doctorate, a postdoctoral position, etc. We write a lot about the integrated environment and the need to integrate these new doctoral students into the professional environments. It didn't feel the right need either. We write a part about these scholarship holders and postdoctoral positions being important resources in a professional environment in order to be able to conduct research-based education, etc., and we write about what's going on in mentoring, that the institutions have structural organisation to provide good guidance, and that this is not just the responsibility of the individual supervisor, but of an overall environment. It was these things that came out of the right. The right obviously did not need to give these leaders to the institutions. I would therefore like to ask Jan Olav Olsen: what is so detailed within this in relation to the rest of what we write in the setting, and the rest of what is in the message?
ParlaMint-NO_2003-01-09.ana.ud1137e218	The committee leader's reference to minority comments is correct, and that's part of the points that he himself mentioned, which we think are unnecessary detailed management. We believe that within the framework of the communication, the institutions themselves must have freedom in how to organise this training. Of course, we believe that universities and colleges need to have structure, to have models. Of course, good relations are needed between supervisors and those preparing doctorate, which is one of the factors that the minority draws on. We do not think it is necessary for the Committee and the Storting to give advice in such details as are self-evident and that we know that every institution with respect for itself will have to follow up in its own way. We also believe that universities and colleges should be able to follow this up on their own without necessarily giving detailed advice on how this should be. But, as I said, not being involved in these comments doesn't necessarily mean that we disagree with that. Clearly, we agree that there must be models. We agree that there must be structures. We agree that there must be good relations. But we don't think it's necessary for this to be detailed by the Storting or the Committee. But – for the third time – let me stress that we do not disagree with the need for good relations and good models.
