ParlaMint-NO_2003-06-17.ana.ud1698e76	The representative of Ingvild Vaggen Malvik will make a private proposal.
ParlaMint-NO_2003-06-17.ana.ud1698e79	On behalf of the representatives of Kjetil Bjørklund, Lena Jensen, Karin Andersen and myself, I would like to propose a ban on the use of white phosphorus smoke grenades in Norwegian shooting areas.
ParlaMint-NO_2003-06-17.ana.ud1698e84	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2003-06-17.ana.ud1698e98	The annual report of the EOS Committee for 2002 shows a significant activity. 24 inspections have been carried out, five of which are carried out to different parts of the country. The Committee has noted with satisfaction that the relationship between the sample and the various services has been characterised by good cooperation and that the checks could have been carried out without obstacles or difficulties of any kind. The committee received 28 complaints in 2002. This is a certain, but not a strong, increase in comparison with 2001 figures. Of these matters, the selection finds the basis for criticism in just a few, which we have reason to be very satisfied with. In the case of PST, this service operates with and has to operate on two types of registers – on the one hand, a register referred to as a prevention register and, on the other, a work register called a work register. The register of prevention cases shall be evaluated annually, while, following a provision introduced in 1999, the work register shall be evaluated after five years and, as a general rule, the information contained in that register shall be deleted if no new information has been generated since registration. It may appear that procedures are not yet in place that adequately comply with this provision. The Committee has taken note of the Committee's assessment of the situation and assumes that the Committee will be kept informed of the progress of the forthcoming annual reports. The Committee shares the selection's assessment of the need for systematic control of the provision of personal data by the PST to cooperative services abroad. This means that such information is recorded and documented in such a way as to allow verification of the basis on which this information is provided. With regard to the possible cooperation of services with non-resident services on Norwegian soil, this imposes specific requirements on compliance with basic procedural principles, respect for privacy, the full control of the activity by the Norwegian authorities and the verification by the established control body of the basis of the activities. The Committee took note of the evaluation by the Selection Board of the practice of the task of directing the control of foreign residents and assumes that the Ministry of Justice is making clarifications on these tasks in new instructions for the PST. The Committee takes note that there is no basis for supposing that registrations have been made on an ethnic basis or that such registrations are made on the basis of political activity or position. In the case of FO/S, the sample points to lack of legislation and unclear guidelines in certain areas. This applies, inter alia, to: obtaining additional telephone information in the case of clearing cases. This concerns the refusal of clearance due to economic circumstances and also transparency relating to clearing issues. The Committee assumes that these conditions will be resolved as soon as possible and expects the progress of this work to be commented on in the forthcoming Annual Report. The committee also addresses issues relating to the revocation of the safety clearance previously mentioned and indicates that this matter is being dealt with by the Control and Constitutional Committee. This relationship is now treated as a matter of its own, and I therefore find no reason to go further into this. The services that the EOS Committee controls have very important tasks for society. They must have the freedom of action necessary for them to carry out those services, while at the same time keeping the activity within the limits laid down. The people's confidence in the services is important, and I think that's the basis for claiming that this trust is now essentially present. This is due not only to the services themselves but also to the work of the EOS Committee and the manner in which this work is carried out. The integrity of the committee, its systematic approach to the problems and its factual reporting provide significant security and trust to both its sponsors and I have also understood about the services. For our part, we have no comments on the sample's assessments.
ParlaMint-NO_2003-06-17.ana.ud1698e124	The annual debate here in Stortinget, based on the opinion of the EOS Committee, provides us with a good opportunity to debate the framework conditions for the operation of secret services. Based on the experience we have now for some years with the EOS Committee, I think we can conclude that in Norway we have gradually found a very good model of parliamentary control of the secret services. Having said that, I nevertheless think there is reason to stress that, through the political treatment here in the house, we must at all times be vigilant in order to approach assessments that make it difficult for the secret services to do the job that they should and should do. I think the rapporteur's assessments of the importance of the secret services were good and reasonable. I would like to comment on a few of the issues raised in the annual report from the EOS Committee, which has also been commented on by the Committee. One relates to the so-called ABCDE conference under the direction of the World Bank, and I would also like to link some words to the theme of the claims on the monitoring of co-workers on an ethnic basis. First, in relation to the so-called ABCDE conference: In connection with Norway’s hosting this conference under the auspices of the World Bank, there was reason to fear, based on what one had experienced in the near past, for example in Gothenburg, that there could be riots, violence, violence, etc. in connection with this conference here in Oslo. Section 4 of the monitoring report states that checks are to be carried out on third-country nationals. That's why we say in our remarks together with the Advancement Party and the Christian People's Party: ‘If the police are aware that persons who have participated in such activity abroad or in Norway are planning to carry out such activity in Norway, it is the police’s duty to stop them from participating in such activity in Norway.’ We are satisfied with the work that was done, and can well view the work as a good work of a preventive nature. Fortunately, it did not go this way in connection with the conference that there was reason to fear, and that is why it should be satisfied. Otherwise, in the near past, there has been promotion, not least in the media, claims of monitoring of cohabitants on an ethnic basis. The EOS Committee has addressed a number of issues in the year that went on to assess this theme, and has concluded that these claims have not been found, at least not in the present time. I'm very happy that a unanimous committee joins it and says that you ‘takes note that studies carried out by the EOS Committee on the issue of possible monitoring of co-workers on an ethnic basis have not at present provided grounds for claiming that registrations are made on the basis of ethnicity or political standing’. I think that can be a good conclusion, and that through it we have been told what should be said about that topic.
ParlaMint-NO_2003-06-17.ana.ud1698e143	Like the President-in-Office and Martin Engeset, I would like to commend the EOS Committee on the work done and the work done. The task that the Stortinget has given to the EOS Committee through the Control Act only becomes more important and important, not least because, as others have pointed out, the public must have confidence in the important task to be performed by the secret services. The fight against terrorism is international and requires international action and cooperation. There's no doubt about it. But then it is that what is terrorism, and what is a threat to the individual state, can be – and is – shared opinions about. The cooperation of our secret services must therefore be closely monitored. Cooperation with traditional partners is by itself no guarantee that laws and legal principles are observed. After 11 September, new laws have been passed worldwide. It is therefore important that the legislative measures taken do not undermine the protection of the legal certainty of the individual and the opportunities for political opinions vis-à-vis the services built up in recent years. That's at the heart of a rule of law and democracy. The balance between the work that needs to be done to ensure security on the one hand and democracy and legal certainty on the other must not be shifted. That is why the EOS Committee has a very important democratic role. The role of the aggregate is to follow up the comments and criticisms made in the annual report. I want to record something. The first is the case that Martin Engeset also raised. For us, the matter on which we have comments regarding the ABCDE conference was about the request from the Central Unit of the Police Security Service to obtain information about all people, not just foreigners, but about all those who were known to travel to Oslo to demonstrate against the World Bank last year. The level of notification from the districts was modest and the EOS Committee reports that no registrations had been made in breach of the applicable rules or that the disclosure of personal data to the cooperation partners with reference to the conference had been carried out in breach of instructions. That's good. But what SV thought was completely hair-traveling was the request to obtain information about the demonstration in which a lot of work had been done by the organizers to make it peaceful. The central unit also admits that the request asked for unnecessary detailed information about non-violent demonstrators – and I say again: non-violent demonstrators. SV assumes that the Minister of Justice will inform you that this will not happen again. This was also a topic that we had raised during the debate on the annual report of the EOS Committee last year. It must not happen again, also because these kinds of requests can prevent people from expressing themselves politically through demonstrations. We are responding to the request. But what we're even more responding to is that the Right Party, the Christian People's Party and the Advance Party, through their comment, say that this is OK, that the police security service just did its job. I would challenge the Minister of Justice to say what he thinks about the setting at this particular point. The EOS Committee has dealt with a complaint from the Norwegian Journalist team concerning the PST's request to have the attendance list delivered to a conference held in Alta. The majority of the Committee also took note of this. Here I know the Right Party and the Christian People's Party again, when they agree to point out that the police security service went too far when they asked for this request. The EOS Committee has inspected the Globus II radar in Vardø. It's important that they did it, because there have been press speculations that the radar should be included as part of the planned US missile defense system NMD. The service clarified to the sample why the technical characteristics of the radar do not make it appropriate in the planned system and that no questions have been raised by the American side about including the Global II radars in the system. So far, says the EOS Committee, there are no indications that the requirement for national control is not met. We think that's good. But SV says in the setting that we assume that the Globe radars will not be included in a US missile defense system in the future either. I'm pretty surprised that the rest of the committee won't be ready for this, because it can't be in Norwegian interest to be part of an offensive American rocket defense. The Socialist Left Party proposes that the Storting should ‘ask the Government to investigate how the monitoring and registration resulting from Europol and Schengen cooperation can be subject to national and parliamentary control’. I'd like to elaborate on this a little bit. Europol and Schengen cooperation lead to the provision of information on Norwegian citizens in large and unbridled databases. The Schengen Information System – SIS – SIRENE and, in particular, the TCS computer system with analytical registers, where information on ethnic, religious and political backgrounds can be stored temporarily. I remember the debate on Schengen cooperation, as the current Minister of Justice was also Minister of Justice. At the time, I noted that the cooperation involved the establishment of a monitoring system for the control of demonstrators and activists. This is provided by a Police Cooperation Manual to maintain public order and security, adopted in 1997, which is a handbook on cross-border police cooperation. So what's its content? Yes, all groups, large and small, participating in demonstrations can be monitored and registered in the SIS. It also confirmed the Minister of Justice at that time. This means that it has to be followed with e.g. nature conservationists demonstrating. The manual shall provide information on the routes or routes the group operates or arrives, meeting places, locations or any breaks along the way. I would like to ask the Minister of Justice how the registrations made as a result of Europol and Schengen cooperation are subject to national parliamentary control and whether one is satisfied with what is known about it. With the knowledge we have, we believe that an investigation is needed. With this, I would like to address the proposal that we have on investigation in this area.
ParlaMint-NO_2003-06-17.ana.ud1698e175	The representative of Ågot Valle has taken up the proposal she has referred to.
ParlaMint-NO_2003-06-17.ana.ud1698e178	As regards the general aspects of this case, I agree with the good points made by the rapporteur on the occasion of the case. What I will come back to a little bit, however, is what it may have evolved to be the greatest disagreement on this matter, on which the representative Ågot Valle was now involved, that is, on the ABCDE conference held in Oslo by the World Bank. It is true that SV has been very critical that this has been put into focus, and it is also stated that it is hair-crowding that a request has been made to obtain information about those who might be involved in this. I think such statements are strange. If you go back in history, you can see that similar demonstrations in many places in Europe have led to riots and great unrest. I think it's just what the police have to do, to make sure that they are averting the kind of events and demonstrations that cause unrest, crime, violence and violence. There are also good routine and experience of this type of activity in Norway. You have the mob on Blitz and different other environments that, when occasions take place, are in the streets, demonstrate, throw stones, etc. For not long ago they were right outside of Stortinget. I think we in Stortinget cannot tell the police that they should not have the opportunity to obtain information and information that is required to avert this kind of thing. In that area, at least the Advance Party wants to be absolutely crystal clear and give the police credit for doing what is necessary to avert such things.
ParlaMint-NO_2003-06-17.ana.ud1698e187	It's going to be line change.
ParlaMint-NO_2003-06-17.ana.ud1698e190	Since the representative Red addresses the history of political surveillance, freedom of demonstration and riots, it is tempting to remind the representative Red that the police have two tasks. The police are to prevent violence, riots and destruction of property and other things that we do not want, but the police are, in fact, also to facilitate good democratic exchange of views, for freedom of expression. We are aware that monitoring for legitimate political activity has previously led to a limitation of people's legal freedom of expression, not by obstructing them, but by the fact that it has been perceived as a great tax to be monitored for legitimate political activity. I think it is alarming that when the central unit of the PST itself says that they have obtained undue amount of information, the understanding of the history of the Advance Party is only about what happened in Gothenburg, and not about the Lund Commission.
ParlaMint-NO_2003-06-17.ana.ud1698e197	I record Hall Arnøy's surprise at our position on this matter. For the Progress Party, it is clearly the most crucial thing to prevent riots, crime, violence and violence in connection with the kind of demonstrations that this is about. It's not a matter of denying demonstrations and refusing people to make their opinions known, but it's a matter of making sure that it happens in proper forms.
