Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-01-28-upper	ParlaMint-NO_2003-01-28-upper.ana.ud233e80	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-01-28	2003-01-28	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-01-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TAN	Nistad, Thore A.	M	1949	
ParlaMint-NO-en_2003-01-28-upper	ParlaMint-NO_2003-01-28-upper.ana.ud233e144	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-01-28	2003-01-28	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-01-28	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2003-01-28-upper	ParlaMint-NO_2003-01-28-upper.ana.ud233e147	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-01-28	2003-01-28	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-01-28	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SEN	Eng, Sigrun	F	1951	
ParlaMint-NO-en_2003-01-28-upper	ParlaMint-NO_2003-01-28-upper.ana.ud233e162	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-01-28	2003-01-28	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-01-28	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2003-01-28-upper	ParlaMint-NO_2003-01-28-upper.ana.ud233e180	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-01-28	2003-01-28	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-01-28	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2003-01-28-upper	ParlaMint-NO_2003-01-28-upper.ana.ud233e194	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-01-28	2003-01-28	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-01-28	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2003-01-28-upper	ParlaMint-NO_2003-01-28-upper.ana.ud233e210	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-01-28	2003-01-28	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-01-28	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2003-01-28-upper	ParlaMint-NO_2003-01-28-upper.ana.ud233e226	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-01-28	2003-01-28	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-01-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TAN	Nistad, Thore A.	M	1949	
ParlaMint-NO-en_2003-01-28-upper	ParlaMint-NO_2003-01-28-upper.ana.ud233e268	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-01-28	2003-01-28	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-01-28	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2003-01-28-upper	ParlaMint-NO_2003-01-28-upper.ana.ud233e271	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-01-28	2003-01-28	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-01-28	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SEN	Eng, Sigrun	F	1951	
ParlaMint-NO-en_2003-01-28-upper	ParlaMint-NO_2003-01-28-upper.ana.ud233e332	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-01-28	2003-01-28	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-01-28	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2003-01-28-upper	ParlaMint-NO_2003-01-28-upper.ana.ud233e350	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-01-28	2003-01-28	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-01-28	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
