Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2003-02-20-lower	ParlaMint-NO_2003-02-20-lower.ana.ud305e37	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-20	2003-02-20	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-20	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.VB	Bjørnstad, Vidar	M	1955	
ParlaMint-NO-en_2003-02-20-lower	ParlaMint-NO_2003-02-20-lower.ana.ud305e73	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-20	2003-02-20	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-20	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.SFV	Voie, Søren Fredrik	M	1949	
ParlaMint-NO-en_2003-02-20-lower	ParlaMint-NO_2003-02-20-lower.ana.ud305e96	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-20	2003-02-20	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-20	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.UE	Evje, Ursula	F	1944	
ParlaMint-NO-en_2003-02-20-lower	ParlaMint-NO_2003-02-20-lower.ana.ud305e141	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-20	2003-02-20	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-20	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2003-02-20-lower	ParlaMint-NO_2003-02-20-lower.ana.ud305e146	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-20	2003-02-20	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-20	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.RHRE	Reikvam, Rolf	M	1948	
ParlaMint-NO-en_2003-02-20-lower	ParlaMint-NO_2003-02-20-lower.ana.ud305e174	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-20	2003-02-20	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-20	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.AL	Lyngstad, Arne	M	1962	
ParlaMint-NO-en_2003-02-20-lower	ParlaMint-NO_2003-02-20-lower.ana.ud305e187	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-20	2003-02-20	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-20	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2003-02-20-lower	ParlaMint-NO_2003-02-20-lower.ana.ud305e195	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-20	2003-02-20	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-20	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2003-02-20-lower	ParlaMint-NO_2003-02-20-lower.ana.ud305e202	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-20	2003-02-20	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-20	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2003-02-20-lower	ParlaMint-NO_2003-02-20-lower.ana.ud305e255	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-20	2003-02-20	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-20	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2003-02-20-lower	ParlaMint-NO_2003-02-20-lower.ana.ud305e265	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-20	2003-02-20	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-20	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2003-02-20-lower	ParlaMint-NO_2003-02-20-lower.ana.ud305e276	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2003-02-20	2003-02-20	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2003-02-20	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
