ParlaMint-NO_2003-02-06.ana.ud2316e58	The representative of Øyvind Vaksdal will make a private proposal.
ParlaMint-NO_2003-02-06.ana.ud2316e61	On behalf of Øyvind Korsberg, Per Sandberg and myself, I would like to put forward proposals on State responsibility for building main pipelines for natural gas for use in Norway.
ParlaMint-NO_2003-02-06.ana.ud2316e66	The proposal will be dealt with in a regulatory manner. From the Prime Minister's office there is the following letter to Stortinget, dated 31 January 2003: ‘In the Council of State of the H.M. King held at Oslo Castle on 31 January 2003 at 1 p.m. 1100 is hereby decided:State Secretary Thorhild Widvey is hereby dismissed from office as Secretary of State of the Ministry of Fisheries.State Secretary Thorhild Widvey is hereby appointed State Secretary of the Ministry of Foreign Affairs.Policy adviser Janne Johnsen is hereby appointed State Secretary of the Ministry of Fisheries.’ The President proposes that the referenced letter be annexed to the minutes – it is deemed to have been adopted.
ParlaMint-NO_2003-02-06.ana.ud2316e93	At the request of the Church, Education and Research Committee, the President will propose that speaking time be limited to 10 minutes to the Right, 5 minutes to each of the other parties and 5 minutes to the representative Simonsen. Furthermore, the President will propose that three lines of reply be given after the contributions of the main speakers from each group and five lines of reply after the contributions of members of the Government within the allocated speaking time. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2003-02-06.ana.ud2316e102	The thing we have for us is a Document No. 8-proposals by Rolf Rekvam and Lena Jensen to introduce a national minimum standard for primary school resources. The background to the proposal is the concern of the proposers for the resource situation in the primary school in our country. In fact, the resource situation in primary school occupies the entire committee. The plural says: ‘The majority have noted new figures from the Primary School Information System — GSI, which show changes in hours per student and student development that give cause for concern.’ A comparison of student numbers and hours from 1998 to 1999 up to the present day shows a reduction of a total of 19 pst. And that's a lot. Both the government parties, the Workers' Party and the Center Party stress that they are actually concerned about this development. At the same time, the majority emphasises that there is a great deal of upsurge in public schools, and that the school as a common meeting place for all children, regardless of social, religious or cultural background, is a strength for society. Furthermore, the majority notes that it believes that: ‘mainstreaming public schools depends on parents feeling that the school is a field of activity’. Now the situation has also shown that parents around our country are in fact deeply concerned about the development of school. And as the rapporteur, I think it is uplifting that a majority in the committee actually shares this concern. The right, Christian People's Party and the left also underline the proposalers' intention to secure sufficient resources for primary school, but at the same time they stress that increased resources do not necessarily improve quality. The Labour Party, the Socialist Left Party and the Centre point out that reduced sharing hours and increased hours of special education, school library closure, etc., say that the school is in a very stressful situation around the municipalities. The majority of the Committee is not in favour of setting a minimum standard, and underlines very strongly that it is about local priorities and that it is up to individual local authorities to choose how to bet. But it is important to see this case in the context of the situation in which the municipalities are located, that one often has to choose the least one. So that is what the majority of the committee is concerned about. So the majority says, ‘The majority indicates that the Government has been asked to return to the Great Government in the spring of 2003 with an explanation of the resource situation in primary school.’ The majority attend such a presentation with the possibility to assess the relationship between available resources and the school's ability to provide all pupils with equivalent education and follow-up in line with the Training Act. In addition, this must be held up against municipalities being able to have the freedom to have the school structure that one has. What I would like the Council of State to say is how the Council of State will come to the Storting and make this statement. I want the Council of State to make its own statement, and not do so in the context of the revised national budget. I want the Stortinget to be able to discuss the resource situation on a broad basis in a way that does not depend on numbers. So I hope the Council of State can answer something when she gets the floor.
ParlaMint-NO_2003-02-06.ana.ud2316e137	Education policy is mostly about giving individual students knowledge and giving them the opportunity to reach their goals, realise their dreams and potential. Education policy is also about taking responsibility. It is a fact that there are considerable differences in the use of resources between municipalities. The current income system is complicated and difficult to understand. We are getting more and more examples of municipalities that are struggling and prioritizing between statutory tasks – they are prioritizing between statutory tasks! In such a situation, it may seem that school life for individuals is comparable to a lottery: a good school day can depend on the municipality in which you live. It shouldn't be like that, it can't be like that. The Workers' Party shares the proposalers' opinion that Clemet's image of the Norwegian school is incorrect. The fact that we live financially in the country that maybe spends most at school, and that still gets mediocre back, as Clement has repeated several times, is not true. My claim is that it is the parents' experience of lack of resources in school that is correct. The theme of the day is not new. A comparable proposal was discussed here at Stortinget in 2000. It's a Document No. 8-proposals advanced by Grete Knudsen and Sylvia Brustad. This was a proposal to ask the Government to submit proposals for instruments to ensure equivalent school provision across the country in terms of both special education, teaching and sharing hours. The proposal was adopted at Stortinget. The Workers' Party believes today that a review of today's basic school funding scheme requires more time than that provided for in a Document No. Eight proposals that you just send to Stortinget. In addition, it can be asked how lucky it is that, with the development of special schemes, government resources are transferred to municipalities. You have to weigh this up against the municipal maritime administration all the time. At the same time, it is important to have a comprehensive review of the funding system for schools. As I said, it's complicated, it's not clear – it's very important to have a total review of the funding system. We know that today's system creates inequalities around the country. If, as the proposers point out, the funding system should be modified, it must be done after a thorough investigation and not after a Document No. Eight proposals. We will therefore await the report by the Department, as also mentioned by the case-rapporteur, on the resource situation throughout primary education, which we expect to come in the spring of 2003. Such a review will provide the basis for a wide-ranging debate on the relationship between resources and outcomes in schools. There are many opinions about what is the best way to finance the school, not least we have noted the Education Association's opinions on a more detailed minimum standard. My claim is that the debate we have right now is a direct result of the poor economy of the municipalities. In these days, 2 500 teachers are said to be in primary school. Today, striking teachers show their distrust of the school councils. Zero trust is the slogan we'll see out here today. The requirement for minimum standards is understandable in the light of the local economy. But my point is that a minimum standard is uninteresting if one does not fully fund.
ParlaMint-NO_2003-02-06.ana.ud2316e152	The proposal for the introduction of the minimum standard is justified by the proposers that this is necessary in order to provide high-quality education for primary school students. That the school should be of high quality, there is no disagreement about it. That the school has to have financial resources to achieve high quality is also not disputed. Nor should there be any disagreement that we in Norway have a very high level of resource use in school. That's actually a good reason to be satisfied with. The minimum standard in primary school is not new. Today's Training Act also provides for minimum standards. And it's a fact that most municipalities are above the minimum requirements laid down by law. Data from several OECD countries show that Norway is actually among the countries using the most resources per year. student. At the same time, we know that Norwegian students have intermediate performance compared to students in other OECD countries. Then we have to ask the question whether it's the economy that's the biggest problem in Norwegian school. Will more funds lead to higher quality? Research, including: a study conducted by researchers at the Educational Research Institute at the University of Oslo and the University of Technology in Norway shows that there is no significant link between resource use and the professional performance of the students. That doesn't mean that economics isn't important. Primary school must have, and must have, a good economic foundation, but this foundation does not, in our opinion, improve by introducing a national minimum standard that will certainly be below the level of most municipalities in today's world. A minimum standard could easily be considered as a maximum rate and will therefore not be a strengthening of the school. The right is concerned with quality in school. In our opinion, the focus must not be on economics, at least not on one-sided economics, but on how the funds are used, on how the school is organised, and on the content of the school. Local freedom of action must be stressed. Each school must have the opportunity to make the most of its resources, both economic and human, according to what the school itself finds out is the best. When central government leaves decisions on the operation of individual schools, learning outcomes will increase. In fact, this is clearly demonstrated both in the 1995 TIMSS surveys and in the 2000 PISA survey. Freedom of movement for each school is therefore an important element in providing the school with higher quality. We believe that a national minimum standard will weaken local freedom of action. Norwegian schools are different — different sizes, different geographical conditions, different student compositions, different teacher resources, etc. The ability of schools to take advantage of their specific advantages will be hampered by the introduction of a national minimum standard. Right has faith in local self-government. It is the municipalities that are responsible for organising the school and for making their own priorities within the resources available. The introduction of a national minimum standard will weaken municipal autonomy while at the same time the different assumptions and conditions in municipalities regarding primary schooling will not be captured. The system will simply have unreasonable effects. However, it is important to stress that the school needs to secure the necessary financial resources. As the rapporteur said, there is concern that the number of school divisions is being reduced, while the number of hours of special education after individual decisions is increasing. Schools must be given the opportunity to apply strengthening measures as early as possible, so that students receive the appropriate training they require. I expect that the development that we can now see at this point will be followed closely by the department. Through its many proposals, the Council of State has focused on the quality concept in school, and she has managed to give the concept a broader content than just money. I'm even out a lot of school students and parents and the interest in school policy is great. But interest is more focused on school content, on school organisation and on the desire for flexibility in relation to key decisions. I am pleased that there is a lot of focus here now, and I am convinced that the decision that has been taken, all the measures that have come, and the proposals that will come, will be important contributions to Norwegian school getting the desired quality improvement.
ParlaMint-NO_2003-02-06.ana.ud2316e173	It's going to be line change.
ParlaMint-NO_2003-02-06.ana.ud2316e176	The representative points to one thing that the Committee and the Stortinget are in complete agreement on: the resource situation in the municipalities is tight, and that is an economic problem. But the right has repeatedly stated that teachers are a key factor in creating quality in training in Norwegian school. It's an opinion I share in full, and I fully agree with it. Well-qualified teachers are essential for creating a good school. It is therefore with great concern that I see the new figures coming from the GSI, which show that the number of yearbooks for teachers and teaching staff has decreased by 4 pst. from the school year 1998/1999 to 2002/2003. In the same period, the number of assistants in school has increased by a total of 4.5 pst. In this period, the student has also increased by 7 pst. In a tight economic situation, it is tempting for the school to replace well-qualified but more expensive teachers with assistants. How does the representative from the Right view this development, where teachers seem to replace students with unqualified staff? Our proposal for a minimum standard in school is not at the expense of the municipality's autonomy. We have put in a proposal that you should increase on average 60 pst. above school standards today. We promote our proposal to secure school and ensure that all students in the country have a minimum qualified teacher staff and financial assurance of the quality of school.
ParlaMint-NO_2003-02-06.ana.ud2316e187	Yes, I can agree that the resource situation is alarming. I also agree that the teachers of course are a key factor. With regard to the statistics referred to when it comes to the decline of teachers, I have been somewhat surprised that a moment that I think is an important reason is not included in the discussion, namely the teacher package 2, in particular – the reading time of the teachers has increased, and this has led to the need for fewer teachers to cover the same number of hours, and it is clear that there is a significant reason to see some decline in the number of teachers. Increases in assistants I think are positive. There is a need for school staff who do not necessarily have education. Assistants are an important addition to the teachers of many schools. I think there are an incredible number of school assignments that have been carried out by pedagogically trained staff up to the last few years, which can be carried out to the benefit of assistants. I think that the drop in the number of teachers has a lot of its explanation in Teachers' Package 2 and increased reading time, and that it and the increase in assistants are at the best for both school and students.
ParlaMint-NO_2003-02-06.ana.ud2316e196	Several have not asked for the word for a line.
